,date,value,name_B084QF6HZV
0,2020-02-18,5825.0,Wall & Tabletop Frames
1,2020-02-19,5219.0,Wall & Tabletop Frames
2,2020-02-20,5219.0,Wall & Tabletop Frames
3,2020-02-21,8019.0,Wall & Tabletop Frames
4,2020-02-22,9018.0,Wall & Tabletop Frames
5,2020-02-23,9018.0,Wall & Tabletop Frames
6,2020-02-24,8547.0,Wall & Tabletop Frames
7,2020-02-25,8547.0,Wall & Tabletop Frames
8,2020-02-26,8547.0,Wall & Tabletop Frames
9,2020-02-27,5527.0,Wall & Tabletop Frames
10,2020-02-28,5527.0,Wall & Tabletop Frames
11,2020-02-29,6254.0,Wall & Tabletop Frames
12,2020-03-01,5958.0,Wall & Tabletop Frames
13,2020-03-02,6981.0,Wall & Tabletop Frames
14,2020-03-03,6241.0,Wall & Tabletop Frames
15,2020-03-04,7467.0,Wall & Tabletop Frames
16,2020-03-05,6860.0,Wall & Tabletop Frames
17,2020-03-06,6860.0,Wall & Tabletop Frames
18,2020-03-07,6963.0,Wall & Tabletop Frames
19,2020-03-08,6963.0,Wall & Tabletop Frames
20,2020-03-09,8694.0,Wall & Tabletop Frames
21,2020-03-10,8694.0,Wall & Tabletop Frames
22,2020-03-11,8930.0,Wall & Tabletop Frames
23,2020-03-12,9719.0,Wall & Tabletop Frames
24,2020-03-13,9719.0,Wall & Tabletop Frames
25,2020-03-14,9719.0,Wall & Tabletop Frames
26,2020-03-15,9719.0,Wall & Tabletop Frames
27,2020-03-16,8192.0,Wall & Tabletop Frames
28,2020-03-17,8623.0,Wall & Tabletop Frames
29,2020-03-18,8623.0,Wall & Tabletop Frames
30,2020-03-19,8623.0,Wall & Tabletop Frames
31,2020-03-20,8777.0,Wall & Tabletop Frames
32,2020-03-21,8028.0,Wall & Tabletop Frames
33,2020-03-22,8028.0,Wall & Tabletop Frames
34,2020-03-23,5502.0,Wall & Tabletop Frames
35,2020-03-24,4921.0,Wall & Tabletop Frames
36,2020-03-25,4251.0,Wall & Tabletop Frames
37,2020-03-26,4251.0,Wall & Tabletop Frames
38,2020-03-27,5711.0,Wall & Tabletop Frames
39,2020-03-28,5711.0,Wall & Tabletop Frames
40,2020-03-29,5711.0,Wall & Tabletop Frames
41,2020-03-30,5015.0,Wall & Tabletop Frames
42,2020-03-31,5015.0,Wall & Tabletop Frames
43,2020-04-01,4317.0,Wall & Tabletop Frames
44,2020-04-02,5314.0,Wall & Tabletop Frames
45,2020-04-03,4751.0,Wall & Tabletop Frames
46,2020-04-04,4751.0,Wall & Tabletop Frames
47,2020-04-05,4751.0,Wall & Tabletop Frames
48,2020-04-06,5010.0,Wall & Tabletop Frames
49,2020-04-07,5010.0,Wall & Tabletop Frames
50,2020-04-08,4855.0,Wall & Tabletop Frames
51,2020-04-09,4941.0,Wall & Tabletop Frames
52,2020-04-10,4952.0,Wall & Tabletop Frames
53,2020-04-11,4952.0,Wall & Tabletop Frames
54,2020-04-12,4952.0,Wall & Tabletop Frames
55,2020-04-13,3414.0,Wall & Tabletop Frames
56,2020-04-14,3316.0,Wall & Tabletop Frames
57,2020-04-15,3316.0,Wall & Tabletop Frames
58,2020-04-16,3694.0,Wall & Tabletop Frames
59,2020-04-17,3694.0,Wall & Tabletop Frames
60,2020-04-18,3694.0,Wall & Tabletop Frames
61,2020-04-19,4469.0,Wall & Tabletop Frames
62,2020-04-20,3540.0,Wall & Tabletop Frames
63,2020-04-21,3540.0,Wall & Tabletop Frames
64,2020-04-22,3631.0,Wall & Tabletop Frames
65,2020-04-23,3514.0,Wall & Tabletop Frames
66,2020-04-24,3774.0,Wall & Tabletop Frames
67,2020-04-25,3774.0,Wall & Tabletop Frames
68,2020-04-26,4100.0,Wall & Tabletop Frames
69,2020-04-27,4134.0,Wall & Tabletop Frames
70,2020-04-28,4326.0,Wall & Tabletop Frames
71,2020-04-29,4326.0,Wall & Tabletop Frames
72,2020-04-30,4284.0,Wall & Tabletop Frames
73,2020-05-01,4284.0,Wall & Tabletop Frames
74,2020-05-02,4284.0,Wall & Tabletop Frames
75,2020-05-03,6139.0,Wall & Tabletop Frames
76,2020-05-04,6139.0,Wall & Tabletop Frames
77,2020-05-05,8400.0,Wall & Tabletop Frames
78,2020-05-06,9361.0,Wall & Tabletop Frames
79,2020-05-07,6710.0,Wall & Tabletop Frames
80,2020-05-08,7474.0,Wall & Tabletop Frames
81,2020-05-09,12523.0,Wall & Tabletop Frames
82,2020-05-10,12076.0,Wall & Tabletop Frames
83,2020-05-11,9145.0,Wall & Tabletop Frames
84,2020-05-12,9152.0,Wall & Tabletop Frames
85,2020-05-13,9152.0,Wall & Tabletop Frames
86,2020-05-14,9152.0,Wall & Tabletop Frames
87,2020-05-15,8506.0,Wall & Tabletop Frames
88,2020-05-16,8506.0,Wall & Tabletop Frames
89,2020-05-17,8506.0,Wall & Tabletop Frames
90,2020-05-18,8576.0,Wall & Tabletop Frames
91,2020-05-19,8553.0,Wall & Tabletop Frames
92,2020-05-20,8553.0,Wall & Tabletop Frames
93,2020-05-21,12121.0,Wall & Tabletop Frames
94,2020-05-22,9996.0,Wall & Tabletop Frames
95,2020-05-23,13974.0,Wall & Tabletop Frames
96,2020-05-24,13974.0,Wall & Tabletop Frames
97,2020-05-25,12591.0,Wall & Tabletop Frames
98,2020-05-26,9580.0,Wall & Tabletop Frames
99,2020-05-27,9455.0,Wall & Tabletop Frames
100,2020-05-28,9455.0,Wall & Tabletop Frames
101,2020-05-29,9455.0,Wall & Tabletop Frames
102,2020-05-30,9455.0,Wall & Tabletop Frames
103,2020-05-31,7694.0,Wall & Tabletop Frames
104,2020-06-01,7368.0,Wall & Tabletop Frames
105,2020-06-02,6121.0,Wall & Tabletop Frames
106,2020-06-03,6090.0,Wall & Tabletop Frames
107,2020-06-04,4871.0,Wall & Tabletop Frames
108,2020-06-05,5468.0,Wall & Tabletop Frames
109,2020-06-06,5468.0,Wall & Tabletop Frames
110,2020-06-07,5468.0,Wall & Tabletop Frames
111,2020-06-08,5076.0,Wall & Tabletop Frames
112,2020-06-09,5076.0,Wall & Tabletop Frames
113,2020-06-10,4721.0,Wall & Tabletop Frames
114,2020-06-11,5339.0,Wall & Tabletop Frames
115,2020-06-12,5230.0,Wall & Tabletop Frames
116,2020-06-13,3728.0,Wall & Tabletop Frames
117,2020-06-14,3728.0,Wall & Tabletop Frames
118,2020-06-15,5636.0,Wall & Tabletop Frames
119,2020-06-16,5721.0,Wall & Tabletop Frames
120,2020-06-17,6701.0,Wall & Tabletop Frames
121,2020-06-18,7099.0,Wall & Tabletop Frames
122,2020-06-19,5636.0,Wall & Tabletop Frames
123,2020-06-20,5636.0,Wall & Tabletop Frames
124,2020-06-21,5636.0,Wall & Tabletop Frames
125,2020-06-22,6400.0,Wall & Tabletop Frames
126,2020-06-23,6065.0,Wall & Tabletop Frames
127,2020-06-24,4720.0,Wall & Tabletop Frames
128,2020-06-25,4720.0,Wall & Tabletop Frames
129,2020-06-26,6808.0,Wall & Tabletop Frames
130,2020-06-27,6808.0,Wall & Tabletop Frames
131,2020-06-28,4538.0,Wall & Tabletop Frames
132,2020-06-29,4538.0,Wall & Tabletop Frames
133,2020-06-30,4538.0,Wall & Tabletop Frames
134,2020-07-01,4494.0,Wall & Tabletop Frames
135,2020-07-02,5424.0,Wall & Tabletop Frames
136,2020-07-03,5322.0,Wall & Tabletop Frames
137,2020-07-04,5322.0,Wall & Tabletop Frames
138,2020-07-05,4596.0,Wall & Tabletop Frames
139,2020-07-06,4866.0,Wall & Tabletop Frames
140,2020-07-07,4526.0,Wall & Tabletop Frames
141,2020-07-08,3402.0,Wall & Tabletop Frames
142,2020-07-09,4358.0,Wall & Tabletop Frames
143,2020-07-10,4135.0,Wall & Tabletop Frames
144,2020-07-11,4911.0,Wall & Tabletop Frames
145,2020-07-12,4911.0,Wall & Tabletop Frames
146,2020-07-13,5513.0,Wall & Tabletop Frames
147,2020-07-14,5163.0,Wall & Tabletop Frames
148,2020-07-15,4606.0,Wall & Tabletop Frames
149,2020-07-16,5195.0,Wall & Tabletop Frames
150,2020-07-17,5269.0,Wall & Tabletop Frames
151,2020-07-18,4598.0,Wall & Tabletop Frames
152,2020-07-19,4976.0,Wall & Tabletop Frames
153,2020-07-20,4797.0,Wall & Tabletop Frames
154,2020-07-21,4797.0,Wall & Tabletop Frames
155,2020-07-22,5063.0,Wall & Tabletop Frames
156,2020-07-23,4931.0,Wall & Tabletop Frames
157,2020-07-24,4931.0,Wall & Tabletop Frames
158,2020-07-25,4539.0,Wall & Tabletop Frames
159,2020-07-26,4539.0,Wall & Tabletop Frames
160,2020-07-27,5836.0,Wall & Tabletop Frames
161,2020-07-28,6089.0,Wall & Tabletop Frames
162,2020-07-29,6055.0,Wall & Tabletop Frames
163,2020-07-30,6055.0,Wall & Tabletop Frames
164,2020-07-31,6073.0,Wall & Tabletop Frames
165,2020-08-01,6073.0,Wall & Tabletop Frames
166,2020-08-02,6073.0,Wall & Tabletop Frames
167,2020-08-03,7525.0,Wall & Tabletop Frames
168,2020-08-04,7463.0,Wall & Tabletop Frames
169,2020-08-05,7463.0,Wall & Tabletop Frames
170,2020-08-06,5840.0,Wall & Tabletop Frames
171,2020-08-07,6532.0,Wall & Tabletop Frames
172,2020-08-08,5911.0,Wall & Tabletop Frames
173,2020-08-09,5911.0,Wall & Tabletop Frames
174,2020-08-10,8148.0,Wall & Tabletop Frames
175,2020-08-11,6145.0,Wall & Tabletop Frames
176,2020-08-12,5837.0,Wall & Tabletop Frames
177,2020-08-13,5496.0,Wall & Tabletop Frames
178,2020-08-14,5496.0,Wall & Tabletop Frames
179,2020-08-15,5116.0,Wall & Tabletop Frames
180,2020-08-16,5116.0,Wall & Tabletop Frames
181,2020-08-17,5499.0,Wall & Tabletop Frames
182,2020-08-18,8611.0,Wall & Tabletop Frames
183,2020-08-19,7728.0,Wall & Tabletop Frames
184,2020-08-20,8653.0,Wall & Tabletop Frames
185,2020-08-21,8653.0,Wall & Tabletop Frames
186,2020-08-22,8307.0,Wall & Tabletop Frames
187,2020-08-23,8307.0,Wall & Tabletop Frames
188,2020-08-24,9723.0,Wall & Tabletop Frames
189,2020-08-25,9723.0,Wall & Tabletop Frames
190,2020-08-26,8735.0,Wall & Tabletop Frames
191,2020-08-27,8735.0,Wall & Tabletop Frames
192,2020-08-28,6704.0,Wall & Tabletop Frames
193,2020-08-29,6704.0,Wall & Tabletop Frames
194,2020-08-30,6704.0,Wall & Tabletop Frames
195,2020-08-31,7428.0,Wall & Tabletop Frames
196,2020-09-01,6600.0,Wall & Tabletop Frames
197,2020-09-02,6600.0,Wall & Tabletop Frames
198,2020-09-03,6600.0,Wall & Tabletop Frames
199,2020-09-04,6540.0,Wall & Tabletop Frames
200,2020-09-05,6540.0,Wall & Tabletop Frames
201,2020-09-06,8043.0,Wall & Tabletop Frames
202,2020-09-07,8043.0,Wall & Tabletop Frames
203,2020-09-08,6513.0,Wall & Tabletop Frames
204,2020-09-09,6225.0,Wall & Tabletop Frames
205,2020-09-10,6225.0,Wall & Tabletop Frames
206,2020-09-11,5373.0,Wall & Tabletop Frames
207,2020-09-12,5373.0,Wall & Tabletop Frames
208,2020-09-13,5534.0,Wall & Tabletop Frames
209,2020-09-14,5534.0,Wall & Tabletop Frames
210,2020-09-15,3252.0,Wall & Tabletop Frames
211,2020-09-16,2915.0,Wall & Tabletop Frames
212,2020-09-17,2422.0,Wall & Tabletop Frames
213,2020-09-18,4010.0,Wall & Tabletop Frames
214,2020-09-19,5844.0,Wall & Tabletop Frames
215,2020-09-20,5844.0,Wall & Tabletop Frames
216,2020-09-21,6016.0,Wall & Tabletop Frames
217,2020-09-22,6289.0,Wall & Tabletop Frames
218,2020-09-23,6139.0,Wall & Tabletop Frames
219,2020-09-24,5425.0,Wall & Tabletop Frames
220,2020-09-25,6281.0,Wall & Tabletop Frames
221,2020-09-26,6281.0,Wall & Tabletop Frames
222,2020-09-27,9320.0,Wall & Tabletop Frames
223,2020-09-28,8654.0,Wall & Tabletop Frames
224,2020-09-29,7770.0,Wall & Tabletop Frames
225,2020-09-30,6799.0,Wall & Tabletop Frames
226,2020-10-01,6799.0,Wall & Tabletop Frames
227,2020-10-02,7122.0,Wall & Tabletop Frames
228,2020-10-03,7122.0,Wall & Tabletop Frames
229,2020-10-04,7122.0,Wall & Tabletop Frames
230,2020-10-05,9830.0,Wall & Tabletop Frames
231,2020-10-06,9340.0,Wall & Tabletop Frames
232,2020-10-07,8731.0,Wall & Tabletop Frames
233,2020-10-08,8731.0,Wall & Tabletop Frames
234,2020-10-09,8731.0,Wall & Tabletop Frames
235,2020-10-10,9056.0,Wall & Tabletop Frames
236,2020-10-11,7874.0,Wall & Tabletop Frames
237,2020-10-12,7874.0,Wall & Tabletop Frames
238,2020-10-13,10303.0,Wall & Tabletop Frames
239,2020-10-14,13802.0,Wall & Tabletop Frames
240,2020-10-15,7018.0,Wall & Tabletop Frames
241,2020-10-16,8451.0,Wall & Tabletop Frames
242,2020-10-17,8586.0,Wall & Tabletop Frames
243,2020-10-18,9095.0,Wall & Tabletop Frames
244,2020-10-19,9390.0,Wall & Tabletop Frames
245,2020-10-20,7905.0,Wall & Tabletop Frames
246,2020-10-21,8081.0,Wall & Tabletop Frames
247,2020-10-22,8713.0,Wall & Tabletop Frames
248,2020-10-23,10956.0,Wall & Tabletop Frames
249,2020-10-24,10956.0,Wall & Tabletop Frames
250,2020-10-25,10675.0,Wall & Tabletop Frames
251,2020-10-26,9496.0,Wall & Tabletop Frames
252,2020-10-27,7395.0,Wall & Tabletop Frames
253,2020-10-28,8704.0,Wall & Tabletop Frames
254,2020-10-29,8174.0,Wall & Tabletop Frames
255,2020-10-30,8174.0,Wall & Tabletop Frames
256,2020-10-31,6875.0,Wall & Tabletop Frames
257,2020-11-01,7038.0,Wall & Tabletop Frames
258,2020-11-02,7038.0,Wall & Tabletop Frames
259,2020-11-03,8174.0,Wall & Tabletop Frames
260,2020-11-04,8174.0,Wall & Tabletop Frames
261,2020-11-05,10717.0,Wall & Tabletop Frames
262,2020-11-06,11129.0,Wall & Tabletop Frames
263,2020-11-07,11129.0,Wall & Tabletop Frames
264,2020-11-08,10835.0,Wall & Tabletop Frames
265,2020-11-09,10835.0,Wall & Tabletop Frames
266,2020-11-10,9644.0,Wall & Tabletop Frames
267,2020-11-11,9644.0,Wall & Tabletop Frames
268,2020-11-12,9644.0,Wall & Tabletop Frames
269,2020-11-13,9644.0,Wall & Tabletop Frames
270,2020-11-14,9226.0,Wall & Tabletop Frames
271,2020-11-15,9226.0,Wall & Tabletop Frames
272,2020-11-16,11436.0,Wall & Tabletop Frames
273,2020-11-17,11436.0,Wall & Tabletop Frames
274,2020-11-18,10385.0,Wall & Tabletop Frames
275,2020-11-19,10385.0,Wall & Tabletop Frames
276,2020-11-20,15131.0,Wall & Tabletop Frames
277,2020-11-21,15131.0,Wall & Tabletop Frames
278,2020-11-22,15131.0,Wall & Tabletop Frames
279,2020-11-23,17787.0,Wall & Tabletop Frames
280,2020-11-24,13631.0,Wall & Tabletop Frames
281,2020-11-25,14971.0,Wall & Tabletop Frames
282,2020-11-26,13583.0,Wall & Tabletop Frames
283,2020-11-27,13046.0,Wall & Tabletop Frames
284,2020-11-28,13046.0,Wall & Tabletop Frames
285,2020-11-29,13046.0,Wall & Tabletop Frames
286,2020-11-30,11506.0,Wall & Tabletop Frames
287,2020-12-01,11506.0,Wall & Tabletop Frames
288,2020-12-02,12355.0,Wall & Tabletop Frames
289,2020-12-03,12355.0,Wall & Tabletop Frames
290,2020-12-04,12355.0,Wall & Tabletop Frames
291,2020-12-05,12355.0,Wall & Tabletop Frames
292,2020-12-06,12355.0,Wall & Tabletop Frames
293,2020-12-07,13359.0,Wall & Tabletop Frames
294,2020-12-08,13359.0,Wall & Tabletop Frames
295,2020-12-09,13359.0,Wall & Tabletop Frames
296,2020-12-10,10807.0,Wall & Tabletop Frames
297,2020-12-11,10807.0,Wall & Tabletop Frames
298,2020-12-12,10807.0,Wall & Tabletop Frames
299,2020-12-13,10807.0,Wall & Tabletop Frames
300,2020-12-14,13009.0,Wall & Tabletop Frames
301,2020-12-15,13009.0,Wall & Tabletop Frames
