,date,value,name_B084XT32LS
0,2020-05-22,521.0,Aquarium Water Treatments
1,2020-05-23,521.0,Aquarium Water Treatments
2,2020-05-24,525.0,Aquarium Water Treatments
3,2020-05-25,525.0,Aquarium Water Treatments
4,2020-05-26,485.0,Aquarium Water Treatments
5,2020-05-27,499.0,Aquarium Water Treatments
6,2020-05-28,485.0,Aquarium Water Treatments
7,2020-05-29,485.0,Aquarium Water Treatments
8,2020-05-30,511.0,Aquarium Water Treatments
9,2020-05-31,511.0,Aquarium Water Treatments
10,2020-06-01,541.0,Aquarium Water Treatments
11,2020-06-02,573.0,Aquarium Water Treatments
12,2020-06-03,573.0,Aquarium Water Treatments
13,2020-06-04,624.0,Aquarium Water Treatments
14,2020-06-05,561.0,Aquarium Water Treatments
15,2020-06-06,536.0,Aquarium Water Treatments
16,2020-06-07,520.0,Aquarium Water Treatments
17,2020-06-08,457.0,Aquarium Water Treatments
18,2020-06-09,457.0,Aquarium Water Treatments
19,2020-06-10,572.0,Aquarium Water Treatments
20,2020-06-11,546.0,Aquarium Water Treatments
21,2020-06-12,537.0,Aquarium Water Treatments
22,2020-06-13,527.0,Aquarium Water Treatments
23,2020-06-14,549.0,Aquarium Water Treatments
24,2020-06-15,496.0,Aquarium Water Treatments
25,2020-06-16,574.0,Aquarium Water Treatments
26,2020-06-17,574.0,Aquarium Water Treatments
27,2020-06-18,511.0,Aquarium Water Treatments
28,2020-06-19,507.0,Aquarium Water Treatments
29,2020-06-20,520.0,Aquarium Water Treatments
30,2020-06-21,489.0,Aquarium Water Treatments
31,2020-06-22,489.0,Aquarium Water Treatments
32,2020-06-23,489.0,Aquarium Water Treatments
33,2020-06-24,619.0,Aquarium Water Treatments
34,2020-06-25,611.0,Aquarium Water Treatments
35,2020-06-26,611.0,Aquarium Water Treatments
36,2020-06-27,585.0,Aquarium Water Treatments
37,2020-06-28,530.0,Aquarium Water Treatments
38,2020-06-29,454.0,Aquarium Water Treatments
39,2020-06-30,454.0,Aquarium Water Treatments
40,2020-07-01,510.0,Aquarium Water Treatments
41,2020-07-02,510.0,Aquarium Water Treatments
42,2020-07-03,502.0,Aquarium Water Treatments
43,2020-07-04,511.0,Aquarium Water Treatments
44,2020-07-05,454.0,Aquarium Water Treatments
45,2020-07-06,428.0,Aquarium Water Treatments
46,2020-07-07,438.0,Aquarium Water Treatments
47,2020-07-08,438.0,Aquarium Water Treatments
48,2020-07-09,496.0,Aquarium Water Treatments
49,2020-07-10,568.0,Aquarium Water Treatments
50,2020-07-11,561.0,Aquarium Water Treatments
51,2020-07-12,505.0,Aquarium Water Treatments
52,2020-07-13,490.0,Aquarium Water Treatments
53,2020-07-14,471.0,Aquarium Water Treatments
54,2020-07-15,471.0,Aquarium Water Treatments
55,2020-07-16,474.0,Aquarium Water Treatments
56,2020-07-17,474.0,Aquarium Water Treatments
57,2020-07-18,491.0,Aquarium Water Treatments
58,2020-07-19,489.0,Aquarium Water Treatments
59,2020-07-20,530.0,Aquarium Water Treatments
60,2020-07-21,557.0,Aquarium Water Treatments
61,2020-07-22,557.0,Aquarium Water Treatments
62,2020-07-23,471.0,Aquarium Water Treatments
63,2020-07-24,561.0,Aquarium Water Treatments
64,2020-07-25,538.0,Aquarium Water Treatments
65,2020-07-26,513.0,Aquarium Water Treatments
66,2020-07-27,513.0,Aquarium Water Treatments
67,2020-07-28,500.0,Aquarium Water Treatments
68,2020-07-29,580.0,Aquarium Water Treatments
69,2020-07-30,623.0,Aquarium Water Treatments
70,2020-07-31,608.0,Aquarium Water Treatments
71,2020-08-01,543.0,Aquarium Water Treatments
72,2020-08-02,505.0,Aquarium Water Treatments
73,2020-08-03,507.0,Aquarium Water Treatments
74,2020-08-04,491.0,Aquarium Water Treatments
75,2020-08-05,508.0,Aquarium Water Treatments
76,2020-08-06,557.0,Aquarium Water Treatments
77,2020-08-07,557.0,Aquarium Water Treatments
78,2020-08-08,514.0,Aquarium Water Treatments
79,2020-08-09,514.0,Aquarium Water Treatments
80,2020-08-10,491.0,Aquarium Water Treatments
81,2020-08-11,507.0,Aquarium Water Treatments
82,2020-08-12,526.0,Aquarium Water Treatments
83,2020-08-13,535.0,Aquarium Water Treatments
84,2020-08-14,553.0,Aquarium Water Treatments
85,2020-08-15,505.0,Aquarium Water Treatments
86,2020-08-16,505.0,Aquarium Water Treatments
87,2020-08-17,552.0,Aquarium Water Treatments
88,2020-08-18,564.0,Aquarium Water Treatments
89,2020-08-19,514.0,Aquarium Water Treatments
90,2020-08-20,537.0,Aquarium Water Treatments
91,2020-08-21,512.0,Aquarium Water Treatments
92,2020-08-22,512.0,Aquarium Water Treatments
93,2020-08-23,425.0,Aquarium Water Treatments
94,2020-08-24,422.0,Aquarium Water Treatments
95,2020-08-25,477.0,Aquarium Water Treatments
96,2020-08-26,450.0,Aquarium Water Treatments
97,2020-08-27,518.0,Aquarium Water Treatments
98,2020-08-28,538.0,Aquarium Water Treatments
99,2020-08-29,556.0,Aquarium Water Treatments
100,2020-08-30,474.0,Aquarium Water Treatments
101,2020-08-31,536.0,Aquarium Water Treatments
102,2020-09-01,536.0,Aquarium Water Treatments
103,2020-09-02,603.0,Aquarium Water Treatments
104,2020-09-03,603.0,Aquarium Water Treatments
105,2020-09-04,603.0,Aquarium Water Treatments
106,2020-09-05,600.0,Aquarium Water Treatments
107,2020-09-06,588.0,Aquarium Water Treatments
108,2020-09-07,588.0,Aquarium Water Treatments
109,2020-09-08,480.0,Aquarium Water Treatments
110,2020-09-09,516.0,Aquarium Water Treatments
111,2020-09-10,550.0,Aquarium Water Treatments
112,2020-09-11,641.0,Aquarium Water Treatments
113,2020-09-12,641.0,Aquarium Water Treatments
114,2020-09-13,514.0,Aquarium Water Treatments
115,2020-09-14,531.0,Aquarium Water Treatments
116,2020-09-15,533.0,Aquarium Water Treatments
117,2020-09-16,1861.0,Aquarium Water Treatments
118,2020-09-17,1520.0,Aquarium Water Treatments
119,2020-09-18,578.0,Aquarium Water Treatments
120,2020-09-19,578.0,Aquarium Water Treatments
121,2020-09-20,543.0,Aquarium Water Treatments
122,2020-09-21,562.0,Aquarium Water Treatments
123,2020-09-22,494.0,Aquarium Water Treatments
124,2020-09-23,501.0,Aquarium Water Treatments
125,2020-09-24,572.0,Aquarium Water Treatments
126,2020-09-25,572.0,Aquarium Water Treatments
127,2020-09-26,508.0,Aquarium Water Treatments
128,2020-09-27,508.0,Aquarium Water Treatments
129,2020-09-28,474.0,Aquarium Water Treatments
130,2020-09-29,504.0,Aquarium Water Treatments
131,2020-09-30,528.0,Aquarium Water Treatments
132,2020-10-01,619.0,Aquarium Water Treatments
133,2020-10-02,596.0,Aquarium Water Treatments
134,2020-10-03,596.0,Aquarium Water Treatments
135,2020-10-04,466.0,Aquarium Water Treatments
136,2020-10-05,448.0,Aquarium Water Treatments
137,2020-10-06,464.0,Aquarium Water Treatments
138,2020-10-07,464.0,Aquarium Water Treatments
139,2020-10-08,504.0,Aquarium Water Treatments
140,2020-10-09,520.0,Aquarium Water Treatments
141,2020-10-10,504.0,Aquarium Water Treatments
142,2020-10-11,486.0,Aquarium Water Treatments
143,2020-10-12,461.0,Aquarium Water Treatments
144,2020-10-13,461.0,Aquarium Water Treatments
145,2020-10-14,648.0,Aquarium Water Treatments
