,date,value,name_B084ZF3695
0,2020-02-25,12213.0,Shower Curtain Liners
1,2020-02-26,12213.0,Shower Curtain Liners
2,2020-02-27,12213.0,Shower Curtain Liners
3,2020-02-28,12213.0,Shower Curtain Liners
4,2020-02-29,10669.0,Shower Curtain Liners
5,2020-03-01,10669.0,Shower Curtain Liners
6,2020-03-02,10669.0,Shower Curtain Liners
7,2020-03-03,10669.0,Shower Curtain Liners
8,2020-03-04,12285.0,Shower Curtain Liners
9,2020-03-05,12285.0,Shower Curtain Liners
10,2020-03-06,12285.0,Shower Curtain Liners
11,2020-03-07,8088.0,Shower Curtain Liners
12,2020-03-08,8088.0,Shower Curtain Liners
13,2020-03-09,9495.0,Shower Curtain Liners
14,2020-03-10,10325.0,Shower Curtain Liners
15,2020-03-11,10325.0,Shower Curtain Liners
16,2020-03-12,10325.0,Shower Curtain Liners
17,2020-03-13,8743.0,Shower Curtain Liners
18,2020-03-14,8743.0,Shower Curtain Liners
19,2020-03-15,8743.0,Shower Curtain Liners
20,2020-03-16,8783.0,Shower Curtain Liners
21,2020-03-17,9888.0,Shower Curtain Liners
22,2020-03-18,9888.0,Shower Curtain Liners
23,2020-03-19,9888.0,Shower Curtain Liners
24,2020-03-20,12671.0,Shower Curtain Liners
25,2020-03-21,12671.0,Shower Curtain Liners
26,2020-03-22,12671.0,Shower Curtain Liners
27,2020-03-23,6533.0,Shower Curtain Liners
28,2020-03-24,6533.0,Shower Curtain Liners
29,2020-03-25,6533.0,Shower Curtain Liners
30,2020-03-26,6099.0,Shower Curtain Liners
31,2020-03-27,6099.0,Shower Curtain Liners
32,2020-03-28,6099.0,Shower Curtain Liners
33,2020-03-29,6099.0,Shower Curtain Liners
34,2020-03-30,6099.0,Shower Curtain Liners
35,2020-03-31,5345.0,Shower Curtain Liners
36,2020-04-01,4740.0,Shower Curtain Liners
37,2020-04-02,4740.0,Shower Curtain Liners
38,2020-04-03,4740.0,Shower Curtain Liners
39,2020-04-04,4740.0,Shower Curtain Liners
40,2020-04-05,4740.0,Shower Curtain Liners
41,2020-04-06,7449.0,Shower Curtain Liners
42,2020-04-07,7449.0,Shower Curtain Liners
43,2020-04-08,11397.0,Shower Curtain Liners
44,2020-04-09,11397.0,Shower Curtain Liners
45,2020-04-10,9145.0,Shower Curtain Liners
46,2020-04-11,9145.0,Shower Curtain Liners
47,2020-04-12,9145.0,Shower Curtain Liners
48,2020-04-13,8640.0,Shower Curtain Liners
49,2020-04-14,7434.0,Shower Curtain Liners
50,2020-04-15,7434.0,Shower Curtain Liners
51,2020-04-16,7434.0,Shower Curtain Liners
52,2020-04-17,6516.0,Shower Curtain Liners
53,2020-04-18,6516.0,Shower Curtain Liners
54,2020-04-19,5277.0,Shower Curtain Liners
55,2020-04-20,5277.0,Shower Curtain Liners
56,2020-04-21,5249.0,Shower Curtain Liners
57,2020-04-22,5249.0,Shower Curtain Liners
58,2020-04-23,5249.0,Shower Curtain Liners
59,2020-04-24,6312.0,Shower Curtain Liners
60,2020-04-25,6347.0,Shower Curtain Liners
61,2020-04-26,6347.0,Shower Curtain Liners
62,2020-04-27,6347.0,Shower Curtain Liners
63,2020-04-28,5430.0,Shower Curtain Liners
64,2020-04-29,5430.0,Shower Curtain Liners
65,2020-04-30,5430.0,Shower Curtain Liners
66,2020-05-01,10674.0,Shower Curtain Liners
67,2020-05-02,10674.0,Shower Curtain Liners
68,2020-05-03,10674.0,Shower Curtain Liners
69,2020-05-04,19785.0,Shower Curtain Liners
70,2020-05-05,19785.0,Shower Curtain Liners
71,2020-05-06,19785.0,Shower Curtain Liners
72,2020-05-07,30456.0,Shower Curtain Liners
73,2020-05-08,30456.0,Shower Curtain Liners
74,2020-05-09,30456.0,Shower Curtain Liners
75,2020-05-10,30456.0,Shower Curtain Liners
76,2020-05-11,11891.0,Shower Curtain Liners
77,2020-05-12,11891.0,Shower Curtain Liners
78,2020-05-13,11891.0,Shower Curtain Liners
79,2020-05-14,11891.0,Shower Curtain Liners
80,2020-05-15,11891.0,Shower Curtain Liners
81,2020-05-16,9892.0,Shower Curtain Liners
82,2020-05-17,9892.0,Shower Curtain Liners
83,2020-05-18,8448.0,Shower Curtain Liners
84,2020-05-19,8448.0,Shower Curtain Liners
85,2020-05-20,8448.0,Shower Curtain Liners
86,2020-05-21,8043.0,Shower Curtain Liners
87,2020-05-22,8043.0,Shower Curtain Liners
88,2020-05-23,8043.0,Shower Curtain Liners
89,2020-05-24,6363.0,Shower Curtain Liners
90,2020-05-25,6363.0,Shower Curtain Liners
91,2020-05-26,6363.0,Shower Curtain Liners
92,2020-05-27,7101.0,Shower Curtain Liners
93,2020-05-28,7101.0,Shower Curtain Liners
94,2020-05-29,7101.0,Shower Curtain Liners
95,2020-05-30,7101.0,Shower Curtain Liners
96,2020-05-31,7101.0,Shower Curtain Liners
97,2020-06-01,5832.0,Shower Curtain Liners
98,2020-06-02,5832.0,Shower Curtain Liners
99,2020-06-03,5501.0,Shower Curtain Liners
100,2020-06-04,5501.0,Shower Curtain Liners
101,2020-06-05,5501.0,Shower Curtain Liners
102,2020-06-06,6074.0,Shower Curtain Liners
103,2020-06-07,6074.0,Shower Curtain Liners
104,2020-06-08,6074.0,Shower Curtain Liners
105,2020-06-09,5078.0,Shower Curtain Liners
106,2020-06-10,4990.0,Shower Curtain Liners
107,2020-06-11,4990.0,Shower Curtain Liners
108,2020-06-12,4990.0,Shower Curtain Liners
109,2020-06-13,5255.0,Shower Curtain Liners
110,2020-06-14,5255.0,Shower Curtain Liners
111,2020-06-15,5255.0,Shower Curtain Liners
112,2020-06-16,5488.0,Shower Curtain Liners
113,2020-06-17,5488.0,Shower Curtain Liners
114,2020-06-18,5488.0,Shower Curtain Liners
115,2020-06-19,4580.0,Shower Curtain Liners
116,2020-06-20,4580.0,Shower Curtain Liners
117,2020-06-21,4183.0,Shower Curtain Liners
118,2020-06-22,4183.0,Shower Curtain Liners
119,2020-06-23,3722.0,Shower Curtain Liners
120,2020-06-24,3381.0,Shower Curtain Liners
121,2020-06-25,3381.0,Shower Curtain Liners
122,2020-06-26,3381.0,Shower Curtain Liners
123,2020-06-27,3911.0,Shower Curtain Liners
124,2020-06-28,3911.0,Shower Curtain Liners
125,2020-06-29,2920.0,Shower Curtain Liners
126,2020-06-30,3552.0,Shower Curtain Liners
127,2020-07-01,3552.0,Shower Curtain Liners
128,2020-07-02,3552.0,Shower Curtain Liners
129,2020-07-03,3542.0,Shower Curtain Liners
130,2020-07-04,3542.0,Shower Curtain Liners
131,2020-07-05,3542.0,Shower Curtain Liners
132,2020-07-06,3636.0,Shower Curtain Liners
133,2020-07-07,3636.0,Shower Curtain Liners
134,2020-07-08,3636.0,Shower Curtain Liners
135,2020-07-09,3799.0,Shower Curtain Liners
136,2020-07-10,3799.0,Shower Curtain Liners
137,2020-07-11,3656.0,Shower Curtain Liners
138,2020-07-12,3656.0,Shower Curtain Liners
139,2020-07-13,3656.0,Shower Curtain Liners
140,2020-07-14,4432.0,Shower Curtain Liners
141,2020-07-15,4432.0,Shower Curtain Liners
142,2020-07-16,3600.0,Shower Curtain Liners
143,2020-07-17,3683.0,Shower Curtain Liners
144,2020-07-18,3683.0,Shower Curtain Liners
145,2020-07-19,3683.0,Shower Curtain Liners
146,2020-07-20,3158.0,Shower Curtain Liners
147,2020-07-21,3158.0,Shower Curtain Liners
148,2020-07-22,3158.0,Shower Curtain Liners
149,2020-07-23,3462.0,Shower Curtain Liners
150,2020-07-24,3910.0,Shower Curtain Liners
151,2020-07-25,3436.0,Shower Curtain Liners
152,2020-07-26,3436.0,Shower Curtain Liners
153,2020-07-27,3486.0,Shower Curtain Liners
154,2020-07-28,3486.0,Shower Curtain Liners
155,2020-07-29,3668.0,Shower Curtain Liners
156,2020-07-30,3668.0,Shower Curtain Liners
157,2020-07-31,3668.0,Shower Curtain Liners
158,2020-08-01,4158.0,Shower Curtain Liners
159,2020-08-02,3826.0,Shower Curtain Liners
160,2020-08-03,3826.0,Shower Curtain Liners
161,2020-08-04,3826.0,Shower Curtain Liners
162,2020-08-05,3440.0,Shower Curtain Liners
163,2020-08-06,3778.0,Shower Curtain Liners
164,2020-08-07,3778.0,Shower Curtain Liners
165,2020-08-08,4083.0,Shower Curtain Liners
166,2020-08-09,4083.0,Shower Curtain Liners
167,2020-08-10,3484.0,Shower Curtain Liners
168,2020-08-11,4006.0,Shower Curtain Liners
169,2020-08-12,4006.0,Shower Curtain Liners
170,2020-08-13,4006.0,Shower Curtain Liners
171,2020-08-14,4128.0,Shower Curtain Liners
172,2020-08-15,4128.0,Shower Curtain Liners
173,2020-08-16,4020.0,Shower Curtain Liners
174,2020-08-17,3758.0,Shower Curtain Liners
175,2020-08-18,3758.0,Shower Curtain Liners
176,2020-08-19,4073.0,Shower Curtain Liners
177,2020-08-20,4073.0,Shower Curtain Liners
178,2020-08-21,3877.0,Shower Curtain Liners
179,2020-08-22,3877.0,Shower Curtain Liners
180,2020-08-23,3877.0,Shower Curtain Liners
181,2020-08-24,3947.0,Shower Curtain Liners
182,2020-08-25,3947.0,Shower Curtain Liners
183,2020-08-26,3947.0,Shower Curtain Liners
184,2020-08-27,2771.0,Shower Curtain Liners
185,2020-08-28,2771.0,Shower Curtain Liners
186,2020-08-29,2719.0,Shower Curtain Liners
187,2020-08-30,2719.0,Shower Curtain Liners
188,2020-08-31,2993.0,Shower Curtain Liners
189,2020-09-01,2751.0,Shower Curtain Liners
190,2020-09-02,2884.0,Shower Curtain Liners
191,2020-09-03,2893.0,Shower Curtain Liners
192,2020-09-04,3478.0,Shower Curtain Liners
193,2020-09-05,3478.0,Shower Curtain Liners
194,2020-09-06,3151.0,Shower Curtain Liners
195,2020-09-07,3165.0,Shower Curtain Liners
196,2020-09-08,3165.0,Shower Curtain Liners
197,2020-09-09,3527.0,Shower Curtain Liners
198,2020-09-10,3816.0,Shower Curtain Liners
199,2020-09-11,3816.0,Shower Curtain Liners
200,2020-09-12,3816.0,Shower Curtain Liners
201,2020-09-13,3070.0,Shower Curtain Liners
202,2020-09-14,3698.0,Shower Curtain Liners
203,2020-09-15,3847.0,Shower Curtain Liners
204,2020-09-16,3847.0,Shower Curtain Liners
205,2020-09-17,3168.0,Shower Curtain Liners
206,2020-09-18,3168.0,Shower Curtain Liners
207,2020-09-19,3168.0,Shower Curtain Liners
208,2020-09-20,3948.0,Shower Curtain Liners
209,2020-09-21,3948.0,Shower Curtain Liners
210,2020-09-22,3419.0,Shower Curtain Liners
211,2020-09-23,3419.0,Shower Curtain Liners
212,2020-09-24,3499.0,Shower Curtain Liners
213,2020-09-25,3499.0,Shower Curtain Liners
214,2020-09-26,3499.0,Shower Curtain Liners
215,2020-09-27,2810.0,Shower Curtain Liners
216,2020-09-28,3047.0,Shower Curtain Liners
217,2020-09-29,3347.0,Shower Curtain Liners
218,2020-09-30,3347.0,Shower Curtain Liners
219,2020-10-01,2829.0,Shower Curtain Liners
220,2020-10-02,3198.0,Shower Curtain Liners
221,2020-10-03,3198.0,Shower Curtain Liners
222,2020-10-04,3198.0,Shower Curtain Liners
223,2020-10-05,4551.0,Shower Curtain Liners
224,2020-10-06,3734.0,Shower Curtain Liners
225,2020-10-07,3734.0,Shower Curtain Liners
226,2020-10-08,4226.0,Shower Curtain Liners
227,2020-10-09,4226.0,Shower Curtain Liners
228,2020-10-10,4081.0,Shower Curtain Liners
229,2020-10-11,4081.0,Shower Curtain Liners
230,2020-10-12,4081.0,Shower Curtain Liners
231,2020-10-13,4227.0,Shower Curtain Liners
232,2020-10-14,6732.0,Shower Curtain Liners
233,2020-10-15,6732.0,Shower Curtain Liners
234,2020-10-16,6732.0,Shower Curtain Liners
235,2020-10-17,4702.0,Shower Curtain Liners
236,2020-10-18,4702.0,Shower Curtain Liners
237,2020-10-19,4702.0,Shower Curtain Liners
238,2020-10-20,4027.0,Shower Curtain Liners
239,2020-10-21,4027.0,Shower Curtain Liners
240,2020-10-22,4027.0,Shower Curtain Liners
241,2020-10-23,3786.0,Shower Curtain Liners
242,2020-10-24,3786.0,Shower Curtain Liners
243,2020-10-25,3899.0,Shower Curtain Liners
244,2020-10-26,3989.0,Shower Curtain Liners
245,2020-10-27,4329.0,Shower Curtain Liners
246,2020-10-28,4329.0,Shower Curtain Liners
247,2020-10-29,3172.0,Shower Curtain Liners
248,2020-10-30,3869.0,Shower Curtain Liners
249,2020-10-31,3869.0,Shower Curtain Liners
250,2020-11-01,4210.0,Shower Curtain Liners
251,2020-11-02,4162.0,Shower Curtain Liners
252,2020-11-03,4162.0,Shower Curtain Liners
253,2020-11-04,3642.0,Shower Curtain Liners
254,2020-11-05,3642.0,Shower Curtain Liners
255,2020-11-06,3805.0,Shower Curtain Liners
256,2020-11-07,3805.0,Shower Curtain Liners
257,2020-11-08,3667.0,Shower Curtain Liners
258,2020-11-09,3493.0,Shower Curtain Liners
259,2020-11-10,4017.0,Shower Curtain Liners
260,2020-11-11,3511.0,Shower Curtain Liners
261,2020-11-12,3511.0,Shower Curtain Liners
262,2020-11-13,3810.0,Shower Curtain Liners
263,2020-11-14,3810.0,Shower Curtain Liners
264,2020-11-15,3810.0,Shower Curtain Liners
265,2020-11-16,4244.0,Shower Curtain Liners
266,2020-11-17,4244.0,Shower Curtain Liners
267,2020-11-18,4244.0,Shower Curtain Liners
268,2020-11-19,2375.0,Shower Curtain Liners
269,2020-11-20,2012.0,Shower Curtain Liners
270,2020-11-21,2216.0,Shower Curtain Liners
271,2020-11-22,2216.0,Shower Curtain Liners
272,2020-11-23,2627.0,Shower Curtain Liners
273,2020-11-24,3426.0,Shower Curtain Liners
274,2020-11-25,4179.0,Shower Curtain Liners
275,2020-11-26,4555.0,Shower Curtain Liners
276,2020-11-27,4555.0,Shower Curtain Liners
277,2020-11-28,7135.0,Shower Curtain Liners
278,2020-11-29,7135.0,Shower Curtain Liners
279,2020-11-30,7447.0,Shower Curtain Liners
280,2020-12-01,8004.0,Shower Curtain Liners
281,2020-12-02,8004.0,Shower Curtain Liners
282,2020-12-03,6224.0,Shower Curtain Liners
283,2020-12-04,5786.0,Shower Curtain Liners
284,2020-12-05,5786.0,Shower Curtain Liners
285,2020-12-06,5786.0,Shower Curtain Liners
286,2020-12-07,6696.0,Shower Curtain Liners
287,2020-12-08,7076.0,Shower Curtain Liners
288,2020-12-09,7503.0,Shower Curtain Liners
289,2020-12-10,6550.0,Shower Curtain Liners
290,2020-12-11,7643.0,Shower Curtain Liners
291,2020-12-12,7643.0,Shower Curtain Liners
