,date,value,name_B085DTRJZR
0,2020-05-26,3945.0,Electric
1,2020-05-27,3425.0,Electric
2,2020-05-28,3425.0,Electric
3,2020-05-29,3425.0,Electric
4,2020-05-30,3120.0,Electric
5,2020-05-31,3120.0,Electric
6,2020-06-01,3630.0,Electric
7,2020-06-02,3630.0,Electric
8,2020-06-03,3630.0,Electric
9,2020-06-04,4184.0,Electric
10,2020-06-05,4184.0,Electric
11,2020-06-06,4184.0,Electric
12,2020-06-07,4184.0,Electric
13,2020-06-08,3899.0,Electric
14,2020-06-09,3899.0,Electric
15,2020-06-10,3899.0,Electric
16,2020-06-11,3899.0,Electric
17,2020-06-12,3329.0,Electric
18,2020-06-13,3329.0,Electric
19,2020-06-14,3329.0,Electric
20,2020-06-15,3329.0,Electric
21,2020-06-16,4428.0,Electric
22,2020-06-17,4428.0,Electric
23,2020-06-18,4361.0,Electric
24,2020-06-19,4361.0,Electric
25,2020-06-20,4361.0,Electric
26,2020-06-21,4158.0,Electric
27,2020-06-22,4158.0,Electric
28,2020-06-23,4158.0,Electric
29,2020-06-24,3971.0,Electric
30,2020-06-25,3971.0,Electric
31,2020-06-26,3971.0,Electric
32,2020-06-27,3971.0,Electric
33,2020-06-28,4172.0,Electric
34,2020-06-29,4172.0,Electric
35,2020-06-30,4329.0,Electric
36,2020-07-01,3992.0,Electric
37,2020-07-02,3992.0,Electric
38,2020-07-03,3791.0,Electric
39,2020-07-04,3791.0,Electric
40,2020-07-05,3791.0,Electric
41,2020-07-06,3474.0,Electric
42,2020-07-07,3474.0,Electric
43,2020-07-08,3449.0,Electric
44,2020-07-09,3449.0,Electric
45,2020-07-10,3704.0,Electric
46,2020-07-11,3689.0,Electric
47,2020-07-12,3458.0,Electric
48,2020-07-13,3458.0,Electric
49,2020-07-14,3458.0,Electric
50,2020-07-15,4040.0,Electric
51,2020-07-16,3740.0,Electric
52,2020-07-17,3695.0,Electric
53,2020-07-18,3695.0,Electric
54,2020-07-19,3695.0,Electric
55,2020-07-20,3714.0,Electric
56,2020-07-21,3714.0,Electric
57,2020-07-22,3714.0,Electric
58,2020-07-23,3714.0,Electric
59,2020-07-24,3288.0,Electric
60,2020-07-25,3288.0,Electric
61,2020-07-26,3288.0,Electric
62,2020-07-27,3746.0,Electric
63,2020-07-28,3746.0,Electric
64,2020-07-29,3418.0,Electric
65,2020-07-30,3418.0,Electric
66,2020-07-31,3600.0,Electric
67,2020-08-01,3600.0,Electric
68,2020-08-02,3600.0,Electric
69,2020-08-03,3617.0,Electric
70,2020-08-04,3617.0,Electric
71,2020-08-05,3617.0,Electric
72,2020-08-06,3617.0,Electric
73,2020-08-07,3873.0,Electric
74,2020-08-08,3600.0,Electric
75,2020-08-09,3600.0,Electric
76,2020-08-10,3600.0,Electric
77,2020-08-11,3600.0,Electric
78,2020-08-12,3491.0,Electric
79,2020-08-13,3491.0,Electric
80,2020-08-14,3568.0,Electric
81,2020-08-15,3568.0,Electric
82,2020-08-16,3568.0,Electric
83,2020-08-17,4063.0,Electric
84,2020-08-18,3673.0,Electric
85,2020-08-19,3673.0,Electric
86,2020-08-20,3673.0,Electric
87,2020-08-21,3503.0,Electric
88,2020-08-22,3503.0,Electric
89,2020-08-23,3503.0,Electric
90,2020-08-24,3044.0,Electric
91,2020-08-25,3504.0,Electric
92,2020-08-26,3504.0,Electric
93,2020-08-27,3421.0,Electric
94,2020-08-28,3421.0,Electric
95,2020-08-29,3421.0,Electric
96,2020-08-30,2877.0,Electric
97,2020-08-31,2877.0,Electric
98,2020-09-01,3100.0,Electric
99,2020-09-02,3100.0,Electric
100,2020-09-03,3026.0,Electric
101,2020-09-04,3026.0,Electric
102,2020-09-05,3378.0,Electric
103,2020-09-06,3378.0,Electric
104,2020-09-07,3378.0,Electric
105,2020-09-08,2960.0,Electric
106,2020-09-09,2960.0,Electric
107,2020-09-10,2960.0,Electric
108,2020-09-11,3033.0,Electric
109,2020-09-12,3033.0,Electric
110,2020-09-13,3033.0,Electric
111,2020-09-14,3033.0,Electric
112,2020-09-15,3340.0,Electric
113,2020-09-16,3340.0,Electric
114,2020-09-17,3671.0,Electric
115,2020-09-18,3505.0,Electric
116,2020-09-19,3098.0,Electric
117,2020-09-20,3098.0,Electric
118,2020-09-21,3356.0,Electric
119,2020-09-22,3356.0,Electric
120,2020-09-23,3523.0,Electric
121,2020-09-24,3523.0,Electric
122,2020-09-25,3523.0,Electric
123,2020-09-26,3899.0,Electric
124,2020-09-27,3390.0,Electric
125,2020-09-28,3390.0,Electric
126,2020-09-29,3413.0,Electric
127,2020-09-30,3413.0,Electric
128,2020-10-01,3258.0,Electric
129,2020-10-02,3254.0,Electric
130,2020-10-03,3254.0,Electric
131,2020-10-04,3254.0,Electric
132,2020-10-05,3782.0,Electric
