,date,value,name_B085HXZ3N6
0,2020-09-10,4282.0,Pain Relief Rubs
1,2020-09-11,4282.0,Pain Relief Rubs
2,2020-09-12,4282.0,Pain Relief Rubs
3,2020-09-13,4763.0,Pain Relief Rubs
4,2020-09-14,5229.0,Pain Relief Rubs
5,2020-09-15,5229.0,Pain Relief Rubs
6,2020-09-16,5229.0,Pain Relief Rubs
7,2020-09-17,5477.0,Pain Relief Rubs
8,2020-09-18,5401.0,Pain Relief Rubs
9,2020-09-19,5401.0,Pain Relief Rubs
10,2020-09-20,5401.0,Pain Relief Rubs
11,2020-09-21,5401.0,Pain Relief Rubs
12,2020-09-22,5401.0,Pain Relief Rubs
13,2020-09-23,5401.0,Pain Relief Rubs
14,2020-09-24,5401.0,Pain Relief Rubs
15,2020-09-25,5401.0,Pain Relief Rubs
16,2020-09-26,5401.0,Pain Relief Rubs
17,2020-09-27,5401.0,Pain Relief Rubs
18,2020-09-28,5401.0,Pain Relief Rubs
19,2020-09-29,5401.0,Pain Relief Rubs
20,2020-09-30,5401.0,Pain Relief Rubs
21,2020-10-01,5401.0,Pain Relief Rubs
22,2020-10-02,5401.0,Pain Relief Rubs
23,2020-10-03,5401.0,Pain Relief Rubs
24,2020-10-04,5401.0,Pain Relief Rubs
25,2020-10-05,5401.0,Pain Relief Rubs
26,2020-10-06,5401.0,Pain Relief Rubs
27,2020-10-07,5401.0,Pain Relief Rubs
28,2020-10-08,5401.0,Pain Relief Rubs
29,2020-10-09,5401.0,Pain Relief Rubs
30,2020-10-10,5401.0,Pain Relief Rubs
31,2020-10-11,5401.0,Pain Relief Rubs
32,2020-10-12,5401.0,Pain Relief Rubs
33,2020-10-13,5401.0,Pain Relief Rubs
34,2020-10-14,5401.0,Pain Relief Rubs
35,2020-10-15,5401.0,Pain Relief Rubs
36,2020-10-16,5401.0,Pain Relief Rubs
37,2020-10-17,5401.0,Pain Relief Rubs
38,2020-10-18,5401.0,Pain Relief Rubs
39,2020-10-19,5401.0,Pain Relief Rubs
40,2020-10-20,5401.0,Pain Relief Rubs
41,2020-10-21,5401.0,Pain Relief Rubs
42,2020-10-22,5401.0,Pain Relief Rubs
43,2020-10-23,5401.0,Pain Relief Rubs
44,2020-10-24,5401.0,Pain Relief Rubs
45,2020-10-25,5401.0,Pain Relief Rubs
46,2020-10-26,5401.0,Pain Relief Rubs
47,2020-10-27,5401.0,Pain Relief Rubs
48,2020-10-28,5401.0,Pain Relief Rubs
49,2020-10-29,5401.0,Pain Relief Rubs
50,2020-10-30,5401.0,Pain Relief Rubs
51,2020-10-31,5401.0,Pain Relief Rubs
52,2020-11-01,5401.0,Pain Relief Rubs
53,2020-11-02,5401.0,Pain Relief Rubs
54,2020-11-03,5401.0,Pain Relief Rubs
55,2020-11-04,181959.0,Pain Relief Rubs
56,2020-11-05,149625.0,Pain Relief Rubs
57,2020-11-06,149625.0,Pain Relief Rubs
58,2020-11-07,149625.0,Pain Relief Rubs
59,2020-11-08,48142.0,Pain Relief Rubs
60,2020-11-09,48142.0,Pain Relief Rubs
61,2020-11-10,48142.0,Pain Relief Rubs
62,2020-11-11,48142.0,Pain Relief Rubs
63,2020-11-12,48142.0,Pain Relief Rubs
64,2020-11-13,48142.0,Pain Relief Rubs
65,2020-11-14,48142.0,Pain Relief Rubs
66,2020-11-15,48142.0,Pain Relief Rubs
67,2020-11-16,28786.0,Pain Relief Rubs
68,2020-11-17,28786.0,Pain Relief Rubs
69,2020-11-18,31922.0,Pain Relief Rubs
70,2020-11-19,31922.0,Pain Relief Rubs
71,2020-11-20,31922.0,Pain Relief Rubs
72,2020-11-21,31922.0,Pain Relief Rubs
73,2020-11-22,38557.0,Pain Relief Rubs
74,2020-11-23,38557.0,Pain Relief Rubs
75,2020-11-24,38557.0,Pain Relief Rubs
76,2020-11-25,50560.0,Pain Relief Rubs
77,2020-11-26,50560.0,Pain Relief Rubs
78,2020-11-27,36936.0,Pain Relief Rubs
79,2020-11-28,36936.0,Pain Relief Rubs
80,2020-11-29,36936.0,Pain Relief Rubs
81,2020-11-30,28603.0,Pain Relief Rubs
82,2020-12-01,28603.0,Pain Relief Rubs
83,2020-12-02,28603.0,Pain Relief Rubs
84,2020-12-03,28774.0,Pain Relief Rubs
85,2020-12-04,28774.0,Pain Relief Rubs
86,2020-12-05,33215.0,Pain Relief Rubs
87,2020-12-06,41480.0,Pain Relief Rubs
88,2020-12-07,41480.0,Pain Relief Rubs
89,2020-12-08,41480.0,Pain Relief Rubs
90,2020-12-09,44886.0,Pain Relief Rubs
91,2020-12-10,44886.0,Pain Relief Rubs
92,2020-12-11,44886.0,Pain Relief Rubs
93,2020-12-12,44886.0,Pain Relief Rubs
94,2020-12-13,54756.0,Pain Relief Rubs
95,2020-12-14,54756.0,Pain Relief Rubs
96,2020-12-15,54756.0,Pain Relief Rubs
97,2020-12-16,54756.0,Pain Relief Rubs
98,2020-12-17,33700.0,Pain Relief Rubs
99,2020-12-18,33700.0,Pain Relief Rubs
100,2020-12-19,33700.0,Pain Relief Rubs
101,2020-12-20,33700.0,Pain Relief Rubs
102,2020-12-21,42664.0,Pain Relief Rubs
103,2020-12-22,42664.0,Pain Relief Rubs
104,2020-12-23,42664.0,Pain Relief Rubs
105,2020-12-24,29726.0,Pain Relief Rubs
106,2020-12-25,29726.0,Pain Relief Rubs
107,2020-12-26,29726.0,Pain Relief Rubs
108,2020-12-27,37518.0,Pain Relief Rubs
109,2020-12-28,29552.0,Pain Relief Rubs
110,2020-12-29,29417.0,Pain Relief Rubs
111,2020-12-30,29417.0,Pain Relief Rubs
112,2020-12-31,29417.0,Pain Relief Rubs
113,2021-01-01,29417.0,Pain Relief Rubs
114,2021-01-02,29417.0,Pain Relief Rubs
115,2021-01-03,29417.0,Pain Relief Rubs
116,2021-01-04,36312.0,Pain Relief Rubs
117,2021-01-05,36312.0,Pain Relief Rubs
118,2021-01-06,30020.0,Pain Relief Rubs
119,2021-01-07,30020.0,Pain Relief Rubs
120,2021-01-08,30020.0,Pain Relief Rubs
121,2021-01-09,30020.0,Pain Relief Rubs
122,2021-01-10,37434.0,Pain Relief Rubs
123,2021-01-11,37434.0,Pain Relief Rubs
124,2021-01-12,37434.0,Pain Relief Rubs
125,2021-01-13,34244.0,Pain Relief Rubs
126,2021-01-14,34244.0,Pain Relief Rubs
127,2021-01-15,30786.0,Pain Relief Rubs
128,2021-01-16,30786.0,Pain Relief Rubs
129,2021-01-17,30786.0,Pain Relief Rubs
130,2021-01-18,30786.0,Pain Relief Rubs
131,2021-01-19,30786.0,Pain Relief Rubs
132,2021-01-20,38551.0,Pain Relief Rubs
133,2021-01-21,38551.0,Pain Relief Rubs
134,2021-01-22,38551.0,Pain Relief Rubs
135,2021-01-23,38551.0,Pain Relief Rubs
136,2021-01-24,43812.0,Pain Relief Rubs
137,2021-01-25,43812.0,Pain Relief Rubs
138,2021-01-26,43812.0,Pain Relief Rubs
139,2021-01-27,43812.0,Pain Relief Rubs
140,2021-01-28,46277.0,Pain Relief Rubs
141,2021-01-29,39625.0,Pain Relief Rubs
142,2021-01-30,39625.0,Pain Relief Rubs
143,2021-01-31,39625.0,Pain Relief Rubs
144,2021-02-01,32010.0,Pain Relief Rubs
145,2021-02-02,32010.0,Pain Relief Rubs
146,2021-02-03,32010.0,Pain Relief Rubs
147,2021-02-04,57506.0,Pain Relief Rubs
148,2021-02-05,68526.0,Pain Relief Rubs
149,2021-02-06,42060.0,Pain Relief Rubs
150,2021-02-07,42060.0,Pain Relief Rubs
151,2021-02-08,42060.0,Pain Relief Rubs
152,2021-02-09,50002.0,Pain Relief Rubs
153,2021-02-10,50002.0,Pain Relief Rubs
154,2021-02-11,50002.0,Pain Relief Rubs
155,2021-02-12,50002.0,Pain Relief Rubs
156,2021-02-13,91028.0,Pain Relief Rubs
157,2021-02-14,91028.0,Pain Relief Rubs
158,2021-02-15,138268.0,Pain Relief Rubs
159,2021-02-16,138268.0,Pain Relief Rubs
160,2021-02-17,138268.0,Pain Relief Rubs
161,2021-02-18,169331.0,Pain Relief Rubs
162,2021-02-19,169331.0,Pain Relief Rubs
163,2021-02-20,169331.0,Pain Relief Rubs
164,2021-02-21,169331.0,Pain Relief Rubs
165,2021-02-22,169331.0,Pain Relief Rubs
166,2021-02-23,47185.0,Pain Relief Rubs
167,2021-02-24,47185.0,Pain Relief Rubs
168,2021-02-25,47185.0,Pain Relief Rubs
169,2021-02-26,46123.0,Pain Relief Rubs
170,2021-02-27,46123.0,Pain Relief Rubs
171,2021-02-28,46123.0,Pain Relief Rubs
172,2021-03-01,31314.0,Pain Relief Rubs
