,date,value,name_B0866FZYFH
0,2020-05-29,592.0,Fertilizers & Plant Food
1,2020-05-30,592.0,Fertilizers & Plant Food
2,2020-05-31,592.0,Fertilizers & Plant Food
3,2020-06-01,847.0,Fertilizers & Plant Food
4,2020-06-02,897.0,Fertilizers & Plant Food
5,2020-06-03,897.0,Fertilizers & Plant Food
6,2020-06-04,755.0,Fertilizers & Plant Food
7,2020-06-05,755.0,Fertilizers & Plant Food
8,2020-06-06,738.0,Fertilizers & Plant Food
9,2020-06-07,841.0,Fertilizers & Plant Food
10,2020-06-08,1107.0,Fertilizers & Plant Food
11,2020-06-09,1107.0,Fertilizers & Plant Food
12,2020-06-10,784.0,Fertilizers & Plant Food
13,2020-06-11,695.0,Fertilizers & Plant Food
14,2020-06-12,695.0,Fertilizers & Plant Food
15,2020-06-13,608.0,Fertilizers & Plant Food
16,2020-06-14,608.0,Fertilizers & Plant Food
17,2020-06-15,740.0,Fertilizers & Plant Food
18,2020-06-16,640.0,Fertilizers & Plant Food
19,2020-06-17,640.0,Fertilizers & Plant Food
20,2020-06-18,504.0,Fertilizers & Plant Food
21,2020-06-19,595.0,Fertilizers & Plant Food
22,2020-06-20,595.0,Fertilizers & Plant Food
23,2020-06-21,757.0,Fertilizers & Plant Food
24,2020-06-22,757.0,Fertilizers & Plant Food
25,2020-06-23,898.0,Fertilizers & Plant Food
26,2020-06-24,1083.0,Fertilizers & Plant Food
27,2020-06-25,976.0,Fertilizers & Plant Food
28,2020-06-26,778.0,Fertilizers & Plant Food
29,2020-06-27,757.0,Fertilizers & Plant Food
30,2020-06-28,757.0,Fertilizers & Plant Food
31,2020-06-29,1185.0,Fertilizers & Plant Food
32,2020-06-30,1110.0,Fertilizers & Plant Food
33,2020-07-01,990.0,Fertilizers & Plant Food
34,2020-07-02,986.0,Fertilizers & Plant Food
35,2020-07-03,986.0,Fertilizers & Plant Food
36,2020-07-04,979.0,Fertilizers & Plant Food
37,2020-07-05,979.0,Fertilizers & Plant Food
38,2020-07-06,1299.0,Fertilizers & Plant Food
39,2020-07-07,1299.0,Fertilizers & Plant Food
40,2020-07-08,1150.0,Fertilizers & Plant Food
41,2020-07-09,1150.0,Fertilizers & Plant Food
42,2020-07-10,1044.0,Fertilizers & Plant Food
43,2020-07-11,1044.0,Fertilizers & Plant Food
44,2020-07-12,1044.0,Fertilizers & Plant Food
45,2020-07-13,1340.0,Fertilizers & Plant Food
46,2020-07-14,1142.0,Fertilizers & Plant Food
47,2020-07-15,1142.0,Fertilizers & Plant Food
48,2020-07-16,1061.0,Fertilizers & Plant Food
49,2020-07-17,804.0,Fertilizers & Plant Food
50,2020-07-18,804.0,Fertilizers & Plant Food
51,2020-07-19,1163.0,Fertilizers & Plant Food
52,2020-07-20,1163.0,Fertilizers & Plant Food
53,2020-07-21,943.0,Fertilizers & Plant Food
54,2020-07-22,969.0,Fertilizers & Plant Food
55,2020-07-23,969.0,Fertilizers & Plant Food
56,2020-07-24,948.0,Fertilizers & Plant Food
57,2020-07-25,872.0,Fertilizers & Plant Food
58,2020-07-26,872.0,Fertilizers & Plant Food
59,2020-07-27,1080.0,Fertilizers & Plant Food
60,2020-07-28,1105.0,Fertilizers & Plant Food
61,2020-07-29,1047.0,Fertilizers & Plant Food
62,2020-07-30,1187.0,Fertilizers & Plant Food
63,2020-07-31,972.0,Fertilizers & Plant Food
64,2020-08-01,972.0,Fertilizers & Plant Food
65,2020-08-02,974.0,Fertilizers & Plant Food
66,2020-08-03,1167.0,Fertilizers & Plant Food
67,2020-08-04,1167.0,Fertilizers & Plant Food
68,2020-08-05,831.0,Fertilizers & Plant Food
69,2020-08-06,855.0,Fertilizers & Plant Food
70,2020-08-07,792.0,Fertilizers & Plant Food
71,2020-08-08,792.0,Fertilizers & Plant Food
72,2020-08-09,999.0,Fertilizers & Plant Food
73,2020-08-10,999.0,Fertilizers & Plant Food
74,2020-08-11,997.0,Fertilizers & Plant Food
75,2020-08-12,1108.0,Fertilizers & Plant Food
76,2020-08-13,908.0,Fertilizers & Plant Food
77,2020-08-14,868.0,Fertilizers & Plant Food
78,2020-08-15,868.0,Fertilizers & Plant Food
79,2020-08-16,1181.0,Fertilizers & Plant Food
80,2020-08-17,1174.0,Fertilizers & Plant Food
81,2020-08-18,1115.0,Fertilizers & Plant Food
82,2020-08-19,1115.0,Fertilizers & Plant Food
83,2020-08-20,1115.0,Fertilizers & Plant Food
84,2020-08-21,1268.0,Fertilizers & Plant Food
85,2020-08-22,934.0,Fertilizers & Plant Food
