,date,value,name_B086B717RV
0,2020-05-26,833.0,Training Pads
1,2020-05-27,833.0,Training Pads
2,2020-05-28,837.0,Training Pads
3,2020-05-29,837.0,Training Pads
4,2020-05-30,837.0,Training Pads
5,2020-05-31,698.0,Training Pads
6,2020-06-01,698.0,Training Pads
7,2020-06-02,698.0,Training Pads
8,2020-06-03,634.0,Training Pads
9,2020-06-04,634.0,Training Pads
10,2020-06-05,634.0,Training Pads
11,2020-06-06,564.0,Training Pads
12,2020-06-07,564.0,Training Pads
13,2020-06-08,714.0,Training Pads
14,2020-06-09,714.0,Training Pads
15,2020-06-10,766.0,Training Pads
16,2020-06-11,766.0,Training Pads
17,2020-06-12,1036.0,Training Pads
18,2020-06-13,1036.0,Training Pads
19,2020-06-14,1208.0,Training Pads
20,2020-06-15,1094.0,Training Pads
21,2020-06-16,1094.0,Training Pads
22,2020-06-17,1094.0,Training Pads
23,2020-06-18,1173.0,Training Pads
24,2020-06-19,1173.0,Training Pads
25,2020-06-20,1173.0,Training Pads
26,2020-06-21,1035.0,Training Pads
27,2020-06-22,1035.0,Training Pads
28,2020-06-23,1091.0,Training Pads
29,2020-06-24,1091.0,Training Pads
30,2020-06-25,1091.0,Training Pads
31,2020-06-26,1031.0,Training Pads
32,2020-06-27,1031.0,Training Pads
33,2020-06-28,1031.0,Training Pads
34,2020-06-29,1090.0,Training Pads
35,2020-06-30,1090.0,Training Pads
36,2020-07-01,1090.0,Training Pads
37,2020-07-02,1059.0,Training Pads
38,2020-07-03,1059.0,Training Pads
39,2020-07-04,1059.0,Training Pads
40,2020-07-05,1481.0,Training Pads
41,2020-07-06,1481.0,Training Pads
42,2020-07-07,2570.0,Training Pads
43,2020-07-08,2570.0,Training Pads
44,2020-07-09,2570.0,Training Pads
45,2020-07-10,2570.0,Training Pads
46,2020-07-11,5218.0,Training Pads
47,2020-07-12,5844.0,Training Pads
48,2020-07-13,5844.0,Training Pads
49,2020-07-14,4932.0,Training Pads
50,2020-07-15,4932.0,Training Pads
51,2020-07-16,4932.0,Training Pads
52,2020-07-17,8022.0,Training Pads
53,2020-07-18,8022.0,Training Pads
54,2020-07-19,448.0,Training Pads
55,2020-07-20,448.0,Training Pads
56,2020-07-21,448.0,Training Pads
57,2020-07-22,3867.0,Training Pads
58,2020-07-23,3867.0,Training Pads
59,2020-07-24,3867.0,Training Pads
60,2020-07-25,5767.0,Training Pads
61,2020-07-26,5521.0,Training Pads
62,2020-07-27,5521.0,Training Pads
63,2020-07-28,5521.0,Training Pads
64,2020-07-29,6125.0,Training Pads
65,2020-07-30,6877.0,Training Pads
66,2020-07-31,6877.0,Training Pads
67,2020-08-01,6596.0,Training Pads
68,2020-08-02,6596.0,Training Pads
69,2020-08-03,4938.0,Training Pads
70,2020-08-04,4938.0,Training Pads
71,2020-08-05,3703.0,Training Pads
72,2020-08-06,2566.0,Training Pads
73,2020-08-07,2327.0,Training Pads
74,2020-08-08,2327.0,Training Pads
75,2020-08-09,934.0,Training Pads
76,2020-08-10,934.0,Training Pads
77,2020-08-11,1595.0,Training Pads
78,2020-08-12,1595.0,Training Pads
79,2020-08-13,1595.0,Training Pads
80,2020-08-14,1354.0,Training Pads
81,2020-08-15,1354.0,Training Pads
82,2020-08-16,1354.0,Training Pads
83,2020-08-17,828.0,Training Pads
84,2020-08-18,795.0,Training Pads
85,2020-08-19,795.0,Training Pads
86,2020-08-20,865.0,Training Pads
87,2020-08-21,865.0,Training Pads
88,2020-08-22,865.0,Training Pads
89,2020-08-23,899.0,Training Pads
90,2020-08-24,899.0,Training Pads
91,2020-08-25,826.0,Training Pads
92,2020-08-26,822.0,Training Pads
93,2020-08-27,822.0,Training Pads
94,2020-08-28,694.0,Training Pads
95,2020-08-29,694.0,Training Pads
96,2020-08-30,661.0,Training Pads
97,2020-08-31,661.0,Training Pads
98,2020-09-01,627.0,Training Pads
99,2020-09-02,627.0,Training Pads
100,2020-09-03,715.0,Training Pads
101,2020-09-04,715.0,Training Pads
102,2020-09-05,715.0,Training Pads
103,2020-09-06,859.0,Training Pads
104,2020-09-07,859.0,Training Pads
105,2020-09-08,859.0,Training Pads
106,2020-09-09,866.0,Training Pads
107,2020-09-10,866.0,Training Pads
108,2020-09-11,783.0,Training Pads
109,2020-09-12,783.0,Training Pads
110,2020-09-13,770.0,Training Pads
111,2020-09-14,770.0,Training Pads
112,2020-09-15,770.0,Training Pads
113,2020-09-16,790.0,Training Pads
114,2020-09-17,832.0,Training Pads
115,2020-09-18,832.0,Training Pads
116,2020-09-19,849.0,Training Pads
117,2020-09-20,611.0,Training Pads
118,2020-09-21,611.0,Training Pads
119,2020-09-22,553.0,Training Pads
120,2020-09-23,553.0,Training Pads
121,2020-09-24,442.0,Training Pads
122,2020-09-25,442.0,Training Pads
123,2020-09-26,442.0,Training Pads
124,2020-09-27,261.0,Training Pads
125,2020-09-28,261.0,Training Pads
126,2020-09-29,210.0,Training Pads
127,2020-09-30,210.0,Training Pads
128,2020-10-01,335.0,Training Pads
129,2020-10-02,335.0,Training Pads
130,2020-10-03,335.0,Training Pads
131,2020-10-04,530.0,Training Pads
132,2020-10-05,518.0,Training Pads
133,2020-10-06,518.0,Training Pads
134,2020-10-07,518.0,Training Pads
135,2020-10-08,657.0,Training Pads
136,2020-10-09,748.0,Training Pads
137,2020-10-10,748.0,Training Pads
138,2020-10-11,538.0,Training Pads
139,2020-10-12,538.0,Training Pads
140,2020-10-13,538.0,Training Pads
141,2020-10-14,591.0,Training Pads
142,2020-10-15,591.0,Training Pads
143,2020-10-16,591.0,Training Pads
144,2020-10-17,451.0,Training Pads
145,2020-10-18,451.0,Training Pads
146,2020-10-19,451.0,Training Pads
147,2020-10-20,479.0,Training Pads
148,2020-10-21,479.0,Training Pads
149,2020-10-22,630.0,Training Pads
150,2020-10-23,630.0,Training Pads
151,2020-10-24,606.0,Training Pads
152,2020-10-25,606.0,Training Pads
153,2020-10-26,747.0,Training Pads
154,2020-10-27,721.0,Training Pads
155,2020-10-28,721.0,Training Pads
156,2020-10-29,615.0,Training Pads
157,2020-10-30,615.0,Training Pads
158,2020-10-31,678.0,Training Pads
159,2020-11-01,678.0,Training Pads
160,2020-11-02,624.0,Training Pads
161,2020-11-03,624.0,Training Pads
162,2020-11-04,624.0,Training Pads
163,2020-11-05,774.0,Training Pads
164,2020-11-06,774.0,Training Pads
165,2020-11-07,927.0,Training Pads
166,2020-11-08,927.0,Training Pads
167,2020-11-09,927.0,Training Pads
168,2020-11-10,1096.0,Training Pads
169,2020-11-11,1177.0,Training Pads
170,2020-11-12,1177.0,Training Pads
171,2020-11-13,1150.0,Training Pads
172,2020-11-14,1150.0,Training Pads
173,2020-11-15,994.0,Training Pads
174,2020-11-16,994.0,Training Pads
175,2020-11-17,994.0,Training Pads
176,2020-11-18,968.0,Training Pads
177,2020-11-19,1189.0,Training Pads
178,2020-11-20,1189.0,Training Pads
179,2020-11-21,1189.0,Training Pads
180,2020-11-22,1209.0,Training Pads
181,2020-11-23,1209.0,Training Pads
182,2020-11-24,1503.0,Training Pads
183,2020-11-25,1503.0,Training Pads
184,2020-11-26,1552.0,Training Pads
185,2020-11-27,1552.0,Training Pads
186,2020-11-28,1552.0,Training Pads
187,2020-11-29,1695.0,Training Pads
188,2020-11-30,1695.0,Training Pads
189,2020-12-01,1408.0,Training Pads
190,2020-12-02,1408.0,Training Pads
191,2020-12-03,1151.0,Training Pads
192,2020-12-04,1151.0,Training Pads
193,2020-12-05,1151.0,Training Pads
194,2020-12-06,1623.0,Training Pads
195,2020-12-07,1623.0,Training Pads
196,2020-12-08,1827.0,Training Pads
197,2020-12-09,1827.0,Training Pads
198,2020-12-10,1633.0,Training Pads
