,date,value,name_B086GDXWT6
0,2020-04-01,7741.0,Chimes
1,2020-04-02,6174.0,Chimes
2,2020-04-03,6174.0,Chimes
3,2020-04-04,6174.0,Chimes
4,2020-04-05,6174.0,Chimes
5,2020-04-06,6036.0,Chimes
6,2020-04-07,6036.0,Chimes
7,2020-04-08,5441.0,Chimes
8,2020-04-09,5171.0,Chimes
9,2020-04-10,4286.0,Chimes
10,2020-04-11,4286.0,Chimes
11,2020-04-12,4286.0,Chimes
12,2020-04-13,3717.0,Chimes
13,2020-04-14,3267.0,Chimes
14,2020-04-15,3267.0,Chimes
15,2020-04-16,3315.0,Chimes
16,2020-04-17,2638.0,Chimes
17,2020-04-18,2415.0,Chimes
18,2020-04-19,2415.0,Chimes
19,2020-04-20,2245.0,Chimes
20,2020-04-21,2547.0,Chimes
21,2020-04-22,2063.0,Chimes
22,2020-04-23,2064.0,Chimes
23,2020-04-24,2064.0,Chimes
24,2020-04-25,1730.0,Chimes
25,2020-04-26,1692.0,Chimes
26,2020-04-27,1929.0,Chimes
27,2020-04-28,1929.0,Chimes
28,2020-04-29,1929.0,Chimes
29,2020-04-30,1502.0,Chimes
30,2020-05-01,1502.0,Chimes
31,2020-05-02,1596.0,Chimes
32,2020-05-03,1596.0,Chimes
33,2020-05-04,1299.0,Chimes
34,2020-05-05,1299.0,Chimes
35,2020-05-06,2084.0,Chimes
36,2020-05-07,2331.0,Chimes
37,2020-05-08,1538.0,Chimes
38,2020-05-09,1458.0,Chimes
39,2020-05-10,1458.0,Chimes
40,2020-05-11,3136.0,Chimes
41,2020-05-12,3136.0,Chimes
42,2020-05-13,4202.0,Chimes
43,2020-05-14,5447.0,Chimes
44,2020-05-15,5447.0,Chimes
45,2020-05-16,5447.0,Chimes
46,2020-05-17,3904.0,Chimes
47,2020-05-18,4479.0,Chimes
48,2020-05-19,4022.0,Chimes
49,2020-05-20,3393.0,Chimes
50,2020-05-21,3393.0,Chimes
51,2020-05-22,6392.0,Chimes
52,2020-05-23,20108.0,Chimes
53,2020-05-24,20108.0,Chimes
54,2020-05-25,20108.0,Chimes
55,2020-05-26,25528.0,Chimes
56,2020-05-27,25528.0,Chimes
57,2020-05-28,25528.0,Chimes
58,2020-05-29,15847.0,Chimes
59,2020-05-30,15847.0,Chimes
60,2020-05-31,15847.0,Chimes
61,2020-06-01,19306.0,Chimes
62,2020-06-02,19306.0,Chimes
63,2020-06-03,19306.0,Chimes
64,2020-06-04,17303.0,Chimes
65,2020-06-05,16356.0,Chimes
66,2020-06-06,15607.0,Chimes
67,2020-06-07,15607.0,Chimes
68,2020-06-08,15607.0,Chimes
69,2020-06-09,15607.0,Chimes
70,2020-06-10,9117.0,Chimes
71,2020-06-11,9117.0,Chimes
72,2020-06-12,9117.0,Chimes
73,2020-06-13,7375.0,Chimes
74,2020-06-14,7375.0,Chimes
75,2020-06-15,7375.0,Chimes
76,2020-06-16,4984.0,Chimes
77,2020-06-17,4735.0,Chimes
78,2020-06-18,4735.0,Chimes
79,2020-06-19,4735.0,Chimes
80,2020-06-20,3596.0,Chimes
81,2020-06-21,3247.0,Chimes
82,2020-06-22,3247.0,Chimes
83,2020-06-23,5927.0,Chimes
84,2020-06-24,6564.0,Chimes
85,2020-06-25,6239.0,Chimes
86,2020-06-26,6239.0,Chimes
87,2020-06-27,6239.0,Chimes
88,2020-06-28,4348.0,Chimes
89,2020-06-29,5654.0,Chimes
90,2020-06-30,5420.0,Chimes
91,2020-07-01,5001.0,Chimes
92,2020-07-02,4383.0,Chimes
93,2020-07-03,4383.0,Chimes
94,2020-07-04,4859.0,Chimes
95,2020-07-05,4859.0,Chimes
96,2020-07-06,4859.0,Chimes
97,2020-07-07,4859.0,Chimes
98,2020-07-08,4958.0,Chimes
99,2020-07-09,4958.0,Chimes
100,2020-07-10,4958.0,Chimes
101,2020-07-11,4958.0,Chimes
102,2020-07-12,243278.0,Chimes
103,2020-07-13,243278.0,Chimes
104,2020-07-14,243278.0,Chimes
105,2020-07-15,5609.0,Chimes
106,2020-07-16,5609.0,Chimes
107,2020-07-17,5743.0,Chimes
108,2020-07-18,5743.0,Chimes
109,2020-07-19,5743.0,Chimes
110,2020-07-20,5866.0,Chimes
111,2020-07-21,5399.0,Chimes
112,2020-07-22,4875.0,Chimes
113,2020-07-23,4200.0,Chimes
114,2020-07-24,3659.0,Chimes
115,2020-07-25,4080.0,Chimes
116,2020-07-26,4080.0,Chimes
117,2020-07-27,3178.0,Chimes
118,2020-07-28,3178.0,Chimes
119,2020-07-29,3178.0,Chimes
120,2020-07-30,3178.0,Chimes
121,2020-07-31,4481.0,Chimes
122,2020-08-01,4227.0,Chimes
123,2020-08-02,4227.0,Chimes
124,2020-08-03,4227.0,Chimes
125,2020-08-04,4612.0,Chimes
126,2020-08-05,4827.0,Chimes
127,2020-08-06,4827.0,Chimes
128,2020-08-07,4286.0,Chimes
129,2020-08-08,4850.0,Chimes
130,2020-08-09,5384.0,Chimes
131,2020-08-10,4725.0,Chimes
132,2020-08-11,5546.0,Chimes
133,2020-08-12,5349.0,Chimes
134,2020-08-13,5349.0,Chimes
