,date,value,name_B086KM6Y2M
0,2020-07-24,142521.0,Stands
1,2020-07-25,142521.0,Stands
2,2020-07-26,142521.0,Stands
3,2020-07-27,142521.0,Stands
4,2020-07-28,142521.0,Stands
5,2020-07-29,142521.0,Stands
6,2020-07-30,142521.0,Stands
7,2020-07-31,142521.0,Stands
8,2020-08-01,142521.0,Stands
9,2020-08-02,142521.0,Stands
10,2020-08-03,142521.0,Stands
11,2020-08-04,142521.0,Stands
12,2020-08-05,142521.0,Stands
13,2020-08-06,142521.0,Stands
14,2020-08-07,142521.0,Stands
15,2020-08-08,142521.0,Stands
16,2020-08-09,142521.0,Stands
17,2020-08-10,142521.0,Stands
18,2020-08-11,142521.0,Stands
19,2020-08-12,142521.0,Stands
20,2020-08-13,142521.0,Stands
21,2020-08-14,81606.0,Stands
22,2020-08-15,81606.0,Stands
23,2020-08-16,81606.0,Stands
24,2020-08-17,81606.0,Stands
25,2020-08-18,81606.0,Stands
26,2020-08-19,81606.0,Stands
27,2020-08-20,81606.0,Stands
28,2020-08-21,81606.0,Stands
29,2020-08-22,81606.0,Stands
30,2020-08-23,81606.0,Stands
31,2020-08-24,81606.0,Stands
32,2020-08-25,81606.0,Stands
33,2020-08-26,81606.0,Stands
34,2020-08-27,81606.0,Stands
35,2020-08-28,178687.0,Stands
36,2020-08-29,178687.0,Stands
37,2020-08-30,178687.0,Stands
38,2020-08-31,52247.0,Stands
39,2020-09-01,52247.0,Stands
40,2020-09-02,52247.0,Stands
41,2020-09-03,52247.0,Stands
42,2020-09-04,52247.0,Stands
43,2020-09-05,52247.0,Stands
44,2020-09-06,52247.0,Stands
45,2020-09-07,90365.0,Stands
46,2020-09-08,90365.0,Stands
47,2020-09-09,90365.0,Stands
48,2020-09-10,90365.0,Stands
49,2020-09-11,90365.0,Stands
50,2020-09-12,90365.0,Stands
51,2020-09-13,90365.0,Stands
52,2020-09-14,90365.0,Stands
53,2020-09-15,90365.0,Stands
54,2020-09-16,90365.0,Stands
55,2020-09-17,90365.0,Stands
56,2020-09-18,90365.0,Stands
57,2020-09-19,90365.0,Stands
58,2020-09-20,74058.0,Stands
59,2020-09-21,74058.0,Stands
60,2020-09-22,74058.0,Stands
61,2020-09-23,74058.0,Stands
62,2020-09-24,36242.0,Stands
63,2020-09-25,36242.0,Stands
64,2020-09-26,36242.0,Stands
65,2020-09-27,36242.0,Stands
66,2020-09-28,36242.0,Stands
67,2020-09-29,36242.0,Stands
68,2020-09-30,36242.0,Stands
69,2020-10-01,36242.0,Stands
70,2020-10-02,36621.0,Stands
71,2020-10-03,36621.0,Stands
72,2020-10-04,36621.0,Stands
73,2020-10-05,36621.0,Stands
74,2020-10-06,36621.0,Stands
75,2020-10-07,36621.0,Stands
76,2020-10-08,36621.0,Stands
77,2020-10-09,36621.0,Stands
78,2020-10-10,36621.0,Stands
79,2020-10-11,36621.0,Stands
80,2020-10-12,36621.0,Stands
81,2020-10-13,36621.0,Stands
82,2020-10-14,95211.0,Stands
83,2020-10-15,95211.0,Stands
84,2020-10-16,95211.0,Stands
85,2020-10-17,95211.0,Stands
86,2020-10-18,95211.0,Stands
87,2020-10-19,95211.0,Stands
88,2020-10-20,95211.0,Stands
89,2020-10-21,95211.0,Stands
90,2020-10-22,95211.0,Stands
91,2020-10-23,95211.0,Stands
92,2020-10-24,95211.0,Stands
93,2020-10-25,95211.0,Stands
94,2020-10-26,133533.0,Stands
95,2020-10-27,89629.0,Stands
96,2020-10-28,72725.0,Stands
97,2020-10-29,72725.0,Stands
98,2020-10-30,72725.0,Stands
99,2020-10-31,72725.0,Stands
100,2020-11-01,72725.0,Stands
101,2020-11-02,72725.0,Stands
102,2020-11-03,72725.0,Stands
103,2020-11-04,72725.0,Stands
104,2020-11-05,72725.0,Stands
105,2020-11-06,51136.0,Stands
106,2020-11-07,51136.0,Stands
107,2020-11-08,51136.0,Stands
108,2020-11-09,51136.0,Stands
109,2020-11-10,51136.0,Stands
110,2020-11-11,51136.0,Stands
111,2020-11-12,51136.0,Stands
112,2020-11-13,51136.0,Stands
113,2020-11-14,51136.0,Stands
114,2020-11-15,51136.0,Stands
115,2020-11-16,44539.0,Stands
116,2020-11-17,44539.0,Stands
117,2020-11-18,44539.0,Stands
118,2020-11-19,44539.0,Stands
119,2020-11-20,44539.0,Stands
