,date,value,name_B086LL5SC6
0,2020-05-25,8848.0,Ointments
1,2020-05-26,8848.0,Ointments
2,2020-05-27,9924.0,Ointments
3,2020-05-28,9924.0,Ointments
4,2020-05-29,10165.0,Ointments
5,2020-05-30,10165.0,Ointments
6,2020-05-31,10165.0,Ointments
7,2020-06-01,10165.0,Ointments
8,2020-06-02,10165.0,Ointments
9,2020-06-03,10252.0,Ointments
10,2020-06-04,10252.0,Ointments
11,2020-06-05,10236.0,Ointments
12,2020-06-06,10236.0,Ointments
13,2020-06-07,10236.0,Ointments
14,2020-06-08,10236.0,Ointments
15,2020-06-09,10236.0,Ointments
16,2020-06-10,10105.0,Ointments
17,2020-06-11,10105.0,Ointments
18,2020-06-12,11896.0,Ointments
19,2020-06-13,11896.0,Ointments
20,2020-06-14,11896.0,Ointments
21,2020-06-15,7577.0,Ointments
22,2020-06-16,8119.0,Ointments
23,2020-06-17,8782.0,Ointments
24,2020-06-18,8782.0,Ointments
25,2020-06-19,9630.0,Ointments
26,2020-06-20,9630.0,Ointments
27,2020-06-21,9630.0,Ointments
28,2020-06-22,9630.0,Ointments
29,2020-06-23,10587.0,Ointments
30,2020-06-24,10587.0,Ointments
31,2020-06-25,10587.0,Ointments
32,2020-06-26,10587.0,Ointments
33,2020-06-27,10587.0,Ointments
34,2020-06-28,10163.0,Ointments
35,2020-06-29,10163.0,Ointments
36,2020-06-30,10163.0,Ointments
37,2020-07-01,10163.0,Ointments
38,2020-07-02,9310.0,Ointments
39,2020-07-03,9310.0,Ointments
40,2020-07-04,9310.0,Ointments
41,2020-07-05,9310.0,Ointments
42,2020-07-06,9310.0,Ointments
43,2020-07-07,9310.0,Ointments
44,2020-07-08,14358.0,Ointments
45,2020-07-09,14358.0,Ointments
46,2020-07-10,14358.0,Ointments
47,2020-07-11,17346.0,Ointments
48,2020-07-12,12344.0,Ointments
49,2020-07-13,12344.0,Ointments
50,2020-07-14,12344.0,Ointments
51,2020-07-15,11619.0,Ointments
52,2020-07-16,11619.0,Ointments
53,2020-07-17,11619.0,Ointments
54,2020-07-18,11619.0,Ointments
55,2020-07-19,11619.0,Ointments
56,2020-07-20,9776.0,Ointments
57,2020-07-21,9776.0,Ointments
58,2020-07-22,10398.0,Ointments
59,2020-07-23,10398.0,Ointments
60,2020-07-24,10398.0,Ointments
61,2020-07-25,10398.0,Ointments
62,2020-07-26,5375.0,Ointments
63,2020-07-27,5375.0,Ointments
64,2020-07-28,6429.0,Ointments
65,2020-07-29,6429.0,Ointments
66,2020-07-30,6848.0,Ointments
67,2020-07-31,6848.0,Ointments
68,2020-08-01,6848.0,Ointments
69,2020-08-02,6848.0,Ointments
70,2020-08-03,8768.0,Ointments
71,2020-08-04,8032.0,Ointments
72,2020-08-05,8032.0,Ointments
73,2020-08-06,8032.0,Ointments
74,2020-08-07,8531.0,Ointments
75,2020-08-08,8531.0,Ointments
76,2020-08-09,8531.0,Ointments
77,2020-08-10,9139.0,Ointments
78,2020-08-11,9139.0,Ointments
79,2020-08-12,9139.0,Ointments
80,2020-08-13,9535.0,Ointments
81,2020-08-14,9535.0,Ointments
82,2020-08-15,9535.0,Ointments
83,2020-08-16,9535.0,Ointments
84,2020-08-17,8293.0,Ointments
85,2020-08-18,8293.0,Ointments
86,2020-08-19,8293.0,Ointments
87,2020-08-20,8857.0,Ointments
88,2020-08-21,8857.0,Ointments
89,2020-08-22,8857.0,Ointments
90,2020-08-23,7943.0,Ointments
91,2020-08-24,7943.0,Ointments
92,2020-08-25,7943.0,Ointments
93,2020-08-26,9453.0,Ointments
94,2020-08-27,9453.0,Ointments
