,date,value,name_B086X1GQKM
0,2020-06-19,50811.0,Pooper Scoopers
1,2020-06-20,22740.0,Pooper Scoopers
2,2020-06-21,22740.0,Pooper Scoopers
3,2020-06-22,22740.0,Pooper Scoopers
4,2020-06-23,10065.0,Pooper Scoopers
5,2020-06-24,8937.0,Pooper Scoopers
6,2020-06-25,8937.0,Pooper Scoopers
7,2020-06-26,8937.0,Pooper Scoopers
8,2020-06-27,8937.0,Pooper Scoopers
9,2020-06-28,10812.0,Pooper Scoopers
10,2020-06-29,10812.0,Pooper Scoopers
11,2020-06-30,10812.0,Pooper Scoopers
12,2020-07-01,9142.0,Pooper Scoopers
13,2020-07-02,9142.0,Pooper Scoopers
14,2020-07-03,6533.0,Pooper Scoopers
15,2020-07-04,5176.0,Pooper Scoopers
16,2020-07-05,5981.0,Pooper Scoopers
17,2020-07-06,5981.0,Pooper Scoopers
18,2020-07-07,2082.0,Pooper Scoopers
19,2020-07-08,1985.0,Pooper Scoopers
20,2020-07-09,1985.0,Pooper Scoopers
21,2020-07-10,1985.0,Pooper Scoopers
22,2020-07-11,3949.0,Pooper Scoopers
23,2020-07-12,4425.0,Pooper Scoopers
24,2020-07-13,4569.0,Pooper Scoopers
25,2020-07-14,4569.0,Pooper Scoopers
26,2020-07-15,4569.0,Pooper Scoopers
27,2020-07-16,2029.0,Pooper Scoopers
28,2020-07-17,2029.0,Pooper Scoopers
29,2020-07-18,2549.0,Pooper Scoopers
30,2020-07-19,2549.0,Pooper Scoopers
31,2020-07-20,2830.0,Pooper Scoopers
32,2020-07-21,2459.0,Pooper Scoopers
33,2020-07-22,2459.0,Pooper Scoopers
34,2020-07-23,2459.0,Pooper Scoopers
35,2020-07-24,3107.0,Pooper Scoopers
36,2020-07-25,3232.0,Pooper Scoopers
37,2020-07-26,3232.0,Pooper Scoopers
38,2020-07-27,3216.0,Pooper Scoopers
39,2020-07-28,3216.0,Pooper Scoopers
40,2020-07-29,3496.0,Pooper Scoopers
41,2020-07-30,3496.0,Pooper Scoopers
42,2020-07-31,3874.0,Pooper Scoopers
43,2020-08-01,3874.0,Pooper Scoopers
44,2020-08-02,3874.0,Pooper Scoopers
45,2020-08-03,3457.0,Pooper Scoopers
46,2020-08-04,3662.0,Pooper Scoopers
47,2020-08-05,3662.0,Pooper Scoopers
48,2020-08-06,4238.0,Pooper Scoopers
49,2020-08-07,3652.0,Pooper Scoopers
50,2020-08-08,3652.0,Pooper Scoopers
51,2020-08-09,3652.0,Pooper Scoopers
52,2020-08-10,3103.0,Pooper Scoopers
53,2020-08-11,3505.0,Pooper Scoopers
54,2020-08-12,3505.0,Pooper Scoopers
55,2020-08-13,4528.0,Pooper Scoopers
56,2020-08-14,4556.0,Pooper Scoopers
57,2020-08-15,4556.0,Pooper Scoopers
58,2020-08-16,4296.0,Pooper Scoopers
59,2020-08-17,4364.0,Pooper Scoopers
60,2020-08-18,4364.0,Pooper Scoopers
61,2020-08-19,4364.0,Pooper Scoopers
62,2020-08-20,4109.0,Pooper Scoopers
63,2020-08-21,4109.0,Pooper Scoopers
64,2020-08-22,5137.0,Pooper Scoopers
65,2020-08-23,5137.0,Pooper Scoopers
66,2020-08-24,5286.0,Pooper Scoopers
67,2020-08-25,5286.0,Pooper Scoopers
68,2020-08-26,5286.0,Pooper Scoopers
69,2020-08-27,5373.0,Pooper Scoopers
70,2020-08-28,4753.0,Pooper Scoopers
71,2020-08-29,4753.0,Pooper Scoopers
72,2020-08-30,4753.0,Pooper Scoopers
73,2020-08-31,4510.0,Pooper Scoopers
74,2020-09-01,5697.0,Pooper Scoopers
75,2020-09-02,5780.0,Pooper Scoopers
76,2020-09-03,5780.0,Pooper Scoopers
77,2020-09-04,4543.0,Pooper Scoopers
78,2020-09-05,3916.0,Pooper Scoopers
79,2020-09-06,3916.0,Pooper Scoopers
80,2020-09-07,3941.0,Pooper Scoopers
81,2020-09-08,4060.0,Pooper Scoopers
82,2020-09-09,4060.0,Pooper Scoopers
83,2020-09-10,3818.0,Pooper Scoopers
84,2020-09-11,3523.0,Pooper Scoopers
85,2020-09-12,3523.0,Pooper Scoopers
86,2020-09-13,3523.0,Pooper Scoopers
87,2020-09-14,3523.0,Pooper Scoopers
88,2020-09-15,2387.0,Pooper Scoopers
89,2020-09-16,3095.0,Pooper Scoopers
90,2020-09-17,3095.0,Pooper Scoopers
91,2020-09-18,3186.0,Pooper Scoopers
92,2020-09-19,3186.0,Pooper Scoopers
93,2020-09-20,2675.0,Pooper Scoopers
94,2020-09-21,2515.0,Pooper Scoopers
95,2020-09-22,2442.0,Pooper Scoopers
96,2020-09-23,1925.0,Pooper Scoopers
97,2020-09-24,1867.0,Pooper Scoopers
98,2020-09-25,1434.0,Pooper Scoopers
99,2020-09-26,1518.0,Pooper Scoopers
100,2020-09-27,1518.0,Pooper Scoopers
101,2020-09-28,1115.0,Pooper Scoopers
102,2020-09-29,1194.0,Pooper Scoopers
103,2020-09-30,1194.0,Pooper Scoopers
104,2020-10-01,1349.0,Pooper Scoopers
105,2020-10-02,1188.0,Pooper Scoopers
106,2020-10-03,1197.0,Pooper Scoopers
107,2020-10-04,1197.0,Pooper Scoopers
108,2020-10-05,1050.0,Pooper Scoopers
109,2020-10-06,814.0,Pooper Scoopers
110,2020-10-07,814.0,Pooper Scoopers
111,2020-10-08,1072.0,Pooper Scoopers
112,2020-10-09,1078.0,Pooper Scoopers
113,2020-10-10,1186.0,Pooper Scoopers
114,2020-10-11,1076.0,Pooper Scoopers
115,2020-10-12,1076.0,Pooper Scoopers
116,2020-10-13,1076.0,Pooper Scoopers
117,2020-10-14,1801.0,Pooper Scoopers
118,2020-10-15,1918.0,Pooper Scoopers
119,2020-10-16,1999.0,Pooper Scoopers
120,2020-10-17,1585.0,Pooper Scoopers
121,2020-10-18,1585.0,Pooper Scoopers
122,2020-10-19,1321.0,Pooper Scoopers
123,2020-10-20,1321.0,Pooper Scoopers
124,2020-10-21,1356.0,Pooper Scoopers
125,2020-10-22,4061.0,Pooper Scoopers
126,2020-10-23,5982.0,Pooper Scoopers
127,2020-10-24,5919.0,Pooper Scoopers
128,2020-10-25,2908.0,Pooper Scoopers
129,2020-10-26,2859.0,Pooper Scoopers
130,2020-10-27,2004.0,Pooper Scoopers
131,2020-10-28,2872.0,Pooper Scoopers
132,2020-10-29,2733.0,Pooper Scoopers
133,2020-10-30,2733.0,Pooper Scoopers
134,2020-10-31,2391.0,Pooper Scoopers
135,2020-11-01,2303.0,Pooper Scoopers
136,2020-11-02,2031.0,Pooper Scoopers
137,2020-11-03,2135.0,Pooper Scoopers
138,2020-11-04,1527.0,Pooper Scoopers
139,2020-11-05,1790.0,Pooper Scoopers
140,2020-11-06,1693.0,Pooper Scoopers
141,2020-11-07,1964.0,Pooper Scoopers
142,2020-11-08,1846.0,Pooper Scoopers
143,2020-11-09,1846.0,Pooper Scoopers
144,2020-11-10,2062.0,Pooper Scoopers
145,2020-11-11,2576.0,Pooper Scoopers
146,2020-11-12,2312.0,Pooper Scoopers
147,2020-11-13,2752.0,Pooper Scoopers
148,2020-11-14,2422.0,Pooper Scoopers
149,2020-11-15,2422.0,Pooper Scoopers
150,2020-11-16,2491.0,Pooper Scoopers
151,2020-11-17,2799.0,Pooper Scoopers
152,2020-11-18,2799.0,Pooper Scoopers
153,2020-11-19,2799.0,Pooper Scoopers
154,2020-11-20,3309.0,Pooper Scoopers
155,2020-11-21,3309.0,Pooper Scoopers
156,2020-11-22,3309.0,Pooper Scoopers
157,2020-11-23,3309.0,Pooper Scoopers
158,2020-11-24,3070.0,Pooper Scoopers
159,2020-11-25,2880.0,Pooper Scoopers
160,2020-11-26,2488.0,Pooper Scoopers
161,2020-11-27,3059.0,Pooper Scoopers
162,2020-11-28,3059.0,Pooper Scoopers
163,2020-11-29,3059.0,Pooper Scoopers
164,2020-11-30,3068.0,Pooper Scoopers
165,2020-12-01,3539.0,Pooper Scoopers
166,2020-12-02,2264.0,Pooper Scoopers
167,2020-12-03,2264.0,Pooper Scoopers
168,2020-12-04,2051.0,Pooper Scoopers
169,2020-12-05,1996.0,Pooper Scoopers
170,2020-12-06,1599.0,Pooper Scoopers
171,2020-12-07,1620.0,Pooper Scoopers
172,2020-12-08,1566.0,Pooper Scoopers
173,2020-12-09,1839.0,Pooper Scoopers
174,2020-12-10,1822.0,Pooper Scoopers
175,2020-12-11,1724.0,Pooper Scoopers
