,date,value,name_B086XCDT76
0,2020-04-16,14477.0,Garden Hoses
1,2020-04-17,14477.0,Garden Hoses
2,2020-04-18,9764.0,Garden Hoses
3,2020-04-19,9764.0,Garden Hoses
4,2020-04-20,9764.0,Garden Hoses
5,2020-04-21,9764.0,Garden Hoses
6,2020-04-22,9764.0,Garden Hoses
7,2020-04-23,8011.0,Garden Hoses
8,2020-04-24,8011.0,Garden Hoses
9,2020-04-25,6119.0,Garden Hoses
10,2020-04-26,4557.0,Garden Hoses
11,2020-04-27,7157.0,Garden Hoses
12,2020-04-28,5863.0,Garden Hoses
13,2020-04-29,5863.0,Garden Hoses
14,2020-04-30,5863.0,Garden Hoses
15,2020-05-01,5863.0,Garden Hoses
16,2020-05-02,5863.0,Garden Hoses
17,2020-05-03,5863.0,Garden Hoses
18,2020-05-04,5863.0,Garden Hoses
19,2020-05-05,16592.0,Garden Hoses
20,2020-05-06,16592.0,Garden Hoses
21,2020-05-07,14870.0,Garden Hoses
22,2020-05-08,14870.0,Garden Hoses
23,2020-05-09,14870.0,Garden Hoses
24,2020-05-10,14870.0,Garden Hoses
25,2020-05-11,14870.0,Garden Hoses
26,2020-05-12,20270.0,Garden Hoses
27,2020-05-13,20270.0,Garden Hoses
28,2020-05-14,20270.0,Garden Hoses
29,2020-05-15,20270.0,Garden Hoses
30,2020-05-16,20270.0,Garden Hoses
31,2020-05-17,13518.0,Garden Hoses
32,2020-05-18,13518.0,Garden Hoses
33,2020-05-19,13518.0,Garden Hoses
34,2020-05-20,8814.0,Garden Hoses
35,2020-05-21,8596.0,Garden Hoses
36,2020-05-22,8596.0,Garden Hoses
37,2020-05-23,8596.0,Garden Hoses
38,2020-05-24,16217.0,Garden Hoses
39,2020-05-25,16217.0,Garden Hoses
40,2020-05-26,16217.0,Garden Hoses
41,2020-05-27,16217.0,Garden Hoses
42,2020-05-28,15732.0,Garden Hoses
43,2020-05-29,15732.0,Garden Hoses
44,2020-05-30,15732.0,Garden Hoses
45,2020-05-31,15732.0,Garden Hoses
46,2020-06-01,15732.0,Garden Hoses
47,2020-06-02,13862.0,Garden Hoses
48,2020-06-03,13704.0,Garden Hoses
49,2020-06-04,13704.0,Garden Hoses
50,2020-06-05,13704.0,Garden Hoses
51,2020-06-06,13704.0,Garden Hoses
52,2020-06-07,13704.0,Garden Hoses
53,2020-06-08,13704.0,Garden Hoses
54,2020-06-09,13704.0,Garden Hoses
55,2020-06-10,13855.0,Garden Hoses
56,2020-06-11,13855.0,Garden Hoses
57,2020-06-12,13855.0,Garden Hoses
58,2020-06-13,12021.0,Garden Hoses
59,2020-06-14,12021.0,Garden Hoses
60,2020-06-15,10309.0,Garden Hoses
61,2020-06-16,8065.0,Garden Hoses
62,2020-06-17,10004.0,Garden Hoses
63,2020-06-18,9758.0,Garden Hoses
64,2020-06-19,11554.0,Garden Hoses
65,2020-06-20,11554.0,Garden Hoses
66,2020-06-21,11554.0,Garden Hoses
67,2020-06-22,11554.0,Garden Hoses
68,2020-06-23,15797.0,Garden Hoses
69,2020-06-24,15797.0,Garden Hoses
70,2020-06-25,12472.0,Garden Hoses
71,2020-06-26,12472.0,Garden Hoses
72,2020-06-27,12472.0,Garden Hoses
73,2020-06-28,12472.0,Garden Hoses
74,2020-06-29,11528.0,Garden Hoses
75,2020-06-30,7913.0,Garden Hoses
76,2020-07-01,7913.0,Garden Hoses
77,2020-07-02,7898.0,Garden Hoses
78,2020-07-03,8425.0,Garden Hoses
79,2020-07-04,1717.0,Garden Hoses
80,2020-07-05,1717.0,Garden Hoses
81,2020-07-06,6190.0,Garden Hoses
82,2020-07-07,6190.0,Garden Hoses
83,2020-07-08,8918.0,Garden Hoses
84,2020-07-09,8918.0,Garden Hoses
85,2020-07-10,8918.0,Garden Hoses
86,2020-07-11,5399.0,Garden Hoses
87,2020-07-12,6598.0,Garden Hoses
88,2020-07-13,6598.0,Garden Hoses
89,2020-07-14,6598.0,Garden Hoses
90,2020-07-15,6598.0,Garden Hoses
91,2020-07-16,9674.0,Garden Hoses
92,2020-07-17,9674.0,Garden Hoses
93,2020-07-18,9674.0,Garden Hoses
94,2020-07-19,1617.0,Garden Hoses
95,2020-07-20,3846.0,Garden Hoses
96,2020-07-21,3846.0,Garden Hoses
97,2020-07-22,3846.0,Garden Hoses
98,2020-07-23,3280.0,Garden Hoses
99,2020-07-24,3280.0,Garden Hoses
100,2020-07-25,3280.0,Garden Hoses
101,2020-07-26,3280.0,Garden Hoses
102,2020-07-27,7977.0,Garden Hoses
103,2020-07-28,7977.0,Garden Hoses
104,2020-07-29,7977.0,Garden Hoses
105,2020-07-30,7977.0,Garden Hoses
106,2020-07-31,8595.0,Garden Hoses
107,2020-08-01,8595.0,Garden Hoses
108,2020-08-02,8595.0,Garden Hoses
109,2020-08-03,10609.0,Garden Hoses
110,2020-08-04,3576.0,Garden Hoses
111,2020-08-05,3576.0,Garden Hoses
112,2020-08-06,3576.0,Garden Hoses
113,2020-08-07,1693.0,Garden Hoses
114,2020-08-08,1693.0,Garden Hoses
115,2020-08-09,1693.0,Garden Hoses
116,2020-08-10,1693.0,Garden Hoses
117,2020-08-11,1693.0,Garden Hoses
118,2020-08-12,12987.0,Garden Hoses
119,2020-08-13,12987.0,Garden Hoses
120,2020-08-14,12987.0,Garden Hoses
121,2020-08-15,12987.0,Garden Hoses
122,2020-08-16,12987.0,Garden Hoses
123,2020-08-17,10201.0,Garden Hoses
124,2020-08-18,10201.0,Garden Hoses
125,2020-08-19,10201.0,Garden Hoses
126,2020-08-20,23777.0,Garden Hoses
127,2020-08-21,23777.0,Garden Hoses
128,2020-08-22,10759.0,Garden Hoses
129,2020-08-23,10759.0,Garden Hoses
130,2020-08-24,10759.0,Garden Hoses
131,2020-08-25,10759.0,Garden Hoses
132,2020-08-26,8607.0,Garden Hoses
133,2020-08-27,8607.0,Garden Hoses
134,2020-08-28,8607.0,Garden Hoses
135,2020-08-29,6727.0,Garden Hoses
136,2020-08-30,9704.0,Garden Hoses
137,2020-08-31,10530.0,Garden Hoses
138,2020-09-01,10530.0,Garden Hoses
139,2020-09-02,10530.0,Garden Hoses
140,2020-09-03,10530.0,Garden Hoses
141,2020-09-04,10530.0,Garden Hoses
142,2020-09-05,14246.0,Garden Hoses
143,2020-09-06,14246.0,Garden Hoses
144,2020-09-07,14246.0,Garden Hoses
145,2020-09-08,14246.0,Garden Hoses
146,2020-09-09,14770.0,Garden Hoses
147,2020-09-10,14770.0,Garden Hoses
148,2020-09-11,14770.0,Garden Hoses
149,2020-09-12,28509.0,Garden Hoses
150,2020-09-13,28509.0,Garden Hoses
151,2020-09-14,19182.0,Garden Hoses
152,2020-09-15,19182.0,Garden Hoses
153,2020-09-16,19182.0,Garden Hoses
154,2020-09-17,19182.0,Garden Hoses
155,2020-09-18,19182.0,Garden Hoses
156,2020-09-19,19182.0,Garden Hoses
157,2020-09-20,19182.0,Garden Hoses
158,2020-09-21,28239.0,Garden Hoses
159,2020-09-22,28239.0,Garden Hoses
160,2020-09-23,28239.0,Garden Hoses
161,2020-09-24,24977.0,Garden Hoses
162,2020-09-25,24977.0,Garden Hoses
163,2020-09-26,24977.0,Garden Hoses
164,2020-09-27,24977.0,Garden Hoses
165,2020-09-28,19736.0,Garden Hoses
166,2020-09-29,19736.0,Garden Hoses
167,2020-09-30,19736.0,Garden Hoses
168,2020-10-01,28948.0,Garden Hoses
169,2020-10-02,34910.0,Garden Hoses
170,2020-10-03,34910.0,Garden Hoses
171,2020-10-04,34910.0,Garden Hoses
172,2020-10-05,34910.0,Garden Hoses
173,2020-10-06,34910.0,Garden Hoses
174,2020-10-07,34910.0,Garden Hoses
175,2020-10-08,27377.0,Garden Hoses
176,2020-10-09,27377.0,Garden Hoses
177,2020-10-10,27377.0,Garden Hoses
178,2020-10-11,27377.0,Garden Hoses
179,2020-10-12,27377.0,Garden Hoses
180,2020-10-13,27377.0,Garden Hoses
181,2020-10-14,15460.0,Garden Hoses
182,2020-10-15,15460.0,Garden Hoses
183,2020-10-16,15460.0,Garden Hoses
184,2020-10-17,15460.0,Garden Hoses
185,2020-10-18,15460.0,Garden Hoses
186,2020-10-19,15460.0,Garden Hoses
187,2020-10-20,24998.0,Garden Hoses
188,2020-10-21,24998.0,Garden Hoses
189,2020-10-22,24998.0,Garden Hoses
190,2020-10-23,42125.0,Garden Hoses
