,date,value,name_B0877BK7YL
0,2021-03-29,29088.0,Motion Sickness & Nausea
1,2021-03-30,29088.0,Motion Sickness & Nausea
2,2021-03-31,29088.0,Motion Sickness & Nausea
3,2021-04-01,28095.0,Motion Sickness & Nausea
4,2021-04-02,28095.0,Motion Sickness & Nausea
5,2021-04-03,28095.0,Motion Sickness & Nausea
6,2021-04-04,28095.0,Motion Sickness & Nausea
7,2021-04-05,39809.0,Motion Sickness & Nausea
8,2021-04-06,39809.0,Motion Sickness & Nausea
9,2021-04-07,39809.0,Motion Sickness & Nausea
10,2021-04-08,35101.0,Motion Sickness & Nausea
11,2021-04-09,35101.0,Motion Sickness & Nausea
12,2021-04-10,35101.0,Motion Sickness & Nausea
13,2021-04-11,40973.0,Motion Sickness & Nausea
14,2021-04-12,40973.0,Motion Sickness & Nausea
15,2021-04-13,28573.0,Motion Sickness & Nausea
16,2021-04-14,28573.0,Motion Sickness & Nausea
17,2021-04-15,32220.0,Motion Sickness & Nausea
18,2021-04-16,32220.0,Motion Sickness & Nausea
19,2021-04-17,32220.0,Motion Sickness & Nausea
20,2021-04-18,26565.0,Motion Sickness & Nausea
21,2021-04-19,26565.0,Motion Sickness & Nausea
22,2021-04-20,29119.0,Motion Sickness & Nausea
23,2021-04-21,31452.0,Motion Sickness & Nausea
24,2021-04-22,31452.0,Motion Sickness & Nausea
25,2021-04-23,39985.0,Motion Sickness & Nausea
26,2021-04-24,39985.0,Motion Sickness & Nausea
27,2021-04-25,39985.0,Motion Sickness & Nausea
28,2021-04-26,37861.0,Motion Sickness & Nausea
29,2021-04-27,37861.0,Motion Sickness & Nausea
30,2021-04-28,28965.0,Motion Sickness & Nausea
31,2021-04-29,28965.0,Motion Sickness & Nausea
32,2021-04-30,27871.0,Motion Sickness & Nausea
33,2021-05-01,27871.0,Motion Sickness & Nausea
34,2021-05-02,27871.0,Motion Sickness & Nausea
35,2021-05-03,29935.0,Motion Sickness & Nausea
36,2021-05-04,29935.0,Motion Sickness & Nausea
37,2021-05-05,25119.0,Motion Sickness & Nausea
38,2021-05-06,25119.0,Motion Sickness & Nausea
39,2021-05-07,26659.0,Motion Sickness & Nausea
40,2021-05-08,26659.0,Motion Sickness & Nausea
41,2021-05-09,26659.0,Motion Sickness & Nausea
42,2021-05-10,25855.0,Motion Sickness & Nausea
43,2021-05-11,25855.0,Motion Sickness & Nausea
44,2021-05-12,25075.0,Motion Sickness & Nausea
45,2021-05-13,25075.0,Motion Sickness & Nausea
46,2021-05-14,27757.0,Motion Sickness & Nausea
47,2021-05-15,27757.0,Motion Sickness & Nausea
48,2021-05-16,27757.0,Motion Sickness & Nausea
49,2021-05-17,18711.0,Motion Sickness & Nausea
50,2021-05-18,18711.0,Motion Sickness & Nausea
51,2021-05-19,21943.0,Motion Sickness & Nausea
52,2021-05-20,21181.0,Motion Sickness & Nausea
53,2021-05-21,23293.0,Motion Sickness & Nausea
54,2021-05-22,23293.0,Motion Sickness & Nausea
55,2021-05-23,23293.0,Motion Sickness & Nausea
56,2021-05-24,24211.0,Motion Sickness & Nausea
57,2021-05-25,24211.0,Motion Sickness & Nausea
58,2021-05-26,15098.0,Motion Sickness & Nausea
59,2021-05-27,15098.0,Motion Sickness & Nausea
60,2021-05-28,15098.0,Motion Sickness & Nausea
61,2021-05-29,20429.0,Motion Sickness & Nausea
62,2021-05-30,20429.0,Motion Sickness & Nausea
63,2021-05-31,20429.0,Motion Sickness & Nausea
64,2021-06-01,17932.0,Motion Sickness & Nausea
65,2021-06-02,17932.0,Motion Sickness & Nausea
66,2021-06-03,17032.0,Motion Sickness & Nausea
67,2021-06-04,17032.0,Motion Sickness & Nausea
68,2021-06-05,17032.0,Motion Sickness & Nausea
69,2021-06-06,16180.0,Motion Sickness & Nausea
70,2021-06-07,16180.0,Motion Sickness & Nausea
71,2021-06-08,17338.0,Motion Sickness & Nausea
72,2021-06-09,17338.0,Motion Sickness & Nausea
73,2021-06-10,17338.0,Motion Sickness & Nausea
74,2021-06-11,17338.0,Motion Sickness & Nausea
75,2021-06-12,18776.0,Motion Sickness & Nausea
76,2021-06-13,18776.0,Motion Sickness & Nausea
77,2021-06-14,18827.0,Motion Sickness & Nausea
78,2021-06-15,18827.0,Motion Sickness & Nausea
79,2021-06-16,21126.0,Motion Sickness & Nausea
80,2021-06-17,21126.0,Motion Sickness & Nausea
81,2021-06-18,18756.0,Motion Sickness & Nausea
82,2021-06-19,18756.0,Motion Sickness & Nausea
83,2021-06-20,18756.0,Motion Sickness & Nausea
84,2021-06-21,19256.0,Motion Sickness & Nausea
85,2021-06-22,11656.0,Motion Sickness & Nausea
86,2021-06-23,11656.0,Motion Sickness & Nausea
87,2021-06-24,11656.0,Motion Sickness & Nausea
88,2021-06-25,11656.0,Motion Sickness & Nausea
89,2021-06-26,15666.0,Motion Sickness & Nausea
90,2021-06-27,16907.0,Motion Sickness & Nausea
91,2021-06-28,16907.0,Motion Sickness & Nausea
92,2021-06-29,16907.0,Motion Sickness & Nausea
93,2021-06-30,12707.0,Motion Sickness & Nausea
94,2021-07-01,12707.0,Motion Sickness & Nausea
95,2021-07-02,12707.0,Motion Sickness & Nausea
96,2021-07-03,16804.0,Motion Sickness & Nausea
97,2021-07-04,16804.0,Motion Sickness & Nausea
98,2021-07-05,17921.0,Motion Sickness & Nausea
99,2021-07-06,17921.0,Motion Sickness & Nausea
100,2021-07-07,17921.0,Motion Sickness & Nausea
101,2021-07-08,14367.0,Motion Sickness & Nausea
102,2021-07-09,15838.0,Motion Sickness & Nausea
103,2021-07-10,15838.0,Motion Sickness & Nausea
104,2021-07-11,11912.0,Motion Sickness & Nausea
