,date,value,name_B087Q6WT5H
0,2020-05-26,8214.0,Back Braces
1,2020-05-27,7824.0,Back Braces
2,2020-05-28,7824.0,Back Braces
3,2020-05-29,8926.0,Back Braces
4,2020-05-30,8926.0,Back Braces
5,2020-05-31,7781.0,Back Braces
6,2020-06-01,7761.0,Back Braces
7,2020-06-02,7761.0,Back Braces
8,2020-06-03,7761.0,Back Braces
9,2020-06-04,6852.0,Back Braces
10,2020-06-05,7515.0,Back Braces
11,2020-06-06,7515.0,Back Braces
12,2020-06-07,7515.0,Back Braces
13,2020-06-08,10565.0,Back Braces
14,2020-06-09,10565.0,Back Braces
15,2020-06-10,9057.0,Back Braces
16,2020-06-11,8722.0,Back Braces
17,2020-06-12,8722.0,Back Braces
18,2020-06-13,8902.0,Back Braces
19,2020-06-14,8902.0,Back Braces
20,2020-06-15,10313.0,Back Braces
21,2020-06-16,14979.0,Back Braces
22,2020-06-17,14896.0,Back Braces
23,2020-06-18,15463.0,Back Braces
24,2020-06-19,15463.0,Back Braces
25,2020-06-20,14812.0,Back Braces
26,2020-06-21,14812.0,Back Braces
27,2020-06-22,14812.0,Back Braces
28,2020-06-23,18527.0,Back Braces
29,2020-06-24,18527.0,Back Braces
30,2020-06-25,18527.0,Back Braces
31,2020-06-26,18527.0,Back Braces
32,2020-06-27,13502.0,Back Braces
33,2020-06-28,13502.0,Back Braces
34,2020-06-29,13502.0,Back Braces
35,2020-06-30,16259.0,Back Braces
36,2020-07-01,13291.0,Back Braces
37,2020-07-02,13291.0,Back Braces
38,2020-07-03,10588.0,Back Braces
39,2020-07-04,10588.0,Back Braces
40,2020-07-05,10241.0,Back Braces
41,2020-07-06,10241.0,Back Braces
42,2020-07-07,10241.0,Back Braces
43,2020-07-08,8948.0,Back Braces
44,2020-07-09,8948.0,Back Braces
45,2020-07-10,8948.0,Back Braces
46,2020-07-11,8671.0,Back Braces
47,2020-07-12,9093.0,Back Braces
48,2020-07-13,8894.0,Back Braces
49,2020-07-14,9735.0,Back Braces
50,2020-07-15,9890.0,Back Braces
51,2020-07-16,9890.0,Back Braces
52,2020-07-17,9890.0,Back Braces
53,2020-07-18,9890.0,Back Braces
54,2020-07-19,14043.0,Back Braces
55,2020-07-20,14043.0,Back Braces
56,2020-07-21,14043.0,Back Braces
57,2020-07-22,12622.0,Back Braces
58,2020-07-23,12622.0,Back Braces
59,2020-07-24,12622.0,Back Braces
60,2020-07-25,12622.0,Back Braces
61,2020-07-26,9947.0,Back Braces
62,2020-07-27,9947.0,Back Braces
63,2020-07-28,9947.0,Back Braces
64,2020-07-29,8838.0,Back Braces
65,2020-07-30,9752.0,Back Braces
66,2020-07-31,8818.0,Back Braces
67,2020-08-01,8818.0,Back Braces
68,2020-08-02,8818.0,Back Braces
69,2020-08-03,5248.0,Back Braces
70,2020-08-04,5248.0,Back Braces
71,2020-08-05,5248.0,Back Braces
72,2020-08-06,7108.0,Back Braces
73,2020-08-07,7204.0,Back Braces
74,2020-08-08,6718.0,Back Braces
75,2020-08-09,6857.0,Back Braces
76,2020-08-10,7129.0,Back Braces
77,2020-08-11,6464.0,Back Braces
78,2020-08-12,6464.0,Back Braces
79,2020-08-13,6672.0,Back Braces
80,2020-08-14,6672.0,Back Braces
81,2020-08-15,6672.0,Back Braces
82,2020-08-16,8384.0,Back Braces
83,2020-08-17,7511.0,Back Braces
84,2020-08-18,7783.0,Back Braces
85,2020-08-19,9447.0,Back Braces
86,2020-08-20,7552.0,Back Braces
87,2020-08-21,8302.0,Back Braces
88,2020-08-22,7452.0,Back Braces
89,2020-08-23,7846.0,Back Braces
90,2020-08-24,7846.0,Back Braces
91,2020-08-25,8172.0,Back Braces
92,2020-08-26,8172.0,Back Braces
93,2020-08-27,8172.0,Back Braces
94,2020-08-28,8172.0,Back Braces
95,2020-08-29,8172.0,Back Braces
96,2020-08-30,7421.0,Back Braces
97,2020-08-31,7421.0,Back Braces
98,2020-09-01,7421.0,Back Braces
99,2020-09-02,7107.0,Back Braces
100,2020-09-03,7107.0,Back Braces
101,2020-09-04,6895.0,Back Braces
102,2020-09-05,6139.0,Back Braces
103,2020-09-06,6139.0,Back Braces
104,2020-09-07,7825.0,Back Braces
105,2020-09-08,9209.0,Back Braces
106,2020-09-09,9209.0,Back Braces
107,2020-09-10,9209.0,Back Braces
108,2020-09-11,7176.0,Back Braces
109,2020-09-12,7176.0,Back Braces
110,2020-09-13,6900.0,Back Braces
111,2020-09-14,7073.0,Back Braces
112,2020-09-15,7413.0,Back Braces
113,2020-09-16,7413.0,Back Braces
114,2020-09-17,6594.0,Back Braces
115,2020-09-18,6165.0,Back Braces
116,2020-09-19,6101.0,Back Braces
117,2020-09-20,6101.0,Back Braces
118,2020-09-21,6101.0,Back Braces
119,2020-09-22,6691.0,Back Braces
120,2020-09-23,6691.0,Back Braces
121,2020-09-24,6209.0,Back Braces
122,2020-09-25,6209.0,Back Braces
123,2020-09-26,6503.0,Back Braces
124,2020-09-27,6503.0,Back Braces
125,2020-09-28,6503.0,Back Braces
126,2020-09-29,6503.0,Back Braces
127,2020-09-30,6408.0,Back Braces
128,2020-10-01,6408.0,Back Braces
129,2020-10-02,6408.0,Back Braces
130,2020-10-03,7153.0,Back Braces
131,2020-10-04,7153.0,Back Braces
132,2020-10-05,7153.0,Back Braces
133,2020-10-06,6225.0,Back Braces
134,2020-10-07,5769.0,Back Braces
135,2020-10-08,5769.0,Back Braces
136,2020-10-09,5769.0,Back Braces
137,2020-10-10,6528.0,Back Braces
138,2020-10-11,6530.0,Back Braces
139,2020-10-12,6442.0,Back Braces
140,2020-10-13,5788.0,Back Braces
141,2020-10-14,5199.0,Back Braces
142,2020-10-15,5199.0,Back Braces
143,2020-10-16,5506.0,Back Braces
144,2020-10-17,5506.0,Back Braces
145,2020-10-18,5506.0,Back Braces
146,2020-10-19,6455.0,Back Braces
147,2020-10-20,6455.0,Back Braces
148,2020-10-21,6455.0,Back Braces
149,2020-10-22,6455.0,Back Braces
150,2020-10-23,6455.0,Back Braces
151,2020-10-24,6239.0,Back Braces
152,2020-10-25,4831.0,Back Braces
153,2020-10-26,4831.0,Back Braces
154,2020-10-27,4831.0,Back Braces
155,2020-10-28,5580.0,Back Braces
156,2020-10-29,5950.0,Back Braces
157,2020-10-30,5700.0,Back Braces
158,2020-10-31,7239.0,Back Braces
159,2020-11-01,7068.0,Back Braces
160,2020-11-02,8390.0,Back Braces
161,2020-11-03,7371.0,Back Braces
162,2020-11-04,5862.0,Back Braces
163,2020-11-05,5862.0,Back Braces
164,2020-11-06,5862.0,Back Braces
165,2020-11-07,6174.0,Back Braces
166,2020-11-08,6174.0,Back Braces
167,2020-11-09,6174.0,Back Braces
168,2020-11-10,3496.0,Back Braces
169,2020-11-11,2624.0,Back Braces
170,2020-11-12,2624.0,Back Braces
171,2020-11-13,2608.0,Back Braces
172,2020-11-14,2608.0,Back Braces
173,2020-11-15,2359.0,Back Braces
174,2020-11-16,2774.0,Back Braces
175,2020-11-17,3127.0,Back Braces
176,2020-11-18,5078.0,Back Braces
177,2020-11-19,5361.0,Back Braces
178,2020-11-20,5361.0,Back Braces
179,2020-11-21,5361.0,Back Braces
180,2020-11-22,4642.0,Back Braces
181,2020-11-23,5738.0,Back Braces
182,2020-11-24,5738.0,Back Braces
183,2020-11-25,4753.0,Back Braces
184,2020-11-26,4565.0,Back Braces
185,2020-11-27,4435.0,Back Braces
186,2020-11-28,4435.0,Back Braces
187,2020-11-29,5895.0,Back Braces
188,2020-11-30,5895.0,Back Braces
189,2020-12-01,6150.0,Back Braces
190,2020-12-02,6150.0,Back Braces
191,2020-12-03,5235.0,Back Braces
192,2020-12-04,5414.0,Back Braces
193,2020-12-05,5540.0,Back Braces
194,2020-12-06,5540.0,Back Braces
195,2020-12-07,5540.0,Back Braces
196,2020-12-08,5955.0,Back Braces
197,2020-12-09,6150.0,Back Braces
198,2020-12-10,6252.0,Back Braces
199,2020-12-11,5659.0,Back Braces
200,2020-12-12,6095.0,Back Braces
201,2020-12-13,8055.0,Back Braces
202,2020-12-14,8894.0,Back Braces
203,2020-12-15,8441.0,Back Braces
204,2020-12-16,8011.0,Back Braces
205,2020-12-17,8011.0,Back Braces
206,2020-12-18,8011.0,Back Braces
207,2020-12-19,8250.0,Back Braces
208,2020-12-20,8250.0,Back Braces
209,2020-12-21,8250.0,Back Braces
210,2020-12-22,6133.0,Back Braces
211,2020-12-23,5481.0,Back Braces
212,2020-12-24,5397.0,Back Braces
213,2020-12-25,5397.0,Back Braces
214,2020-12-26,4177.0,Back Braces
215,2020-12-27,4177.0,Back Braces
216,2020-12-28,5687.0,Back Braces
217,2020-12-29,5687.0,Back Braces
218,2020-12-30,7262.0,Back Braces
219,2020-12-31,7705.0,Back Braces
220,2021-01-01,6841.0,Back Braces
221,2021-01-02,6841.0,Back Braces
222,2021-01-03,6759.0,Back Braces
223,2021-01-04,6759.0,Back Braces
224,2021-01-05,6759.0,Back Braces
225,2021-01-06,6759.0,Back Braces
226,2021-01-07,6245.0,Back Braces
227,2021-01-08,6245.0,Back Braces
228,2021-01-09,6245.0,Back Braces
229,2021-01-10,6245.0,Back Braces
230,2021-01-11,5455.0,Back Braces
231,2021-01-12,5648.0,Back Braces
232,2021-01-13,5555.0,Back Braces
233,2021-01-14,5555.0,Back Braces
234,2021-01-15,5555.0,Back Braces
235,2021-01-16,5288.0,Back Braces
236,2021-01-17,5852.0,Back Braces
237,2021-01-18,6286.0,Back Braces
238,2021-01-19,4644.0,Back Braces
239,2021-01-20,5052.0,Back Braces
240,2021-01-21,5052.0,Back Braces
241,2021-01-22,8303.0,Back Braces
242,2021-01-23,8303.0,Back Braces
243,2021-01-24,9228.0,Back Braces
244,2021-01-25,9228.0,Back Braces
245,2021-01-26,11734.0,Back Braces
246,2021-01-27,11734.0,Back Braces
247,2021-01-28,11310.0,Back Braces
248,2021-01-29,11310.0,Back Braces
249,2021-01-30,10712.0,Back Braces
250,2021-01-31,10712.0,Back Braces
251,2021-02-01,10712.0,Back Braces
252,2021-02-02,13794.0,Back Braces
253,2021-02-03,13794.0,Back Braces
254,2021-02-04,13794.0,Back Braces
255,2021-02-05,9487.0,Back Braces
256,2021-02-06,9487.0,Back Braces
257,2021-02-07,9487.0,Back Braces
258,2021-02-08,9487.0,Back Braces
259,2021-02-09,7900.0,Back Braces
260,2021-02-10,7900.0,Back Braces
261,2021-02-11,7900.0,Back Braces
262,2021-02-12,6702.0,Back Braces
263,2021-02-13,6702.0,Back Braces
264,2021-02-14,7006.0,Back Braces
265,2021-02-15,7006.0,Back Braces
266,2021-02-16,8707.0,Back Braces
267,2021-02-17,6481.0,Back Braces
268,2021-02-18,6573.0,Back Braces
269,2021-02-19,6573.0,Back Braces
270,2021-02-20,7275.0,Back Braces
271,2021-02-21,7275.0,Back Braces
272,2021-02-22,6723.0,Back Braces
273,2021-02-23,9424.0,Back Braces
274,2021-02-24,8679.0,Back Braces
275,2021-02-25,9058.0,Back Braces
276,2021-02-26,9058.0,Back Braces
277,2021-02-27,7308.0,Back Braces
278,2021-02-28,7308.0,Back Braces
279,2021-03-01,7308.0,Back Braces
280,2021-03-02,6651.0,Back Braces
281,2021-03-03,6651.0,Back Braces
282,2021-03-04,6651.0,Back Braces
283,2021-03-05,5515.0,Back Braces
284,2021-03-06,5041.0,Back Braces
285,2021-03-07,5909.0,Back Braces
286,2021-03-08,5595.0,Back Braces
287,2021-03-09,6360.0,Back Braces
288,2021-03-10,6209.0,Back Braces
289,2021-03-11,5258.0,Back Braces
290,2021-03-12,6034.0,Back Braces
291,2021-03-13,5785.0,Back Braces
292,2021-03-14,6266.0,Back Braces
293,2021-03-15,6037.0,Back Braces
294,2021-03-16,7255.0,Back Braces
295,2021-03-17,6181.0,Back Braces
296,2021-03-18,6181.0,Back Braces
297,2021-03-19,8613.0,Back Braces
298,2021-03-20,8613.0,Back Braces
299,2021-03-21,8613.0,Back Braces
300,2021-03-22,8418.0,Back Braces
301,2021-03-23,9174.0,Back Braces
302,2021-03-24,9174.0,Back Braces
303,2021-03-25,9174.0,Back Braces
304,2021-03-26,6633.0,Back Braces
305,2021-03-27,6633.0,Back Braces
306,2021-03-28,7955.0,Back Braces
307,2021-03-29,8199.0,Back Braces
308,2021-03-30,9368.0,Back Braces
309,2021-03-31,8577.0,Back Braces
310,2021-04-01,9089.0,Back Braces
311,2021-04-02,9089.0,Back Braces
312,2021-04-03,7394.0,Back Braces
313,2021-04-04,7394.0,Back Braces
314,2021-04-05,7394.0,Back Braces
315,2021-04-06,7433.0,Back Braces
316,2021-04-07,7436.0,Back Braces
317,2021-04-08,7436.0,Back Braces
318,2021-04-09,7436.0,Back Braces
319,2021-04-10,7436.0,Back Braces
320,2021-04-11,6201.0,Back Braces
321,2021-04-12,6201.0,Back Braces
322,2021-04-13,6724.0,Back Braces
323,2021-04-14,6724.0,Back Braces
324,2021-04-15,9328.0,Back Braces
325,2021-04-16,9328.0,Back Braces
326,2021-04-17,11482.0,Back Braces
327,2021-04-18,11482.0,Back Braces
328,2021-04-19,10305.0,Back Braces
329,2021-04-20,11736.0,Back Braces
330,2021-04-21,11736.0,Back Braces
331,2021-04-22,11736.0,Back Braces
