,date,value,name_B08834VVVC
0,2020-05-13,47655.0,Garden Hoses
1,2020-05-14,47655.0,Garden Hoses
2,2020-05-15,47655.0,Garden Hoses
3,2020-05-16,47655.0,Garden Hoses
4,2020-05-17,47655.0,Garden Hoses
5,2020-05-18,47655.0,Garden Hoses
6,2020-05-19,47655.0,Garden Hoses
7,2020-05-20,47655.0,Garden Hoses
8,2020-05-21,47655.0,Garden Hoses
9,2020-05-22,47655.0,Garden Hoses
10,2020-05-23,62421.0,Garden Hoses
11,2020-05-24,62421.0,Garden Hoses
12,2020-05-25,62421.0,Garden Hoses
13,2020-05-26,62421.0,Garden Hoses
14,2020-05-27,62421.0,Garden Hoses
15,2020-05-28,8141.0,Garden Hoses
16,2020-05-29,8141.0,Garden Hoses
17,2020-05-30,8141.0,Garden Hoses
18,2020-05-31,8141.0,Garden Hoses
19,2020-06-01,8141.0,Garden Hoses
20,2020-06-02,3818.0,Garden Hoses
21,2020-06-03,3818.0,Garden Hoses
22,2020-06-04,3818.0,Garden Hoses
23,2020-06-05,2417.0,Garden Hoses
24,2020-06-06,2417.0,Garden Hoses
25,2020-06-07,2417.0,Garden Hoses
26,2020-06-08,2292.0,Garden Hoses
27,2020-06-09,2292.0,Garden Hoses
28,2020-06-10,2292.0,Garden Hoses
29,2020-06-11,2252.0,Garden Hoses
30,2020-06-12,2252.0,Garden Hoses
31,2020-06-13,2252.0,Garden Hoses
32,2020-06-14,2252.0,Garden Hoses
33,2020-06-15,1869.0,Garden Hoses
34,2020-06-16,1869.0,Garden Hoses
35,2020-06-17,1869.0,Garden Hoses
36,2020-06-18,1869.0,Garden Hoses
37,2020-06-19,1704.0,Garden Hoses
38,2020-06-20,2063.0,Garden Hoses
39,2020-06-21,2063.0,Garden Hoses
40,2020-06-22,2063.0,Garden Hoses
41,2020-06-23,2736.0,Garden Hoses
42,2020-06-24,2356.0,Garden Hoses
43,2020-06-25,2726.0,Garden Hoses
44,2020-06-26,2726.0,Garden Hoses
45,2020-06-27,2726.0,Garden Hoses
46,2020-06-28,2726.0,Garden Hoses
47,2020-06-29,4026.0,Garden Hoses
48,2020-06-30,4026.0,Garden Hoses
49,2020-07-01,4026.0,Garden Hoses
50,2020-07-02,10617.0,Garden Hoses
51,2020-07-03,14609.0,Garden Hoses
52,2020-07-04,14609.0,Garden Hoses
53,2020-07-05,14609.0,Garden Hoses
54,2020-07-06,29517.0,Garden Hoses
55,2020-07-07,26363.0,Garden Hoses
56,2020-07-08,26363.0,Garden Hoses
57,2020-07-09,26363.0,Garden Hoses
58,2020-07-10,26363.0,Garden Hoses
59,2020-07-11,31186.0,Garden Hoses
60,2020-07-12,31186.0,Garden Hoses
61,2020-07-13,31186.0,Garden Hoses
62,2020-07-14,31186.0,Garden Hoses
63,2020-07-15,31186.0,Garden Hoses
64,2020-07-16,49005.0,Garden Hoses
65,2020-07-17,53351.0,Garden Hoses
66,2020-07-18,53351.0,Garden Hoses
67,2020-07-19,53351.0,Garden Hoses
68,2020-07-20,53351.0,Garden Hoses
69,2020-07-21,52497.0,Garden Hoses
70,2020-07-22,52497.0,Garden Hoses
71,2020-07-23,52497.0,Garden Hoses
72,2020-07-24,52497.0,Garden Hoses
73,2020-07-25,52497.0,Garden Hoses
74,2020-07-26,28323.0,Garden Hoses
75,2020-07-27,28323.0,Garden Hoses
76,2020-07-28,28323.0,Garden Hoses
77,2020-07-29,14924.0,Garden Hoses
78,2020-07-30,14924.0,Garden Hoses
79,2020-07-31,14924.0,Garden Hoses
80,2020-08-01,14601.0,Garden Hoses
81,2020-08-02,14601.0,Garden Hoses
82,2020-08-03,14601.0,Garden Hoses
83,2020-08-04,14601.0,Garden Hoses
84,2020-08-05,14601.0,Garden Hoses
85,2020-08-06,14601.0,Garden Hoses
86,2020-08-07,14601.0,Garden Hoses
87,2020-08-08,14601.0,Garden Hoses
88,2020-08-09,7968.0,Garden Hoses
89,2020-08-10,7968.0,Garden Hoses
90,2020-08-11,7968.0,Garden Hoses
91,2020-08-12,7968.0,Garden Hoses
92,2020-08-13,7968.0,Garden Hoses
93,2020-08-14,7968.0,Garden Hoses
94,2020-08-15,7968.0,Garden Hoses
95,2020-08-16,12209.0,Garden Hoses
96,2020-08-17,12209.0,Garden Hoses
97,2020-08-18,12209.0,Garden Hoses
98,2020-08-19,12209.0,Garden Hoses
99,2020-08-20,12209.0,Garden Hoses
100,2020-08-21,8321.0,Garden Hoses
