,date,value,name_B088B3YDH4
0,2020-05-19,1351990.0,Floating Shelves
1,2020-05-20,1351990.0,Floating Shelves
2,2020-05-21,1351990.0,Floating Shelves
3,2020-05-22,1351990.0,Floating Shelves
4,2020-05-23,1351990.0,Floating Shelves
5,2020-05-24,1351990.0,Floating Shelves
6,2020-05-25,1351990.0,Floating Shelves
7,2020-05-26,1351990.0,Floating Shelves
8,2020-05-27,1351990.0,Floating Shelves
9,2020-05-28,1323238.0,Floating Shelves
10,2020-05-29,1323238.0,Floating Shelves
11,2020-05-30,1323238.0,Floating Shelves
12,2020-05-31,1323238.0,Floating Shelves
13,2020-06-01,1323238.0,Floating Shelves
14,2020-06-02,1323238.0,Floating Shelves
15,2020-06-03,1313988.0,Floating Shelves
16,2020-06-04,1313988.0,Floating Shelves
17,2020-06-05,1313988.0,Floating Shelves
18,2020-06-06,1313988.0,Floating Shelves
19,2020-06-07,1313988.0,Floating Shelves
20,2020-06-08,1313988.0,Floating Shelves
21,2020-06-09,1313988.0,Floating Shelves
22,2020-06-10,1313988.0,Floating Shelves
23,2020-06-11,1313988.0,Floating Shelves
24,2020-06-12,1313988.0,Floating Shelves
25,2020-06-13,1313988.0,Floating Shelves
26,2020-06-14,1313988.0,Floating Shelves
27,2020-06-15,1313988.0,Floating Shelves
28,2020-06-16,1313988.0,Floating Shelves
29,2020-06-17,1313988.0,Floating Shelves
30,2020-06-18,1313988.0,Floating Shelves
31,2020-06-19,1313988.0,Floating Shelves
32,2020-06-20,1324129.0,Floating Shelves
33,2020-06-21,1324129.0,Floating Shelves
34,2020-06-22,1324129.0,Floating Shelves
35,2020-06-23,1324129.0,Floating Shelves
36,2020-06-24,1324129.0,Floating Shelves
37,2020-06-25,1324129.0,Floating Shelves
38,2020-06-26,1324129.0,Floating Shelves
39,2020-06-27,1324129.0,Floating Shelves
40,2020-06-28,1324129.0,Floating Shelves
41,2020-06-29,1324129.0,Floating Shelves
42,2020-06-30,1324129.0,Floating Shelves
43,2020-07-01,1324129.0,Floating Shelves
44,2020-07-02,1324129.0,Floating Shelves
45,2020-07-03,1324129.0,Floating Shelves
46,2020-07-04,1324129.0,Floating Shelves
47,2020-07-05,1324129.0,Floating Shelves
48,2020-07-06,1324129.0,Floating Shelves
49,2020-07-07,1324129.0,Floating Shelves
50,2020-07-08,1324129.0,Floating Shelves
51,2020-07-09,1307475.0,Floating Shelves
52,2020-07-10,1307475.0,Floating Shelves
53,2020-07-11,1307475.0,Floating Shelves
54,2020-07-12,1307475.0,Floating Shelves
55,2020-07-13,1307475.0,Floating Shelves
56,2020-07-14,1307475.0,Floating Shelves
57,2020-07-15,1307475.0,Floating Shelves
58,2020-07-16,1307475.0,Floating Shelves
59,2020-07-17,1307475.0,Floating Shelves
60,2020-07-18,1307475.0,Floating Shelves
61,2020-07-19,1307475.0,Floating Shelves
62,2020-07-20,144277.0,Floating Shelves
63,2020-07-21,144277.0,Floating Shelves
64,2020-07-22,144277.0,Floating Shelves
65,2020-07-23,144277.0,Floating Shelves
66,2020-07-24,144277.0,Floating Shelves
67,2020-07-25,25973.0,Floating Shelves
68,2020-07-26,25973.0,Floating Shelves
69,2020-07-27,23977.0,Floating Shelves
70,2020-07-28,23977.0,Floating Shelves
71,2020-07-29,23977.0,Floating Shelves
72,2020-07-30,23977.0,Floating Shelves
73,2020-07-31,19319.0,Floating Shelves
74,2020-08-01,19319.0,Floating Shelves
75,2020-08-02,19319.0,Floating Shelves
76,2020-08-03,18175.0,Floating Shelves
77,2020-08-04,18175.0,Floating Shelves
78,2020-08-05,10254.0,Floating Shelves
79,2020-08-06,10254.0,Floating Shelves
80,2020-08-07,11399.0,Floating Shelves
81,2020-08-08,7916.0,Floating Shelves
82,2020-08-09,7916.0,Floating Shelves
83,2020-08-10,8604.0,Floating Shelves
84,2020-08-11,8303.0,Floating Shelves
85,2020-08-12,9767.0,Floating Shelves
86,2020-08-13,9767.0,Floating Shelves
87,2020-08-14,9767.0,Floating Shelves
88,2020-08-15,9204.0,Floating Shelves
89,2020-08-16,9204.0,Floating Shelves
90,2020-08-17,9696.0,Floating Shelves
91,2020-08-18,9696.0,Floating Shelves
92,2020-08-19,8635.0,Floating Shelves
93,2020-08-20,8635.0,Floating Shelves
94,2020-08-21,9852.0,Floating Shelves
95,2020-08-22,9852.0,Floating Shelves
96,2020-08-23,11193.0,Floating Shelves
97,2020-08-24,12752.0,Floating Shelves
98,2020-08-25,11256.0,Floating Shelves
99,2020-08-26,9606.0,Floating Shelves
100,2020-08-27,10881.0,Floating Shelves
101,2020-08-28,9244.0,Floating Shelves
102,2020-08-29,9509.0,Floating Shelves
103,2020-08-30,10322.0,Floating Shelves
104,2020-08-31,11862.0,Floating Shelves
105,2020-09-01,13333.0,Floating Shelves
106,2020-09-02,14700.0,Floating Shelves
107,2020-09-03,14700.0,Floating Shelves
108,2020-09-04,18064.0,Floating Shelves
109,2020-09-05,20007.0,Floating Shelves
110,2020-09-06,20007.0,Floating Shelves
111,2020-09-07,20007.0,Floating Shelves
112,2020-09-08,25879.0,Floating Shelves
113,2020-09-09,25879.0,Floating Shelves
114,2020-09-10,17330.0,Floating Shelves
115,2020-09-11,17330.0,Floating Shelves
116,2020-09-12,16277.0,Floating Shelves
117,2020-09-13,26002.0,Floating Shelves
118,2020-09-14,26002.0,Floating Shelves
119,2020-09-15,26002.0,Floating Shelves
120,2020-09-16,27133.0,Floating Shelves
121,2020-09-17,27133.0,Floating Shelves
122,2020-09-18,32254.0,Floating Shelves
123,2020-09-19,32254.0,Floating Shelves
124,2020-09-20,32254.0,Floating Shelves
125,2020-09-21,29383.0,Floating Shelves
126,2020-09-22,29383.0,Floating Shelves
127,2020-09-23,29383.0,Floating Shelves
128,2020-09-24,29383.0,Floating Shelves
129,2020-09-25,31597.0,Floating Shelves
130,2020-09-26,31597.0,Floating Shelves
131,2020-09-27,31597.0,Floating Shelves
132,2020-09-28,32836.0,Floating Shelves
133,2020-09-29,32398.0,Floating Shelves
134,2020-09-30,32398.0,Floating Shelves
135,2020-10-01,32398.0,Floating Shelves
136,2020-10-02,32398.0,Floating Shelves
137,2020-10-03,32398.0,Floating Shelves
138,2020-10-04,32398.0,Floating Shelves
139,2020-10-05,32398.0,Floating Shelves
140,2020-10-06,38078.0,Floating Shelves
141,2020-10-07,44056.0,Floating Shelves
142,2020-10-08,44056.0,Floating Shelves
143,2020-10-09,44056.0,Floating Shelves
144,2020-10-10,22522.0,Floating Shelves
145,2020-10-11,22522.0,Floating Shelves
146,2020-10-12,21594.0,Floating Shelves
147,2020-10-13,21594.0,Floating Shelves
148,2020-10-14,24486.0,Floating Shelves
149,2020-10-15,28668.0,Floating Shelves
150,2020-10-16,28668.0,Floating Shelves
151,2020-10-17,28668.0,Floating Shelves
152,2020-10-18,28668.0,Floating Shelves
153,2020-10-19,19546.0,Floating Shelves
154,2020-10-20,20318.0,Floating Shelves
155,2020-10-21,20318.0,Floating Shelves
156,2020-10-22,20318.0,Floating Shelves
157,2020-10-23,13450.0,Floating Shelves
158,2020-10-24,13450.0,Floating Shelves
159,2020-10-25,15827.0,Floating Shelves
160,2020-10-26,15827.0,Floating Shelves
161,2020-10-27,13472.0,Floating Shelves
162,2020-10-28,11948.0,Floating Shelves
163,2020-10-29,11948.0,Floating Shelves
164,2020-10-30,11948.0,Floating Shelves
165,2020-10-31,11948.0,Floating Shelves
166,2020-11-01,11948.0,Floating Shelves
167,2020-11-02,25774.0,Floating Shelves
168,2020-11-03,26900.0,Floating Shelves
169,2020-11-04,26900.0,Floating Shelves
170,2020-11-05,26900.0,Floating Shelves
171,2020-11-06,26900.0,Floating Shelves
172,2020-11-07,15976.0,Floating Shelves
173,2020-11-08,12239.0,Floating Shelves
174,2020-11-09,15284.0,Floating Shelves
175,2020-11-10,14316.0,Floating Shelves
176,2020-11-11,14891.0,Floating Shelves
177,2020-11-12,14891.0,Floating Shelves
178,2020-11-13,14891.0,Floating Shelves
179,2020-11-14,14891.0,Floating Shelves
180,2020-11-15,14891.0,Floating Shelves
181,2020-11-16,23717.0,Floating Shelves
182,2020-11-17,19389.0,Floating Shelves
183,2020-11-18,19389.0,Floating Shelves
184,2020-11-19,19389.0,Floating Shelves
185,2020-11-20,16023.0,Floating Shelves
186,2020-11-21,17613.0,Floating Shelves
187,2020-11-22,17613.0,Floating Shelves
188,2020-11-23,22024.0,Floating Shelves
189,2020-11-24,22024.0,Floating Shelves
190,2020-11-25,22024.0,Floating Shelves
191,2020-11-26,25799.0,Floating Shelves
192,2020-11-27,24143.0,Floating Shelves
193,2020-11-28,24143.0,Floating Shelves
194,2020-11-29,24578.0,Floating Shelves
195,2020-11-30,24578.0,Floating Shelves
196,2020-12-01,24578.0,Floating Shelves
197,2020-12-02,24578.0,Floating Shelves
198,2020-12-03,25633.0,Floating Shelves
199,2020-12-04,25633.0,Floating Shelves
200,2020-12-05,25633.0,Floating Shelves
201,2020-12-06,23912.0,Floating Shelves
202,2020-12-07,23912.0,Floating Shelves
203,2020-12-08,23912.0,Floating Shelves
204,2020-12-09,23912.0,Floating Shelves
205,2020-12-10,23912.0,Floating Shelves
206,2020-12-11,23912.0,Floating Shelves
207,2020-12-12,23912.0,Floating Shelves
208,2020-12-13,23912.0,Floating Shelves
209,2020-12-14,25960.0,Floating Shelves
210,2020-12-15,25960.0,Floating Shelves
211,2020-12-16,25960.0,Floating Shelves
212,2020-12-17,25960.0,Floating Shelves
213,2020-12-18,23981.0,Floating Shelves
214,2020-12-19,18707.0,Floating Shelves
215,2020-12-20,18707.0,Floating Shelves
216,2020-12-21,18707.0,Floating Shelves
217,2020-12-22,18707.0,Floating Shelves
218,2020-12-23,18707.0,Floating Shelves
219,2020-12-24,15170.0,Floating Shelves
220,2020-12-25,15170.0,Floating Shelves
221,2020-12-26,15170.0,Floating Shelves
222,2020-12-27,4227.0,Floating Shelves
223,2020-12-28,4146.0,Floating Shelves
224,2020-12-29,4146.0,Floating Shelves
225,2020-12-30,4146.0,Floating Shelves
226,2020-12-31,5958.0,Floating Shelves
227,2021-01-01,5958.0,Floating Shelves
228,2021-01-02,5958.0,Floating Shelves
229,2021-01-03,7918.0,Floating Shelves
230,2021-01-04,7918.0,Floating Shelves
231,2021-01-05,9400.0,Floating Shelves
232,2021-01-06,8168.0,Floating Shelves
233,2021-01-07,8168.0,Floating Shelves
