,date,value,name_B088B8DM2F
0,2020-05-10,27619.0,Bath Towels
1,2020-05-11,30391.0,Bath Towels
2,2020-05-12,24789.0,Bath Towels
3,2020-05-13,26615.0,Bath Towels
4,2020-05-14,173417.0,Bath Towels
5,2020-05-15,173417.0,Bath Towels
6,2020-05-16,173417.0,Bath Towels
7,2020-05-17,18886.0,Bath Towels
8,2020-05-18,18886.0,Bath Towels
9,2020-05-19,10827.0,Bath Towels
10,2020-05-20,9830.0,Bath Towels
11,2020-05-21,9830.0,Bath Towels
12,2020-05-22,9830.0,Bath Towels
13,2020-05-23,9541.0,Bath Towels
14,2020-05-24,10500.0,Bath Towels
15,2020-05-25,12692.0,Bath Towels
16,2020-05-26,16204.0,Bath Towels
17,2020-05-27,13138.0,Bath Towels
18,2020-05-28,13138.0,Bath Towels
19,2020-05-29,13138.0,Bath Towels
20,2020-05-30,12751.0,Bath Towels
21,2020-05-31,8491.0,Bath Towels
22,2020-06-01,8491.0,Bath Towels
23,2020-06-02,12926.0,Bath Towels
24,2020-06-03,12926.0,Bath Towels
25,2020-06-04,12926.0,Bath Towels
26,2020-06-05,12926.0,Bath Towels
27,2020-06-06,14216.0,Bath Towels
28,2020-06-07,14216.0,Bath Towels
29,2020-06-08,8850.0,Bath Towels
30,2020-06-09,8850.0,Bath Towels
31,2020-06-10,8850.0,Bath Towels
32,2020-06-11,7742.0,Bath Towels
33,2020-06-12,6574.0,Bath Towels
34,2020-06-13,6574.0,Bath Towels
35,2020-06-14,6574.0,Bath Towels
36,2020-06-15,6029.0,Bath Towels
37,2020-06-16,5064.0,Bath Towels
38,2020-06-17,9121.0,Bath Towels
39,2020-06-18,11804.0,Bath Towels
40,2020-06-19,18534.0,Bath Towels
41,2020-06-20,22043.0,Bath Towels
42,2020-06-21,21682.0,Bath Towels
43,2020-06-22,19560.0,Bath Towels
44,2020-06-23,16393.0,Bath Towels
45,2020-06-24,13694.0,Bath Towels
46,2020-06-25,15718.0,Bath Towels
47,2020-06-26,15718.0,Bath Towels
48,2020-06-27,15718.0,Bath Towels
49,2020-06-28,15718.0,Bath Towels
50,2020-06-29,15718.0,Bath Towels
51,2020-06-30,22797.0,Bath Towels
52,2020-07-01,8016.0,Bath Towels
53,2020-07-02,9128.0,Bath Towels
54,2020-07-03,10094.0,Bath Towels
55,2020-07-04,10094.0,Bath Towels
56,2020-07-05,9037.0,Bath Towels
57,2020-07-06,9923.0,Bath Towels
58,2020-07-07,9923.0,Bath Towels
59,2020-07-08,24828.0,Bath Towels
60,2020-07-09,24828.0,Bath Towels
61,2020-07-10,24828.0,Bath Towels
62,2020-07-11,17155.0,Bath Towels
63,2020-07-12,18344.0,Bath Towels
64,2020-07-13,12381.0,Bath Towels
65,2020-07-14,12772.0,Bath Towels
66,2020-07-15,12772.0,Bath Towels
67,2020-07-16,12772.0,Bath Towels
68,2020-07-17,10359.0,Bath Towels
69,2020-07-18,10359.0,Bath Towels
70,2020-07-19,10359.0,Bath Towels
71,2020-07-20,15145.0,Bath Towels
72,2020-07-21,15145.0,Bath Towels
73,2020-07-22,15145.0,Bath Towels
74,2020-07-23,15145.0,Bath Towels
75,2020-07-24,15145.0,Bath Towels
76,2020-07-25,15145.0,Bath Towels
77,2020-07-26,15145.0,Bath Towels
78,2020-07-27,131478.0,Bath Towels
79,2020-07-28,131478.0,Bath Towels
80,2020-07-29,153078.0,Bath Towels
81,2020-07-30,128066.0,Bath Towels
82,2020-07-31,128066.0,Bath Towels
83,2020-08-01,51525.0,Bath Towels
84,2020-08-02,51525.0,Bath Towels
85,2020-08-03,51525.0,Bath Towels
86,2020-08-04,51525.0,Bath Towels
87,2020-08-05,51525.0,Bath Towels
88,2020-08-06,51525.0,Bath Towels
89,2020-08-07,13056.0,Bath Towels
90,2020-08-08,13056.0,Bath Towels
91,2020-08-09,13056.0,Bath Towels
92,2020-08-10,5226.0,Bath Towels
93,2020-08-11,5226.0,Bath Towels
94,2020-08-12,4089.0,Bath Towels
95,2020-08-13,4089.0,Bath Towels
96,2020-08-14,3611.0,Bath Towels
97,2020-08-15,3611.0,Bath Towels
98,2020-08-16,3611.0,Bath Towels
99,2020-08-17,2783.0,Bath Towels
100,2020-08-18,2783.0,Bath Towels
101,2020-08-19,2729.0,Bath Towels
102,2020-08-20,2729.0,Bath Towels
103,2020-08-21,3347.0,Bath Towels
104,2020-08-22,2820.0,Bath Towels
105,2020-08-23,2820.0,Bath Towels
106,2020-08-24,2917.0,Bath Towels
107,2020-08-25,2661.0,Bath Towels
108,2020-08-26,2661.0,Bath Towels
109,2020-08-27,3563.0,Bath Towels
110,2020-08-28,3812.0,Bath Towels
111,2020-08-29,3812.0,Bath Towels
112,2020-08-30,4188.0,Bath Towels
113,2020-08-31,4188.0,Bath Towels
114,2020-09-01,3251.0,Bath Towels
115,2020-09-02,3994.0,Bath Towels
116,2020-09-03,3776.0,Bath Towels
117,2020-09-04,4189.0,Bath Towels
118,2020-09-05,4189.0,Bath Towels
119,2020-09-06,3370.0,Bath Towels
120,2020-09-07,3370.0,Bath Towels
121,2020-09-08,5517.0,Bath Towels
122,2020-09-09,5517.0,Bath Towels
123,2020-09-10,5517.0,Bath Towels
124,2020-09-11,4418.0,Bath Towels
125,2020-09-12,4418.0,Bath Towels
126,2020-09-13,4418.0,Bath Towels
127,2020-09-14,6108.0,Bath Towels
128,2020-09-15,6108.0,Bath Towels
129,2020-09-16,4051.0,Bath Towels
130,2020-09-17,3557.0,Bath Towels
131,2020-09-18,3557.0,Bath Towels
132,2020-09-19,3557.0,Bath Towels
133,2020-09-20,2927.0,Bath Towels
134,2020-09-21,3343.0,Bath Towels
135,2020-09-22,3343.0,Bath Towels
136,2020-09-23,3044.0,Bath Towels
137,2020-09-24,3044.0,Bath Towels
138,2020-09-25,3044.0,Bath Towels
139,2020-09-26,3422.0,Bath Towels
140,2020-09-27,3422.0,Bath Towels
141,2020-09-28,3422.0,Bath Towels
142,2020-09-29,3828.0,Bath Towels
143,2020-09-30,3223.0,Bath Towels
144,2020-10-01,3223.0,Bath Towels
145,2020-10-02,3223.0,Bath Towels
146,2020-10-03,3291.0,Bath Towels
147,2020-10-04,3291.0,Bath Towels
148,2020-10-05,2786.0,Bath Towels
149,2020-10-06,3051.0,Bath Towels
150,2020-10-07,2726.0,Bath Towels
151,2020-10-08,2726.0,Bath Towels
152,2020-10-09,2726.0,Bath Towels
153,2020-10-10,2464.0,Bath Towels
154,2020-10-11,2712.0,Bath Towels
155,2020-10-12,2453.0,Bath Towels
156,2020-10-13,2904.0,Bath Towels
157,2020-10-14,2213.0,Bath Towels
158,2020-10-15,1978.0,Bath Towels
159,2020-10-16,2124.0,Bath Towels
160,2020-10-17,2124.0,Bath Towels
161,2020-10-18,2124.0,Bath Towels
162,2020-10-19,2927.0,Bath Towels
163,2020-10-20,2927.0,Bath Towels
164,2020-10-21,3773.0,Bath Towels
165,2020-10-22,4343.0,Bath Towels
166,2020-10-23,4343.0,Bath Towels
167,2020-10-24,4066.0,Bath Towels
168,2020-10-25,5188.0,Bath Towels
169,2020-10-26,5188.0,Bath Towels
170,2020-10-27,5188.0,Bath Towels
171,2020-10-28,5546.0,Bath Towels
172,2020-10-29,5746.0,Bath Towels
173,2020-10-30,5746.0,Bath Towels
174,2020-10-31,6052.0,Bath Towels
175,2020-11-01,6052.0,Bath Towels
176,2020-11-02,6052.0,Bath Towels
177,2020-11-03,6216.0,Bath Towels
178,2020-11-04,6588.0,Bath Towels
179,2020-11-05,6482.0,Bath Towels
180,2020-11-06,5993.0,Bath Towels
181,2020-11-07,5993.0,Bath Towels
182,2020-11-08,7601.0,Bath Towels
183,2020-11-09,8955.0,Bath Towels
184,2020-11-10,8955.0,Bath Towels
185,2020-11-11,13544.0,Bath Towels
186,2020-11-12,13544.0,Bath Towels
187,2020-11-13,13544.0,Bath Towels
188,2020-11-14,10914.0,Bath Towels
189,2020-11-15,10914.0,Bath Towels
190,2020-11-16,10914.0,Bath Towels
191,2020-11-17,11667.0,Bath Towels
192,2020-11-18,11667.0,Bath Towels
193,2020-11-19,9472.0,Bath Towels
194,2020-11-20,9472.0,Bath Towels
195,2020-11-21,9653.0,Bath Towels
196,2020-11-22,9653.0,Bath Towels
197,2020-11-23,9653.0,Bath Towels
198,2020-11-24,9653.0,Bath Towels
199,2020-11-25,23858.0,Bath Towels
200,2020-11-26,23975.0,Bath Towels
201,2020-11-27,23975.0,Bath Towels
202,2020-11-28,23975.0,Bath Towels
203,2020-11-29,23975.0,Bath Towels
204,2020-11-30,18032.0,Bath Towels
205,2020-12-01,8263.0,Bath Towels
206,2020-12-02,12581.0,Bath Towels
207,2020-12-03,12824.0,Bath Towels
208,2020-12-04,12824.0,Bath Towels
209,2020-12-05,19170.0,Bath Towels
210,2020-12-06,19170.0,Bath Towels
211,2020-12-07,19170.0,Bath Towels
212,2020-12-08,20794.0,Bath Towels
213,2020-12-09,16356.0,Bath Towels
214,2020-12-10,16897.0,Bath Towels
215,2020-12-11,16897.0,Bath Towels
216,2020-12-12,16897.0,Bath Towels
217,2020-12-13,16897.0,Bath Towels
218,2020-12-14,16897.0,Bath Towels
219,2020-12-15,17921.0,Bath Towels
220,2020-12-16,17921.0,Bath Towels
221,2020-12-17,17436.0,Bath Towels
222,2020-12-18,14563.0,Bath Towels
223,2020-12-19,14563.0,Bath Towels
224,2020-12-20,12000.0,Bath Towels
225,2020-12-21,12000.0,Bath Towels
226,2020-12-22,12000.0,Bath Towels
227,2020-12-23,13165.0,Bath Towels
228,2020-12-24,14085.0,Bath Towels
229,2020-12-25,17422.0,Bath Towels
230,2020-12-26,17422.0,Bath Towels
231,2020-12-27,17422.0,Bath Towels
232,2020-12-28,17422.0,Bath Towels
233,2020-12-29,17422.0,Bath Towels
234,2020-12-30,17422.0,Bath Towels
235,2020-12-31,26093.0,Bath Towels
236,2021-01-01,26093.0,Bath Towels
237,2021-01-02,26093.0,Bath Towels
238,2021-01-03,18937.0,Bath Towels
239,2021-01-04,18937.0,Bath Towels
240,2021-01-05,13745.0,Bath Towels
241,2021-01-06,13745.0,Bath Towels
242,2021-01-07,13745.0,Bath Towels
243,2021-01-08,13745.0,Bath Towels
244,2021-01-09,13745.0,Bath Towels
245,2021-01-10,11817.0,Bath Towels
246,2021-01-11,11817.0,Bath Towels
247,2021-01-12,11817.0,Bath Towels
248,2021-01-13,15974.0,Bath Towels
249,2021-01-14,16002.0,Bath Towels
250,2021-01-15,16002.0,Bath Towels
251,2021-01-16,16095.0,Bath Towels
252,2021-01-17,16095.0,Bath Towels
253,2021-01-18,16095.0,Bath Towels
254,2021-01-19,16095.0,Bath Towels
255,2021-01-20,14546.0,Bath Towels
256,2021-01-21,12771.0,Bath Towels
257,2021-01-22,12771.0,Bath Towels
258,2021-01-23,12771.0,Bath Towels
259,2021-01-24,12771.0,Bath Towels
260,2021-01-25,16305.0,Bath Towels
261,2021-01-26,14135.0,Bath Towels
262,2021-01-27,14135.0,Bath Towels
263,2021-01-28,15874.0,Bath Towels
264,2021-01-29,15874.0,Bath Towels
265,2021-01-30,15874.0,Bath Towels
266,2021-01-31,11130.0,Bath Towels
267,2021-02-01,13071.0,Bath Towels
268,2021-02-02,13071.0,Bath Towels
269,2021-02-03,13057.0,Bath Towels
270,2021-02-04,12247.0,Bath Towels
271,2021-02-05,12247.0,Bath Towels
272,2021-02-06,10745.0,Bath Towels
273,2021-02-07,10745.0,Bath Towels
274,2021-02-08,10745.0,Bath Towels
275,2021-02-09,11086.0,Bath Towels
