,date,value,name_B088FCQQV4
0,2020-06-06,787737.0,Table Runners
1,2020-06-07,787737.0,Table Runners
2,2020-06-08,787737.0,Table Runners
3,2020-06-09,787737.0,Table Runners
4,2020-06-10,787737.0,Table Runners
5,2020-06-11,787737.0,Table Runners
6,2020-06-12,787737.0,Table Runners
7,2020-06-13,787737.0,Table Runners
8,2020-06-14,787737.0,Table Runners
9,2020-06-15,787737.0,Table Runners
10,2020-06-16,-1.0,Table Runners
11,2020-06-17,-1.0,Table Runners
12,2020-06-18,-1.0,Table Runners
13,2020-06-19,-1.0,Table Runners
14,2020-06-20,-1.0,Table Runners
15,2020-06-21,-1.0,Table Runners
16,2020-06-22,-1.0,Table Runners
17,2020-06-23,-1.0,Table Runners
18,2020-06-24,-1.0,Table Runners
19,2020-06-25,-1.0,Table Runners
20,2020-06-26,-1.0,Table Runners
21,2020-06-27,-1.0,Table Runners
22,2020-06-28,-1.0,Table Runners
23,2020-06-29,-1.0,Table Runners
24,2020-06-30,-1.0,Table Runners
25,2020-07-01,-1.0,Table Runners
26,2020-07-02,-1.0,Table Runners
27,2020-07-03,-1.0,Table Runners
28,2020-07-04,-1.0,Table Runners
29,2020-07-05,-1.0,Table Runners
30,2020-07-06,-1.0,Table Runners
31,2020-07-07,-1.0,Table Runners
32,2020-07-08,-1.0,Table Runners
33,2020-07-09,-1.0,Table Runners
34,2020-07-10,-1.0,Table Runners
35,2020-07-11,-1.0,Table Runners
36,2020-07-12,-1.0,Table Runners
37,2020-07-13,-1.0,Table Runners
38,2020-07-14,-1.0,Table Runners
39,2020-07-15,-1.0,Table Runners
40,2020-07-16,-1.0,Table Runners
41,2020-07-17,-1.0,Table Runners
42,2020-07-18,-1.0,Table Runners
43,2020-07-19,-1.0,Table Runners
44,2020-07-20,-1.0,Table Runners
45,2020-07-21,-1.0,Table Runners
46,2020-07-22,-1.0,Table Runners
47,2020-07-23,-1.0,Table Runners
48,2020-07-24,-1.0,Table Runners
49,2020-07-25,-1.0,Table Runners
50,2020-07-26,-1.0,Table Runners
51,2020-07-27,-1.0,Table Runners
52,2020-07-28,-1.0,Table Runners
53,2020-07-29,-1.0,Table Runners
54,2020-07-30,-1.0,Table Runners
55,2020-07-31,20832.0,Table Runners
56,2020-08-01,20832.0,Table Runners
57,2020-08-02,20832.0,Table Runners
58,2020-08-03,34487.0,Table Runners
59,2020-08-04,34487.0,Table Runners
60,2020-08-05,34487.0,Table Runners
61,2020-08-06,34487.0,Table Runners
62,2020-08-07,21157.0,Table Runners
63,2020-08-08,21157.0,Table Runners
64,2020-08-09,21157.0,Table Runners
65,2020-08-10,32808.0,Table Runners
66,2020-08-11,20151.0,Table Runners
67,2020-08-12,30901.0,Table Runners
68,2020-08-13,30901.0,Table Runners
69,2020-08-14,30901.0,Table Runners
70,2020-08-15,36690.0,Table Runners
71,2020-08-16,36690.0,Table Runners
72,2020-08-17,48185.0,Table Runners
73,2020-08-18,48185.0,Table Runners
74,2020-08-19,48185.0,Table Runners
75,2020-08-20,32463.0,Table Runners
76,2020-08-21,32463.0,Table Runners
77,2020-08-22,32463.0,Table Runners
78,2020-08-23,32463.0,Table Runners
79,2020-08-24,68550.0,Table Runners
80,2020-08-25,68550.0,Table Runners
81,2020-08-26,68550.0,Table Runners
82,2020-08-27,68550.0,Table Runners
83,2020-08-28,29025.0,Table Runners
84,2020-08-29,29025.0,Table Runners
85,2020-08-30,29025.0,Table Runners
86,2020-08-31,33674.0,Table Runners
87,2020-09-01,20013.0,Table Runners
88,2020-09-02,20013.0,Table Runners
89,2020-09-03,20013.0,Table Runners
90,2020-09-04,37423.0,Table Runners
91,2020-09-05,37423.0,Table Runners
