,date,value,name_B088FJCP9Y
0,2020-06-11,45300.0,Personal Video Players & Accessories
1,2020-06-12,40760.0,Personal Video Players & Accessories
2,2020-06-13,36415.0,Personal Video Players & Accessories
3,2020-06-14,27636.0,Personal Video Players & Accessories
4,2020-06-15,19696.0,Personal Video Players & Accessories
5,2020-06-16,19696.0,Personal Video Players & Accessories
6,2020-06-17,13577.0,Personal Video Players & Accessories
7,2020-06-18,15000.0,Personal Video Players & Accessories
8,2020-06-19,14712.0,Personal Video Players & Accessories
9,2020-06-20,25779.0,Personal Video Players & Accessories
10,2020-06-21,25779.0,Personal Video Players & Accessories
11,2020-06-22,9900.0,Personal Video Players & Accessories
12,2020-06-23,10192.0,Personal Video Players & Accessories
13,2020-06-24,9624.0,Personal Video Players & Accessories
14,2020-06-25,8521.0,Personal Video Players & Accessories
15,2020-06-26,10116.0,Personal Video Players & Accessories
16,2020-06-27,7175.0,Personal Video Players & Accessories
17,2020-06-28,9745.0,Personal Video Players & Accessories
18,2020-06-29,14694.0,Personal Video Players & Accessories
19,2020-06-30,15922.0,Personal Video Players & Accessories
20,2020-07-01,15922.0,Personal Video Players & Accessories
21,2020-07-02,15922.0,Personal Video Players & Accessories
22,2020-07-03,36401.0,Personal Video Players & Accessories
23,2020-07-04,36401.0,Personal Video Players & Accessories
24,2020-07-05,14826.0,Personal Video Players & Accessories
25,2020-07-06,16154.0,Personal Video Players & Accessories
26,2020-07-07,17148.0,Personal Video Players & Accessories
27,2020-07-08,19257.0,Personal Video Players & Accessories
28,2020-07-09,11184.0,Personal Video Players & Accessories
29,2020-07-10,10185.0,Personal Video Players & Accessories
30,2020-07-11,10591.0,Personal Video Players & Accessories
31,2020-07-12,6377.0,Personal Video Players & Accessories
32,2020-07-13,5480.0,Personal Video Players & Accessories
33,2020-07-14,6880.0,Personal Video Players & Accessories
34,2020-07-15,7384.0,Personal Video Players & Accessories
35,2020-07-16,5205.0,Personal Video Players & Accessories
36,2020-07-17,5928.0,Personal Video Players & Accessories
37,2020-07-18,5928.0,Personal Video Players & Accessories
38,2020-07-19,4303.0,Personal Video Players & Accessories
39,2020-07-20,3352.0,Personal Video Players & Accessories
40,2020-07-21,3545.0,Personal Video Players & Accessories
41,2020-07-22,2627.0,Personal Video Players & Accessories
42,2020-07-23,3202.0,Personal Video Players & Accessories
