,date,value,name_B088GVYQTZ
0,2020-05-25,25686.0,Magnifiers
1,2020-05-26,25686.0,Magnifiers
2,2020-05-27,25686.0,Magnifiers
3,2020-05-28,25686.0,Magnifiers
4,2020-05-29,25686.0,Magnifiers
5,2020-05-30,27326.0,Magnifiers
6,2020-05-31,27326.0,Magnifiers
7,2020-06-01,27326.0,Magnifiers
8,2020-06-02,27326.0,Magnifiers
9,2020-06-03,27326.0,Magnifiers
10,2020-06-04,15077.0,Magnifiers
11,2020-06-05,15077.0,Magnifiers
12,2020-06-06,15077.0,Magnifiers
13,2020-06-07,15077.0,Magnifiers
14,2020-06-08,15077.0,Magnifiers
15,2020-06-09,11287.0,Magnifiers
16,2020-06-10,11287.0,Magnifiers
17,2020-06-11,11287.0,Magnifiers
18,2020-06-12,11287.0,Magnifiers
19,2020-06-13,10482.0,Magnifiers
20,2020-06-14,10482.0,Magnifiers
21,2020-06-15,11711.0,Magnifiers
22,2020-06-16,11711.0,Magnifiers
23,2020-06-17,11601.0,Magnifiers
24,2020-06-18,11601.0,Magnifiers
25,2020-06-19,10787.0,Magnifiers
26,2020-06-20,10787.0,Magnifiers
27,2020-06-21,10787.0,Magnifiers
28,2020-06-22,10787.0,Magnifiers
29,2020-06-23,11283.0,Magnifiers
30,2020-06-24,11283.0,Magnifiers
31,2020-06-25,11283.0,Magnifiers
32,2020-06-26,11283.0,Magnifiers
33,2020-06-27,12774.0,Magnifiers
34,2020-06-28,12774.0,Magnifiers
35,2020-06-29,12774.0,Magnifiers
36,2020-06-30,12774.0,Magnifiers
37,2020-07-01,15443.0,Magnifiers
38,2020-07-02,13446.0,Magnifiers
39,2020-07-03,13446.0,Magnifiers
40,2020-07-04,13446.0,Magnifiers
41,2020-07-05,13446.0,Magnifiers
42,2020-07-06,13069.0,Magnifiers
43,2020-07-07,13069.0,Magnifiers
44,2020-07-08,13069.0,Magnifiers
45,2020-07-09,13069.0,Magnifiers
46,2020-07-10,13069.0,Magnifiers
47,2020-07-11,10775.0,Magnifiers
48,2020-07-12,10775.0,Magnifiers
49,2020-07-13,10197.0,Magnifiers
50,2020-07-14,10197.0,Magnifiers
51,2020-07-15,10197.0,Magnifiers
52,2020-07-16,10549.0,Magnifiers
53,2020-07-17,10549.0,Magnifiers
54,2020-07-18,10549.0,Magnifiers
55,2020-07-19,9815.0,Magnifiers
56,2020-07-20,9815.0,Magnifiers
57,2020-07-21,9815.0,Magnifiers
58,2020-07-22,8212.0,Magnifiers
59,2020-07-23,8212.0,Magnifiers
60,2020-07-24,8212.0,Magnifiers
61,2020-07-25,8411.0,Magnifiers
62,2020-07-26,8411.0,Magnifiers
63,2020-07-27,8411.0,Magnifiers
64,2020-07-28,8411.0,Magnifiers
65,2020-07-29,13222.0,Magnifiers
66,2020-07-30,13222.0,Magnifiers
67,2020-07-31,10863.0,Magnifiers
68,2020-08-01,10863.0,Magnifiers
69,2020-08-02,10863.0,Magnifiers
70,2020-08-03,10019.0,Magnifiers
71,2020-08-04,12925.0,Magnifiers
72,2020-08-05,13512.0,Magnifiers
73,2020-08-06,13438.0,Magnifiers
74,2020-08-07,13438.0,Magnifiers
75,2020-08-08,10810.0,Magnifiers
76,2020-08-09,10810.0,Magnifiers
77,2020-08-10,10810.0,Magnifiers
78,2020-08-11,10810.0,Magnifiers
79,2020-08-12,9987.0,Magnifiers
80,2020-08-13,9747.0,Magnifiers
81,2020-08-14,11044.0,Magnifiers
82,2020-08-15,11044.0,Magnifiers
83,2020-08-16,11044.0,Magnifiers
84,2020-08-17,9861.0,Magnifiers
85,2020-08-18,9861.0,Magnifiers
86,2020-08-19,9861.0,Magnifiers
87,2020-08-20,10717.0,Magnifiers
88,2020-08-21,9456.0,Magnifiers
89,2020-08-22,9456.0,Magnifiers
90,2020-08-23,9456.0,Magnifiers
91,2020-08-24,8569.0,Magnifiers
92,2020-08-25,8569.0,Magnifiers
93,2020-08-26,8569.0,Magnifiers
94,2020-08-27,7964.0,Magnifiers
95,2020-08-28,7964.0,Magnifiers
96,2020-08-29,7964.0,Magnifiers
97,2020-08-30,7983.0,Magnifiers
98,2020-08-31,7983.0,Magnifiers
99,2020-09-01,7983.0,Magnifiers
100,2020-09-02,9014.0,Magnifiers
101,2020-09-03,9014.0,Magnifiers
102,2020-09-04,9014.0,Magnifiers
103,2020-09-05,8662.0,Magnifiers
104,2020-09-06,8662.0,Magnifiers
105,2020-09-07,6144.0,Magnifiers
106,2020-09-08,6144.0,Magnifiers
107,2020-09-09,6144.0,Magnifiers
108,2020-09-10,7350.0,Magnifiers
109,2020-09-11,7350.0,Magnifiers
110,2020-09-12,7350.0,Magnifiers
111,2020-09-13,9874.0,Magnifiers
