,date,value,name_B088LWW7JN
0,2020-05-18,158991.0,Bed Pillows
1,2020-05-19,158991.0,Bed Pillows
2,2020-05-20,158991.0,Bed Pillows
3,2020-05-21,308942.0,Bed Pillows
4,2020-05-22,279841.0,Bed Pillows
5,2020-05-23,279841.0,Bed Pillows
6,2020-05-24,279841.0,Bed Pillows
7,2020-05-25,428526.0,Bed Pillows
8,2020-05-26,428526.0,Bed Pillows
9,2020-05-27,209897.0,Bed Pillows
10,2020-05-28,209897.0,Bed Pillows
11,2020-05-29,209897.0,Bed Pillows
12,2020-05-30,209897.0,Bed Pillows
13,2020-05-31,209897.0,Bed Pillows
14,2020-06-01,272175.0,Bed Pillows
15,2020-06-02,272175.0,Bed Pillows
16,2020-06-03,272175.0,Bed Pillows
17,2020-06-04,150378.0,Bed Pillows
18,2020-06-05,179555.0,Bed Pillows
19,2020-06-06,155415.0,Bed Pillows
20,2020-06-07,155415.0,Bed Pillows
21,2020-06-08,201874.0,Bed Pillows
22,2020-06-09,201874.0,Bed Pillows
23,2020-06-10,201874.0,Bed Pillows
24,2020-06-11,108043.0,Bed Pillows
25,2020-06-12,108043.0,Bed Pillows
26,2020-06-13,108043.0,Bed Pillows
27,2020-06-14,108043.0,Bed Pillows
28,2020-06-15,149919.0,Bed Pillows
29,2020-06-16,189337.0,Bed Pillows
30,2020-06-17,189337.0,Bed Pillows
31,2020-06-18,189337.0,Bed Pillows
32,2020-06-19,148325.0,Bed Pillows
33,2020-06-20,148325.0,Bed Pillows
34,2020-06-21,148325.0,Bed Pillows
35,2020-06-22,148325.0,Bed Pillows
36,2020-06-23,148325.0,Bed Pillows
37,2020-06-24,191967.0,Bed Pillows
38,2020-06-25,191967.0,Bed Pillows
39,2020-06-26,191967.0,Bed Pillows
40,2020-06-27,191967.0,Bed Pillows
41,2020-06-28,191967.0,Bed Pillows
42,2020-06-29,191967.0,Bed Pillows
43,2020-06-30,149666.0,Bed Pillows
44,2020-07-01,148845.0,Bed Pillows
45,2020-07-02,148845.0,Bed Pillows
