,date,value,name_B088STLBXQ
0,2020-06-08,3651.0,Self-Watering Stakes
1,2020-06-09,3651.0,Self-Watering Stakes
2,2020-06-10,3651.0,Self-Watering Stakes
3,2020-06-11,3651.0,Self-Watering Stakes
4,2020-06-12,3651.0,Self-Watering Stakes
5,2020-06-13,9938.0,Self-Watering Stakes
6,2020-06-14,9938.0,Self-Watering Stakes
7,2020-06-15,9938.0,Self-Watering Stakes
8,2020-06-16,12376.0,Self-Watering Stakes
9,2020-06-17,12085.0,Self-Watering Stakes
10,2020-06-18,12085.0,Self-Watering Stakes
11,2020-06-19,8714.0,Self-Watering Stakes
12,2020-06-20,8714.0,Self-Watering Stakes
13,2020-06-21,8714.0,Self-Watering Stakes
14,2020-06-22,18604.0,Self-Watering Stakes
15,2020-06-23,18604.0,Self-Watering Stakes
16,2020-06-24,18604.0,Self-Watering Stakes
17,2020-06-25,18604.0,Self-Watering Stakes
18,2020-06-26,14243.0,Self-Watering Stakes
19,2020-06-27,14243.0,Self-Watering Stakes
20,2020-06-28,14243.0,Self-Watering Stakes
21,2020-06-29,14243.0,Self-Watering Stakes
22,2020-06-30,14243.0,Self-Watering Stakes
23,2020-07-01,14243.0,Self-Watering Stakes
24,2020-07-02,14243.0,Self-Watering Stakes
25,2020-07-03,9420.0,Self-Watering Stakes
26,2020-07-04,9420.0,Self-Watering Stakes
27,2020-07-05,9420.0,Self-Watering Stakes
28,2020-07-06,9420.0,Self-Watering Stakes
29,2020-07-07,9420.0,Self-Watering Stakes
30,2020-07-08,9420.0,Self-Watering Stakes
31,2020-07-09,7660.0,Self-Watering Stakes
32,2020-07-10,7660.0,Self-Watering Stakes
33,2020-07-11,7660.0,Self-Watering Stakes
34,2020-07-12,8840.0,Self-Watering Stakes
35,2020-07-13,8840.0,Self-Watering Stakes
36,2020-07-14,8840.0,Self-Watering Stakes
37,2020-07-15,8840.0,Self-Watering Stakes
38,2020-07-16,8107.0,Self-Watering Stakes
39,2020-07-17,8107.0,Self-Watering Stakes
40,2020-07-18,8107.0,Self-Watering Stakes
41,2020-07-19,8107.0,Self-Watering Stakes
42,2020-07-20,8855.0,Self-Watering Stakes
43,2020-07-21,8855.0,Self-Watering Stakes
44,2020-07-22,8855.0,Self-Watering Stakes
45,2020-07-23,8855.0,Self-Watering Stakes
46,2020-07-24,8855.0,Self-Watering Stakes
47,2020-07-25,15403.0,Self-Watering Stakes
48,2020-07-26,10953.0,Self-Watering Stakes
49,2020-07-27,11595.0,Self-Watering Stakes
50,2020-07-28,11595.0,Self-Watering Stakes
51,2020-07-29,11595.0,Self-Watering Stakes
52,2020-07-30,11863.0,Self-Watering Stakes
53,2020-07-31,11863.0,Self-Watering Stakes
54,2020-08-01,11863.0,Self-Watering Stakes
55,2020-08-02,11863.0,Self-Watering Stakes
56,2020-08-03,11863.0,Self-Watering Stakes
57,2020-08-04,13574.0,Self-Watering Stakes
58,2020-08-05,13574.0,Self-Watering Stakes
59,2020-08-06,13574.0,Self-Watering Stakes
60,2020-08-07,13520.0,Self-Watering Stakes
61,2020-08-08,17187.0,Self-Watering Stakes
62,2020-08-09,17187.0,Self-Watering Stakes
63,2020-08-10,17187.0,Self-Watering Stakes
64,2020-08-11,17187.0,Self-Watering Stakes
65,2020-08-12,14482.0,Self-Watering Stakes
66,2020-08-13,14482.0,Self-Watering Stakes
67,2020-08-14,13364.0,Self-Watering Stakes
68,2020-08-15,13364.0,Self-Watering Stakes
69,2020-08-16,13364.0,Self-Watering Stakes
70,2020-08-17,12479.0,Self-Watering Stakes
71,2020-08-18,12479.0,Self-Watering Stakes
72,2020-08-19,12479.0,Self-Watering Stakes
73,2020-08-20,12479.0,Self-Watering Stakes
74,2020-08-21,17853.0,Self-Watering Stakes
75,2020-08-22,17853.0,Self-Watering Stakes
76,2020-08-23,17853.0,Self-Watering Stakes
77,2020-08-24,17853.0,Self-Watering Stakes
78,2020-08-25,6560.0,Self-Watering Stakes
79,2020-08-26,6560.0,Self-Watering Stakes
80,2020-08-27,6560.0,Self-Watering Stakes
81,2020-08-28,9034.0,Self-Watering Stakes
82,2020-08-29,9034.0,Self-Watering Stakes
83,2020-08-30,7707.0,Self-Watering Stakes
84,2020-08-31,7707.0,Self-Watering Stakes
85,2020-09-01,7707.0,Self-Watering Stakes
86,2020-09-02,7707.0,Self-Watering Stakes
87,2020-09-03,7707.0,Self-Watering Stakes
88,2020-09-04,7939.0,Self-Watering Stakes
89,2020-09-05,7939.0,Self-Watering Stakes
90,2020-09-06,7939.0,Self-Watering Stakes
91,2020-09-07,7258.0,Self-Watering Stakes
92,2020-09-08,7258.0,Self-Watering Stakes
93,2020-09-09,7258.0,Self-Watering Stakes
94,2020-09-10,3280.0,Self-Watering Stakes
95,2020-09-11,3280.0,Self-Watering Stakes
96,2020-09-12,3280.0,Self-Watering Stakes
97,2020-09-13,5720.0,Self-Watering Stakes
98,2020-09-14,5720.0,Self-Watering Stakes
99,2020-09-15,5720.0,Self-Watering Stakes
100,2020-09-16,7436.0,Self-Watering Stakes
101,2020-09-17,7436.0,Self-Watering Stakes
102,2020-09-18,7436.0,Self-Watering Stakes
103,2020-09-19,9409.0,Self-Watering Stakes
104,2020-09-20,9409.0,Self-Watering Stakes
105,2020-09-21,9409.0,Self-Watering Stakes
106,2020-09-22,9239.0,Self-Watering Stakes
107,2020-09-23,9239.0,Self-Watering Stakes
108,2020-09-24,9239.0,Self-Watering Stakes
109,2020-09-25,9239.0,Self-Watering Stakes
110,2020-09-26,9239.0,Self-Watering Stakes
111,2020-09-27,11322.0,Self-Watering Stakes
112,2020-09-28,11322.0,Self-Watering Stakes
113,2020-09-29,10652.0,Self-Watering Stakes
114,2020-09-30,10652.0,Self-Watering Stakes
115,2020-10-01,10652.0,Self-Watering Stakes
116,2020-10-02,11714.0,Self-Watering Stakes
117,2020-10-03,11714.0,Self-Watering Stakes
118,2020-10-04,11714.0,Self-Watering Stakes
119,2020-10-05,8167.0,Self-Watering Stakes
120,2020-10-06,8167.0,Self-Watering Stakes
121,2020-10-07,8167.0,Self-Watering Stakes
122,2020-10-08,8167.0,Self-Watering Stakes
123,2020-10-09,8167.0,Self-Watering Stakes
124,2020-10-10,8167.0,Self-Watering Stakes
125,2020-10-11,8167.0,Self-Watering Stakes
126,2020-10-12,7706.0,Self-Watering Stakes
127,2020-10-13,9419.0,Self-Watering Stakes
128,2020-10-14,9419.0,Self-Watering Stakes
129,2020-10-15,9419.0,Self-Watering Stakes
130,2020-10-16,9705.0,Self-Watering Stakes
131,2020-10-17,9705.0,Self-Watering Stakes
132,2020-10-18,9705.0,Self-Watering Stakes
133,2020-10-19,7329.0,Self-Watering Stakes
134,2020-10-20,7329.0,Self-Watering Stakes
135,2020-10-21,7329.0,Self-Watering Stakes
136,2020-10-22,6450.0,Self-Watering Stakes
137,2020-10-23,6450.0,Self-Watering Stakes
138,2020-10-24,6450.0,Self-Watering Stakes
139,2020-10-25,6450.0,Self-Watering Stakes
140,2020-10-26,5891.0,Self-Watering Stakes
141,2020-10-27,5891.0,Self-Watering Stakes
142,2020-10-28,5891.0,Self-Watering Stakes
143,2020-10-29,7815.0,Self-Watering Stakes
144,2020-10-30,7815.0,Self-Watering Stakes
145,2020-10-31,7815.0,Self-Watering Stakes
146,2020-11-01,7815.0,Self-Watering Stakes
147,2020-11-02,5087.0,Self-Watering Stakes
148,2020-11-03,5087.0,Self-Watering Stakes
149,2020-11-04,5087.0,Self-Watering Stakes
150,2020-11-05,4338.0,Self-Watering Stakes
151,2020-11-06,4338.0,Self-Watering Stakes
152,2020-11-07,4338.0,Self-Watering Stakes
153,2020-11-08,4338.0,Self-Watering Stakes
154,2020-11-09,4338.0,Self-Watering Stakes
155,2020-11-10,5581.0,Self-Watering Stakes
156,2020-11-11,8110.0,Self-Watering Stakes
157,2020-11-12,8110.0,Self-Watering Stakes
158,2020-11-13,8110.0,Self-Watering Stakes
159,2020-11-14,8110.0,Self-Watering Stakes
160,2020-11-15,8110.0,Self-Watering Stakes
161,2020-11-16,6636.0,Self-Watering Stakes
162,2020-11-17,6636.0,Self-Watering Stakes
163,2020-11-18,6636.0,Self-Watering Stakes
164,2020-11-19,6636.0,Self-Watering Stakes
165,2020-11-20,6636.0,Self-Watering Stakes
166,2020-11-21,6636.0,Self-Watering Stakes
167,2020-11-22,6636.0,Self-Watering Stakes
168,2020-11-23,6636.0,Self-Watering Stakes
169,2020-11-24,9343.0,Self-Watering Stakes
170,2020-11-25,9343.0,Self-Watering Stakes
171,2020-11-26,9343.0,Self-Watering Stakes
172,2020-11-27,9343.0,Self-Watering Stakes
173,2020-11-28,9343.0,Self-Watering Stakes
174,2020-11-29,9343.0,Self-Watering Stakes
175,2020-11-30,9343.0,Self-Watering Stakes
176,2020-12-01,8526.0,Self-Watering Stakes
177,2020-12-02,8526.0,Self-Watering Stakes
178,2020-12-03,8526.0,Self-Watering Stakes
179,2020-12-04,8526.0,Self-Watering Stakes
180,2020-12-05,8526.0,Self-Watering Stakes
181,2020-12-06,8526.0,Self-Watering Stakes
182,2020-12-07,7491.0,Self-Watering Stakes
183,2020-12-08,7491.0,Self-Watering Stakes
184,2020-12-09,7491.0,Self-Watering Stakes
185,2020-12-10,7491.0,Self-Watering Stakes
186,2020-12-11,7491.0,Self-Watering Stakes
187,2020-12-12,7491.0,Self-Watering Stakes
188,2020-12-13,7491.0,Self-Watering Stakes
189,2020-12-14,5147.0,Self-Watering Stakes
190,2020-12-15,5147.0,Self-Watering Stakes
191,2020-12-16,5147.0,Self-Watering Stakes
192,2020-12-17,5147.0,Self-Watering Stakes
193,2020-12-18,5147.0,Self-Watering Stakes
194,2020-12-19,5147.0,Self-Watering Stakes
195,2020-12-20,5147.0,Self-Watering Stakes
196,2020-12-21,5147.0,Self-Watering Stakes
197,2020-12-22,5377.0,Self-Watering Stakes
198,2020-12-23,5377.0,Self-Watering Stakes
199,2020-12-24,5377.0,Self-Watering Stakes
200,2020-12-25,6407.0,Self-Watering Stakes
201,2020-12-26,6407.0,Self-Watering Stakes
202,2020-12-27,6407.0,Self-Watering Stakes
203,2020-12-28,6407.0,Self-Watering Stakes
204,2020-12-29,3649.0,Self-Watering Stakes
205,2020-12-30,3649.0,Self-Watering Stakes
206,2020-12-31,3649.0,Self-Watering Stakes
207,2021-01-01,3649.0,Self-Watering Stakes
208,2021-01-02,3649.0,Self-Watering Stakes
209,2021-01-03,4989.0,Self-Watering Stakes
210,2021-01-04,4989.0,Self-Watering Stakes
211,2021-01-05,4322.0,Self-Watering Stakes
212,2021-01-06,3490.0,Self-Watering Stakes
213,2021-01-07,3490.0,Self-Watering Stakes
214,2021-01-08,3490.0,Self-Watering Stakes
215,2021-01-09,4841.0,Self-Watering Stakes
