,date,value,name_B08929NHCW
0,2020-05-27,391.0,Probiotics
1,2020-05-28,352.0,Probiotics
2,2020-05-29,352.0,Probiotics
3,2020-05-30,484.0,Probiotics
4,2020-05-31,484.0,Probiotics
5,2020-06-01,342.0,Probiotics
6,2020-06-02,342.0,Probiotics
7,2020-06-03,342.0,Probiotics
8,2020-06-04,333.0,Probiotics
9,2020-06-05,323.0,Probiotics
10,2020-06-06,337.0,Probiotics
11,2020-06-07,319.0,Probiotics
12,2020-06-08,272.0,Probiotics
13,2020-06-09,318.0,Probiotics
14,2020-06-10,318.0,Probiotics
15,2020-06-11,318.0,Probiotics
16,2020-06-12,352.0,Probiotics
17,2020-06-13,352.0,Probiotics
18,2020-06-14,332.0,Probiotics
19,2020-06-15,332.0,Probiotics
20,2020-06-16,276.0,Probiotics
21,2020-06-17,331.0,Probiotics
22,2020-06-18,331.0,Probiotics
23,2020-06-19,331.0,Probiotics
24,2020-06-20,331.0,Probiotics
25,2020-06-21,332.0,Probiotics
26,2020-06-22,367.0,Probiotics
27,2020-06-23,357.0,Probiotics
28,2020-06-24,357.0,Probiotics
29,2020-06-25,376.0,Probiotics
30,2020-06-26,394.0,Probiotics
31,2020-06-27,394.0,Probiotics
32,2020-06-28,394.0,Probiotics
33,2020-06-29,390.0,Probiotics
34,2020-06-30,390.0,Probiotics
35,2020-07-01,405.0,Probiotics
36,2020-07-02,421.0,Probiotics
37,2020-07-03,421.0,Probiotics
38,2020-07-04,421.0,Probiotics
39,2020-07-05,380.0,Probiotics
40,2020-07-06,320.0,Probiotics
41,2020-07-07,320.0,Probiotics
42,2020-07-08,411.0,Probiotics
43,2020-07-09,411.0,Probiotics
44,2020-07-10,411.0,Probiotics
45,2020-07-11,476.0,Probiotics
46,2020-07-12,476.0,Probiotics
47,2020-07-13,381.0,Probiotics
48,2020-07-14,381.0,Probiotics
49,2020-07-15,384.0,Probiotics
50,2020-07-16,384.0,Probiotics
51,2020-07-17,384.0,Probiotics
52,2020-07-18,384.0,Probiotics
53,2020-07-19,3716.0,Probiotics
54,2020-07-20,3716.0,Probiotics
55,2020-07-21,3716.0,Probiotics
56,2020-07-22,7937.0,Probiotics
57,2020-07-23,7937.0,Probiotics
58,2020-07-24,8932.0,Probiotics
59,2020-07-25,8932.0,Probiotics
60,2020-07-26,10024.0,Probiotics
61,2020-07-27,11510.0,Probiotics
62,2020-07-28,11510.0,Probiotics
63,2020-07-29,11510.0,Probiotics
64,2020-07-30,81.0,Probiotics
65,2020-07-31,36.0,Probiotics
66,2020-08-01,158.0,Probiotics
67,2020-08-02,268.0,Probiotics
68,2020-08-03,268.0,Probiotics
69,2020-08-04,268.0,Probiotics
70,2020-08-05,395.0,Probiotics
71,2020-08-06,384.0,Probiotics
72,2020-08-07,393.0,Probiotics
73,2020-08-08,374.0,Probiotics
74,2020-08-09,383.0,Probiotics
75,2020-08-10,347.0,Probiotics
76,2020-08-11,347.0,Probiotics
77,2020-08-12,347.0,Probiotics
78,2020-08-13,358.0,Probiotics
79,2020-08-14,375.0,Probiotics
80,2020-08-15,318.0,Probiotics
81,2020-08-16,318.0,Probiotics
82,2020-08-17,328.0,Probiotics
83,2020-08-18,367.0,Probiotics
84,2020-08-19,367.0,Probiotics
85,2020-08-20,367.0,Probiotics
86,2020-08-21,445.0,Probiotics
87,2020-08-22,386.0,Probiotics
88,2020-08-23,365.0,Probiotics
89,2020-08-24,365.0,Probiotics
90,2020-08-25,365.0,Probiotics
91,2020-08-26,359.0,Probiotics
92,2020-08-27,366.0,Probiotics
93,2020-08-28,366.0,Probiotics
94,2020-08-29,405.0,Probiotics
95,2020-08-30,326.0,Probiotics
96,2020-08-31,326.0,Probiotics
97,2020-09-01,326.0,Probiotics
98,2020-09-02,359.0,Probiotics
99,2020-09-03,361.0,Probiotics
100,2020-09-04,318.0,Probiotics
101,2020-09-05,318.0,Probiotics
102,2020-09-06,318.0,Probiotics
103,2020-09-07,323.0,Probiotics
104,2020-09-08,323.0,Probiotics
105,2020-09-09,323.0,Probiotics
106,2020-09-10,317.0,Probiotics
107,2020-09-11,356.0,Probiotics
108,2020-09-12,356.0,Probiotics
109,2020-09-13,334.0,Probiotics
110,2020-09-14,334.0,Probiotics
111,2020-09-15,328.0,Probiotics
112,2020-09-16,328.0,Probiotics
113,2020-09-17,328.0,Probiotics
114,2020-09-18,324.0,Probiotics
115,2020-09-19,324.0,Probiotics
116,2020-09-20,324.0,Probiotics
117,2020-09-21,320.0,Probiotics
118,2020-09-22,320.0,Probiotics
119,2020-09-23,380.0,Probiotics
120,2020-09-24,381.0,Probiotics
121,2020-09-25,359.0,Probiotics
122,2020-09-26,323.0,Probiotics
123,2020-09-27,323.0,Probiotics
124,2020-09-28,323.0,Probiotics
125,2020-09-29,341.0,Probiotics
126,2020-09-30,341.0,Probiotics
127,2020-10-01,374.0,Probiotics
128,2020-10-02,380.0,Probiotics
129,2020-10-03,380.0,Probiotics
130,2020-10-04,409.0,Probiotics
131,2020-10-05,409.0,Probiotics
132,2020-10-06,395.0,Probiotics
133,2020-10-07,390.0,Probiotics
134,2020-10-08,375.0,Probiotics
135,2020-10-09,318.0,Probiotics
136,2020-10-10,326.0,Probiotics
137,2020-10-11,326.0,Probiotics
138,2020-10-12,326.0,Probiotics
139,2020-10-13,437.0,Probiotics
140,2020-10-14,507.0,Probiotics
141,2020-10-15,519.0,Probiotics
142,2020-10-16,519.0,Probiotics
143,2020-10-17,519.0,Probiotics
144,2020-10-18,304.0,Probiotics
145,2020-10-19,299.0,Probiotics
146,2020-10-20,303.0,Probiotics
147,2020-10-21,348.0,Probiotics
148,2020-10-22,348.0,Probiotics
149,2020-10-23,348.0,Probiotics
150,2020-10-24,290.0,Probiotics
151,2020-10-25,304.0,Probiotics
152,2020-10-26,304.0,Probiotics
153,2020-10-27,304.0,Probiotics
154,2020-10-28,298.0,Probiotics
155,2020-10-29,298.0,Probiotics
156,2020-10-30,344.0,Probiotics
