,date,value,name_B0893FWSJP
0,2020-06-23,9867.0,Beads & Bead Assortments
1,2020-06-24,9867.0,Beads & Bead Assortments
2,2020-06-25,9867.0,Beads & Bead Assortments
3,2020-06-26,9867.0,Beads & Bead Assortments
4,2020-06-27,7433.0,Beads & Bead Assortments
5,2020-06-28,7433.0,Beads & Bead Assortments
6,2020-06-29,23192.0,Beads & Bead Assortments
7,2020-06-30,23192.0,Beads & Bead Assortments
8,2020-07-01,11558.0,Beads & Bead Assortments
9,2020-07-02,11558.0,Beads & Bead Assortments
10,2020-07-03,11558.0,Beads & Bead Assortments
11,2020-07-04,11558.0,Beads & Bead Assortments
12,2020-07-05,11558.0,Beads & Bead Assortments
13,2020-07-06,19394.0,Beads & Bead Assortments
14,2020-07-07,19394.0,Beads & Bead Assortments
15,2020-07-08,19394.0,Beads & Bead Assortments
16,2020-07-09,21707.0,Beads & Bead Assortments
17,2020-07-10,21707.0,Beads & Bead Assortments
18,2020-07-11,17778.0,Beads & Bead Assortments
19,2020-07-12,17778.0,Beads & Bead Assortments
20,2020-07-13,17778.0,Beads & Bead Assortments
21,2020-07-14,17778.0,Beads & Bead Assortments
22,2020-07-15,22946.0,Beads & Bead Assortments
23,2020-07-16,22946.0,Beads & Bead Assortments
24,2020-07-17,22946.0,Beads & Bead Assortments
25,2020-07-18,22946.0,Beads & Bead Assortments
26,2020-07-19,12266.0,Beads & Bead Assortments
27,2020-07-20,12266.0,Beads & Bead Assortments
28,2020-07-21,12266.0,Beads & Bead Assortments
29,2020-07-22,10249.0,Beads & Bead Assortments
30,2020-07-23,10249.0,Beads & Bead Assortments
31,2020-07-24,10249.0,Beads & Bead Assortments
32,2020-07-25,3341.0,Beads & Bead Assortments
33,2020-07-26,3341.0,Beads & Bead Assortments
34,2020-07-27,3341.0,Beads & Bead Assortments
35,2020-07-28,7476.0,Beads & Bead Assortments
36,2020-07-29,8668.0,Beads & Bead Assortments
37,2020-07-30,8668.0,Beads & Bead Assortments
38,2020-07-31,8668.0,Beads & Bead Assortments
39,2020-08-01,7645.0,Beads & Bead Assortments
40,2020-08-02,7950.0,Beads & Bead Assortments
41,2020-08-03,7950.0,Beads & Bead Assortments
42,2020-08-04,7950.0,Beads & Bead Assortments
43,2020-08-05,5830.0,Beads & Bead Assortments
44,2020-08-06,5830.0,Beads & Bead Assortments
45,2020-08-07,5830.0,Beads & Bead Assortments
46,2020-08-08,7495.0,Beads & Bead Assortments
47,2020-08-09,7495.0,Beads & Bead Assortments
48,2020-08-10,7495.0,Beads & Bead Assortments
49,2020-08-11,6069.0,Beads & Bead Assortments
50,2020-08-12,6069.0,Beads & Bead Assortments
51,2020-08-13,5520.0,Beads & Bead Assortments
52,2020-08-14,6235.0,Beads & Bead Assortments
53,2020-08-15,6235.0,Beads & Bead Assortments
54,2020-08-16,6235.0,Beads & Bead Assortments
55,2020-08-17,2546.0,Beads & Bead Assortments
56,2020-08-18,3249.0,Beads & Bead Assortments
57,2020-08-19,3249.0,Beads & Bead Assortments
58,2020-08-20,3249.0,Beads & Bead Assortments
59,2020-08-21,4976.0,Beads & Bead Assortments
60,2020-08-22,4976.0,Beads & Bead Assortments
61,2020-08-23,4976.0,Beads & Bead Assortments
62,2020-08-24,3645.0,Beads & Bead Assortments
63,2020-08-25,2450.0,Beads & Bead Assortments
64,2020-08-26,2450.0,Beads & Bead Assortments
65,2020-08-27,2450.0,Beads & Bead Assortments
66,2020-08-28,2847.0,Beads & Bead Assortments
67,2020-08-29,2847.0,Beads & Bead Assortments
68,2020-08-30,2564.0,Beads & Bead Assortments
69,2020-08-31,2564.0,Beads & Bead Assortments
70,2020-09-01,2564.0,Beads & Bead Assortments
71,2020-09-02,3518.0,Beads & Bead Assortments
72,2020-09-03,3457.0,Beads & Bead Assortments
73,2020-09-04,3043.0,Beads & Bead Assortments
74,2020-09-05,2999.0,Beads & Bead Assortments
75,2020-09-06,2999.0,Beads & Bead Assortments
76,2020-09-07,2999.0,Beads & Bead Assortments
77,2020-09-08,5516.0,Beads & Bead Assortments
78,2020-09-09,5516.0,Beads & Bead Assortments
79,2020-09-10,4626.0,Beads & Bead Assortments
80,2020-09-11,4626.0,Beads & Bead Assortments
81,2020-09-12,4626.0,Beads & Bead Assortments
82,2020-09-13,3203.0,Beads & Bead Assortments
83,2020-09-14,3203.0,Beads & Bead Assortments
84,2020-09-15,3203.0,Beads & Bead Assortments
85,2020-09-16,2895.0,Beads & Bead Assortments
86,2020-09-17,2895.0,Beads & Bead Assortments
87,2020-09-18,2895.0,Beads & Bead Assortments
88,2020-09-19,2338.0,Beads & Bead Assortments
89,2020-09-20,2338.0,Beads & Bead Assortments
90,2020-09-21,2338.0,Beads & Bead Assortments
91,2020-09-22,2504.0,Beads & Bead Assortments
92,2020-09-23,2504.0,Beads & Bead Assortments
93,2020-09-24,2504.0,Beads & Bead Assortments
94,2020-09-25,2225.0,Beads & Bead Assortments
95,2020-09-26,2225.0,Beads & Bead Assortments
96,2020-09-27,1687.0,Beads & Bead Assortments
97,2020-09-28,1687.0,Beads & Bead Assortments
98,2020-09-29,1687.0,Beads & Bead Assortments
99,2020-09-30,1904.0,Beads & Bead Assortments
100,2020-10-01,2213.0,Beads & Bead Assortments
101,2020-10-02,2213.0,Beads & Bead Assortments
102,2020-10-03,2213.0,Beads & Bead Assortments
103,2020-10-04,3184.0,Beads & Bead Assortments
104,2020-10-05,3020.0,Beads & Bead Assortments
105,2020-10-06,3020.0,Beads & Bead Assortments
106,2020-10-07,2533.0,Beads & Bead Assortments
107,2020-10-08,2652.0,Beads & Bead Assortments
108,2020-10-09,2652.0,Beads & Bead Assortments
109,2020-10-10,1357.0,Beads & Bead Assortments
110,2020-10-11,1645.0,Beads & Bead Assortments
111,2020-10-12,1645.0,Beads & Bead Assortments
112,2020-10-13,1645.0,Beads & Bead Assortments
113,2020-10-14,2515.0,Beads & Bead Assortments
114,2020-10-15,2354.0,Beads & Bead Assortments
115,2020-10-16,2354.0,Beads & Bead Assortments
116,2020-10-17,2148.0,Beads & Bead Assortments
117,2020-10-18,2148.0,Beads & Bead Assortments
118,2020-10-19,2825.0,Beads & Bead Assortments
119,2020-10-20,2825.0,Beads & Bead Assortments
120,2020-10-21,2636.0,Beads & Bead Assortments
121,2020-10-22,2636.0,Beads & Bead Assortments
122,2020-10-23,2636.0,Beads & Bead Assortments
123,2020-10-24,2679.0,Beads & Bead Assortments
124,2020-10-25,2679.0,Beads & Bead Assortments
125,2020-10-26,2679.0,Beads & Bead Assortments
126,2020-10-27,2275.0,Beads & Bead Assortments
127,2020-10-28,2147.0,Beads & Bead Assortments
128,2020-10-29,2147.0,Beads & Bead Assortments
129,2020-10-30,2346.0,Beads & Bead Assortments
130,2020-10-31,2346.0,Beads & Bead Assortments
131,2020-11-01,2346.0,Beads & Bead Assortments
132,2020-11-02,2362.0,Beads & Bead Assortments
133,2020-11-03,2362.0,Beads & Bead Assortments
134,2020-11-04,2067.0,Beads & Bead Assortments
135,2020-11-05,1904.0,Beads & Bead Assortments
136,2020-11-06,1704.0,Beads & Bead Assortments
137,2020-11-07,1704.0,Beads & Bead Assortments
138,2020-11-08,1704.0,Beads & Bead Assortments
139,2020-11-09,1720.0,Beads & Bead Assortments
140,2020-11-10,1720.0,Beads & Bead Assortments
141,2020-11-11,1617.0,Beads & Bead Assortments
142,2020-11-12,1741.0,Beads & Bead Assortments
143,2020-11-13,2082.0,Beads & Bead Assortments
144,2020-11-14,2082.0,Beads & Bead Assortments
145,2020-11-15,1119.0,Beads & Bead Assortments
146,2020-11-16,1343.0,Beads & Bead Assortments
147,2020-11-17,1343.0,Beads & Bead Assortments
148,2020-11-18,1323.0,Beads & Bead Assortments
149,2020-11-19,1828.0,Beads & Bead Assortments
150,2020-11-20,1991.0,Beads & Bead Assortments
151,2020-11-21,2287.0,Beads & Bead Assortments
152,2020-11-22,1330.0,Beads & Bead Assortments
153,2020-11-23,1589.0,Beads & Bead Assortments
