,date,value,name_B0897BZ5VK
0,2020-06-02,7018.0,Dry
1,2020-06-03,7018.0,Dry
2,2020-06-04,7018.0,Dry
3,2020-06-05,7018.0,Dry
4,2020-06-06,7018.0,Dry
5,2020-06-07,7018.0,Dry
6,2020-06-08,6106.0,Dry
7,2020-06-09,6106.0,Dry
8,2020-06-10,6525.0,Dry
9,2020-06-11,6525.0,Dry
10,2020-06-12,6525.0,Dry
11,2020-06-13,5651.0,Dry
12,2020-06-14,5651.0,Dry
13,2020-06-15,5819.0,Dry
14,2020-06-16,6320.0,Dry
15,2020-06-17,6320.0,Dry
16,2020-06-18,6994.0,Dry
17,2020-06-19,6726.0,Dry
18,2020-06-20,6726.0,Dry
19,2020-06-21,6726.0,Dry
20,2020-06-22,5746.0,Dry
21,2020-06-23,5746.0,Dry
22,2020-06-24,5746.0,Dry
23,2020-06-25,5746.0,Dry
24,2020-06-26,9557.0,Dry
25,2020-06-27,6033.0,Dry
26,2020-06-28,6033.0,Dry
27,2020-06-29,6033.0,Dry
28,2020-06-30,6033.0,Dry
29,2020-07-01,7837.0,Dry
30,2020-07-02,7837.0,Dry
31,2020-07-03,7837.0,Dry
32,2020-07-04,7837.0,Dry
33,2020-07-05,7837.0,Dry
34,2020-07-06,7167.0,Dry
35,2020-07-07,7616.0,Dry
36,2020-07-08,7616.0,Dry
37,2020-07-09,7616.0,Dry
38,2020-07-10,7616.0,Dry
39,2020-07-11,6694.0,Dry
40,2020-07-12,6694.0,Dry
41,2020-07-13,6694.0,Dry
42,2020-07-14,6640.0,Dry
43,2020-07-15,6640.0,Dry
44,2020-07-16,6640.0,Dry
45,2020-07-17,5287.0,Dry
46,2020-07-18,5287.0,Dry
47,2020-07-19,5287.0,Dry
48,2020-07-20,5367.0,Dry
49,2020-07-21,6066.0,Dry
50,2020-07-22,6066.0,Dry
51,2020-07-23,5872.0,Dry
52,2020-07-24,5872.0,Dry
53,2020-07-25,5872.0,Dry
54,2020-07-26,5872.0,Dry
55,2020-07-27,7237.0,Dry
56,2020-07-28,6786.0,Dry
57,2020-07-29,6008.0,Dry
