,date,value,name_B0897C8583
0,2020-06-01,18606.0,Weed Barrier Fabric
1,2020-06-02,18606.0,Weed Barrier Fabric
2,2020-06-03,18606.0,Weed Barrier Fabric
3,2020-06-04,18606.0,Weed Barrier Fabric
4,2020-06-05,69180.0,Weed Barrier Fabric
5,2020-06-06,69180.0,Weed Barrier Fabric
6,2020-06-07,69180.0,Weed Barrier Fabric
7,2020-06-08,25200.0,Weed Barrier Fabric
8,2020-06-09,15912.0,Weed Barrier Fabric
9,2020-06-10,10394.0,Weed Barrier Fabric
10,2020-06-11,9657.0,Weed Barrier Fabric
11,2020-06-12,11878.0,Weed Barrier Fabric
12,2020-06-13,11878.0,Weed Barrier Fabric
13,2020-06-14,11878.0,Weed Barrier Fabric
14,2020-06-15,7306.0,Weed Barrier Fabric
15,2020-06-16,8363.0,Weed Barrier Fabric
16,2020-06-17,9699.0,Weed Barrier Fabric
17,2020-06-18,9699.0,Weed Barrier Fabric
18,2020-06-19,17249.0,Weed Barrier Fabric
19,2020-06-20,17249.0,Weed Barrier Fabric
20,2020-06-21,17249.0,Weed Barrier Fabric
21,2020-06-22,17249.0,Weed Barrier Fabric
22,2020-06-23,15575.0,Weed Barrier Fabric
23,2020-06-24,15575.0,Weed Barrier Fabric
24,2020-06-25,15575.0,Weed Barrier Fabric
25,2020-06-26,15575.0,Weed Barrier Fabric
26,2020-06-27,9971.0,Weed Barrier Fabric
27,2020-06-28,9971.0,Weed Barrier Fabric
28,2020-06-29,15862.0,Weed Barrier Fabric
29,2020-06-30,27708.0,Weed Barrier Fabric
30,2020-07-01,18703.0,Weed Barrier Fabric
31,2020-07-02,11925.0,Weed Barrier Fabric
32,2020-07-03,14490.0,Weed Barrier Fabric
33,2020-07-04,14490.0,Weed Barrier Fabric
34,2020-07-05,14490.0,Weed Barrier Fabric
35,2020-07-06,15062.0,Weed Barrier Fabric
36,2020-07-07,14070.0,Weed Barrier Fabric
37,2020-07-08,15877.0,Weed Barrier Fabric
38,2020-07-09,16513.0,Weed Barrier Fabric
39,2020-07-10,15309.0,Weed Barrier Fabric
40,2020-07-11,20992.0,Weed Barrier Fabric
41,2020-07-12,20992.0,Weed Barrier Fabric
42,2020-07-13,20992.0,Weed Barrier Fabric
43,2020-07-14,52045.0,Weed Barrier Fabric
44,2020-07-15,52045.0,Weed Barrier Fabric
45,2020-07-16,52045.0,Weed Barrier Fabric
46,2020-07-17,58791.0,Weed Barrier Fabric
47,2020-07-18,13538.0,Weed Barrier Fabric
48,2020-07-19,17232.0,Weed Barrier Fabric
49,2020-07-20,13033.0,Weed Barrier Fabric
50,2020-07-21,14012.0,Weed Barrier Fabric
51,2020-07-22,14708.0,Weed Barrier Fabric
52,2020-07-23,14708.0,Weed Barrier Fabric
53,2020-07-24,10254.0,Weed Barrier Fabric
54,2020-07-25,8819.0,Weed Barrier Fabric
55,2020-07-26,8819.0,Weed Barrier Fabric
56,2020-07-27,7722.0,Weed Barrier Fabric
57,2020-07-28,5686.0,Weed Barrier Fabric
58,2020-07-29,6132.0,Weed Barrier Fabric
59,2020-07-30,6132.0,Weed Barrier Fabric
60,2020-07-31,6015.0,Weed Barrier Fabric
61,2020-08-01,6015.0,Weed Barrier Fabric
62,2020-08-02,6015.0,Weed Barrier Fabric
63,2020-08-03,7517.0,Weed Barrier Fabric
64,2020-08-04,7517.0,Weed Barrier Fabric
65,2020-08-05,6717.0,Weed Barrier Fabric
66,2020-08-06,7512.0,Weed Barrier Fabric
67,2020-08-07,7715.0,Weed Barrier Fabric
68,2020-08-08,7715.0,Weed Barrier Fabric
69,2020-08-09,7715.0,Weed Barrier Fabric
70,2020-08-10,13864.0,Weed Barrier Fabric
71,2020-08-11,13864.0,Weed Barrier Fabric
72,2020-08-12,11019.0,Weed Barrier Fabric
73,2020-08-13,11019.0,Weed Barrier Fabric
74,2020-08-14,11481.0,Weed Barrier Fabric
75,2020-08-15,11481.0,Weed Barrier Fabric
76,2020-08-16,11481.0,Weed Barrier Fabric
77,2020-08-17,14890.0,Weed Barrier Fabric
78,2020-08-18,21791.0,Weed Barrier Fabric
79,2020-08-19,14343.0,Weed Barrier Fabric
80,2020-08-20,14343.0,Weed Barrier Fabric
81,2020-08-21,18296.0,Weed Barrier Fabric
82,2020-08-22,18296.0,Weed Barrier Fabric
83,2020-08-23,18296.0,Weed Barrier Fabric
84,2020-08-24,15526.0,Weed Barrier Fabric
85,2020-08-25,27111.0,Weed Barrier Fabric
86,2020-08-26,38963.0,Weed Barrier Fabric
87,2020-08-27,50066.0,Weed Barrier Fabric
88,2020-08-28,50066.0,Weed Barrier Fabric
89,2020-08-29,50066.0,Weed Barrier Fabric
90,2020-08-30,50066.0,Weed Barrier Fabric
91,2020-08-31,50066.0,Weed Barrier Fabric
92,2020-09-01,29068.0,Weed Barrier Fabric
93,2020-09-02,12193.0,Weed Barrier Fabric
94,2020-09-03,12193.0,Weed Barrier Fabric
95,2020-09-04,9396.0,Weed Barrier Fabric
96,2020-09-05,9396.0,Weed Barrier Fabric
97,2020-09-06,11317.0,Weed Barrier Fabric
