,date,value,name_B089B2P67Z
0,2020-05-30,9059.0,Blood Glucose Monitors
1,2020-05-31,9059.0,Blood Glucose Monitors
2,2020-06-01,9593.0,Blood Glucose Monitors
3,2020-06-02,9593.0,Blood Glucose Monitors
4,2020-06-03,9593.0,Blood Glucose Monitors
5,2020-06-04,9593.0,Blood Glucose Monitors
6,2020-06-05,11955.0,Blood Glucose Monitors
7,2020-06-06,11955.0,Blood Glucose Monitors
8,2020-06-07,11955.0,Blood Glucose Monitors
9,2020-06-08,11955.0,Blood Glucose Monitors
10,2020-06-09,10717.0,Blood Glucose Monitors
11,2020-06-10,10702.0,Blood Glucose Monitors
12,2020-06-11,11934.0,Blood Glucose Monitors
13,2020-06-12,11934.0,Blood Glucose Monitors
14,2020-06-13,11934.0,Blood Glucose Monitors
15,2020-06-14,11934.0,Blood Glucose Monitors
16,2020-06-15,11934.0,Blood Glucose Monitors
17,2020-06-16,11934.0,Blood Glucose Monitors
18,2020-06-17,9434.0,Blood Glucose Monitors
19,2020-06-18,10210.0,Blood Glucose Monitors
20,2020-06-19,10210.0,Blood Glucose Monitors
21,2020-06-20,10210.0,Blood Glucose Monitors
22,2020-06-21,9154.0,Blood Glucose Monitors
23,2020-06-22,10458.0,Blood Glucose Monitors
24,2020-06-23,10458.0,Blood Glucose Monitors
25,2020-06-24,10458.0,Blood Glucose Monitors
26,2020-06-25,10458.0,Blood Glucose Monitors
27,2020-06-26,10325.0,Blood Glucose Monitors
28,2020-06-27,10325.0,Blood Glucose Monitors
29,2020-06-28,9764.0,Blood Glucose Monitors
30,2020-06-29,11758.0,Blood Glucose Monitors
31,2020-06-30,9783.0,Blood Glucose Monitors
32,2020-07-01,10259.0,Blood Glucose Monitors
33,2020-07-02,9652.0,Blood Glucose Monitors
34,2020-07-03,9652.0,Blood Glucose Monitors
35,2020-07-04,9652.0,Blood Glucose Monitors
36,2020-07-05,9652.0,Blood Glucose Monitors
37,2020-07-06,9652.0,Blood Glucose Monitors
38,2020-07-07,9652.0,Blood Glucose Monitors
39,2020-07-08,9815.0,Blood Glucose Monitors
40,2020-07-09,9815.0,Blood Glucose Monitors
41,2020-07-10,9815.0,Blood Glucose Monitors
42,2020-07-11,10613.0,Blood Glucose Monitors
43,2020-07-12,10577.0,Blood Glucose Monitors
44,2020-07-13,11383.0,Blood Glucose Monitors
45,2020-07-14,11383.0,Blood Glucose Monitors
46,2020-07-15,11383.0,Blood Glucose Monitors
47,2020-07-16,11383.0,Blood Glucose Monitors
48,2020-07-17,9610.0,Blood Glucose Monitors
49,2020-07-18,9610.0,Blood Glucose Monitors
50,2020-07-19,9618.0,Blood Glucose Monitors
51,2020-07-20,10124.0,Blood Glucose Monitors
52,2020-07-21,10124.0,Blood Glucose Monitors
53,2020-07-22,10124.0,Blood Glucose Monitors
54,2020-07-23,10124.0,Blood Glucose Monitors
55,2020-07-24,10079.0,Blood Glucose Monitors
56,2020-07-25,10079.0,Blood Glucose Monitors
57,2020-07-26,10079.0,Blood Glucose Monitors
58,2020-07-27,10178.0,Blood Glucose Monitors
59,2020-07-28,9387.0,Blood Glucose Monitors
60,2020-07-29,9377.0,Blood Glucose Monitors
61,2020-07-30,9377.0,Blood Glucose Monitors
62,2020-07-31,9377.0,Blood Glucose Monitors
63,2020-08-01,8429.0,Blood Glucose Monitors
64,2020-08-02,8925.0,Blood Glucose Monitors
65,2020-08-03,9110.0,Blood Glucose Monitors
66,2020-08-04,9110.0,Blood Glucose Monitors
67,2020-08-05,9110.0,Blood Glucose Monitors
68,2020-08-06,8773.0,Blood Glucose Monitors
69,2020-08-07,10381.0,Blood Glucose Monitors
70,2020-08-08,10381.0,Blood Glucose Monitors
71,2020-08-09,10381.0,Blood Glucose Monitors
72,2020-08-10,10381.0,Blood Glucose Monitors
73,2020-08-11,10381.0,Blood Glucose Monitors
74,2020-08-12,9140.0,Blood Glucose Monitors
75,2020-08-13,8771.0,Blood Glucose Monitors
76,2020-08-14,8771.0,Blood Glucose Monitors
77,2020-08-15,8771.0,Blood Glucose Monitors
78,2020-08-16,8771.0,Blood Glucose Monitors
79,2020-08-17,10581.0,Blood Glucose Monitors
80,2020-08-18,10581.0,Blood Glucose Monitors
81,2020-08-19,10581.0,Blood Glucose Monitors
82,2020-08-20,10581.0,Blood Glucose Monitors
83,2020-08-21,8688.0,Blood Glucose Monitors
84,2020-08-22,8688.0,Blood Glucose Monitors
85,2020-08-23,8688.0,Blood Glucose Monitors
86,2020-08-24,8688.0,Blood Glucose Monitors
87,2020-08-25,8646.0,Blood Glucose Monitors
88,2020-08-26,8316.0,Blood Glucose Monitors
89,2020-08-27,8316.0,Blood Glucose Monitors
90,2020-08-28,8316.0,Blood Glucose Monitors
91,2020-08-29,8316.0,Blood Glucose Monitors
92,2020-08-30,8316.0,Blood Glucose Monitors
93,2020-08-31,8316.0,Blood Glucose Monitors
94,2020-09-01,8316.0,Blood Glucose Monitors
95,2020-09-02,8316.0,Blood Glucose Monitors
96,2020-09-03,9168.0,Blood Glucose Monitors
97,2020-09-04,9168.0,Blood Glucose Monitors
98,2020-09-05,9168.0,Blood Glucose Monitors
99,2020-09-06,7291.0,Blood Glucose Monitors
100,2020-09-07,8418.0,Blood Glucose Monitors
101,2020-09-08,8418.0,Blood Glucose Monitors
102,2020-09-09,8418.0,Blood Glucose Monitors
103,2020-09-10,8418.0,Blood Glucose Monitors
104,2020-09-11,9550.0,Blood Glucose Monitors
105,2020-09-12,9550.0,Blood Glucose Monitors
106,2020-09-13,9550.0,Blood Glucose Monitors
107,2020-09-14,11225.0,Blood Glucose Monitors
108,2020-09-15,11225.0,Blood Glucose Monitors
109,2020-09-16,8855.0,Blood Glucose Monitors
110,2020-09-17,8855.0,Blood Glucose Monitors
111,2020-09-18,7772.0,Blood Glucose Monitors
112,2020-09-19,7772.0,Blood Glucose Monitors
113,2020-09-20,7114.0,Blood Glucose Monitors
114,2020-09-21,8522.0,Blood Glucose Monitors
115,2020-09-22,9220.0,Blood Glucose Monitors
116,2020-09-23,9332.0,Blood Glucose Monitors
117,2020-09-24,8883.0,Blood Glucose Monitors
118,2020-09-25,8269.0,Blood Glucose Monitors
119,2020-09-26,8269.0,Blood Glucose Monitors
120,2020-09-27,8269.0,Blood Glucose Monitors
121,2020-09-28,8287.0,Blood Glucose Monitors
122,2020-09-29,8180.0,Blood Glucose Monitors
123,2020-09-30,8180.0,Blood Glucose Monitors
124,2020-10-01,8180.0,Blood Glucose Monitors
125,2020-10-02,7835.0,Blood Glucose Monitors
126,2020-10-03,7835.0,Blood Glucose Monitors
127,2020-10-04,10147.0,Blood Glucose Monitors
128,2020-10-05,10147.0,Blood Glucose Monitors
129,2020-10-06,7993.0,Blood Glucose Monitors
130,2020-10-07,9683.0,Blood Glucose Monitors
131,2020-10-08,9683.0,Blood Glucose Monitors
132,2020-10-09,9683.0,Blood Glucose Monitors
133,2020-10-10,9540.0,Blood Glucose Monitors
134,2020-10-11,9540.0,Blood Glucose Monitors
135,2020-10-12,10230.0,Blood Glucose Monitors
136,2020-10-13,8905.0,Blood Glucose Monitors
137,2020-10-14,8905.0,Blood Glucose Monitors
138,2020-10-15,10232.0,Blood Glucose Monitors
139,2020-10-16,9772.0,Blood Glucose Monitors
140,2020-10-17,9772.0,Blood Glucose Monitors
141,2020-10-18,9772.0,Blood Glucose Monitors
142,2020-10-19,8536.0,Blood Glucose Monitors
143,2020-10-20,8536.0,Blood Glucose Monitors
144,2020-10-21,8233.0,Blood Glucose Monitors
145,2020-10-22,7511.0,Blood Glucose Monitors
146,2020-10-23,7511.0,Blood Glucose Monitors
147,2020-10-24,7511.0,Blood Glucose Monitors
148,2020-10-25,7242.0,Blood Glucose Monitors
149,2020-10-26,7242.0,Blood Glucose Monitors
150,2020-10-27,8338.0,Blood Glucose Monitors
151,2020-10-28,8338.0,Blood Glucose Monitors
152,2020-10-29,8338.0,Blood Glucose Monitors
153,2020-10-30,10135.0,Blood Glucose Monitors
154,2020-10-31,8112.0,Blood Glucose Monitors
155,2020-11-01,8112.0,Blood Glucose Monitors
156,2020-11-02,8063.0,Blood Glucose Monitors
157,2020-11-03,8204.0,Blood Glucose Monitors
158,2020-11-04,8032.0,Blood Glucose Monitors
159,2020-11-05,7748.0,Blood Glucose Monitors
160,2020-11-06,7539.0,Blood Glucose Monitors
161,2020-11-07,7232.0,Blood Glucose Monitors
162,2020-11-08,7232.0,Blood Glucose Monitors
163,2020-11-09,8340.0,Blood Glucose Monitors
164,2020-11-10,6692.0,Blood Glucose Monitors
165,2020-11-11,6692.0,Blood Glucose Monitors
166,2020-11-12,8414.0,Blood Glucose Monitors
167,2020-11-13,8414.0,Blood Glucose Monitors
168,2020-11-14,8414.0,Blood Glucose Monitors
169,2020-11-15,8366.0,Blood Glucose Monitors
170,2020-11-16,10712.0,Blood Glucose Monitors
171,2020-11-17,10712.0,Blood Glucose Monitors
172,2020-11-18,10143.0,Blood Glucose Monitors
173,2020-11-19,10143.0,Blood Glucose Monitors
174,2020-11-20,10143.0,Blood Glucose Monitors
175,2020-11-21,10610.0,Blood Glucose Monitors
176,2020-11-22,10610.0,Blood Glucose Monitors
177,2020-11-23,9146.0,Blood Glucose Monitors
178,2020-11-24,9146.0,Blood Glucose Monitors
179,2020-11-25,8675.0,Blood Glucose Monitors
180,2020-11-26,8827.0,Blood Glucose Monitors
181,2020-11-27,7105.0,Blood Glucose Monitors
182,2020-11-28,7105.0,Blood Glucose Monitors
183,2020-11-29,10111.0,Blood Glucose Monitors
184,2020-11-30,9096.0,Blood Glucose Monitors
185,2020-12-01,9324.0,Blood Glucose Monitors
186,2020-12-02,8286.0,Blood Glucose Monitors
187,2020-12-03,8286.0,Blood Glucose Monitors
188,2020-12-04,9892.0,Blood Glucose Monitors
189,2020-12-05,9892.0,Blood Glucose Monitors
190,2020-12-06,9892.0,Blood Glucose Monitors
191,2020-12-07,7570.0,Blood Glucose Monitors
192,2020-12-08,7991.0,Blood Glucose Monitors
193,2020-12-09,8372.0,Blood Glucose Monitors
194,2020-12-10,8125.0,Blood Glucose Monitors
195,2020-12-11,8125.0,Blood Glucose Monitors
196,2020-12-12,8003.0,Blood Glucose Monitors
197,2020-12-13,8003.0,Blood Glucose Monitors
198,2020-12-14,8928.0,Blood Glucose Monitors
199,2020-12-15,8928.0,Blood Glucose Monitors
200,2020-12-16,8928.0,Blood Glucose Monitors
201,2020-12-17,9057.0,Blood Glucose Monitors
202,2020-12-18,7046.0,Blood Glucose Monitors
203,2020-12-19,7655.0,Blood Glucose Monitors
204,2020-12-20,7918.0,Blood Glucose Monitors
205,2020-12-21,7918.0,Blood Glucose Monitors
206,2020-12-22,7387.0,Blood Glucose Monitors
207,2020-12-23,7761.0,Blood Glucose Monitors
208,2020-12-24,6655.0,Blood Glucose Monitors
