,date,value,name_B089Q3S1B1
0,2020-06-09,72438.0,Poly & Plastic Packaging Bags
1,2020-06-10,47542.0,Poly & Plastic Packaging Bags
2,2020-06-11,47542.0,Poly & Plastic Packaging Bags
3,2020-06-12,47542.0,Poly & Plastic Packaging Bags
4,2020-06-13,47542.0,Poly & Plastic Packaging Bags
5,2020-06-14,47542.0,Poly & Plastic Packaging Bags
6,2020-06-15,47542.0,Poly & Plastic Packaging Bags
7,2020-06-16,47542.0,Poly & Plastic Packaging Bags
8,2020-06-17,37250.0,Poly & Plastic Packaging Bags
9,2020-06-18,37250.0,Poly & Plastic Packaging Bags
10,2020-06-19,37250.0,Poly & Plastic Packaging Bags
11,2020-06-20,70273.0,Poly & Plastic Packaging Bags
12,2020-06-21,70273.0,Poly & Plastic Packaging Bags
13,2020-06-22,70273.0,Poly & Plastic Packaging Bags
14,2020-06-23,70273.0,Poly & Plastic Packaging Bags
15,2020-06-24,70273.0,Poly & Plastic Packaging Bags
16,2020-06-25,70273.0,Poly & Plastic Packaging Bags
17,2020-06-26,40492.0,Poly & Plastic Packaging Bags
18,2020-06-27,61193.0,Poly & Plastic Packaging Bags
19,2020-06-28,61193.0,Poly & Plastic Packaging Bags
20,2020-06-29,61193.0,Poly & Plastic Packaging Bags
21,2020-06-30,61193.0,Poly & Plastic Packaging Bags
22,2020-07-01,61193.0,Poly & Plastic Packaging Bags
23,2020-07-02,61193.0,Poly & Plastic Packaging Bags
24,2020-07-03,61193.0,Poly & Plastic Packaging Bags
25,2020-07-04,61193.0,Poly & Plastic Packaging Bags
26,2020-07-05,61193.0,Poly & Plastic Packaging Bags
27,2020-07-06,61193.0,Poly & Plastic Packaging Bags
28,2020-07-07,61193.0,Poly & Plastic Packaging Bags
29,2020-07-08,66291.0,Poly & Plastic Packaging Bags
30,2020-07-09,66291.0,Poly & Plastic Packaging Bags
31,2020-07-10,66291.0,Poly & Plastic Packaging Bags
32,2020-07-11,66291.0,Poly & Plastic Packaging Bags
33,2020-07-12,66291.0,Poly & Plastic Packaging Bags
34,2020-07-13,66291.0,Poly & Plastic Packaging Bags
35,2020-07-14,66291.0,Poly & Plastic Packaging Bags
36,2020-07-15,66291.0,Poly & Plastic Packaging Bags
37,2020-07-16,66291.0,Poly & Plastic Packaging Bags
38,2020-07-17,66291.0,Poly & Plastic Packaging Bags
39,2020-07-18,66291.0,Poly & Plastic Packaging Bags
40,2020-07-19,66291.0,Poly & Plastic Packaging Bags
41,2020-07-20,66291.0,Poly & Plastic Packaging Bags
42,2020-07-21,66291.0,Poly & Plastic Packaging Bags
43,2020-07-22,66291.0,Poly & Plastic Packaging Bags
44,2020-07-23,66291.0,Poly & Plastic Packaging Bags
45,2020-07-24,66291.0,Poly & Plastic Packaging Bags
46,2020-07-25,66291.0,Poly & Plastic Packaging Bags
47,2020-07-26,32517.0,Poly & Plastic Packaging Bags
48,2020-07-27,32517.0,Poly & Plastic Packaging Bags
49,2020-07-28,32517.0,Poly & Plastic Packaging Bags
50,2020-07-29,32517.0,Poly & Plastic Packaging Bags
51,2020-07-30,32517.0,Poly & Plastic Packaging Bags
52,2020-07-31,32517.0,Poly & Plastic Packaging Bags
53,2020-08-01,32517.0,Poly & Plastic Packaging Bags
54,2020-08-02,32517.0,Poly & Plastic Packaging Bags
55,2020-08-03,32517.0,Poly & Plastic Packaging Bags
56,2020-08-04,32517.0,Poly & Plastic Packaging Bags
57,2020-08-05,32517.0,Poly & Plastic Packaging Bags
58,2020-08-06,32517.0,Poly & Plastic Packaging Bags
59,2020-08-07,87387.0,Poly & Plastic Packaging Bags
60,2020-08-08,87387.0,Poly & Plastic Packaging Bags
61,2020-08-09,51851.0,Poly & Plastic Packaging Bags
62,2020-08-10,51851.0,Poly & Plastic Packaging Bags
63,2020-08-11,51851.0,Poly & Plastic Packaging Bags
64,2020-08-12,51851.0,Poly & Plastic Packaging Bags
65,2020-08-13,51851.0,Poly & Plastic Packaging Bags
66,2020-08-14,51851.0,Poly & Plastic Packaging Bags
67,2020-08-15,51851.0,Poly & Plastic Packaging Bags
68,2020-08-16,51851.0,Poly & Plastic Packaging Bags
69,2020-08-17,51851.0,Poly & Plastic Packaging Bags
70,2020-08-18,51851.0,Poly & Plastic Packaging Bags
71,2020-08-19,51851.0,Poly & Plastic Packaging Bags
72,2020-08-20,51851.0,Poly & Plastic Packaging Bags
73,2020-08-21,51851.0,Poly & Plastic Packaging Bags
74,2020-08-22,51851.0,Poly & Plastic Packaging Bags
75,2020-08-23,51851.0,Poly & Plastic Packaging Bags
76,2020-08-24,51851.0,Poly & Plastic Packaging Bags
77,2020-08-25,56703.0,Poly & Plastic Packaging Bags
78,2020-08-26,56703.0,Poly & Plastic Packaging Bags
79,2020-08-27,56703.0,Poly & Plastic Packaging Bags
80,2020-08-28,56703.0,Poly & Plastic Packaging Bags
81,2020-08-29,56703.0,Poly & Plastic Packaging Bags
82,2020-08-30,56703.0,Poly & Plastic Packaging Bags
83,2020-08-31,56703.0,Poly & Plastic Packaging Bags
84,2020-09-01,56703.0,Poly & Plastic Packaging Bags
85,2020-09-02,39428.0,Poly & Plastic Packaging Bags
86,2020-09-03,39428.0,Poly & Plastic Packaging Bags
87,2020-09-04,39428.0,Poly & Plastic Packaging Bags
88,2020-09-05,39428.0,Poly & Plastic Packaging Bags
89,2020-09-06,39428.0,Poly & Plastic Packaging Bags
90,2020-09-07,39428.0,Poly & Plastic Packaging Bags
91,2020-09-08,39428.0,Poly & Plastic Packaging Bags
92,2020-09-09,54420.0,Poly & Plastic Packaging Bags
93,2020-09-10,54420.0,Poly & Plastic Packaging Bags
94,2020-09-11,54420.0,Poly & Plastic Packaging Bags
95,2020-09-12,54420.0,Poly & Plastic Packaging Bags
96,2020-09-13,54420.0,Poly & Plastic Packaging Bags
97,2020-09-14,54420.0,Poly & Plastic Packaging Bags
98,2020-09-15,54420.0,Poly & Plastic Packaging Bags
99,2020-09-16,37638.0,Poly & Plastic Packaging Bags
100,2020-09-17,37638.0,Poly & Plastic Packaging Bags
101,2020-09-18,37638.0,Poly & Plastic Packaging Bags
102,2020-09-19,37638.0,Poly & Plastic Packaging Bags
