,date,value,name_B089Q57CSK
0,2020-06-08,2849.0,Box Mailers
1,2020-06-09,2193.0,Box Mailers
2,2020-06-10,2193.0,Box Mailers
3,2020-06-11,1360.0,Box Mailers
4,2020-06-12,1557.0,Box Mailers
5,2020-06-13,1620.0,Box Mailers
6,2020-06-14,1620.0,Box Mailers
7,2020-06-15,1620.0,Box Mailers
8,2020-06-16,1750.0,Box Mailers
9,2020-06-17,1979.0,Box Mailers
10,2020-06-18,2101.0,Box Mailers
11,2020-06-19,1871.0,Box Mailers
12,2020-06-20,1585.0,Box Mailers
13,2020-06-21,1773.0,Box Mailers
14,2020-06-22,1718.0,Box Mailers
15,2020-06-23,2225.0,Box Mailers
16,2020-06-24,1840.0,Box Mailers
17,2020-06-25,2535.0,Box Mailers
18,2020-06-26,2576.0,Box Mailers
19,2020-06-27,2056.0,Box Mailers
20,2020-06-28,2817.0,Box Mailers
21,2020-06-29,3369.0,Box Mailers
22,2020-06-30,3340.0,Box Mailers
23,2020-07-01,5164.0,Box Mailers
24,2020-07-02,5919.0,Box Mailers
25,2020-07-03,5919.0,Box Mailers
26,2020-07-04,5919.0,Box Mailers
27,2020-07-05,5919.0,Box Mailers
28,2020-07-06,5919.0,Box Mailers
29,2020-07-07,16465.0,Box Mailers
30,2020-07-08,16465.0,Box Mailers
31,2020-07-09,16465.0,Box Mailers
32,2020-07-10,27348.0,Box Mailers
33,2020-07-11,26246.0,Box Mailers
34,2020-07-12,26246.0,Box Mailers
35,2020-07-13,26246.0,Box Mailers
36,2020-07-14,26246.0,Box Mailers
37,2020-07-15,26246.0,Box Mailers
38,2020-07-16,26246.0,Box Mailers
39,2020-07-17,26246.0,Box Mailers
40,2020-07-18,26246.0,Box Mailers
41,2020-07-19,26246.0,Box Mailers
42,2020-07-20,32156.0,Box Mailers
43,2020-07-21,32156.0,Box Mailers
44,2020-07-22,32156.0,Box Mailers
45,2020-07-23,42775.0,Box Mailers
46,2020-07-24,42775.0,Box Mailers
47,2020-07-25,42775.0,Box Mailers
48,2020-07-26,42775.0,Box Mailers
49,2020-07-27,42775.0,Box Mailers
50,2020-07-28,42775.0,Box Mailers
51,2020-07-29,42775.0,Box Mailers
52,2020-07-30,74845.0,Box Mailers
53,2020-07-31,74845.0,Box Mailers
54,2020-08-01,36713.0,Box Mailers
55,2020-08-02,36713.0,Box Mailers
56,2020-08-03,36713.0,Box Mailers
57,2020-08-04,36713.0,Box Mailers
58,2020-08-05,36713.0,Box Mailers
59,2020-08-06,38268.0,Box Mailers
60,2020-08-07,38536.0,Box Mailers
61,2020-08-08,38536.0,Box Mailers
62,2020-08-09,38536.0,Box Mailers
63,2020-08-10,10188.0,Box Mailers
64,2020-08-11,10188.0,Box Mailers
65,2020-08-12,6019.0,Box Mailers
66,2020-08-13,5124.0,Box Mailers
67,2020-08-14,4901.0,Box Mailers
68,2020-08-15,4901.0,Box Mailers
69,2020-08-16,4901.0,Box Mailers
70,2020-08-17,2648.0,Box Mailers
71,2020-08-18,2893.0,Box Mailers
72,2020-08-19,2336.0,Box Mailers
73,2020-08-20,2336.0,Box Mailers
74,2020-08-21,1857.0,Box Mailers
75,2020-08-22,1504.0,Box Mailers
76,2020-08-23,1504.0,Box Mailers
77,2020-08-24,1702.0,Box Mailers
78,2020-08-25,1646.0,Box Mailers
79,2020-08-26,1646.0,Box Mailers
80,2020-08-27,1646.0,Box Mailers
81,2020-08-28,2019.0,Box Mailers
82,2020-08-29,1421.0,Box Mailers
83,2020-08-30,1452.0,Box Mailers
84,2020-08-31,1452.0,Box Mailers
85,2020-09-01,1415.0,Box Mailers
86,2020-09-02,1415.0,Box Mailers
87,2020-09-03,1415.0,Box Mailers
88,2020-09-04,1385.0,Box Mailers
89,2020-09-05,1385.0,Box Mailers
90,2020-09-06,1385.0,Box Mailers
91,2020-09-07,1307.0,Box Mailers
92,2020-09-08,1307.0,Box Mailers
93,2020-09-09,1307.0,Box Mailers
94,2020-09-10,1303.0,Box Mailers
95,2020-09-11,1303.0,Box Mailers
96,2020-09-12,1303.0,Box Mailers
97,2020-09-13,1008.0,Box Mailers
98,2020-09-14,1008.0,Box Mailers
99,2020-09-15,1184.0,Box Mailers
100,2020-09-16,1184.0,Box Mailers
101,2020-09-17,1668.0,Box Mailers
102,2020-09-18,1668.0,Box Mailers
103,2020-09-19,1668.0,Box Mailers
104,2020-09-20,1840.0,Box Mailers
105,2020-09-21,1454.0,Box Mailers
106,2020-09-22,1454.0,Box Mailers
107,2020-09-23,1928.0,Box Mailers
108,2020-09-24,1443.0,Box Mailers
109,2020-09-25,1443.0,Box Mailers
110,2020-09-26,1443.0,Box Mailers
111,2020-09-27,1718.0,Box Mailers
112,2020-09-28,1779.0,Box Mailers
113,2020-09-29,1651.0,Box Mailers
114,2020-09-30,1651.0,Box Mailers
115,2020-10-01,1647.0,Box Mailers
116,2020-10-02,1647.0,Box Mailers
117,2020-10-03,1647.0,Box Mailers
118,2020-10-04,1613.0,Box Mailers
119,2020-10-05,2108.0,Box Mailers
120,2020-10-06,2006.0,Box Mailers
121,2020-10-07,2006.0,Box Mailers
122,2020-10-08,2006.0,Box Mailers
123,2020-10-09,2875.0,Box Mailers
124,2020-10-10,2875.0,Box Mailers
125,2020-10-11,2875.0,Box Mailers
126,2020-10-12,2614.0,Box Mailers
127,2020-10-13,2614.0,Box Mailers
128,2020-10-14,3702.0,Box Mailers
129,2020-10-15,3899.0,Box Mailers
130,2020-10-16,3678.0,Box Mailers
131,2020-10-17,3678.0,Box Mailers
132,2020-10-18,3678.0,Box Mailers
133,2020-10-19,4052.0,Box Mailers
134,2020-10-20,4052.0,Box Mailers
135,2020-10-21,4052.0,Box Mailers
136,2020-10-22,8674.0,Box Mailers
137,2020-10-23,8674.0,Box Mailers
138,2020-10-24,8674.0,Box Mailers
139,2020-10-25,8674.0,Box Mailers
140,2020-10-26,8674.0,Box Mailers
141,2020-10-27,5657.0,Box Mailers
142,2020-10-28,2967.0,Box Mailers
143,2020-10-29,3010.0,Box Mailers
144,2020-10-30,3010.0,Box Mailers
145,2020-10-31,2313.0,Box Mailers
146,2020-11-01,2313.0,Box Mailers
147,2020-11-02,1844.0,Box Mailers
148,2020-11-03,1550.0,Box Mailers
149,2020-11-04,1550.0,Box Mailers
150,2020-11-05,1550.0,Box Mailers
151,2020-11-06,1036.0,Box Mailers
152,2020-11-07,848.0,Box Mailers
153,2020-11-08,968.0,Box Mailers
154,2020-11-09,1198.0,Box Mailers
155,2020-11-10,1198.0,Box Mailers
156,2020-11-11,1198.0,Box Mailers
157,2020-11-12,1114.0,Box Mailers
158,2020-11-13,1114.0,Box Mailers
159,2020-11-14,1114.0,Box Mailers
160,2020-11-15,1270.0,Box Mailers
161,2020-11-16,1017.0,Box Mailers
162,2020-11-17,917.0,Box Mailers
163,2020-11-18,917.0,Box Mailers
164,2020-11-19,643.0,Box Mailers
165,2020-11-20,643.0,Box Mailers
166,2020-11-21,875.0,Box Mailers
167,2020-11-22,875.0,Box Mailers
168,2020-11-23,662.0,Box Mailers
169,2020-11-24,662.0,Box Mailers
170,2020-11-25,662.0,Box Mailers
171,2020-11-26,1127.0,Box Mailers
172,2020-11-27,1385.0,Box Mailers
173,2020-11-28,1646.0,Box Mailers
174,2020-11-29,1281.0,Box Mailers
175,2020-11-30,1475.0,Box Mailers
176,2020-12-01,1475.0,Box Mailers
177,2020-12-02,1667.0,Box Mailers
178,2020-12-03,1667.0,Box Mailers
179,2020-12-04,1503.0,Box Mailers
180,2020-12-05,1613.0,Box Mailers
181,2020-12-06,1327.0,Box Mailers
182,2020-12-07,1327.0,Box Mailers
183,2020-12-08,1026.0,Box Mailers
184,2020-12-09,1061.0,Box Mailers
185,2020-12-10,1127.0,Box Mailers
186,2020-12-11,1127.0,Box Mailers
187,2020-12-12,1127.0,Box Mailers
188,2020-12-13,1577.0,Box Mailers
189,2020-12-14,1577.0,Box Mailers
190,2020-12-15,2205.0,Box Mailers
191,2020-12-16,2205.0,Box Mailers
192,2020-12-17,2205.0,Box Mailers
193,2020-12-18,3234.0,Box Mailers
194,2020-12-19,3234.0,Box Mailers
195,2020-12-20,3234.0,Box Mailers
196,2020-12-21,3663.0,Box Mailers
197,2020-12-22,4244.0,Box Mailers
198,2020-12-23,5470.0,Box Mailers
199,2020-12-24,5470.0,Box Mailers
200,2020-12-25,5189.0,Box Mailers
201,2020-12-26,4522.0,Box Mailers
202,2020-12-27,5852.0,Box Mailers
203,2020-12-28,3508.0,Box Mailers
204,2020-12-29,2465.0,Box Mailers
205,2020-12-30,2264.0,Box Mailers
206,2020-12-31,1725.0,Box Mailers
207,2021-01-01,1725.0,Box Mailers
208,2021-01-02,1725.0,Box Mailers
209,2021-01-03,1725.0,Box Mailers
210,2021-01-04,1738.0,Box Mailers
211,2021-01-05,1868.0,Box Mailers
212,2021-01-06,1868.0,Box Mailers
213,2021-01-07,1642.0,Box Mailers
214,2021-01-08,1642.0,Box Mailers
215,2021-01-09,1642.0,Box Mailers
216,2021-01-10,1642.0,Box Mailers
217,2021-01-11,1749.0,Box Mailers
218,2021-01-12,1749.0,Box Mailers
219,2021-01-13,466.0,Box Mailers
220,2021-01-14,432.0,Box Mailers
221,2021-01-15,432.0,Box Mailers
222,2021-01-16,432.0,Box Mailers
223,2021-01-17,237.0,Box Mailers
224,2021-01-18,246.0,Box Mailers
225,2021-01-19,208.0,Box Mailers
226,2021-01-20,238.0,Box Mailers
227,2021-01-21,527.0,Box Mailers
228,2021-01-22,701.0,Box Mailers
229,2021-01-23,964.0,Box Mailers
230,2021-01-24,964.0,Box Mailers
231,2021-01-25,964.0,Box Mailers
232,2021-01-26,723.0,Box Mailers
233,2021-01-27,723.0,Box Mailers
234,2021-01-28,723.0,Box Mailers
235,2021-01-29,937.0,Box Mailers
236,2021-01-30,937.0,Box Mailers
237,2021-01-31,854.0,Box Mailers
238,2021-02-01,960.0,Box Mailers
239,2021-02-02,900.0,Box Mailers
240,2021-02-03,900.0,Box Mailers
241,2021-02-04,900.0,Box Mailers
242,2021-02-05,900.0,Box Mailers
243,2021-02-06,897.0,Box Mailers
244,2021-02-07,850.0,Box Mailers
245,2021-02-08,888.0,Box Mailers
246,2021-02-09,888.0,Box Mailers
247,2021-02-10,902.0,Box Mailers
248,2021-02-11,866.0,Box Mailers
249,2021-02-12,984.0,Box Mailers
250,2021-02-13,793.0,Box Mailers
251,2021-02-14,1001.0,Box Mailers
252,2021-02-15,1001.0,Box Mailers
253,2021-02-16,1001.0,Box Mailers
254,2021-02-17,1072.0,Box Mailers
255,2021-02-18,1024.0,Box Mailers
256,2021-02-19,1024.0,Box Mailers
257,2021-02-20,978.0,Box Mailers
258,2021-02-21,978.0,Box Mailers
259,2021-02-22,1175.0,Box Mailers
260,2021-02-23,1232.0,Box Mailers
261,2021-02-24,1107.0,Box Mailers
262,2021-02-25,1107.0,Box Mailers
263,2021-02-26,1107.0,Box Mailers
264,2021-02-27,1083.0,Box Mailers
265,2021-02-28,1083.0,Box Mailers
266,2021-03-01,1083.0,Box Mailers
267,2021-03-02,1138.0,Box Mailers
268,2021-03-03,1138.0,Box Mailers
269,2021-03-04,1037.0,Box Mailers
270,2021-03-05,936.0,Box Mailers
271,2021-03-06,936.0,Box Mailers
272,2021-03-07,1255.0,Box Mailers
273,2021-03-08,1286.0,Box Mailers
274,2021-03-09,1228.0,Box Mailers
275,2021-03-10,1296.0,Box Mailers
276,2021-03-11,1163.0,Box Mailers
277,2021-03-12,1316.0,Box Mailers
278,2021-03-13,1179.0,Box Mailers
279,2021-03-14,1115.0,Box Mailers
280,2021-03-15,1305.0,Box Mailers
281,2021-03-16,721.0,Box Mailers
282,2021-03-17,663.0,Box Mailers
283,2021-03-18,519.0,Box Mailers
284,2021-03-19,443.0,Box Mailers
285,2021-03-20,443.0,Box Mailers
286,2021-03-21,455.0,Box Mailers
287,2021-03-22,484.0,Box Mailers
288,2021-03-23,684.0,Box Mailers
289,2021-03-24,684.0,Box Mailers
290,2021-03-25,750.0,Box Mailers
291,2021-03-26,750.0,Box Mailers
292,2021-03-27,998.0,Box Mailers
293,2021-03-28,1026.0,Box Mailers
294,2021-03-29,1026.0,Box Mailers
295,2021-03-30,1143.0,Box Mailers
296,2021-03-31,1143.0,Box Mailers
297,2021-04-01,1143.0,Box Mailers
298,2021-04-02,898.0,Box Mailers
299,2021-04-03,972.0,Box Mailers
300,2021-04-04,1057.0,Box Mailers
301,2021-04-05,1018.0,Box Mailers
302,2021-04-06,1167.0,Box Mailers
303,2021-04-07,944.0,Box Mailers
304,2021-04-08,912.0,Box Mailers
305,2021-04-09,1037.0,Box Mailers
306,2021-04-10,1037.0,Box Mailers
307,2021-04-11,1037.0,Box Mailers
308,2021-04-12,1326.0,Box Mailers
309,2021-04-13,1326.0,Box Mailers
310,2021-04-14,1326.0,Box Mailers
311,2021-04-15,1248.0,Box Mailers
312,2021-04-16,1606.0,Box Mailers
313,2021-04-17,1606.0,Box Mailers
314,2021-04-18,1606.0,Box Mailers
315,2021-04-19,1512.0,Box Mailers
316,2021-04-20,1512.0,Box Mailers
317,2021-04-21,719.0,Box Mailers
318,2021-04-22,719.0,Box Mailers
319,2021-04-23,719.0,Box Mailers
320,2021-04-24,605.0,Box Mailers
321,2021-04-25,605.0,Box Mailers
322,2021-04-26,583.0,Box Mailers
323,2021-04-27,583.0,Box Mailers
324,2021-04-28,583.0,Box Mailers
325,2021-04-29,1068.0,Box Mailers
326,2021-04-30,985.0,Box Mailers
327,2021-05-01,985.0,Box Mailers
328,2021-05-02,1366.0,Box Mailers
329,2021-05-03,1366.0,Box Mailers
330,2021-05-04,1138.0,Box Mailers
331,2021-05-05,1266.0,Box Mailers
332,2021-05-06,1437.0,Box Mailers
333,2021-05-07,1287.0,Box Mailers
334,2021-05-08,1236.0,Box Mailers
335,2021-05-09,1236.0,Box Mailers
336,2021-05-10,1544.0,Box Mailers
337,2021-05-11,1119.0,Box Mailers
338,2021-05-12,1119.0,Box Mailers
339,2021-05-13,856.0,Box Mailers
340,2021-05-14,856.0,Box Mailers
341,2021-05-15,899.0,Box Mailers
342,2021-05-16,899.0,Box Mailers
343,2021-05-17,899.0,Box Mailers
344,2021-05-18,1306.0,Box Mailers
345,2021-05-19,1505.0,Box Mailers
346,2021-05-20,1222.0,Box Mailers
347,2021-05-21,1481.0,Box Mailers
348,2021-05-22,1538.0,Box Mailers
349,2021-05-23,1719.0,Box Mailers
350,2021-05-24,1719.0,Box Mailers
351,2021-05-25,1360.0,Box Mailers
352,2021-05-26,1360.0,Box Mailers
353,2021-05-27,1296.0,Box Mailers
354,2021-05-28,1296.0,Box Mailers
355,2021-05-29,1407.0,Box Mailers
356,2021-05-30,1407.0,Box Mailers
357,2021-05-31,1495.0,Box Mailers
358,2021-06-01,1487.0,Box Mailers
359,2021-06-02,2010.0,Box Mailers
360,2021-06-03,2010.0,Box Mailers
361,2021-06-04,1642.0,Box Mailers
362,2021-06-05,1996.0,Box Mailers
363,2021-06-06,1996.0,Box Mailers
364,2021-06-07,2006.0,Box Mailers
365,2021-06-08,2100.0,Box Mailers
366,2021-06-09,2100.0,Box Mailers
367,2021-06-10,2583.0,Box Mailers
368,2021-06-11,2637.0,Box Mailers
369,2021-06-12,2637.0,Box Mailers
370,2021-06-13,1623.0,Box Mailers
371,2021-06-14,1910.0,Box Mailers
372,2021-06-15,1910.0,Box Mailers
373,2021-06-16,2355.0,Box Mailers
374,2021-06-17,1938.0,Box Mailers
375,2021-06-18,2267.0,Box Mailers
376,2021-06-19,2267.0,Box Mailers
377,2021-06-20,1935.0,Box Mailers
378,2021-06-21,2688.0,Box Mailers
379,2021-06-22,2552.0,Box Mailers
380,2021-06-23,1930.0,Box Mailers
381,2021-06-24,1930.0,Box Mailers
382,2021-06-25,1728.0,Box Mailers
383,2021-06-26,1728.0,Box Mailers
384,2021-06-27,1551.0,Box Mailers
385,2021-06-28,1791.0,Box Mailers
386,2021-06-29,1488.0,Box Mailers
387,2021-06-30,1620.0,Box Mailers
388,2021-07-01,1537.0,Box Mailers
389,2021-07-02,1730.0,Box Mailers
390,2021-07-03,1529.0,Box Mailers
391,2021-07-04,1898.0,Box Mailers
392,2021-07-05,2008.0,Box Mailers
393,2021-07-06,1961.0,Box Mailers
394,2021-07-07,1738.0,Box Mailers
395,2021-07-08,1580.0,Box Mailers
396,2021-07-09,1580.0,Box Mailers
397,2021-07-10,2027.0,Box Mailers
398,2021-07-11,1647.0,Box Mailers
