,date,value,name_B089SWM9LK
0,2020-06-16,39914.0,Children's Clothes Hangers
1,2020-06-17,39914.0,Children's Clothes Hangers
2,2020-06-18,39914.0,Children's Clothes Hangers
3,2020-06-19,39914.0,Children's Clothes Hangers
4,2020-06-20,39914.0,Children's Clothes Hangers
5,2020-06-21,39914.0,Children's Clothes Hangers
6,2020-06-22,39914.0,Children's Clothes Hangers
7,2020-06-23,24722.0,Children's Clothes Hangers
8,2020-06-24,24722.0,Children's Clothes Hangers
9,2020-06-25,24722.0,Children's Clothes Hangers
10,2020-06-26,24722.0,Children's Clothes Hangers
11,2020-06-27,24722.0,Children's Clothes Hangers
12,2020-06-28,24722.0,Children's Clothes Hangers
13,2020-06-29,24266.0,Children's Clothes Hangers
14,2020-06-30,24266.0,Children's Clothes Hangers
15,2020-07-01,24266.0,Children's Clothes Hangers
16,2020-07-02,24266.0,Children's Clothes Hangers
17,2020-07-03,26120.0,Children's Clothes Hangers
18,2020-07-04,26120.0,Children's Clothes Hangers
19,2020-07-05,26120.0,Children's Clothes Hangers
20,2020-07-06,26120.0,Children's Clothes Hangers
21,2020-07-07,26120.0,Children's Clothes Hangers
22,2020-07-08,19210.0,Children's Clothes Hangers
23,2020-07-09,23755.0,Children's Clothes Hangers
24,2020-07-10,23755.0,Children's Clothes Hangers
25,2020-07-11,23755.0,Children's Clothes Hangers
26,2020-07-12,23755.0,Children's Clothes Hangers
27,2020-07-13,23755.0,Children's Clothes Hangers
28,2020-07-14,16684.0,Children's Clothes Hangers
29,2020-07-15,16684.0,Children's Clothes Hangers
30,2020-07-16,16684.0,Children's Clothes Hangers
31,2020-07-17,16684.0,Children's Clothes Hangers
32,2020-07-18,15028.0,Children's Clothes Hangers
33,2020-07-19,15028.0,Children's Clothes Hangers
34,2020-07-20,13132.0,Children's Clothes Hangers
35,2020-07-21,13132.0,Children's Clothes Hangers
36,2020-07-22,13132.0,Children's Clothes Hangers
37,2020-07-23,12832.0,Children's Clothes Hangers
38,2020-07-24,12832.0,Children's Clothes Hangers
39,2020-07-25,12832.0,Children's Clothes Hangers
40,2020-07-26,13787.0,Children's Clothes Hangers
41,2020-07-27,11527.0,Children's Clothes Hangers
42,2020-07-28,11403.0,Children's Clothes Hangers
43,2020-07-29,12131.0,Children's Clothes Hangers
44,2020-07-30,12131.0,Children's Clothes Hangers
45,2020-07-31,12131.0,Children's Clothes Hangers
46,2020-08-01,12131.0,Children's Clothes Hangers
47,2020-08-02,12929.0,Children's Clothes Hangers
48,2020-08-03,12929.0,Children's Clothes Hangers
49,2020-08-04,12929.0,Children's Clothes Hangers
50,2020-08-05,19889.0,Children's Clothes Hangers
51,2020-08-06,19889.0,Children's Clothes Hangers
52,2020-08-07,19889.0,Children's Clothes Hangers
53,2020-08-08,19889.0,Children's Clothes Hangers
54,2020-08-09,19889.0,Children's Clothes Hangers
55,2020-08-10,19889.0,Children's Clothes Hangers
56,2020-08-11,21337.0,Children's Clothes Hangers
57,2020-08-12,21337.0,Children's Clothes Hangers
58,2020-08-13,18984.0,Children's Clothes Hangers
59,2020-08-14,18984.0,Children's Clothes Hangers
60,2020-08-15,17069.0,Children's Clothes Hangers
61,2020-08-16,17069.0,Children's Clothes Hangers
62,2020-08-17,17069.0,Children's Clothes Hangers
63,2020-08-18,13622.0,Children's Clothes Hangers
64,2020-08-19,13622.0,Children's Clothes Hangers
65,2020-08-20,19051.0,Children's Clothes Hangers
66,2020-08-21,19051.0,Children's Clothes Hangers
67,2020-08-22,19051.0,Children's Clothes Hangers
68,2020-08-23,12469.0,Children's Clothes Hangers
69,2020-08-24,15718.0,Children's Clothes Hangers
70,2020-08-25,15718.0,Children's Clothes Hangers
71,2020-08-26,15718.0,Children's Clothes Hangers
72,2020-08-27,15718.0,Children's Clothes Hangers
73,2020-08-28,15718.0,Children's Clothes Hangers
74,2020-08-29,17640.0,Children's Clothes Hangers
75,2020-08-30,17640.0,Children's Clothes Hangers
76,2020-08-31,17640.0,Children's Clothes Hangers
77,2020-09-01,18888.0,Children's Clothes Hangers
78,2020-09-02,16021.0,Children's Clothes Hangers
79,2020-09-03,18412.0,Children's Clothes Hangers
80,2020-09-04,18412.0,Children's Clothes Hangers
81,2020-09-05,18412.0,Children's Clothes Hangers
82,2020-09-06,15228.0,Children's Clothes Hangers
83,2020-09-07,15228.0,Children's Clothes Hangers
84,2020-09-08,16696.0,Children's Clothes Hangers
85,2020-09-09,16581.0,Children's Clothes Hangers
86,2020-09-10,14032.0,Children's Clothes Hangers
87,2020-09-11,14089.0,Children's Clothes Hangers
88,2020-09-12,14089.0,Children's Clothes Hangers
89,2020-09-13,14089.0,Children's Clothes Hangers
90,2020-09-14,14089.0,Children's Clothes Hangers
91,2020-09-15,15337.0,Children's Clothes Hangers
92,2020-09-16,15337.0,Children's Clothes Hangers
93,2020-09-17,15337.0,Children's Clothes Hangers
94,2020-09-18,12897.0,Children's Clothes Hangers
95,2020-09-19,12897.0,Children's Clothes Hangers
96,2020-09-20,12897.0,Children's Clothes Hangers
97,2020-09-21,12897.0,Children's Clothes Hangers
98,2020-09-22,14818.0,Children's Clothes Hangers
99,2020-09-23,14818.0,Children's Clothes Hangers
100,2020-09-24,14818.0,Children's Clothes Hangers
101,2020-09-25,14818.0,Children's Clothes Hangers
102,2020-09-26,14818.0,Children's Clothes Hangers
103,2020-09-27,15417.0,Children's Clothes Hangers
104,2020-09-28,13168.0,Children's Clothes Hangers
105,2020-09-29,13168.0,Children's Clothes Hangers
106,2020-09-30,13168.0,Children's Clothes Hangers
107,2020-10-01,13168.0,Children's Clothes Hangers
108,2020-10-02,13168.0,Children's Clothes Hangers
109,2020-10-03,13785.0,Children's Clothes Hangers
110,2020-10-04,13785.0,Children's Clothes Hangers
111,2020-10-05,13785.0,Children's Clothes Hangers
112,2020-10-06,13785.0,Children's Clothes Hangers
113,2020-10-07,13071.0,Children's Clothes Hangers
114,2020-10-08,13071.0,Children's Clothes Hangers
115,2020-10-09,13071.0,Children's Clothes Hangers
116,2020-10-10,14934.0,Children's Clothes Hangers
117,2020-10-11,14934.0,Children's Clothes Hangers
118,2020-10-12,14934.0,Children's Clothes Hangers
119,2020-10-13,18762.0,Children's Clothes Hangers
120,2020-10-14,18762.0,Children's Clothes Hangers
121,2020-10-15,18762.0,Children's Clothes Hangers
122,2020-10-16,18762.0,Children's Clothes Hangers
123,2020-10-17,18762.0,Children's Clothes Hangers
124,2020-10-18,18762.0,Children's Clothes Hangers
125,2020-10-19,13978.0,Children's Clothes Hangers
126,2020-10-20,13978.0,Children's Clothes Hangers
127,2020-10-21,15175.0,Children's Clothes Hangers
128,2020-10-22,15175.0,Children's Clothes Hangers
129,2020-10-23,15175.0,Children's Clothes Hangers
130,2020-10-24,15175.0,Children's Clothes Hangers
131,2020-10-25,23887.0,Children's Clothes Hangers
132,2020-10-26,23887.0,Children's Clothes Hangers
133,2020-10-27,23887.0,Children's Clothes Hangers
134,2020-10-28,23887.0,Children's Clothes Hangers
135,2020-10-29,23887.0,Children's Clothes Hangers
136,2020-10-30,23887.0,Children's Clothes Hangers
137,2020-10-31,23887.0,Children's Clothes Hangers
138,2020-11-01,25302.0,Children's Clothes Hangers
139,2020-11-02,25302.0,Children's Clothes Hangers
140,2020-11-03,25302.0,Children's Clothes Hangers
141,2020-11-04,25302.0,Children's Clothes Hangers
142,2020-11-05,21996.0,Children's Clothes Hangers
143,2020-11-06,21996.0,Children's Clothes Hangers
144,2020-11-07,21996.0,Children's Clothes Hangers
145,2020-11-08,21996.0,Children's Clothes Hangers
146,2020-11-09,34062.0,Children's Clothes Hangers
147,2020-11-10,34062.0,Children's Clothes Hangers
148,2020-11-11,34062.0,Children's Clothes Hangers
149,2020-11-12,32100.0,Children's Clothes Hangers
150,2020-11-13,32100.0,Children's Clothes Hangers
151,2020-11-14,32100.0,Children's Clothes Hangers
152,2020-11-15,32100.0,Children's Clothes Hangers
153,2020-11-16,32100.0,Children's Clothes Hangers
154,2020-11-17,32100.0,Children's Clothes Hangers
155,2020-11-18,32100.0,Children's Clothes Hangers
156,2020-11-19,27008.0,Children's Clothes Hangers
157,2020-11-20,27008.0,Children's Clothes Hangers
158,2020-11-21,27008.0,Children's Clothes Hangers
159,2020-11-22,27008.0,Children's Clothes Hangers
160,2020-11-23,38856.0,Children's Clothes Hangers
161,2020-11-24,38856.0,Children's Clothes Hangers
162,2020-11-25,38856.0,Children's Clothes Hangers
163,2020-11-26,38856.0,Children's Clothes Hangers
164,2020-11-27,41092.0,Children's Clothes Hangers
165,2020-11-28,41092.0,Children's Clothes Hangers
166,2020-11-29,41092.0,Children's Clothes Hangers
167,2020-11-30,77104.0,Children's Clothes Hangers
168,2020-12-01,77104.0,Children's Clothes Hangers
169,2020-12-02,77104.0,Children's Clothes Hangers
170,2020-12-03,77104.0,Children's Clothes Hangers
171,2020-12-04,51230.0,Children's Clothes Hangers
172,2020-12-05,51230.0,Children's Clothes Hangers
173,2020-12-06,32347.0,Children's Clothes Hangers
174,2020-12-07,32347.0,Children's Clothes Hangers
175,2020-12-08,32347.0,Children's Clothes Hangers
176,2020-12-09,25394.0,Children's Clothes Hangers
177,2020-12-10,25394.0,Children's Clothes Hangers
178,2020-12-11,25394.0,Children's Clothes Hangers
179,2020-12-12,29585.0,Children's Clothes Hangers
180,2020-12-13,29585.0,Children's Clothes Hangers
181,2020-12-14,29585.0,Children's Clothes Hangers
182,2020-12-15,32936.0,Children's Clothes Hangers
183,2020-12-16,38647.0,Children's Clothes Hangers
184,2020-12-17,38647.0,Children's Clothes Hangers
185,2020-12-18,38647.0,Children's Clothes Hangers
186,2020-12-19,38647.0,Children's Clothes Hangers
187,2020-12-20,25515.0,Children's Clothes Hangers
188,2020-12-21,25515.0,Children's Clothes Hangers
189,2020-12-22,17215.0,Children's Clothes Hangers
190,2020-12-23,18309.0,Children's Clothes Hangers
191,2020-12-24,14134.0,Children's Clothes Hangers
192,2020-12-25,17538.0,Children's Clothes Hangers
193,2020-12-26,17538.0,Children's Clothes Hangers
194,2020-12-27,17538.0,Children's Clothes Hangers
195,2020-12-28,17538.0,Children's Clothes Hangers
196,2020-12-29,8325.0,Children's Clothes Hangers
197,2020-12-30,8325.0,Children's Clothes Hangers
198,2020-12-31,8325.0,Children's Clothes Hangers
199,2021-01-01,8252.0,Children's Clothes Hangers
200,2021-01-02,8252.0,Children's Clothes Hangers
201,2021-01-03,8252.0,Children's Clothes Hangers
202,2021-01-04,7166.0,Children's Clothes Hangers
203,2021-01-05,7166.0,Children's Clothes Hangers
204,2021-01-06,5690.0,Children's Clothes Hangers
205,2021-01-07,6249.0,Children's Clothes Hangers
206,2021-01-08,5486.0,Children's Clothes Hangers
207,2021-01-09,5486.0,Children's Clothes Hangers
208,2021-01-10,5486.0,Children's Clothes Hangers
209,2021-01-11,6726.0,Children's Clothes Hangers
210,2021-01-12,6726.0,Children's Clothes Hangers
211,2021-01-13,7283.0,Children's Clothes Hangers
212,2021-01-14,7283.0,Children's Clothes Hangers
213,2021-01-15,7283.0,Children's Clothes Hangers
214,2021-01-16,7592.0,Children's Clothes Hangers
215,2021-01-17,7592.0,Children's Clothes Hangers
216,2021-01-18,7592.0,Children's Clothes Hangers
217,2021-01-19,6531.0,Children's Clothes Hangers
218,2021-01-20,5617.0,Children's Clothes Hangers
219,2021-01-21,5617.0,Children's Clothes Hangers
220,2021-01-22,6084.0,Children's Clothes Hangers
221,2021-01-23,6084.0,Children's Clothes Hangers
222,2021-01-24,6084.0,Children's Clothes Hangers
223,2021-01-25,6332.0,Children's Clothes Hangers
224,2021-01-26,6332.0,Children's Clothes Hangers
225,2021-01-27,6332.0,Children's Clothes Hangers
226,2021-01-28,6990.0,Children's Clothes Hangers
227,2021-01-29,6990.0,Children's Clothes Hangers
228,2021-01-30,7078.0,Children's Clothes Hangers
229,2021-01-31,7078.0,Children's Clothes Hangers
230,2021-02-01,5573.0,Children's Clothes Hangers
231,2021-02-02,6681.0,Children's Clothes Hangers
232,2021-02-03,6681.0,Children's Clothes Hangers
233,2021-02-04,6702.0,Children's Clothes Hangers
234,2021-02-05,6702.0,Children's Clothes Hangers
235,2021-02-06,6702.0,Children's Clothes Hangers
236,2021-02-07,7011.0,Children's Clothes Hangers
237,2021-02-08,7011.0,Children's Clothes Hangers
238,2021-02-09,7011.0,Children's Clothes Hangers
239,2021-02-10,9100.0,Children's Clothes Hangers
240,2021-02-11,9100.0,Children's Clothes Hangers
241,2021-02-12,9100.0,Children's Clothes Hangers
242,2021-02-13,9100.0,Children's Clothes Hangers
243,2021-02-14,12152.0,Children's Clothes Hangers
244,2021-02-15,12152.0,Children's Clothes Hangers
245,2021-02-16,12152.0,Children's Clothes Hangers
