,date,value,name_B08B7VQV76
0,2021-02-06,72362.0,Blended Vitamin & Mineral Supplements
1,2021-02-07,72362.0,Blended Vitamin & Mineral Supplements
2,2021-02-08,72362.0,Blended Vitamin & Mineral Supplements
3,2021-02-09,72362.0,Blended Vitamin & Mineral Supplements
4,2021-02-10,72362.0,Blended Vitamin & Mineral Supplements
5,2021-02-11,54028.0,Blended Vitamin & Mineral Supplements
6,2021-02-12,54028.0,Blended Vitamin & Mineral Supplements
7,2021-02-13,54028.0,Blended Vitamin & Mineral Supplements
8,2021-02-14,54028.0,Blended Vitamin & Mineral Supplements
9,2021-02-15,54028.0,Blended Vitamin & Mineral Supplements
10,2021-02-16,54028.0,Blended Vitamin & Mineral Supplements
11,2021-02-17,69394.0,Blended Vitamin & Mineral Supplements
12,2021-02-18,69394.0,Blended Vitamin & Mineral Supplements
13,2021-02-19,69394.0,Blended Vitamin & Mineral Supplements
14,2021-02-20,69394.0,Blended Vitamin & Mineral Supplements
15,2021-02-21,69394.0,Blended Vitamin & Mineral Supplements
16,2021-02-22,69394.0,Blended Vitamin & Mineral Supplements
17,2021-02-23,69394.0,Blended Vitamin & Mineral Supplements
18,2021-02-24,69394.0,Blended Vitamin & Mineral Supplements
19,2021-02-25,114442.0,Blended Vitamin & Mineral Supplements
20,2021-02-26,114442.0,Blended Vitamin & Mineral Supplements
21,2021-02-27,114442.0,Blended Vitamin & Mineral Supplements
22,2021-02-28,114442.0,Blended Vitamin & Mineral Supplements
23,2021-03-01,114442.0,Blended Vitamin & Mineral Supplements
24,2021-03-02,114442.0,Blended Vitamin & Mineral Supplements
25,2021-03-03,114442.0,Blended Vitamin & Mineral Supplements
26,2021-03-04,114442.0,Blended Vitamin & Mineral Supplements
27,2021-03-05,87515.0,Blended Vitamin & Mineral Supplements
28,2021-03-06,87515.0,Blended Vitamin & Mineral Supplements
29,2021-03-07,87515.0,Blended Vitamin & Mineral Supplements
30,2021-03-08,87515.0,Blended Vitamin & Mineral Supplements
31,2021-03-09,87515.0,Blended Vitamin & Mineral Supplements
32,2021-03-10,87515.0,Blended Vitamin & Mineral Supplements
33,2021-03-11,87515.0,Blended Vitamin & Mineral Supplements
34,2021-03-12,87515.0,Blended Vitamin & Mineral Supplements
35,2021-03-13,87515.0,Blended Vitamin & Mineral Supplements
36,2021-03-14,87515.0,Blended Vitamin & Mineral Supplements
37,2021-03-15,183902.0,Blended Vitamin & Mineral Supplements
38,2021-03-16,183902.0,Blended Vitamin & Mineral Supplements
39,2021-03-17,183902.0,Blended Vitamin & Mineral Supplements
40,2021-03-18,247273.0,Blended Vitamin & Mineral Supplements
41,2021-03-19,247273.0,Blended Vitamin & Mineral Supplements
42,2021-03-20,247273.0,Blended Vitamin & Mineral Supplements
43,2021-03-21,247273.0,Blended Vitamin & Mineral Supplements
44,2021-03-22,247273.0,Blended Vitamin & Mineral Supplements
45,2021-03-23,247273.0,Blended Vitamin & Mineral Supplements
46,2021-03-24,247273.0,Blended Vitamin & Mineral Supplements
47,2021-03-25,247273.0,Blended Vitamin & Mineral Supplements
48,2021-03-26,247273.0,Blended Vitamin & Mineral Supplements
49,2021-03-27,247273.0,Blended Vitamin & Mineral Supplements
50,2021-03-28,247273.0,Blended Vitamin & Mineral Supplements
