,date,value,name_B08B812RVS
0,2020-06-17,18763.0,Standard Hangers
1,2020-06-18,21041.0,Standard Hangers
2,2020-06-19,15729.0,Standard Hangers
3,2020-06-20,20209.0,Standard Hangers
4,2020-06-21,11715.0,Standard Hangers
5,2020-06-22,10373.0,Standard Hangers
6,2020-06-23,13459.0,Standard Hangers
7,2020-06-24,18181.0,Standard Hangers
8,2020-06-25,18181.0,Standard Hangers
9,2020-06-26,18181.0,Standard Hangers
10,2020-06-27,17178.0,Standard Hangers
11,2020-06-28,17178.0,Standard Hangers
12,2020-06-29,21491.0,Standard Hangers
13,2020-06-30,22433.0,Standard Hangers
14,2020-07-01,40783.0,Standard Hangers
15,2020-07-02,51681.0,Standard Hangers
16,2020-07-03,52593.0,Standard Hangers
17,2020-07-04,52593.0,Standard Hangers
18,2020-07-05,52593.0,Standard Hangers
19,2020-07-06,52593.0,Standard Hangers
20,2020-07-07,52593.0,Standard Hangers
21,2020-07-08,82649.0,Standard Hangers
22,2020-07-09,82649.0,Standard Hangers
23,2020-07-10,82649.0,Standard Hangers
24,2020-07-11,82649.0,Standard Hangers
25,2020-07-12,82649.0,Standard Hangers
26,2020-07-13,82649.0,Standard Hangers
27,2020-07-14,82649.0,Standard Hangers
28,2020-07-15,91123.0,Standard Hangers
29,2020-07-16,91123.0,Standard Hangers
30,2020-07-17,91123.0,Standard Hangers
31,2020-07-18,91123.0,Standard Hangers
32,2020-07-19,68092.0,Standard Hangers
33,2020-07-20,68092.0,Standard Hangers
34,2020-07-21,114876.0,Standard Hangers
35,2020-07-22,109015.0,Standard Hangers
36,2020-07-23,109015.0,Standard Hangers
37,2020-07-24,109015.0,Standard Hangers
38,2020-07-25,109015.0,Standard Hangers
39,2020-07-26,109015.0,Standard Hangers
40,2020-07-27,109015.0,Standard Hangers
41,2020-07-28,109015.0,Standard Hangers
42,2020-07-29,98332.0,Standard Hangers
43,2020-07-30,98332.0,Standard Hangers
44,2020-07-31,98332.0,Standard Hangers
45,2020-08-01,98332.0,Standard Hangers
46,2020-08-02,98332.0,Standard Hangers
47,2020-08-03,116766.0,Standard Hangers
48,2020-08-04,116766.0,Standard Hangers
49,2020-08-05,211675.0,Standard Hangers
50,2020-08-06,211675.0,Standard Hangers
51,2020-08-07,211675.0,Standard Hangers
52,2020-08-08,211675.0,Standard Hangers
53,2020-08-09,211675.0,Standard Hangers
54,2020-08-10,211675.0,Standard Hangers
55,2020-08-11,211675.0,Standard Hangers
56,2020-08-12,211675.0,Standard Hangers
57,2020-08-13,211675.0,Standard Hangers
58,2020-08-14,352313.0,Standard Hangers
59,2020-08-15,352313.0,Standard Hangers
60,2020-08-16,352313.0,Standard Hangers
61,2020-08-17,352313.0,Standard Hangers
62,2020-08-18,352313.0,Standard Hangers
63,2020-08-19,533066.0,Standard Hangers
64,2020-08-20,533066.0,Standard Hangers
65,2020-08-21,533066.0,Standard Hangers
66,2020-08-22,533066.0,Standard Hangers
67,2020-08-23,533066.0,Standard Hangers
68,2020-08-24,533066.0,Standard Hangers
69,2020-08-25,533066.0,Standard Hangers
70,2020-08-26,309276.0,Standard Hangers
71,2020-08-27,309276.0,Standard Hangers
72,2020-08-28,309276.0,Standard Hangers
73,2020-08-29,309276.0,Standard Hangers
74,2020-08-30,604355.0,Standard Hangers
75,2020-08-31,604355.0,Standard Hangers
76,2020-09-01,38078.0,Standard Hangers
77,2020-09-02,38078.0,Standard Hangers
78,2020-09-03,38078.0,Standard Hangers
79,2020-09-04,7586.0,Standard Hangers
80,2020-09-05,5118.0,Standard Hangers
81,2020-09-06,5319.0,Standard Hangers
82,2020-09-07,2459.0,Standard Hangers
83,2020-09-08,2671.0,Standard Hangers
84,2020-09-09,3969.0,Standard Hangers
85,2020-09-10,4103.0,Standard Hangers
86,2020-09-11,4103.0,Standard Hangers
87,2020-09-12,4103.0,Standard Hangers
88,2020-09-13,4103.0,Standard Hangers
89,2020-09-14,4650.0,Standard Hangers
90,2020-09-15,5902.0,Standard Hangers
91,2020-09-16,6482.0,Standard Hangers
92,2020-09-17,7460.0,Standard Hangers
93,2020-09-18,8034.0,Standard Hangers
94,2020-09-19,12107.0,Standard Hangers
95,2020-09-20,12107.0,Standard Hangers
96,2020-09-21,9232.0,Standard Hangers
97,2020-09-22,9232.0,Standard Hangers
98,2020-09-23,9784.0,Standard Hangers
99,2020-09-24,9784.0,Standard Hangers
100,2020-09-25,9784.0,Standard Hangers
101,2020-09-26,22978.0,Standard Hangers
102,2020-09-27,22978.0,Standard Hangers
103,2020-09-28,8045.0,Standard Hangers
104,2020-09-29,8045.0,Standard Hangers
105,2020-09-30,14970.0,Standard Hangers
106,2020-10-01,15860.0,Standard Hangers
107,2020-10-02,15860.0,Standard Hangers
108,2020-10-03,13843.0,Standard Hangers
109,2020-10-04,13843.0,Standard Hangers
110,2020-10-05,13843.0,Standard Hangers
111,2020-10-06,8689.0,Standard Hangers
112,2020-10-07,8689.0,Standard Hangers
113,2020-10-08,8689.0,Standard Hangers
114,2020-10-09,4537.0,Standard Hangers
115,2020-10-10,4537.0,Standard Hangers
116,2020-10-11,4537.0,Standard Hangers
117,2020-10-12,5291.0,Standard Hangers
118,2020-10-13,5584.0,Standard Hangers
119,2020-10-14,9510.0,Standard Hangers
120,2020-10-15,6443.0,Standard Hangers
121,2020-10-16,5503.0,Standard Hangers
122,2020-10-17,5503.0,Standard Hangers
123,2020-10-18,8254.0,Standard Hangers
124,2020-10-19,6766.0,Standard Hangers
125,2020-10-20,6785.0,Standard Hangers
126,2020-10-21,4660.0,Standard Hangers
127,2020-10-22,5308.0,Standard Hangers
128,2020-10-23,5308.0,Standard Hangers
129,2020-10-24,5536.0,Standard Hangers
130,2020-10-25,5536.0,Standard Hangers
131,2020-10-26,5147.0,Standard Hangers
132,2020-10-27,5147.0,Standard Hangers
133,2020-10-28,8719.0,Standard Hangers
134,2020-10-29,8719.0,Standard Hangers
135,2020-10-30,8719.0,Standard Hangers
136,2020-10-31,8719.0,Standard Hangers
137,2020-11-01,8589.0,Standard Hangers
138,2020-11-02,4611.0,Standard Hangers
139,2020-11-03,7314.0,Standard Hangers
140,2020-11-04,10587.0,Standard Hangers
141,2020-11-05,9754.0,Standard Hangers
142,2020-11-06,16179.0,Standard Hangers
143,2020-11-07,16179.0,Standard Hangers
144,2020-11-08,16179.0,Standard Hangers
145,2020-11-09,12778.0,Standard Hangers
146,2020-11-10,12778.0,Standard Hangers
147,2020-11-11,13821.0,Standard Hangers
148,2020-11-12,13821.0,Standard Hangers
149,2020-11-13,13821.0,Standard Hangers
150,2020-11-14,11674.0,Standard Hangers
151,2020-11-15,11674.0,Standard Hangers
152,2020-11-16,11674.0,Standard Hangers
153,2020-11-17,11674.0,Standard Hangers
154,2020-11-18,16041.0,Standard Hangers
155,2020-11-19,15277.0,Standard Hangers
156,2020-11-20,15277.0,Standard Hangers
157,2020-11-21,15277.0,Standard Hangers
158,2020-11-22,15277.0,Standard Hangers
159,2020-11-23,15277.0,Standard Hangers
160,2020-11-24,18840.0,Standard Hangers
161,2020-11-25,21448.0,Standard Hangers
162,2020-11-26,29043.0,Standard Hangers
163,2020-11-27,29043.0,Standard Hangers
164,2020-11-28,29043.0,Standard Hangers
165,2020-11-29,29043.0,Standard Hangers
166,2020-11-30,32608.0,Standard Hangers
167,2020-12-01,26827.0,Standard Hangers
168,2020-12-02,27000.0,Standard Hangers
169,2020-12-03,27000.0,Standard Hangers
170,2020-12-04,27000.0,Standard Hangers
171,2020-12-05,24652.0,Standard Hangers
172,2020-12-06,22622.0,Standard Hangers
173,2020-12-07,22809.0,Standard Hangers
174,2020-12-08,22809.0,Standard Hangers
175,2020-12-09,22809.0,Standard Hangers
176,2020-12-10,22809.0,Standard Hangers
177,2020-12-11,50848.0,Standard Hangers
178,2020-12-12,50848.0,Standard Hangers
179,2020-12-13,50848.0,Standard Hangers
180,2020-12-14,50848.0,Standard Hangers
181,2020-12-15,50848.0,Standard Hangers
182,2020-12-16,50848.0,Standard Hangers
183,2020-12-17,75401.0,Standard Hangers
184,2020-12-18,75401.0,Standard Hangers
185,2020-12-19,101053.0,Standard Hangers
186,2020-12-20,117795.0,Standard Hangers
187,2020-12-21,117795.0,Standard Hangers
188,2020-12-22,117795.0,Standard Hangers
189,2020-12-23,173168.0,Standard Hangers
190,2020-12-24,132736.0,Standard Hangers
191,2020-12-25,132736.0,Standard Hangers
192,2020-12-26,189349.0,Standard Hangers
193,2020-12-27,189349.0,Standard Hangers
194,2020-12-28,189349.0,Standard Hangers
195,2020-12-29,140539.0,Standard Hangers
196,2020-12-30,140539.0,Standard Hangers
197,2020-12-31,140539.0,Standard Hangers
198,2021-01-01,140539.0,Standard Hangers
199,2021-01-02,140539.0,Standard Hangers
200,2021-01-03,140539.0,Standard Hangers
201,2021-01-04,103416.0,Standard Hangers
202,2021-01-05,67286.0,Standard Hangers
203,2021-01-06,90551.0,Standard Hangers
204,2021-01-07,51617.0,Standard Hangers
205,2021-01-08,26521.0,Standard Hangers
206,2021-01-09,11756.0,Standard Hangers
207,2021-01-10,11756.0,Standard Hangers
208,2021-01-11,6615.0,Standard Hangers
209,2021-01-12,6801.0,Standard Hangers
210,2021-01-13,6849.0,Standard Hangers
211,2021-01-14,4638.0,Standard Hangers
