,date,value,name_B08BVR73DL
0,2020-06-29,1928.0,Allergy Medicine
1,2020-06-30,1607.0,Allergy Medicine
2,2020-07-01,1607.0,Allergy Medicine
3,2020-07-02,1833.0,Allergy Medicine
4,2020-07-03,1833.0,Allergy Medicine
5,2020-07-04,2059.0,Allergy Medicine
6,2020-07-05,2059.0,Allergy Medicine
7,2020-07-06,1906.0,Allergy Medicine
8,2020-07-07,1906.0,Allergy Medicine
9,2020-07-08,1906.0,Allergy Medicine
10,2020-07-09,2342.0,Allergy Medicine
11,2020-07-10,2342.0,Allergy Medicine
12,2020-07-11,2312.0,Allergy Medicine
13,2020-07-12,2058.0,Allergy Medicine
14,2020-07-13,2058.0,Allergy Medicine
15,2020-07-14,1842.0,Allergy Medicine
16,2020-07-15,1787.0,Allergy Medicine
17,2020-07-16,1837.0,Allergy Medicine
18,2020-07-17,1837.0,Allergy Medicine
19,2020-07-18,2311.0,Allergy Medicine
20,2020-07-19,2311.0,Allergy Medicine
21,2020-07-20,2408.0,Allergy Medicine
22,2020-07-21,2408.0,Allergy Medicine
23,2020-07-22,2342.0,Allergy Medicine
24,2020-07-23,2891.0,Allergy Medicine
25,2020-07-24,2891.0,Allergy Medicine
26,2020-07-25,2891.0,Allergy Medicine
27,2020-07-26,2410.0,Allergy Medicine
28,2020-07-27,2410.0,Allergy Medicine
29,2020-07-28,2228.0,Allergy Medicine
30,2020-07-29,2228.0,Allergy Medicine
31,2020-07-30,2303.0,Allergy Medicine
32,2020-07-31,2146.0,Allergy Medicine
33,2020-08-01,2146.0,Allergy Medicine
34,2020-08-02,2146.0,Allergy Medicine
35,2020-08-03,2199.0,Allergy Medicine
36,2020-08-04,2199.0,Allergy Medicine
37,2020-08-05,2199.0,Allergy Medicine
38,2020-08-06,2148.0,Allergy Medicine
39,2020-08-07,2148.0,Allergy Medicine
40,2020-08-08,2148.0,Allergy Medicine
41,2020-08-09,2460.0,Allergy Medicine
42,2020-08-10,2460.0,Allergy Medicine
43,2020-08-11,2407.0,Allergy Medicine
44,2020-08-12,2407.0,Allergy Medicine
45,2020-08-13,2309.0,Allergy Medicine
46,2020-08-14,2309.0,Allergy Medicine
47,2020-08-15,2309.0,Allergy Medicine
48,2020-08-16,2140.0,Allergy Medicine
49,2020-08-17,2147.0,Allergy Medicine
50,2020-08-18,2147.0,Allergy Medicine
51,2020-08-19,2224.0,Allergy Medicine
