,date,value,name_B08BXVJH7L
0,2020-07-11,32941.0,Throw Pillow Covers
1,2020-07-12,32941.0,Throw Pillow Covers
2,2020-07-13,32751.0,Throw Pillow Covers
3,2020-07-14,32751.0,Throw Pillow Covers
4,2020-07-15,40726.0,Throw Pillow Covers
5,2020-07-16,41830.0,Throw Pillow Covers
6,2020-07-17,41830.0,Throw Pillow Covers
7,2020-07-18,41830.0,Throw Pillow Covers
8,2020-07-19,28566.0,Throw Pillow Covers
9,2020-07-20,28566.0,Throw Pillow Covers
10,2020-07-21,28566.0,Throw Pillow Covers
11,2020-07-22,28566.0,Throw Pillow Covers
12,2020-07-23,41704.0,Throw Pillow Covers
13,2020-07-24,41704.0,Throw Pillow Covers
14,2020-07-25,41704.0,Throw Pillow Covers
15,2020-07-26,41704.0,Throw Pillow Covers
16,2020-07-27,41704.0,Throw Pillow Covers
17,2020-07-28,23123.0,Throw Pillow Covers
18,2020-07-29,23123.0,Throw Pillow Covers
19,2020-07-30,23123.0,Throw Pillow Covers
20,2020-07-31,44664.0,Throw Pillow Covers
21,2020-08-01,44664.0,Throw Pillow Covers
22,2020-08-02,44664.0,Throw Pillow Covers
23,2020-08-03,32855.0,Throw Pillow Covers
24,2020-08-04,32855.0,Throw Pillow Covers
25,2020-08-05,32855.0,Throw Pillow Covers
26,2020-08-06,33321.0,Throw Pillow Covers
27,2020-08-07,32620.0,Throw Pillow Covers
28,2020-08-08,32620.0,Throw Pillow Covers
29,2020-08-09,32620.0,Throw Pillow Covers
30,2020-08-10,32387.0,Throw Pillow Covers
31,2020-08-11,32387.0,Throw Pillow Covers
32,2020-08-12,32387.0,Throw Pillow Covers
33,2020-08-13,33108.0,Throw Pillow Covers
34,2020-08-14,33108.0,Throw Pillow Covers
35,2020-08-15,33108.0,Throw Pillow Covers
36,2020-08-16,33108.0,Throw Pillow Covers
37,2020-08-17,33108.0,Throw Pillow Covers
38,2020-08-18,33108.0,Throw Pillow Covers
39,2020-08-19,34779.0,Throw Pillow Covers
40,2020-08-20,34779.0,Throw Pillow Covers
41,2020-08-21,34779.0,Throw Pillow Covers
42,2020-08-22,34779.0,Throw Pillow Covers
43,2020-08-23,33314.0,Throw Pillow Covers
44,2020-08-24,33314.0,Throw Pillow Covers
45,2020-08-25,33314.0,Throw Pillow Covers
46,2020-08-26,40974.0,Throw Pillow Covers
47,2020-08-27,40974.0,Throw Pillow Covers
48,2020-08-28,40974.0,Throw Pillow Covers
49,2020-08-29,40974.0,Throw Pillow Covers
50,2020-08-30,40974.0,Throw Pillow Covers
51,2020-08-31,26897.0,Throw Pillow Covers
52,2020-09-01,26897.0,Throw Pillow Covers
53,2020-09-02,19296.0,Throw Pillow Covers
54,2020-09-03,19296.0,Throw Pillow Covers
55,2020-09-04,19296.0,Throw Pillow Covers
56,2020-09-05,19296.0,Throw Pillow Covers
57,2020-09-06,19727.0,Throw Pillow Covers
58,2020-09-07,19727.0,Throw Pillow Covers
59,2020-09-08,19727.0,Throw Pillow Covers
60,2020-09-09,32298.0,Throw Pillow Covers
61,2020-09-10,32298.0,Throw Pillow Covers
62,2020-09-11,31726.0,Throw Pillow Covers
63,2020-09-12,31726.0,Throw Pillow Covers
64,2020-09-13,31726.0,Throw Pillow Covers
65,2020-09-14,31726.0,Throw Pillow Covers
66,2020-09-15,28350.0,Throw Pillow Covers
67,2020-09-16,28350.0,Throw Pillow Covers
68,2020-09-17,28350.0,Throw Pillow Covers
69,2020-09-18,20038.0,Throw Pillow Covers
70,2020-09-19,20038.0,Throw Pillow Covers
71,2020-09-20,20038.0,Throw Pillow Covers
72,2020-09-21,20038.0,Throw Pillow Covers
73,2020-09-22,32237.0,Throw Pillow Covers
74,2020-09-23,32237.0,Throw Pillow Covers
75,2020-09-24,32237.0,Throw Pillow Covers
76,2020-09-25,41942.0,Throw Pillow Covers
77,2020-09-26,41942.0,Throw Pillow Covers
78,2020-09-27,41942.0,Throw Pillow Covers
79,2020-09-28,20526.0,Throw Pillow Covers
80,2020-09-29,20526.0,Throw Pillow Covers
81,2020-09-30,32274.0,Throw Pillow Covers
82,2020-10-01,32274.0,Throw Pillow Covers
83,2020-10-02,32274.0,Throw Pillow Covers
84,2020-10-03,32274.0,Throw Pillow Covers
85,2020-10-04,32274.0,Throw Pillow Covers
86,2020-10-05,34466.0,Throw Pillow Covers
87,2020-10-06,34466.0,Throw Pillow Covers
88,2020-10-07,34466.0,Throw Pillow Covers
89,2020-10-08,59038.0,Throw Pillow Covers
90,2020-10-09,59038.0,Throw Pillow Covers
91,2020-10-10,59038.0,Throw Pillow Covers
92,2020-10-11,59038.0,Throw Pillow Covers
93,2020-10-12,53440.0,Throw Pillow Covers
94,2020-10-13,53440.0,Throw Pillow Covers
95,2020-10-14,53440.0,Throw Pillow Covers
96,2020-10-15,28795.0,Throw Pillow Covers
97,2020-10-16,28795.0,Throw Pillow Covers
98,2020-10-17,28795.0,Throw Pillow Covers
99,2020-10-18,28795.0,Throw Pillow Covers
100,2020-10-19,28795.0,Throw Pillow Covers
101,2020-10-20,30485.0,Throw Pillow Covers
102,2020-10-21,30485.0,Throw Pillow Covers
103,2020-10-22,31984.0,Throw Pillow Covers
104,2020-10-23,31984.0,Throw Pillow Covers
105,2020-10-24,31984.0,Throw Pillow Covers
106,2020-10-25,31984.0,Throw Pillow Covers
107,2020-10-26,24377.0,Throw Pillow Covers
108,2020-10-27,24377.0,Throw Pillow Covers
109,2020-10-28,24377.0,Throw Pillow Covers
110,2020-10-29,24377.0,Throw Pillow Covers
111,2020-10-30,30755.0,Throw Pillow Covers
112,2020-10-31,30755.0,Throw Pillow Covers
113,2020-11-01,30755.0,Throw Pillow Covers
114,2020-11-02,18056.0,Throw Pillow Covers
115,2020-11-03,18056.0,Throw Pillow Covers
116,2020-11-04,34249.0,Throw Pillow Covers
117,2020-11-05,34249.0,Throw Pillow Covers
118,2020-11-06,34249.0,Throw Pillow Covers
119,2020-11-07,34249.0,Throw Pillow Covers
