,date,value,name_B08CRCQ7LT
0,2020-07-16,11345.0,Floating Shelves
1,2020-07-17,11345.0,Floating Shelves
2,2020-07-18,11345.0,Floating Shelves
3,2020-07-19,6185.0,Floating Shelves
4,2020-07-20,6185.0,Floating Shelves
5,2020-07-21,6185.0,Floating Shelves
6,2020-07-22,6185.0,Floating Shelves
7,2020-07-23,4467.0,Floating Shelves
8,2020-07-24,5960.0,Floating Shelves
9,2020-07-25,5765.0,Floating Shelves
10,2020-07-26,9737.0,Floating Shelves
11,2020-07-27,9737.0,Floating Shelves
12,2020-07-28,15909.0,Floating Shelves
13,2020-07-29,24008.0,Floating Shelves
14,2020-07-30,13897.0,Floating Shelves
15,2020-07-31,13897.0,Floating Shelves
16,2020-08-01,9971.0,Floating Shelves
17,2020-08-02,9971.0,Floating Shelves
18,2020-08-03,10025.0,Floating Shelves
19,2020-08-04,10025.0,Floating Shelves
20,2020-08-05,9477.0,Floating Shelves
21,2020-08-06,10406.0,Floating Shelves
22,2020-08-07,12198.0,Floating Shelves
23,2020-08-08,10861.0,Floating Shelves
24,2020-08-09,10861.0,Floating Shelves
25,2020-08-10,10298.0,Floating Shelves
26,2020-08-11,10298.0,Floating Shelves
27,2020-08-12,8901.0,Floating Shelves
28,2020-08-13,8901.0,Floating Shelves
29,2020-08-14,8995.0,Floating Shelves
30,2020-08-15,8995.0,Floating Shelves
31,2020-08-16,10520.0,Floating Shelves
32,2020-08-17,10520.0,Floating Shelves
33,2020-08-18,10520.0,Floating Shelves
34,2020-08-19,10520.0,Floating Shelves
35,2020-08-20,10520.0,Floating Shelves
36,2020-08-21,10520.0,Floating Shelves
37,2020-08-22,7356.0,Floating Shelves
38,2020-08-23,6732.0,Floating Shelves
39,2020-08-24,6732.0,Floating Shelves
40,2020-08-25,6557.0,Floating Shelves
41,2020-08-26,6557.0,Floating Shelves
42,2020-08-27,9437.0,Floating Shelves
43,2020-08-28,9512.0,Floating Shelves
44,2020-08-29,9449.0,Floating Shelves
45,2020-08-30,9758.0,Floating Shelves
46,2020-08-31,9005.0,Floating Shelves
47,2020-09-01,9005.0,Floating Shelves
48,2020-09-02,9732.0,Floating Shelves
49,2020-09-03,9732.0,Floating Shelves
50,2020-09-04,8525.0,Floating Shelves
51,2020-09-05,8525.0,Floating Shelves
52,2020-09-06,8525.0,Floating Shelves
53,2020-09-07,13419.0,Floating Shelves
54,2020-09-08,11355.0,Floating Shelves
55,2020-09-09,11988.0,Floating Shelves
56,2020-09-10,6582.0,Floating Shelves
57,2020-09-11,6582.0,Floating Shelves
58,2020-09-12,6582.0,Floating Shelves
59,2020-09-13,10615.0,Floating Shelves
60,2020-09-14,10615.0,Floating Shelves
61,2020-09-15,10615.0,Floating Shelves
62,2020-09-16,10528.0,Floating Shelves
63,2020-09-17,9361.0,Floating Shelves
64,2020-09-18,9361.0,Floating Shelves
65,2020-09-19,9361.0,Floating Shelves
66,2020-09-20,8913.0,Floating Shelves
67,2020-09-21,8913.0,Floating Shelves
68,2020-09-22,8913.0,Floating Shelves
69,2020-09-23,8920.0,Floating Shelves
70,2020-09-24,7849.0,Floating Shelves
71,2020-09-25,6733.0,Floating Shelves
72,2020-09-26,8619.0,Floating Shelves
73,2020-09-27,8619.0,Floating Shelves
74,2020-09-28,7824.0,Floating Shelves
75,2020-09-29,7824.0,Floating Shelves
76,2020-09-30,8892.0,Floating Shelves
77,2020-10-01,6386.0,Floating Shelves
78,2020-10-02,6239.0,Floating Shelves
79,2020-10-03,6239.0,Floating Shelves
80,2020-10-04,9309.0,Floating Shelves
81,2020-10-05,9309.0,Floating Shelves
82,2020-10-06,9309.0,Floating Shelves
83,2020-10-07,8707.0,Floating Shelves
84,2020-10-08,8707.0,Floating Shelves
85,2020-10-09,8065.0,Floating Shelves
86,2020-10-10,7658.0,Floating Shelves
87,2020-10-11,7658.0,Floating Shelves
88,2020-10-12,7142.0,Floating Shelves
89,2020-10-13,8029.0,Floating Shelves
90,2020-10-14,13933.0,Floating Shelves
91,2020-10-15,15238.0,Floating Shelves
92,2020-10-16,15238.0,Floating Shelves
93,2020-10-17,12496.0,Floating Shelves
94,2020-10-18,12496.0,Floating Shelves
95,2020-10-19,12496.0,Floating Shelves
96,2020-10-20,10829.0,Floating Shelves
97,2020-10-21,10829.0,Floating Shelves
98,2020-10-22,10829.0,Floating Shelves
99,2020-10-23,9745.0,Floating Shelves
100,2020-10-24,9745.0,Floating Shelves
101,2020-10-25,12199.0,Floating Shelves
102,2020-10-26,12221.0,Floating Shelves
103,2020-10-27,12221.0,Floating Shelves
104,2020-10-28,12221.0,Floating Shelves
105,2020-10-29,12221.0,Floating Shelves
106,2020-10-30,10927.0,Floating Shelves
107,2020-10-31,10927.0,Floating Shelves
108,2020-11-01,13927.0,Floating Shelves
109,2020-11-02,13927.0,Floating Shelves
110,2020-11-03,13927.0,Floating Shelves
111,2020-11-04,13927.0,Floating Shelves
112,2020-11-05,20475.0,Floating Shelves
113,2020-11-06,20475.0,Floating Shelves
114,2020-11-07,22217.0,Floating Shelves
115,2020-11-08,22217.0,Floating Shelves
116,2020-11-09,22217.0,Floating Shelves
117,2020-11-10,18227.0,Floating Shelves
118,2020-11-11,20408.0,Floating Shelves
119,2020-11-12,18290.0,Floating Shelves
120,2020-11-13,18290.0,Floating Shelves
121,2020-11-14,24062.0,Floating Shelves
122,2020-11-15,24062.0,Floating Shelves
123,2020-11-16,24053.0,Floating Shelves
124,2020-11-17,24053.0,Floating Shelves
125,2020-11-18,24053.0,Floating Shelves
126,2020-11-19,24053.0,Floating Shelves
127,2020-11-20,18530.0,Floating Shelves
128,2020-11-21,18530.0,Floating Shelves
129,2020-11-22,18530.0,Floating Shelves
130,2020-11-23,22096.0,Floating Shelves
131,2020-11-24,22096.0,Floating Shelves
132,2020-11-25,22096.0,Floating Shelves
133,2020-11-26,30474.0,Floating Shelves
134,2020-11-27,30474.0,Floating Shelves
135,2020-11-28,30474.0,Floating Shelves
136,2020-11-29,30474.0,Floating Shelves
137,2020-11-30,30474.0,Floating Shelves
138,2020-12-01,30879.0,Floating Shelves
139,2020-12-02,30879.0,Floating Shelves
140,2020-12-03,21112.0,Floating Shelves
141,2020-12-04,21112.0,Floating Shelves
142,2020-12-05,21112.0,Floating Shelves
143,2020-12-06,41382.0,Floating Shelves
144,2020-12-07,41382.0,Floating Shelves
145,2020-12-08,36464.0,Floating Shelves
146,2020-12-09,36464.0,Floating Shelves
147,2020-12-10,36464.0,Floating Shelves
148,2020-12-11,46292.0,Floating Shelves
149,2020-12-12,46292.0,Floating Shelves
150,2020-12-13,46292.0,Floating Shelves
151,2020-12-14,42055.0,Floating Shelves
152,2020-12-15,42055.0,Floating Shelves
153,2020-12-16,42055.0,Floating Shelves
154,2020-12-17,42055.0,Floating Shelves
155,2020-12-18,22605.0,Floating Shelves
156,2020-12-19,22605.0,Floating Shelves
157,2020-12-20,22605.0,Floating Shelves
158,2020-12-21,22605.0,Floating Shelves
159,2020-12-22,22605.0,Floating Shelves
160,2020-12-23,20513.0,Floating Shelves
161,2020-12-24,20513.0,Floating Shelves
162,2020-12-25,20513.0,Floating Shelves
163,2020-12-26,20513.0,Floating Shelves
164,2020-12-27,20513.0,Floating Shelves
165,2020-12-28,12524.0,Floating Shelves
166,2020-12-29,9849.0,Floating Shelves
167,2020-12-30,9849.0,Floating Shelves
168,2020-12-31,10237.0,Floating Shelves
169,2021-01-01,8850.0,Floating Shelves
170,2021-01-02,9918.0,Floating Shelves
171,2021-01-03,9918.0,Floating Shelves
172,2021-01-04,8490.0,Floating Shelves
173,2021-01-05,8490.0,Floating Shelves
174,2021-01-06,8490.0,Floating Shelves
175,2021-01-07,8187.0,Floating Shelves
176,2021-01-08,9177.0,Floating Shelves
177,2021-01-09,9177.0,Floating Shelves
178,2021-01-10,8642.0,Floating Shelves
179,2021-01-11,8993.0,Floating Shelves
180,2021-01-12,8993.0,Floating Shelves
181,2021-01-13,8993.0,Floating Shelves
182,2021-01-14,10364.0,Floating Shelves
183,2021-01-15,10340.0,Floating Shelves
184,2021-01-16,10340.0,Floating Shelves
185,2021-01-17,10340.0,Floating Shelves
186,2021-01-18,12689.0,Floating Shelves
187,2021-01-19,12689.0,Floating Shelves
188,2021-01-20,12689.0,Floating Shelves
189,2021-01-21,8917.0,Floating Shelves
190,2021-01-22,8917.0,Floating Shelves
191,2021-01-23,8917.0,Floating Shelves
192,2021-01-24,12496.0,Floating Shelves
193,2021-01-25,12496.0,Floating Shelves
194,2021-01-26,12627.0,Floating Shelves
195,2021-01-27,12627.0,Floating Shelves
196,2021-01-28,13091.0,Floating Shelves
197,2021-01-29,13936.0,Floating Shelves
198,2021-01-30,13936.0,Floating Shelves
199,2021-01-31,13936.0,Floating Shelves
200,2021-02-01,13748.0,Floating Shelves
201,2021-02-02,13748.0,Floating Shelves
202,2021-02-03,13748.0,Floating Shelves
203,2021-02-04,15378.0,Floating Shelves
204,2021-02-05,15378.0,Floating Shelves
205,2021-02-06,15378.0,Floating Shelves
206,2021-02-07,12731.0,Floating Shelves
207,2021-02-08,12731.0,Floating Shelves
208,2021-02-09,15650.0,Floating Shelves
209,2021-02-10,15650.0,Floating Shelves
210,2021-02-11,18522.0,Floating Shelves
211,2021-02-12,18522.0,Floating Shelves
212,2021-02-13,18522.0,Floating Shelves
213,2021-02-14,18522.0,Floating Shelves
214,2021-02-15,18522.0,Floating Shelves
215,2021-02-16,17034.0,Floating Shelves
216,2021-02-17,17034.0,Floating Shelves
217,2021-02-18,17034.0,Floating Shelves
218,2021-02-19,17034.0,Floating Shelves
219,2021-02-20,17034.0,Floating Shelves
220,2021-02-21,26902.0,Floating Shelves
221,2021-02-22,26902.0,Floating Shelves
222,2021-02-23,27472.0,Floating Shelves
223,2021-02-24,27472.0,Floating Shelves
224,2021-02-25,31776.0,Floating Shelves
225,2021-02-26,31776.0,Floating Shelves
226,2021-02-27,31776.0,Floating Shelves
227,2021-02-28,31776.0,Floating Shelves
228,2021-03-01,38834.0,Floating Shelves
229,2021-03-02,31375.0,Floating Shelves
230,2021-03-03,31375.0,Floating Shelves
231,2021-03-04,31375.0,Floating Shelves
232,2021-03-05,31375.0,Floating Shelves
233,2021-03-06,50083.0,Floating Shelves
234,2021-03-07,36293.0,Floating Shelves
235,2021-03-08,42306.0,Floating Shelves
236,2021-03-09,42306.0,Floating Shelves
237,2021-03-10,42306.0,Floating Shelves
238,2021-03-11,42306.0,Floating Shelves
239,2021-03-12,31654.0,Floating Shelves
240,2021-03-13,31654.0,Floating Shelves
241,2021-03-14,31654.0,Floating Shelves
242,2021-03-15,31654.0,Floating Shelves
243,2021-03-16,31654.0,Floating Shelves
244,2021-03-17,18555.0,Floating Shelves
245,2021-03-18,20465.0,Floating Shelves
246,2021-03-19,20465.0,Floating Shelves
247,2021-03-20,20465.0,Floating Shelves
248,2021-03-21,18354.0,Floating Shelves
249,2021-03-22,18354.0,Floating Shelves
250,2021-03-23,28764.0,Floating Shelves
251,2021-03-24,28764.0,Floating Shelves
252,2021-03-25,28764.0,Floating Shelves
253,2021-03-26,28764.0,Floating Shelves
254,2021-03-27,28764.0,Floating Shelves
