,date,value,name_B08CSDP5XC
0,2020-07-19,16756.0,Beach Towels
1,2020-07-20,12073.0,Beach Towels
2,2020-07-21,12073.0,Beach Towels
3,2020-07-22,12073.0,Beach Towels
4,2020-07-23,12268.0,Beach Towels
5,2020-07-24,12268.0,Beach Towels
6,2020-07-25,12268.0,Beach Towels
7,2020-07-26,13750.0,Beach Towels
8,2020-07-27,13750.0,Beach Towels
9,2020-07-28,13750.0,Beach Towels
10,2020-07-29,7319.0,Beach Towels
11,2020-07-30,7319.0,Beach Towels
12,2020-07-31,7319.0,Beach Towels
13,2020-08-01,9775.0,Beach Towels
14,2020-08-02,9775.0,Beach Towels
15,2020-08-03,9775.0,Beach Towels
16,2020-08-04,9612.0,Beach Towels
17,2020-08-05,9612.0,Beach Towels
18,2020-08-06,9612.0,Beach Towels
19,2020-08-07,12039.0,Beach Towels
20,2020-08-08,12039.0,Beach Towels
21,2020-08-09,12039.0,Beach Towels
22,2020-08-10,13896.0,Beach Towels
23,2020-08-11,11425.0,Beach Towels
24,2020-08-12,14015.0,Beach Towels
25,2020-08-13,14015.0,Beach Towels
26,2020-08-14,14015.0,Beach Towels
27,2020-08-15,14015.0,Beach Towels
28,2020-08-16,14015.0,Beach Towels
29,2020-08-17,15902.0,Beach Towels
30,2020-08-18,15902.0,Beach Towels
31,2020-08-19,14511.0,Beach Towels
32,2020-08-20,16901.0,Beach Towels
33,2020-08-21,16756.0,Beach Towels
34,2020-08-22,16756.0,Beach Towels
35,2020-08-23,16756.0,Beach Towels
36,2020-08-24,18908.0,Beach Towels
37,2020-08-25,19782.0,Beach Towels
38,2020-08-26,19782.0,Beach Towels
39,2020-08-27,14990.0,Beach Towels
40,2020-08-28,14990.0,Beach Towels
41,2020-08-29,14990.0,Beach Towels
42,2020-08-30,14990.0,Beach Towels
43,2020-08-31,14990.0,Beach Towels
44,2020-09-01,14990.0,Beach Towels
45,2020-09-02,17413.0,Beach Towels
46,2020-09-03,17413.0,Beach Towels
47,2020-09-04,17413.0,Beach Towels
48,2020-09-05,17413.0,Beach Towels
49,2020-09-06,24356.0,Beach Towels
50,2020-09-07,24356.0,Beach Towels
51,2020-09-08,24356.0,Beach Towels
52,2020-09-09,24356.0,Beach Towels
53,2020-09-10,24356.0,Beach Towels
54,2020-09-11,24356.0,Beach Towels
55,2020-09-12,31304.0,Beach Towels
56,2020-09-13,31304.0,Beach Towels
57,2020-09-14,31304.0,Beach Towels
58,2020-09-15,31304.0,Beach Towels
59,2020-09-16,31304.0,Beach Towels
60,2020-09-17,31304.0,Beach Towels
61,2020-09-18,31304.0,Beach Towels
62,2020-09-19,31304.0,Beach Towels
63,2020-09-20,31304.0,Beach Towels
64,2020-09-21,31304.0,Beach Towels
65,2020-09-22,30532.0,Beach Towels
66,2020-09-23,30532.0,Beach Towels
67,2020-09-24,30532.0,Beach Towels
68,2020-09-25,30532.0,Beach Towels
69,2020-09-26,30532.0,Beach Towels
70,2020-09-27,57274.0,Beach Towels
71,2020-09-28,56560.0,Beach Towels
72,2020-09-29,56560.0,Beach Towels
73,2020-09-30,56560.0,Beach Towels
74,2020-10-01,56560.0,Beach Towels
75,2020-10-02,56560.0,Beach Towels
76,2020-10-03,59062.0,Beach Towels
77,2020-10-04,59062.0,Beach Towels
78,2020-10-05,59062.0,Beach Towels
79,2020-10-06,49323.0,Beach Towels
80,2020-10-07,49323.0,Beach Towels
81,2020-10-08,49323.0,Beach Towels
82,2020-10-09,63676.0,Beach Towels
83,2020-10-10,63676.0,Beach Towels
84,2020-10-11,63676.0,Beach Towels
85,2020-10-12,71110.0,Beach Towels
