,date,value,name_B08CV21THJ
0,2020-08-03,157377.0,Comforter Sets
1,2020-08-04,183471.0,Comforter Sets
2,2020-08-05,126496.0,Comforter Sets
3,2020-08-06,105062.0,Comforter Sets
4,2020-08-07,66265.0,Comforter Sets
5,2020-08-08,66265.0,Comforter Sets
6,2020-08-09,66265.0,Comforter Sets
7,2020-08-10,68429.0,Comforter Sets
8,2020-08-11,74092.0,Comforter Sets
9,2020-08-12,74236.0,Comforter Sets
10,2020-08-13,80501.0,Comforter Sets
11,2020-08-14,50261.0,Comforter Sets
12,2020-08-15,50261.0,Comforter Sets
13,2020-08-16,50261.0,Comforter Sets
14,2020-08-17,50261.0,Comforter Sets
15,2020-08-18,68599.0,Comforter Sets
16,2020-08-19,79718.0,Comforter Sets
17,2020-08-20,62411.0,Comforter Sets
18,2020-08-21,64443.0,Comforter Sets
19,2020-08-22,64443.0,Comforter Sets
20,2020-08-23,64443.0,Comforter Sets
21,2020-08-24,148995.0,Comforter Sets
22,2020-08-25,148995.0,Comforter Sets
23,2020-08-26,75143.0,Comforter Sets
24,2020-08-27,62652.0,Comforter Sets
25,2020-08-28,88075.0,Comforter Sets
26,2020-08-29,88075.0,Comforter Sets
27,2020-08-30,73721.0,Comforter Sets
28,2020-08-31,60270.0,Comforter Sets
29,2020-09-01,60270.0,Comforter Sets
30,2020-09-02,104578.0,Comforter Sets
31,2020-09-03,90569.0,Comforter Sets
32,2020-09-04,87333.0,Comforter Sets
33,2020-09-05,87333.0,Comforter Sets
34,2020-09-06,87333.0,Comforter Sets
35,2020-09-07,87333.0,Comforter Sets
36,2020-09-08,155357.0,Comforter Sets
37,2020-09-09,155357.0,Comforter Sets
38,2020-09-10,155357.0,Comforter Sets
39,2020-09-11,86405.0,Comforter Sets
40,2020-09-12,86405.0,Comforter Sets
41,2020-09-13,86405.0,Comforter Sets
42,2020-09-14,46566.0,Comforter Sets
43,2020-09-15,43645.0,Comforter Sets
44,2020-09-16,43645.0,Comforter Sets
45,2020-09-17,43645.0,Comforter Sets
46,2020-09-18,39455.0,Comforter Sets
47,2020-09-19,39455.0,Comforter Sets
48,2020-09-20,39455.0,Comforter Sets
49,2020-09-21,23247.0,Comforter Sets
50,2020-09-22,25756.0,Comforter Sets
51,2020-09-23,38381.0,Comforter Sets
52,2020-09-24,38381.0,Comforter Sets
53,2020-09-25,35378.0,Comforter Sets
54,2020-09-26,35378.0,Comforter Sets
55,2020-09-27,35378.0,Comforter Sets
56,2020-09-28,25039.0,Comforter Sets
57,2020-09-29,25272.0,Comforter Sets
58,2020-09-30,26062.0,Comforter Sets
59,2020-10-01,24919.0,Comforter Sets
60,2020-10-02,29176.0,Comforter Sets
61,2020-10-03,29176.0,Comforter Sets
62,2020-10-04,28594.0,Comforter Sets
63,2020-10-05,28594.0,Comforter Sets
64,2020-10-06,28594.0,Comforter Sets
65,2020-10-07,28594.0,Comforter Sets
66,2020-10-08,28797.0,Comforter Sets
67,2020-10-09,21410.0,Comforter Sets
68,2020-10-10,33654.0,Comforter Sets
