,date,value,name_B08D3SWPZ5
0,2020-08-12,107593.0,Tablecloths
1,2020-08-13,107593.0,Tablecloths
2,2020-08-14,107593.0,Tablecloths
3,2020-08-15,90835.0,Tablecloths
4,2020-08-16,90835.0,Tablecloths
5,2020-08-17,59507.0,Tablecloths
6,2020-08-18,59507.0,Tablecloths
7,2020-08-19,59507.0,Tablecloths
8,2020-08-20,82283.0,Tablecloths
9,2020-08-21,82283.0,Tablecloths
10,2020-08-22,82283.0,Tablecloths
11,2020-08-23,82283.0,Tablecloths
12,2020-08-24,106913.0,Tablecloths
13,2020-08-25,106913.0,Tablecloths
14,2020-08-26,106913.0,Tablecloths
15,2020-08-27,106913.0,Tablecloths
16,2020-08-28,90333.0,Tablecloths
17,2020-08-29,90333.0,Tablecloths
18,2020-08-30,90333.0,Tablecloths
19,2020-08-31,90333.0,Tablecloths
20,2020-09-01,146589.0,Tablecloths
21,2020-09-02,146589.0,Tablecloths
22,2020-09-03,146589.0,Tablecloths
23,2020-09-04,146589.0,Tablecloths
24,2020-09-05,179056.0,Tablecloths
25,2020-09-06,179056.0,Tablecloths
26,2020-09-07,179056.0,Tablecloths
27,2020-09-08,179056.0,Tablecloths
28,2020-09-09,179056.0,Tablecloths
29,2020-09-10,179056.0,Tablecloths
30,2020-09-11,179056.0,Tablecloths
31,2020-09-12,76138.0,Tablecloths
32,2020-09-13,76138.0,Tablecloths
33,2020-09-14,76138.0,Tablecloths
34,2020-09-15,76138.0,Tablecloths
35,2020-09-16,76138.0,Tablecloths
36,2020-09-17,76138.0,Tablecloths
37,2020-09-18,76138.0,Tablecloths
38,2020-09-19,163985.0,Tablecloths
39,2020-09-20,163985.0,Tablecloths
40,2020-09-21,163985.0,Tablecloths
41,2020-09-22,163985.0,Tablecloths
42,2020-09-23,163985.0,Tablecloths
43,2020-09-24,163985.0,Tablecloths
44,2020-09-25,163985.0,Tablecloths
45,2020-09-26,163985.0,Tablecloths
46,2020-09-27,77553.0,Tablecloths
47,2020-09-28,77553.0,Tablecloths
48,2020-09-29,77553.0,Tablecloths
49,2020-09-30,77553.0,Tablecloths
50,2020-10-01,106687.0,Tablecloths
51,2020-10-02,106687.0,Tablecloths
52,2020-10-03,106687.0,Tablecloths
53,2020-10-04,106687.0,Tablecloths
54,2020-10-05,135499.0,Tablecloths
55,2020-10-06,135499.0,Tablecloths
56,2020-10-07,135499.0,Tablecloths
57,2020-10-08,135499.0,Tablecloths
58,2020-10-09,135499.0,Tablecloths
59,2020-10-10,135499.0,Tablecloths
60,2020-10-11,135499.0,Tablecloths
61,2020-10-12,154906.0,Tablecloths
62,2020-10-13,154906.0,Tablecloths
63,2020-10-14,154906.0,Tablecloths
64,2020-10-15,154906.0,Tablecloths
65,2020-10-16,154906.0,Tablecloths
66,2020-10-17,140833.0,Tablecloths
67,2020-10-18,140833.0,Tablecloths
68,2020-10-19,140833.0,Tablecloths
69,2020-10-20,140833.0,Tablecloths
70,2020-10-21,140833.0,Tablecloths
71,2020-10-22,140833.0,Tablecloths
72,2020-10-23,140833.0,Tablecloths
73,2020-10-24,189698.0,Tablecloths
74,2020-10-25,189698.0,Tablecloths
75,2020-10-26,189698.0,Tablecloths
76,2020-10-27,189698.0,Tablecloths
77,2020-10-28,189698.0,Tablecloths
78,2020-10-29,189698.0,Tablecloths
79,2020-10-30,189698.0,Tablecloths
80,2020-10-31,189698.0,Tablecloths
81,2020-11-01,189698.0,Tablecloths
82,2020-11-02,189698.0,Tablecloths
83,2020-11-03,194225.0,Tablecloths
84,2020-11-04,194225.0,Tablecloths
85,2020-11-05,194225.0,Tablecloths
86,2020-11-06,194225.0,Tablecloths
87,2020-11-07,194225.0,Tablecloths
88,2020-11-08,228416.0,Tablecloths
89,2020-11-09,228416.0,Tablecloths
90,2020-11-10,228416.0,Tablecloths
91,2020-11-11,228416.0,Tablecloths
92,2020-11-12,228416.0,Tablecloths
93,2020-11-13,228416.0,Tablecloths
94,2020-11-14,138366.0,Tablecloths
95,2020-11-15,138366.0,Tablecloths
96,2020-11-16,138366.0,Tablecloths
97,2020-11-17,138366.0,Tablecloths
98,2020-11-18,194052.0,Tablecloths
99,2020-11-19,194052.0,Tablecloths
100,2020-11-20,194052.0,Tablecloths
101,2020-11-21,194052.0,Tablecloths
102,2020-11-22,194052.0,Tablecloths
103,2020-11-23,194052.0,Tablecloths
104,2020-11-24,194052.0,Tablecloths
105,2020-11-25,194052.0,Tablecloths
106,2020-11-26,194052.0,Tablecloths
107,2020-11-27,194052.0,Tablecloths
108,2020-11-28,194052.0,Tablecloths
109,2020-11-29,194052.0,Tablecloths
110,2020-11-30,194052.0,Tablecloths
111,2020-12-01,194052.0,Tablecloths
112,2020-12-02,136919.0,Tablecloths
113,2020-12-03,136919.0,Tablecloths
