,date,value,name_B08F2B3CX3
0,2020-09-11,81415.0,Comforter Sets
1,2020-09-12,81415.0,Comforter Sets
2,2020-09-13,81415.0,Comforter Sets
3,2020-09-14,81415.0,Comforter Sets
4,2020-09-15,73910.0,Comforter Sets
5,2020-09-16,73910.0,Comforter Sets
6,2020-09-17,73910.0,Comforter Sets
7,2020-09-18,73910.0,Comforter Sets
8,2020-09-19,73910.0,Comforter Sets
9,2020-09-20,73910.0,Comforter Sets
10,2020-09-21,66114.0,Comforter Sets
11,2020-09-22,66114.0,Comforter Sets
12,2020-09-23,66114.0,Comforter Sets
13,2020-09-24,66114.0,Comforter Sets
14,2020-09-25,124400.0,Comforter Sets
15,2020-09-26,124400.0,Comforter Sets
16,2020-09-27,124400.0,Comforter Sets
17,2020-09-28,124400.0,Comforter Sets
18,2020-09-29,124400.0,Comforter Sets
19,2020-09-30,124400.0,Comforter Sets
20,2020-10-01,124400.0,Comforter Sets
21,2020-10-02,209454.0,Comforter Sets
22,2020-10-03,209454.0,Comforter Sets
23,2020-10-04,209454.0,Comforter Sets
24,2020-10-05,209454.0,Comforter Sets
25,2020-10-06,209454.0,Comforter Sets
26,2020-10-07,209454.0,Comforter Sets
27,2020-10-08,209454.0,Comforter Sets
28,2020-10-09,209454.0,Comforter Sets
29,2020-10-10,209454.0,Comforter Sets
30,2020-10-11,209454.0,Comforter Sets
31,2020-10-12,209454.0,Comforter Sets
32,2020-10-13,209454.0,Comforter Sets
33,2020-10-14,209454.0,Comforter Sets
34,2020-10-15,83882.0,Comforter Sets
35,2020-10-16,83882.0,Comforter Sets
36,2020-10-17,83882.0,Comforter Sets
37,2020-10-18,83882.0,Comforter Sets
38,2020-10-19,111895.0,Comforter Sets
39,2020-10-20,111895.0,Comforter Sets
40,2020-10-21,111895.0,Comforter Sets
41,2020-10-22,111895.0,Comforter Sets
42,2020-10-23,111895.0,Comforter Sets
43,2020-10-24,132422.0,Comforter Sets
44,2020-10-25,132422.0,Comforter Sets
