,date,value,name_B08F2Q8QXW
0,2020-08-04,250.0,Die-Cut Machines
1,2020-08-05,465.0,Die-Cut Machines
2,2020-08-06,1070.0,Die-Cut Machines
3,2020-08-07,1070.0,Die-Cut Machines
4,2020-08-08,1070.0,Die-Cut Machines
5,2020-08-09,5171.0,Die-Cut Machines
6,2020-08-10,5171.0,Die-Cut Machines
7,2020-08-11,5171.0,Die-Cut Machines
8,2020-08-12,5171.0,Die-Cut Machines
9,2020-08-13,5171.0,Die-Cut Machines
10,2020-08-14,5171.0,Die-Cut Machines
11,2020-08-15,16775.0,Die-Cut Machines
12,2020-08-16,16775.0,Die-Cut Machines
13,2020-08-17,28641.0,Die-Cut Machines
14,2020-08-18,28641.0,Die-Cut Machines
15,2020-08-19,883.0,Die-Cut Machines
16,2020-08-20,883.0,Die-Cut Machines
17,2020-08-21,883.0,Die-Cut Machines
18,2020-08-22,883.0,Die-Cut Machines
19,2020-08-23,8356.0,Die-Cut Machines
20,2020-08-24,8356.0,Die-Cut Machines
21,2020-08-25,8356.0,Die-Cut Machines
22,2020-08-26,8356.0,Die-Cut Machines
23,2020-08-27,16413.0,Die-Cut Machines
24,2020-08-28,16413.0,Die-Cut Machines
25,2020-08-29,16413.0,Die-Cut Machines
26,2020-08-30,16413.0,Die-Cut Machines
27,2020-08-31,21102.0,Die-Cut Machines
28,2020-09-01,21102.0,Die-Cut Machines
29,2020-09-02,21102.0,Die-Cut Machines
30,2020-09-03,21102.0,Die-Cut Machines
31,2020-09-04,15863.0,Die-Cut Machines
32,2020-09-05,15863.0,Die-Cut Machines
33,2020-09-06,15863.0,Die-Cut Machines
34,2020-09-07,15863.0,Die-Cut Machines
35,2020-09-08,15863.0,Die-Cut Machines
36,2020-09-09,20464.0,Die-Cut Machines
37,2020-09-10,20464.0,Die-Cut Machines
38,2020-09-11,20464.0,Die-Cut Machines
39,2020-09-12,20464.0,Die-Cut Machines
40,2020-09-13,20464.0,Die-Cut Machines
41,2020-09-14,16433.0,Die-Cut Machines
42,2020-09-15,16433.0,Die-Cut Machines
43,2020-09-16,16433.0,Die-Cut Machines
44,2020-09-17,16433.0,Die-Cut Machines
45,2020-09-18,16433.0,Die-Cut Machines
46,2020-09-19,16433.0,Die-Cut Machines
47,2020-09-20,16433.0,Die-Cut Machines
48,2020-09-21,67079.0,Die-Cut Machines
49,2020-09-22,49574.0,Die-Cut Machines
50,2020-09-23,49574.0,Die-Cut Machines
51,2020-09-24,49574.0,Die-Cut Machines
52,2020-09-25,4037.0,Die-Cut Machines
53,2020-09-26,4037.0,Die-Cut Machines
54,2020-09-27,4037.0,Die-Cut Machines
55,2020-09-28,4037.0,Die-Cut Machines
56,2020-09-29,19608.0,Die-Cut Machines
57,2020-09-30,19608.0,Die-Cut Machines
58,2020-10-01,19608.0,Die-Cut Machines
59,2020-10-02,19608.0,Die-Cut Machines
60,2020-10-03,19608.0,Die-Cut Machines
61,2020-10-04,19608.0,Die-Cut Machines
