,date,value,name_B08F78J2L8
0,2020-09-11,618060.0,Comforter Sets
1,2020-09-12,618060.0,Comforter Sets
2,2020-09-13,618060.0,Comforter Sets
3,2020-09-14,151747.0,Comforter Sets
4,2020-09-15,174483.0,Comforter Sets
5,2020-09-16,174483.0,Comforter Sets
6,2020-09-17,99051.0,Comforter Sets
7,2020-09-18,99051.0,Comforter Sets
8,2020-09-19,99051.0,Comforter Sets
9,2020-09-20,99051.0,Comforter Sets
10,2020-09-21,99051.0,Comforter Sets
11,2020-09-22,37431.0,Comforter Sets
12,2020-09-23,50127.0,Comforter Sets
13,2020-09-24,49044.0,Comforter Sets
14,2020-09-25,31466.0,Comforter Sets
15,2020-09-26,31466.0,Comforter Sets
16,2020-09-27,31466.0,Comforter Sets
17,2020-09-28,42454.0,Comforter Sets
18,2020-09-29,36855.0,Comforter Sets
19,2020-09-30,36855.0,Comforter Sets
20,2020-10-01,36855.0,Comforter Sets
21,2020-10-02,36855.0,Comforter Sets
22,2020-10-03,40681.0,Comforter Sets
23,2020-10-04,40681.0,Comforter Sets
24,2020-10-05,40681.0,Comforter Sets
25,2020-10-06,130336.0,Comforter Sets
26,2020-10-07,109238.0,Comforter Sets
27,2020-10-08,109238.0,Comforter Sets
28,2020-10-09,109238.0,Comforter Sets
29,2020-10-10,109238.0,Comforter Sets
30,2020-10-11,109238.0,Comforter Sets
31,2020-10-12,109238.0,Comforter Sets
32,2020-10-13,203925.0,Comforter Sets
33,2020-10-14,203925.0,Comforter Sets
34,2020-10-15,203925.0,Comforter Sets
35,2020-10-16,203925.0,Comforter Sets
36,2020-10-17,203925.0,Comforter Sets
37,2020-10-18,203925.0,Comforter Sets
38,2020-10-19,217279.0,Comforter Sets
39,2020-10-20,394254.0,Comforter Sets
40,2020-10-21,351473.0,Comforter Sets
41,2020-10-22,101190.0,Comforter Sets
42,2020-10-23,95553.0,Comforter Sets
43,2020-10-24,41085.0,Comforter Sets
44,2020-10-25,41085.0,Comforter Sets
45,2020-10-26,58110.0,Comforter Sets
46,2020-10-27,37559.0,Comforter Sets
47,2020-10-28,37559.0,Comforter Sets
48,2020-10-29,37559.0,Comforter Sets
49,2020-10-30,32411.0,Comforter Sets
50,2020-10-31,32411.0,Comforter Sets
51,2020-11-01,32411.0,Comforter Sets
52,2020-11-02,23447.0,Comforter Sets
53,2020-11-03,19083.0,Comforter Sets
54,2020-11-04,26224.0,Comforter Sets
55,2020-11-05,26224.0,Comforter Sets
56,2020-11-06,21250.0,Comforter Sets
57,2020-11-07,21250.0,Comforter Sets
58,2020-11-08,21250.0,Comforter Sets
59,2020-11-09,14349.0,Comforter Sets
60,2020-11-10,20625.0,Comforter Sets
61,2020-11-11,15395.0,Comforter Sets
62,2020-11-12,15395.0,Comforter Sets
63,2020-11-13,17042.0,Comforter Sets
64,2020-11-14,17042.0,Comforter Sets
65,2020-11-15,17042.0,Comforter Sets
66,2020-11-16,21625.0,Comforter Sets
67,2020-11-17,20090.0,Comforter Sets
68,2020-11-18,24826.0,Comforter Sets
69,2020-11-19,24826.0,Comforter Sets
70,2020-11-20,24826.0,Comforter Sets
71,2020-11-21,25962.0,Comforter Sets
72,2020-11-22,25962.0,Comforter Sets
73,2020-11-23,25962.0,Comforter Sets
74,2020-11-24,31560.0,Comforter Sets
