,date,value,name_B08FLGQ5JM
0,2020-10-06,50981.0,Cleaning Tissues & Cloths
1,2020-10-07,50981.0,Cleaning Tissues & Cloths
2,2020-10-08,50981.0,Cleaning Tissues & Cloths
3,2020-10-09,50981.0,Cleaning Tissues & Cloths
4,2020-10-10,50981.0,Cleaning Tissues & Cloths
5,2020-10-11,19280.0,Cleaning Tissues & Cloths
6,2020-10-12,19280.0,Cleaning Tissues & Cloths
7,2020-10-13,19280.0,Cleaning Tissues & Cloths
8,2020-10-14,22265.0,Cleaning Tissues & Cloths
9,2020-10-15,22265.0,Cleaning Tissues & Cloths
10,2020-10-16,22265.0,Cleaning Tissues & Cloths
11,2020-10-17,22265.0,Cleaning Tissues & Cloths
12,2020-10-18,45952.0,Cleaning Tissues & Cloths
13,2020-10-19,45952.0,Cleaning Tissues & Cloths
14,2020-10-20,45952.0,Cleaning Tissues & Cloths
15,2020-10-21,67699.0,Cleaning Tissues & Cloths
16,2020-10-22,67699.0,Cleaning Tissues & Cloths
17,2020-10-23,50279.0,Cleaning Tissues & Cloths
18,2020-10-24,50279.0,Cleaning Tissues & Cloths
19,2020-10-25,50279.0,Cleaning Tissues & Cloths
20,2020-10-26,50279.0,Cleaning Tissues & Cloths
21,2020-10-27,27246.0,Cleaning Tissues & Cloths
22,2020-10-28,25649.0,Cleaning Tissues & Cloths
23,2020-10-29,25649.0,Cleaning Tissues & Cloths
24,2020-10-30,20104.0,Cleaning Tissues & Cloths
25,2020-10-31,20104.0,Cleaning Tissues & Cloths
26,2020-11-01,20104.0,Cleaning Tissues & Cloths
27,2020-11-02,20104.0,Cleaning Tissues & Cloths
28,2020-11-03,15414.0,Cleaning Tissues & Cloths
29,2020-11-04,15414.0,Cleaning Tissues & Cloths
30,2020-11-05,15414.0,Cleaning Tissues & Cloths
31,2020-11-06,12450.0,Cleaning Tissues & Cloths
32,2020-11-07,10970.0,Cleaning Tissues & Cloths
33,2020-11-08,10970.0,Cleaning Tissues & Cloths
34,2020-11-09,10970.0,Cleaning Tissues & Cloths
35,2020-11-10,10585.0,Cleaning Tissues & Cloths
36,2020-11-11,10755.0,Cleaning Tissues & Cloths
37,2020-11-12,11144.0,Cleaning Tissues & Cloths
38,2020-11-13,9239.0,Cleaning Tissues & Cloths
39,2020-11-14,8089.0,Cleaning Tissues & Cloths
40,2020-11-15,8188.0,Cleaning Tissues & Cloths
41,2020-11-16,8188.0,Cleaning Tissues & Cloths
42,2020-11-17,9182.0,Cleaning Tissues & Cloths
43,2020-11-18,11430.0,Cleaning Tissues & Cloths
44,2020-11-19,12547.0,Cleaning Tissues & Cloths
45,2020-11-20,12808.0,Cleaning Tissues & Cloths
46,2020-11-21,10136.0,Cleaning Tissues & Cloths
47,2020-11-22,10136.0,Cleaning Tissues & Cloths
48,2020-11-23,10801.0,Cleaning Tissues & Cloths
49,2020-11-24,11771.0,Cleaning Tissues & Cloths
50,2020-11-25,14670.0,Cleaning Tissues & Cloths
51,2020-11-26,12008.0,Cleaning Tissues & Cloths
52,2020-11-27,13626.0,Cleaning Tissues & Cloths
53,2020-11-28,17845.0,Cleaning Tissues & Cloths
54,2020-11-29,17845.0,Cleaning Tissues & Cloths
55,2020-11-30,10473.0,Cleaning Tissues & Cloths
56,2020-12-01,9340.0,Cleaning Tissues & Cloths
57,2020-12-02,9340.0,Cleaning Tissues & Cloths
58,2020-12-03,9298.0,Cleaning Tissues & Cloths
59,2020-12-04,10192.0,Cleaning Tissues & Cloths
60,2020-12-05,6921.0,Cleaning Tissues & Cloths
61,2020-12-06,6921.0,Cleaning Tissues & Cloths
62,2020-12-07,4764.0,Cleaning Tissues & Cloths
63,2020-12-08,4116.0,Cleaning Tissues & Cloths
64,2020-12-09,4294.0,Cleaning Tissues & Cloths
65,2020-12-10,3811.0,Cleaning Tissues & Cloths
66,2020-12-11,4113.0,Cleaning Tissues & Cloths
67,2020-12-12,4113.0,Cleaning Tissues & Cloths
68,2020-12-13,5411.0,Cleaning Tissues & Cloths
69,2020-12-14,5153.0,Cleaning Tissues & Cloths
70,2020-12-15,5153.0,Cleaning Tissues & Cloths
71,2020-12-16,4806.0,Cleaning Tissues & Cloths
72,2020-12-17,4806.0,Cleaning Tissues & Cloths
73,2020-12-18,4806.0,Cleaning Tissues & Cloths
74,2020-12-19,4126.0,Cleaning Tissues & Cloths
75,2020-12-20,3768.0,Cleaning Tissues & Cloths
76,2020-12-21,3768.0,Cleaning Tissues & Cloths
77,2020-12-22,4454.0,Cleaning Tissues & Cloths
78,2020-12-23,4896.0,Cleaning Tissues & Cloths
79,2020-12-24,5355.0,Cleaning Tissues & Cloths
80,2020-12-25,6261.0,Cleaning Tissues & Cloths
81,2020-12-26,6261.0,Cleaning Tissues & Cloths
82,2020-12-27,6166.0,Cleaning Tissues & Cloths
83,2020-12-28,6122.0,Cleaning Tissues & Cloths
84,2020-12-29,4979.0,Cleaning Tissues & Cloths
85,2020-12-30,4979.0,Cleaning Tissues & Cloths
86,2020-12-31,5587.0,Cleaning Tissues & Cloths
87,2021-01-01,5587.0,Cleaning Tissues & Cloths
88,2021-01-02,7721.0,Cleaning Tissues & Cloths
89,2021-01-03,6936.0,Cleaning Tissues & Cloths
90,2021-01-04,7754.0,Cleaning Tissues & Cloths
91,2021-01-05,6531.0,Cleaning Tissues & Cloths
92,2021-01-06,6531.0,Cleaning Tissues & Cloths
93,2021-01-07,6531.0,Cleaning Tissues & Cloths
94,2021-01-08,5373.0,Cleaning Tissues & Cloths
95,2021-01-09,5373.0,Cleaning Tissues & Cloths
96,2021-01-10,5439.0,Cleaning Tissues & Cloths
97,2021-01-11,5439.0,Cleaning Tissues & Cloths
98,2021-01-12,5439.0,Cleaning Tissues & Cloths
99,2021-01-13,4014.0,Cleaning Tissues & Cloths
100,2021-01-14,3928.0,Cleaning Tissues & Cloths
101,2021-01-15,4472.0,Cleaning Tissues & Cloths
102,2021-01-16,4472.0,Cleaning Tissues & Cloths
103,2021-01-17,4769.0,Cleaning Tissues & Cloths
104,2021-01-18,4769.0,Cleaning Tissues & Cloths
105,2021-01-19,4769.0,Cleaning Tissues & Cloths
106,2021-01-20,4323.0,Cleaning Tissues & Cloths
107,2021-01-21,4323.0,Cleaning Tissues & Cloths
108,2021-01-22,3620.0,Cleaning Tissues & Cloths
109,2021-01-23,4393.0,Cleaning Tissues & Cloths
110,2021-01-24,4393.0,Cleaning Tissues & Cloths
111,2021-01-25,4393.0,Cleaning Tissues & Cloths
112,2021-01-26,3857.0,Cleaning Tissues & Cloths
113,2021-01-27,3221.0,Cleaning Tissues & Cloths
114,2021-01-28,3363.0,Cleaning Tissues & Cloths
115,2021-01-29,3363.0,Cleaning Tissues & Cloths
116,2021-01-30,3363.0,Cleaning Tissues & Cloths
117,2021-01-31,3363.0,Cleaning Tissues & Cloths
118,2021-02-01,3234.0,Cleaning Tissues & Cloths
119,2021-02-02,3234.0,Cleaning Tissues & Cloths
120,2021-02-03,3234.0,Cleaning Tissues & Cloths
121,2021-02-04,3673.0,Cleaning Tissues & Cloths
122,2021-02-05,3088.0,Cleaning Tissues & Cloths
123,2021-02-06,3088.0,Cleaning Tissues & Cloths
124,2021-02-07,3088.0,Cleaning Tissues & Cloths
125,2021-02-08,3532.0,Cleaning Tissues & Cloths
126,2021-02-09,3532.0,Cleaning Tissues & Cloths
127,2021-02-10,3362.0,Cleaning Tissues & Cloths
128,2021-02-11,3362.0,Cleaning Tissues & Cloths
129,2021-02-12,2551.0,Cleaning Tissues & Cloths
130,2021-02-13,2551.0,Cleaning Tissues & Cloths
131,2021-02-14,2551.0,Cleaning Tissues & Cloths
132,2021-02-15,3614.0,Cleaning Tissues & Cloths
133,2021-02-16,4324.0,Cleaning Tissues & Cloths
134,2021-02-17,4324.0,Cleaning Tissues & Cloths
135,2021-02-18,4324.0,Cleaning Tissues & Cloths
136,2021-02-19,4703.0,Cleaning Tissues & Cloths
137,2021-02-20,4629.0,Cleaning Tissues & Cloths
138,2021-02-21,2747.0,Cleaning Tissues & Cloths
139,2021-02-22,3159.0,Cleaning Tissues & Cloths
140,2021-02-23,3159.0,Cleaning Tissues & Cloths
141,2021-02-24,4421.0,Cleaning Tissues & Cloths
142,2021-02-25,4421.0,Cleaning Tissues & Cloths
143,2021-02-26,4421.0,Cleaning Tissues & Cloths
144,2021-02-27,4025.0,Cleaning Tissues & Cloths
145,2021-02-28,3927.0,Cleaning Tissues & Cloths
146,2021-03-01,3927.0,Cleaning Tissues & Cloths
147,2021-03-02,4188.0,Cleaning Tissues & Cloths
148,2021-03-03,4188.0,Cleaning Tissues & Cloths
149,2021-03-04,4188.0,Cleaning Tissues & Cloths
150,2021-03-05,4761.0,Cleaning Tissues & Cloths
151,2021-03-06,4761.0,Cleaning Tissues & Cloths
152,2021-03-07,4761.0,Cleaning Tissues & Cloths
153,2021-03-08,3907.0,Cleaning Tissues & Cloths
154,2021-03-09,3907.0,Cleaning Tissues & Cloths
