,date,value,name_B08FT1CJCP
0,2020-08-16,4817.0,Free Standing Shoe Racks
1,2020-08-17,4618.0,Free Standing Shoe Racks
2,2020-08-18,4633.0,Free Standing Shoe Racks
3,2020-08-19,4633.0,Free Standing Shoe Racks
4,2020-08-20,4633.0,Free Standing Shoe Racks
5,2020-08-21,5537.0,Free Standing Shoe Racks
6,2020-08-22,5537.0,Free Standing Shoe Racks
7,2020-08-23,4984.0,Free Standing Shoe Racks
8,2020-08-24,4984.0,Free Standing Shoe Racks
9,2020-08-25,4984.0,Free Standing Shoe Racks
10,2020-08-26,4664.0,Free Standing Shoe Racks
11,2020-08-27,5822.0,Free Standing Shoe Racks
12,2020-08-28,6400.0,Free Standing Shoe Racks
13,2020-08-29,6400.0,Free Standing Shoe Racks
14,2020-08-30,7216.0,Free Standing Shoe Racks
15,2020-08-31,7425.0,Free Standing Shoe Racks
16,2020-09-01,9516.0,Free Standing Shoe Racks
17,2020-09-02,9516.0,Free Standing Shoe Racks
18,2020-09-03,14759.0,Free Standing Shoe Racks
19,2020-09-04,14759.0,Free Standing Shoe Racks
20,2020-09-05,15690.0,Free Standing Shoe Racks
21,2020-09-06,15690.0,Free Standing Shoe Racks
22,2020-09-07,20654.0,Free Standing Shoe Racks
23,2020-09-08,20019.0,Free Standing Shoe Racks
24,2020-09-09,20019.0,Free Standing Shoe Racks
25,2020-09-10,13515.0,Free Standing Shoe Racks
26,2020-09-11,13515.0,Free Standing Shoe Racks
27,2020-09-12,13515.0,Free Standing Shoe Racks
28,2020-09-13,7657.0,Free Standing Shoe Racks
29,2020-09-14,8764.0,Free Standing Shoe Racks
30,2020-09-15,8764.0,Free Standing Shoe Racks
31,2020-09-16,6696.0,Free Standing Shoe Racks
32,2020-09-17,6837.0,Free Standing Shoe Racks
33,2020-09-18,7108.0,Free Standing Shoe Racks
34,2020-09-19,6980.0,Free Standing Shoe Racks
35,2020-09-20,6980.0,Free Standing Shoe Racks
36,2020-09-21,4197.0,Free Standing Shoe Racks
37,2020-09-22,4197.0,Free Standing Shoe Racks
38,2020-09-23,4197.0,Free Standing Shoe Racks
39,2020-09-24,4158.0,Free Standing Shoe Racks
40,2020-09-25,4158.0,Free Standing Shoe Racks
41,2020-09-26,4158.0,Free Standing Shoe Racks
42,2020-09-27,3071.0,Free Standing Shoe Racks
43,2020-09-28,2751.0,Free Standing Shoe Racks
44,2020-09-29,2751.0,Free Standing Shoe Racks
45,2020-09-30,2751.0,Free Standing Shoe Racks
46,2020-10-01,3192.0,Free Standing Shoe Racks
47,2020-10-02,3192.0,Free Standing Shoe Racks
48,2020-10-03,3192.0,Free Standing Shoe Racks
49,2020-10-04,3371.0,Free Standing Shoe Racks
50,2020-10-05,3371.0,Free Standing Shoe Racks
51,2020-10-06,3371.0,Free Standing Shoe Racks
52,2020-10-07,2878.0,Free Standing Shoe Racks
53,2020-10-08,2878.0,Free Standing Shoe Racks
54,2020-10-09,3041.0,Free Standing Shoe Racks
55,2020-10-10,3041.0,Free Standing Shoe Racks
56,2020-10-11,2134.0,Free Standing Shoe Racks
57,2020-10-12,2134.0,Free Standing Shoe Racks
58,2020-10-13,2210.0,Free Standing Shoe Racks
59,2020-10-14,3015.0,Free Standing Shoe Racks
