,date,value,name_B08FXZNGPF
0,2021-04-17,13808.0,Flatware Organizers
1,2021-04-18,13808.0,Flatware Organizers
2,2021-04-19,12775.0,Flatware Organizers
3,2021-04-20,17022.0,Flatware Organizers
4,2021-04-21,13744.0,Flatware Organizers
5,2021-04-22,14423.0,Flatware Organizers
6,2021-04-23,11565.0,Flatware Organizers
7,2021-04-24,10747.0,Flatware Organizers
8,2021-04-25,9514.0,Flatware Organizers
9,2021-04-26,10816.0,Flatware Organizers
10,2021-04-27,8442.0,Flatware Organizers
11,2021-04-28,10208.0,Flatware Organizers
12,2021-04-29,10013.0,Flatware Organizers
13,2021-04-30,7663.0,Flatware Organizers
14,2021-05-01,8894.0,Flatware Organizers
15,2021-05-02,5054.0,Flatware Organizers
16,2021-05-03,4755.0,Flatware Organizers
17,2021-05-04,6699.0,Flatware Organizers
18,2021-05-05,7769.0,Flatware Organizers
19,2021-05-06,7527.0,Flatware Organizers
20,2021-05-07,7040.0,Flatware Organizers
21,2021-05-08,6427.0,Flatware Organizers
22,2021-05-09,6863.0,Flatware Organizers
23,2021-05-10,7418.0,Flatware Organizers
24,2021-05-11,6845.0,Flatware Organizers
25,2021-05-12,6499.0,Flatware Organizers
26,2021-05-13,6770.0,Flatware Organizers
27,2021-05-14,6896.0,Flatware Organizers
28,2021-05-15,6085.0,Flatware Organizers
29,2021-05-16,4820.0,Flatware Organizers
30,2021-05-17,7307.0,Flatware Organizers
31,2021-05-18,6603.0,Flatware Organizers
32,2021-05-19,5863.0,Flatware Organizers
33,2021-05-20,7623.0,Flatware Organizers
34,2021-05-21,6356.0,Flatware Organizers
35,2021-05-22,6286.0,Flatware Organizers
36,2021-05-23,6832.0,Flatware Organizers
37,2021-05-24,5601.0,Flatware Organizers
38,2021-05-25,5459.0,Flatware Organizers
39,2021-05-26,4956.0,Flatware Organizers
40,2021-05-27,5496.0,Flatware Organizers
41,2021-05-28,6252.0,Flatware Organizers
42,2021-05-29,7668.0,Flatware Organizers
43,2021-05-30,7856.0,Flatware Organizers
44,2021-05-31,7006.0,Flatware Organizers
45,2021-06-01,7987.0,Flatware Organizers
46,2021-06-02,6765.0,Flatware Organizers
47,2021-06-03,7631.0,Flatware Organizers
48,2021-06-04,7638.0,Flatware Organizers
49,2021-06-05,6663.0,Flatware Organizers
50,2021-06-06,7975.0,Flatware Organizers
51,2021-06-07,7559.0,Flatware Organizers
52,2021-06-08,6926.0,Flatware Organizers
53,2021-06-09,8637.0,Flatware Organizers
54,2021-06-10,8550.0,Flatware Organizers
55,2021-06-11,8737.0,Flatware Organizers
56,2021-06-12,8477.0,Flatware Organizers
57,2021-06-13,7246.0,Flatware Organizers
58,2021-06-14,7918.0,Flatware Organizers
59,2021-06-15,10346.0,Flatware Organizers
60,2021-06-16,8075.0,Flatware Organizers
61,2021-06-17,7031.0,Flatware Organizers
62,2021-06-18,8335.0,Flatware Organizers
63,2021-06-19,9669.0,Flatware Organizers
64,2021-06-20,8452.0,Flatware Organizers
65,2021-06-21,6430.0,Flatware Organizers
66,2021-06-22,5506.0,Flatware Organizers
67,2021-06-23,5892.0,Flatware Organizers
68,2021-06-24,7681.0,Flatware Organizers
69,2021-06-25,17923.0,Flatware Organizers
70,2021-06-26,16063.0,Flatware Organizers
71,2021-06-27,16207.0,Flatware Organizers
72,2021-06-28,18856.0,Flatware Organizers
73,2021-06-29,20730.0,Flatware Organizers
74,2021-06-30,21232.0,Flatware Organizers
75,2021-07-01,22823.0,Flatware Organizers
76,2021-07-02,18176.0,Flatware Organizers
77,2021-07-03,19752.0,Flatware Organizers
78,2021-07-04,15662.0,Flatware Organizers
79,2021-07-05,11371.0,Flatware Organizers
80,2021-07-06,14233.0,Flatware Organizers
81,2021-07-07,11435.0,Flatware Organizers
82,2021-07-08,16757.0,Flatware Organizers
83,2021-07-09,12149.0,Flatware Organizers
