,date,value,name_B08G1QQ88X
0,2020-08-23,14732.0,Floating Shelves
1,2020-08-24,14732.0,Floating Shelves
2,2020-08-25,10161.0,Floating Shelves
3,2020-08-26,10161.0,Floating Shelves
4,2020-08-27,13047.0,Floating Shelves
5,2020-08-28,12501.0,Floating Shelves
6,2020-08-29,15025.0,Floating Shelves
7,2020-08-30,12076.0,Floating Shelves
8,2020-08-31,10671.0,Floating Shelves
9,2020-09-01,12486.0,Floating Shelves
10,2020-09-02,15979.0,Floating Shelves
11,2020-09-03,15979.0,Floating Shelves
12,2020-09-04,12901.0,Floating Shelves
13,2020-09-05,12901.0,Floating Shelves
14,2020-09-06,14527.0,Floating Shelves
15,2020-09-07,14527.0,Floating Shelves
16,2020-09-08,11602.0,Floating Shelves
17,2020-09-09,13130.0,Floating Shelves
18,2020-09-10,18914.0,Floating Shelves
19,2020-09-11,18914.0,Floating Shelves
20,2020-09-12,18914.0,Floating Shelves
21,2020-09-13,32197.0,Floating Shelves
22,2020-09-14,41284.0,Floating Shelves
23,2020-09-15,36867.0,Floating Shelves
24,2020-09-16,36867.0,Floating Shelves
25,2020-09-17,36867.0,Floating Shelves
26,2020-09-18,36867.0,Floating Shelves
27,2020-09-19,36867.0,Floating Shelves
28,2020-09-20,37287.0,Floating Shelves
29,2020-09-21,37287.0,Floating Shelves
30,2020-09-22,35611.0,Floating Shelves
31,2020-09-23,37266.0,Floating Shelves
32,2020-09-24,49679.0,Floating Shelves
33,2020-09-25,49679.0,Floating Shelves
34,2020-09-26,46135.0,Floating Shelves
35,2020-09-27,46135.0,Floating Shelves
36,2020-09-28,46135.0,Floating Shelves
37,2020-09-29,44394.0,Floating Shelves
38,2020-09-30,44394.0,Floating Shelves
39,2020-10-01,44394.0,Floating Shelves
40,2020-10-02,38619.0,Floating Shelves
41,2020-10-03,38619.0,Floating Shelves
42,2020-10-04,38619.0,Floating Shelves
43,2020-10-05,38619.0,Floating Shelves
44,2020-10-06,50981.0,Floating Shelves
45,2020-10-07,50981.0,Floating Shelves
46,2020-10-08,50981.0,Floating Shelves
47,2020-10-09,42482.0,Floating Shelves
48,2020-10-10,49107.0,Floating Shelves
49,2020-10-11,49107.0,Floating Shelves
50,2020-10-12,49107.0,Floating Shelves
51,2020-10-13,55031.0,Floating Shelves
52,2020-10-14,55031.0,Floating Shelves
53,2020-10-15,55031.0,Floating Shelves
54,2020-10-16,43573.0,Floating Shelves
55,2020-10-17,43573.0,Floating Shelves
56,2020-10-18,43573.0,Floating Shelves
57,2020-10-19,67489.0,Floating Shelves
58,2020-10-20,67489.0,Floating Shelves
59,2020-10-21,67489.0,Floating Shelves
60,2020-10-22,142936.0,Floating Shelves
61,2020-10-23,135541.0,Floating Shelves
62,2020-10-24,135541.0,Floating Shelves
63,2020-10-25,135541.0,Floating Shelves
64,2020-10-26,302181.0,Floating Shelves
65,2020-10-27,357316.0,Floating Shelves
66,2020-10-28,357316.0,Floating Shelves
67,2020-10-29,397406.0,Floating Shelves
68,2020-10-30,397406.0,Floating Shelves
69,2020-10-31,397406.0,Floating Shelves
70,2020-11-01,397406.0,Floating Shelves
71,2020-11-02,55369.0,Floating Shelves
72,2020-11-03,55369.0,Floating Shelves
73,2020-11-04,55369.0,Floating Shelves
74,2020-11-05,49113.0,Floating Shelves
75,2020-11-06,49113.0,Floating Shelves
76,2020-11-07,49113.0,Floating Shelves
77,2020-11-08,49113.0,Floating Shelves
78,2020-11-09,37780.0,Floating Shelves
79,2020-11-10,20802.0,Floating Shelves
80,2020-11-11,20802.0,Floating Shelves
81,2020-11-12,13166.0,Floating Shelves
82,2020-11-13,14761.0,Floating Shelves
83,2020-11-14,14761.0,Floating Shelves
84,2020-11-15,14761.0,Floating Shelves
85,2020-11-16,11083.0,Floating Shelves
86,2020-11-17,13861.0,Floating Shelves
87,2020-11-18,12678.0,Floating Shelves
88,2020-11-19,12678.0,Floating Shelves
89,2020-11-20,12678.0,Floating Shelves
90,2020-11-21,12031.0,Floating Shelves
91,2020-11-22,12031.0,Floating Shelves
92,2020-11-23,18813.0,Floating Shelves
93,2020-11-24,18813.0,Floating Shelves
94,2020-11-25,18967.0,Floating Shelves
95,2020-11-26,20269.0,Floating Shelves
96,2020-11-27,21293.0,Floating Shelves
97,2020-11-28,21705.0,Floating Shelves
98,2020-11-29,21705.0,Floating Shelves
99,2020-11-30,21705.0,Floating Shelves
100,2020-12-01,22025.0,Floating Shelves
101,2020-12-02,22025.0,Floating Shelves
102,2020-12-03,22025.0,Floating Shelves
103,2020-12-04,17347.0,Floating Shelves
104,2020-12-05,19405.0,Floating Shelves
105,2020-12-06,19405.0,Floating Shelves
106,2020-12-07,19405.0,Floating Shelves
107,2020-12-08,15969.0,Floating Shelves
108,2020-12-09,14403.0,Floating Shelves
109,2020-12-10,14379.0,Floating Shelves
110,2020-12-11,14379.0,Floating Shelves
111,2020-12-12,14379.0,Floating Shelves
112,2020-12-13,14379.0,Floating Shelves
113,2020-12-14,12809.0,Floating Shelves
114,2020-12-15,12809.0,Floating Shelves
115,2020-12-16,15026.0,Floating Shelves
116,2020-12-17,17741.0,Floating Shelves
117,2020-12-18,18906.0,Floating Shelves
118,2020-12-19,17296.0,Floating Shelves
119,2020-12-20,17296.0,Floating Shelves
120,2020-12-21,17296.0,Floating Shelves
121,2020-12-22,13209.0,Floating Shelves
122,2020-12-23,13209.0,Floating Shelves
123,2020-12-24,10495.0,Floating Shelves
124,2020-12-25,12463.0,Floating Shelves
125,2020-12-26,9955.0,Floating Shelves
126,2020-12-27,9955.0,Floating Shelves
127,2020-12-28,9955.0,Floating Shelves
128,2020-12-29,8358.0,Floating Shelves
129,2020-12-30,5825.0,Floating Shelves
