,date,value,name_B08GCHJS59
0,2020-08-23,8699.0,Barbecue Tool Sets
1,2020-08-24,8699.0,Barbecue Tool Sets
2,2020-08-25,8699.0,Barbecue Tool Sets
3,2020-08-26,8699.0,Barbecue Tool Sets
4,2020-08-27,6709.0,Barbecue Tool Sets
5,2020-08-28,6709.0,Barbecue Tool Sets
6,2020-08-29,6709.0,Barbecue Tool Sets
7,2020-08-30,6709.0,Barbecue Tool Sets
8,2020-08-31,16486.0,Barbecue Tool Sets
9,2020-09-01,16486.0,Barbecue Tool Sets
10,2020-09-02,16486.0,Barbecue Tool Sets
11,2020-09-03,13071.0,Barbecue Tool Sets
12,2020-09-04,13071.0,Barbecue Tool Sets
13,2020-09-05,13071.0,Barbecue Tool Sets
14,2020-09-06,13071.0,Barbecue Tool Sets
15,2020-09-07,13071.0,Barbecue Tool Sets
16,2020-09-08,15006.0,Barbecue Tool Sets
17,2020-09-09,15006.0,Barbecue Tool Sets
18,2020-09-10,15006.0,Barbecue Tool Sets
19,2020-09-11,10943.0,Barbecue Tool Sets
20,2020-09-12,10943.0,Barbecue Tool Sets
21,2020-09-13,10943.0,Barbecue Tool Sets
22,2020-09-14,10943.0,Barbecue Tool Sets
23,2020-09-15,20600.0,Barbecue Tool Sets
24,2020-09-16,14505.0,Barbecue Tool Sets
25,2020-09-17,14505.0,Barbecue Tool Sets
26,2020-09-18,11834.0,Barbecue Tool Sets
27,2020-09-19,11834.0,Barbecue Tool Sets
28,2020-09-20,11834.0,Barbecue Tool Sets
29,2020-09-21,20449.0,Barbecue Tool Sets
30,2020-09-22,20449.0,Barbecue Tool Sets
31,2020-09-23,20449.0,Barbecue Tool Sets
32,2020-09-24,16208.0,Barbecue Tool Sets
33,2020-09-25,17200.0,Barbecue Tool Sets
34,2020-09-26,17200.0,Barbecue Tool Sets
35,2020-09-27,17200.0,Barbecue Tool Sets
36,2020-09-28,14179.0,Barbecue Tool Sets
37,2020-09-29,14179.0,Barbecue Tool Sets
38,2020-09-30,14179.0,Barbecue Tool Sets
39,2020-10-01,15718.0,Barbecue Tool Sets
40,2020-10-02,15051.0,Barbecue Tool Sets
41,2020-10-03,15051.0,Barbecue Tool Sets
42,2020-10-04,15051.0,Barbecue Tool Sets
43,2020-10-05,15051.0,Barbecue Tool Sets
44,2020-10-06,11524.0,Barbecue Tool Sets
45,2020-10-07,11524.0,Barbecue Tool Sets
46,2020-10-08,11524.0,Barbecue Tool Sets
47,2020-10-09,14801.0,Barbecue Tool Sets
48,2020-10-10,20076.0,Barbecue Tool Sets
49,2020-10-11,20076.0,Barbecue Tool Sets
50,2020-10-12,20076.0,Barbecue Tool Sets
51,2020-10-13,22575.0,Barbecue Tool Sets
52,2020-10-14,22575.0,Barbecue Tool Sets
53,2020-10-15,22575.0,Barbecue Tool Sets
54,2020-10-16,17283.0,Barbecue Tool Sets
55,2020-10-17,17283.0,Barbecue Tool Sets
56,2020-10-18,17283.0,Barbecue Tool Sets
57,2020-10-19,17283.0,Barbecue Tool Sets
58,2020-10-20,21801.0,Barbecue Tool Sets
59,2020-10-21,21801.0,Barbecue Tool Sets
60,2020-10-22,22692.0,Barbecue Tool Sets
61,2020-10-23,22692.0,Barbecue Tool Sets
62,2020-10-24,22692.0,Barbecue Tool Sets
63,2020-10-25,22692.0,Barbecue Tool Sets
64,2020-10-26,25892.0,Barbecue Tool Sets
65,2020-10-27,25892.0,Barbecue Tool Sets
66,2020-10-28,25892.0,Barbecue Tool Sets
67,2020-10-29,17369.0,Barbecue Tool Sets
68,2020-10-30,17369.0,Barbecue Tool Sets
69,2020-10-31,17369.0,Barbecue Tool Sets
70,2020-11-01,17369.0,Barbecue Tool Sets
71,2020-11-02,17369.0,Barbecue Tool Sets
72,2020-11-03,39078.0,Barbecue Tool Sets
73,2020-11-04,39078.0,Barbecue Tool Sets
74,2020-11-05,21012.0,Barbecue Tool Sets
75,2020-11-06,21012.0,Barbecue Tool Sets
76,2020-11-07,21012.0,Barbecue Tool Sets
77,2020-11-08,21012.0,Barbecue Tool Sets
78,2020-11-09,19151.0,Barbecue Tool Sets
79,2020-11-10,21141.0,Barbecue Tool Sets
80,2020-11-11,21141.0,Barbecue Tool Sets
81,2020-11-12,21141.0,Barbecue Tool Sets
82,2020-11-13,19198.0,Barbecue Tool Sets
83,2020-11-14,19198.0,Barbecue Tool Sets
84,2020-11-15,19198.0,Barbecue Tool Sets
85,2020-11-16,23098.0,Barbecue Tool Sets
86,2020-11-17,16920.0,Barbecue Tool Sets
87,2020-11-18,16920.0,Barbecue Tool Sets
88,2020-11-19,16920.0,Barbecue Tool Sets
89,2020-11-20,16920.0,Barbecue Tool Sets
90,2020-11-21,13646.0,Barbecue Tool Sets
91,2020-11-22,13646.0,Barbecue Tool Sets
92,2020-11-23,17421.0,Barbecue Tool Sets
93,2020-11-24,17421.0,Barbecue Tool Sets
94,2020-11-25,15124.0,Barbecue Tool Sets
95,2020-11-26,18358.0,Barbecue Tool Sets
96,2020-11-27,12179.0,Barbecue Tool Sets
97,2020-11-28,12179.0,Barbecue Tool Sets
98,2020-11-29,12179.0,Barbecue Tool Sets
99,2020-11-30,9899.0,Barbecue Tool Sets
100,2020-12-01,9899.0,Barbecue Tool Sets
101,2020-12-02,12303.0,Barbecue Tool Sets
102,2020-12-03,12303.0,Barbecue Tool Sets
103,2020-12-04,12303.0,Barbecue Tool Sets
104,2020-12-05,13800.0,Barbecue Tool Sets
105,2020-12-06,13800.0,Barbecue Tool Sets
106,2020-12-07,13800.0,Barbecue Tool Sets
107,2020-12-08,14428.0,Barbecue Tool Sets
108,2020-12-09,14428.0,Barbecue Tool Sets
