,date,value,name_B08GR1NR12
0,2020-10-29,11017.0,Trash Bags
1,2020-10-30,11017.0,Trash Bags
2,2020-10-31,11017.0,Trash Bags
3,2020-11-01,9902.0,Trash Bags
4,2020-11-02,9902.0,Trash Bags
5,2020-11-03,9902.0,Trash Bags
6,2020-11-04,9343.0,Trash Bags
7,2020-11-05,9343.0,Trash Bags
8,2020-11-06,9343.0,Trash Bags
9,2020-11-07,9343.0,Trash Bags
10,2020-11-08,11378.0,Trash Bags
11,2020-11-09,11378.0,Trash Bags
12,2020-11-10,11223.0,Trash Bags
13,2020-11-11,11223.0,Trash Bags
14,2020-11-12,9221.0,Trash Bags
15,2020-11-13,9221.0,Trash Bags
16,2020-11-14,9221.0,Trash Bags
17,2020-11-15,8256.0,Trash Bags
18,2020-11-16,8256.0,Trash Bags
19,2020-11-17,8256.0,Trash Bags
20,2020-11-18,8256.0,Trash Bags
21,2020-11-19,10673.0,Trash Bags
22,2020-11-20,10673.0,Trash Bags
23,2020-11-21,9701.0,Trash Bags
24,2020-11-22,10561.0,Trash Bags
25,2020-11-23,10561.0,Trash Bags
26,2020-11-24,11110.0,Trash Bags
27,2020-11-25,11110.0,Trash Bags
28,2020-11-26,11110.0,Trash Bags
29,2020-11-27,11110.0,Trash Bags
30,2020-11-28,11110.0,Trash Bags
31,2020-11-29,11110.0,Trash Bags
32,2020-11-30,10321.0,Trash Bags
33,2020-12-01,10321.0,Trash Bags
34,2020-12-02,10321.0,Trash Bags
35,2020-12-03,9426.0,Trash Bags
36,2020-12-04,9426.0,Trash Bags
37,2020-12-05,9426.0,Trash Bags
38,2020-12-06,13690.0,Trash Bags
39,2020-12-07,10125.0,Trash Bags
40,2020-12-08,11518.0,Trash Bags
41,2020-12-09,9522.0,Trash Bags
42,2020-12-10,9522.0,Trash Bags
43,2020-12-11,9522.0,Trash Bags
44,2020-12-12,9397.0,Trash Bags
45,2020-12-13,9397.0,Trash Bags
46,2020-12-14,9397.0,Trash Bags
47,2020-12-15,9397.0,Trash Bags
48,2020-12-16,9397.0,Trash Bags
49,2020-12-17,9397.0,Trash Bags
50,2020-12-18,9397.0,Trash Bags
51,2020-12-19,11506.0,Trash Bags
52,2020-12-20,11506.0,Trash Bags
53,2020-12-21,11506.0,Trash Bags
54,2020-12-22,11506.0,Trash Bags
55,2020-12-23,10614.0,Trash Bags
56,2020-12-24,10614.0,Trash Bags
57,2020-12-25,10614.0,Trash Bags
58,2020-12-26,10614.0,Trash Bags
59,2020-12-27,11410.0,Trash Bags
60,2020-12-28,11410.0,Trash Bags
61,2020-12-29,11410.0,Trash Bags
62,2020-12-30,9326.0,Trash Bags
63,2020-12-31,9326.0,Trash Bags
64,2021-01-01,9326.0,Trash Bags
65,2021-01-02,9326.0,Trash Bags
66,2021-01-03,9326.0,Trash Bags
67,2021-01-04,8856.0,Trash Bags
68,2021-01-05,8856.0,Trash Bags
69,2021-01-06,8856.0,Trash Bags
70,2021-01-07,8856.0,Trash Bags
71,2021-01-08,8856.0,Trash Bags
72,2021-01-09,7630.0,Trash Bags
73,2021-01-10,7630.0,Trash Bags
74,2021-01-11,9219.0,Trash Bags
75,2021-01-12,9219.0,Trash Bags
76,2021-01-13,8689.0,Trash Bags
77,2021-01-14,8689.0,Trash Bags
78,2021-01-15,8689.0,Trash Bags
79,2021-01-16,8833.0,Trash Bags
80,2021-01-17,8833.0,Trash Bags
81,2021-01-18,8833.0,Trash Bags
82,2021-01-19,8212.0,Trash Bags
83,2021-01-20,8212.0,Trash Bags
84,2021-01-21,8212.0,Trash Bags
85,2021-01-22,8212.0,Trash Bags
86,2021-01-23,8981.0,Trash Bags
87,2021-01-24,8981.0,Trash Bags
88,2021-01-25,8981.0,Trash Bags
89,2021-01-26,8981.0,Trash Bags
90,2021-01-27,8860.0,Trash Bags
91,2021-01-28,8860.0,Trash Bags
92,2021-01-29,9459.0,Trash Bags
93,2021-01-30,9459.0,Trash Bags
94,2021-01-31,9459.0,Trash Bags
95,2021-02-01,9459.0,Trash Bags
96,2021-02-02,10862.0,Trash Bags
97,2021-02-03,10862.0,Trash Bags
98,2021-02-04,10862.0,Trash Bags
99,2021-02-05,11096.0,Trash Bags
100,2021-02-06,11096.0,Trash Bags
101,2021-02-07,11096.0,Trash Bags
102,2021-02-08,10345.0,Trash Bags
103,2021-02-09,10345.0,Trash Bags
104,2021-02-10,10345.0,Trash Bags
105,2021-02-11,9524.0,Trash Bags
106,2021-02-12,9524.0,Trash Bags
107,2021-02-13,9524.0,Trash Bags
108,2021-02-14,9524.0,Trash Bags
109,2021-02-15,9252.0,Trash Bags
110,2021-02-16,9940.0,Trash Bags
111,2021-02-17,9940.0,Trash Bags
112,2021-02-18,9391.0,Trash Bags
113,2021-02-19,9391.0,Trash Bags
114,2021-02-20,9391.0,Trash Bags
115,2021-02-21,9391.0,Trash Bags
116,2021-02-22,9391.0,Trash Bags
117,2021-02-23,8727.0,Trash Bags
118,2021-02-24,8727.0,Trash Bags
119,2021-02-25,8763.0,Trash Bags
120,2021-02-26,8763.0,Trash Bags
121,2021-02-27,8988.0,Trash Bags
122,2021-02-28,8988.0,Trash Bags
123,2021-03-01,8988.0,Trash Bags
124,2021-03-02,8799.0,Trash Bags
125,2021-03-03,8799.0,Trash Bags
126,2021-03-04,8799.0,Trash Bags
127,2021-03-05,7195.0,Trash Bags
128,2021-03-06,7195.0,Trash Bags
129,2021-03-07,9115.0,Trash Bags
130,2021-03-08,8850.0,Trash Bags
131,2021-03-09,8850.0,Trash Bags
132,2021-03-10,8850.0,Trash Bags
133,2021-03-11,8850.0,Trash Bags
134,2021-03-12,6899.0,Trash Bags
135,2021-03-13,6899.0,Trash Bags
136,2021-03-14,6899.0,Trash Bags
137,2021-03-15,6899.0,Trash Bags
138,2021-03-16,8277.0,Trash Bags
139,2021-03-17,8576.0,Trash Bags
140,2021-03-18,8576.0,Trash Bags
141,2021-03-19,8576.0,Trash Bags
142,2021-03-20,8576.0,Trash Bags
143,2021-03-21,8576.0,Trash Bags
144,2021-03-22,8544.0,Trash Bags
145,2021-03-23,6332.0,Trash Bags
146,2021-03-24,6332.0,Trash Bags
147,2021-03-25,5897.0,Trash Bags
148,2021-03-26,5897.0,Trash Bags
149,2021-03-27,5897.0,Trash Bags
150,2021-03-28,6186.0,Trash Bags
151,2021-03-29,6186.0,Trash Bags
152,2021-03-30,6186.0,Trash Bags
153,2021-03-31,6186.0,Trash Bags
154,2021-04-01,6106.0,Trash Bags
155,2021-04-02,6106.0,Trash Bags
156,2021-04-03,7277.0,Trash Bags
157,2021-04-04,7277.0,Trash Bags
158,2021-04-05,7277.0,Trash Bags
159,2021-04-06,7504.0,Trash Bags
160,2021-04-07,7504.0,Trash Bags
161,2021-04-08,7663.0,Trash Bags
162,2021-04-09,8301.0,Trash Bags
163,2021-04-10,8281.0,Trash Bags
164,2021-04-11,8281.0,Trash Bags
165,2021-04-12,7264.0,Trash Bags
166,2021-04-13,7890.0,Trash Bags
167,2021-04-14,7890.0,Trash Bags
168,2021-04-15,7890.0,Trash Bags
169,2021-04-16,7615.0,Trash Bags
170,2021-04-17,7615.0,Trash Bags
171,2021-04-18,7615.0,Trash Bags
172,2021-04-19,6205.0,Trash Bags
173,2021-04-20,6205.0,Trash Bags
174,2021-04-21,7677.0,Trash Bags
175,2021-04-22,7526.0,Trash Bags
176,2021-04-23,7526.0,Trash Bags
177,2021-04-24,7526.0,Trash Bags
178,2021-04-25,8118.0,Trash Bags
179,2021-04-26,8476.0,Trash Bags
180,2021-04-27,8476.0,Trash Bags
181,2021-04-28,8476.0,Trash Bags
182,2021-04-29,6071.0,Trash Bags
183,2021-04-30,7211.0,Trash Bags
184,2021-05-01,7211.0,Trash Bags
185,2021-05-02,7211.0,Trash Bags
186,2021-05-03,7114.0,Trash Bags
187,2021-05-04,7114.0,Trash Bags
188,2021-05-05,7021.0,Trash Bags
189,2021-05-06,6837.0,Trash Bags
190,2021-05-07,6837.0,Trash Bags
191,2021-05-08,6580.0,Trash Bags
192,2021-05-09,6580.0,Trash Bags
193,2021-05-10,6580.0,Trash Bags
194,2021-05-11,7786.0,Trash Bags
195,2021-05-12,7786.0,Trash Bags
196,2021-05-13,7360.0,Trash Bags
197,2021-05-14,7360.0,Trash Bags
198,2021-05-15,8794.0,Trash Bags
199,2021-05-16,8794.0,Trash Bags
200,2021-05-17,8794.0,Trash Bags
201,2021-05-18,7639.0,Trash Bags
202,2021-05-19,7383.0,Trash Bags
203,2021-05-20,7818.0,Trash Bags
204,2021-05-21,7818.0,Trash Bags
205,2021-05-22,5942.0,Trash Bags
206,2021-05-23,5409.0,Trash Bags
207,2021-05-24,5409.0,Trash Bags
208,2021-05-25,6538.0,Trash Bags
209,2021-05-26,6538.0,Trash Bags
210,2021-05-27,6129.0,Trash Bags
211,2021-05-28,7239.0,Trash Bags
212,2021-05-29,7239.0,Trash Bags
213,2021-05-30,7239.0,Trash Bags
214,2021-05-31,6339.0,Trash Bags
215,2021-06-01,6847.0,Trash Bags
216,2021-06-02,5375.0,Trash Bags
217,2021-06-03,6545.0,Trash Bags
218,2021-06-04,5262.0,Trash Bags
219,2021-06-05,5496.0,Trash Bags
220,2021-06-06,6545.0,Trash Bags
221,2021-06-07,6015.0,Trash Bags
222,2021-06-08,5555.0,Trash Bags
223,2021-06-09,4844.0,Trash Bags
224,2021-06-10,4844.0,Trash Bags
225,2021-06-11,5615.0,Trash Bags
226,2021-06-12,5061.0,Trash Bags
227,2021-06-13,5061.0,Trash Bags
228,2021-06-14,5061.0,Trash Bags
229,2021-06-15,5500.0,Trash Bags
230,2021-06-16,5500.0,Trash Bags
231,2021-06-17,5397.0,Trash Bags
232,2021-06-18,5442.0,Trash Bags
233,2021-06-19,5527.0,Trash Bags
234,2021-06-20,6026.0,Trash Bags
235,2021-06-21,5841.0,Trash Bags
236,2021-06-22,7136.0,Trash Bags
237,2021-06-23,7136.0,Trash Bags
238,2021-06-24,6362.0,Trash Bags
239,2021-06-25,6362.0,Trash Bags
240,2021-06-26,6362.0,Trash Bags
241,2021-06-27,6323.0,Trash Bags
242,2021-06-28,6323.0,Trash Bags
243,2021-06-29,6585.0,Trash Bags
244,2021-06-30,5733.0,Trash Bags
245,2021-07-01,5733.0,Trash Bags
246,2021-07-02,4917.0,Trash Bags
247,2021-07-03,4917.0,Trash Bags
248,2021-07-04,5340.0,Trash Bags
249,2021-07-05,5340.0,Trash Bags
250,2021-07-06,5340.0,Trash Bags
251,2021-07-07,5338.0,Trash Bags
252,2021-07-08,5030.0,Trash Bags
253,2021-07-09,5571.0,Trash Bags
