,date,value,name_B08H1RRQ4J
0,2020-11-28,144061.0,Lumbar Supports
1,2020-11-29,144061.0,Lumbar Supports
2,2020-11-30,144061.0,Lumbar Supports
3,2020-12-01,153622.0,Lumbar Supports
4,2020-12-02,153622.0,Lumbar Supports
5,2020-12-03,193037.0,Lumbar Supports
6,2020-12-04,193037.0,Lumbar Supports
7,2020-12-05,123810.0,Lumbar Supports
8,2020-12-06,123810.0,Lumbar Supports
9,2020-12-07,93633.0,Lumbar Supports
10,2020-12-08,93633.0,Lumbar Supports
11,2020-12-09,82399.0,Lumbar Supports
12,2020-12-10,82399.0,Lumbar Supports
13,2020-12-11,82399.0,Lumbar Supports
14,2020-12-12,82399.0,Lumbar Supports
15,2020-12-13,48597.0,Lumbar Supports
16,2020-12-14,37541.0,Lumbar Supports
17,2020-12-15,41593.0,Lumbar Supports
18,2020-12-16,41593.0,Lumbar Supports
19,2020-12-17,41593.0,Lumbar Supports
20,2020-12-18,41593.0,Lumbar Supports
21,2020-12-19,50491.0,Lumbar Supports
22,2020-12-20,44189.0,Lumbar Supports
23,2020-12-21,44189.0,Lumbar Supports
24,2020-12-22,55841.0,Lumbar Supports
25,2020-12-23,55841.0,Lumbar Supports
26,2020-12-24,50477.0,Lumbar Supports
27,2020-12-25,63328.0,Lumbar Supports
28,2020-12-26,63328.0,Lumbar Supports
29,2020-12-27,63328.0,Lumbar Supports
30,2020-12-28,63328.0,Lumbar Supports
31,2020-12-29,63328.0,Lumbar Supports
32,2020-12-30,43386.0,Lumbar Supports
33,2020-12-31,43386.0,Lumbar Supports
34,2021-01-01,43386.0,Lumbar Supports
35,2021-01-02,43386.0,Lumbar Supports
36,2021-01-03,43386.0,Lumbar Supports
37,2021-01-04,43386.0,Lumbar Supports
38,2021-01-05,42890.0,Lumbar Supports
39,2021-01-06,42890.0,Lumbar Supports
40,2021-01-07,42890.0,Lumbar Supports
41,2021-01-08,32665.0,Lumbar Supports
42,2021-01-09,32665.0,Lumbar Supports
43,2021-01-10,30395.0,Lumbar Supports
44,2021-01-11,30395.0,Lumbar Supports
45,2021-01-12,39560.0,Lumbar Supports
46,2021-01-13,39560.0,Lumbar Supports
47,2021-01-14,32868.0,Lumbar Supports
48,2021-01-15,30894.0,Lumbar Supports
49,2021-01-16,30894.0,Lumbar Supports
50,2021-01-17,30894.0,Lumbar Supports
51,2021-01-18,27526.0,Lumbar Supports
52,2021-01-19,27526.0,Lumbar Supports
53,2021-01-20,35138.0,Lumbar Supports
54,2021-01-21,34531.0,Lumbar Supports
55,2021-01-22,34531.0,Lumbar Supports
56,2021-01-23,34531.0,Lumbar Supports
57,2021-01-24,34531.0,Lumbar Supports
58,2021-01-25,34531.0,Lumbar Supports
59,2021-01-26,38470.0,Lumbar Supports
60,2021-01-27,38470.0,Lumbar Supports
61,2021-01-28,38470.0,Lumbar Supports
62,2021-01-29,38470.0,Lumbar Supports
63,2021-01-30,38470.0,Lumbar Supports
64,2021-01-31,38470.0,Lumbar Supports
65,2021-02-01,23870.0,Lumbar Supports
66,2021-02-02,23870.0,Lumbar Supports
67,2021-02-03,26261.0,Lumbar Supports
68,2021-02-04,26261.0,Lumbar Supports
69,2021-02-05,27618.0,Lumbar Supports
70,2021-02-06,27618.0,Lumbar Supports
71,2021-02-07,27618.0,Lumbar Supports
72,2021-02-08,27618.0,Lumbar Supports
73,2021-02-09,27618.0,Lumbar Supports
74,2021-02-10,27672.0,Lumbar Supports
75,2021-02-11,21670.0,Lumbar Supports
76,2021-02-12,21670.0,Lumbar Supports
77,2021-02-13,21670.0,Lumbar Supports
78,2021-02-14,21670.0,Lumbar Supports
79,2021-02-15,21670.0,Lumbar Supports
80,2021-02-16,21670.0,Lumbar Supports
81,2021-02-17,30855.0,Lumbar Supports
82,2021-02-18,30855.0,Lumbar Supports
83,2021-02-19,31383.0,Lumbar Supports
84,2021-02-20,31383.0,Lumbar Supports
85,2021-02-21,31555.0,Lumbar Supports
86,2021-02-22,43928.0,Lumbar Supports
87,2021-02-23,43928.0,Lumbar Supports
88,2021-02-24,43928.0,Lumbar Supports
89,2021-02-25,45857.0,Lumbar Supports
90,2021-02-26,45857.0,Lumbar Supports
91,2021-02-27,45857.0,Lumbar Supports
92,2021-02-28,45857.0,Lumbar Supports
93,2021-03-01,59609.0,Lumbar Supports
94,2021-03-02,59609.0,Lumbar Supports
95,2021-03-03,59609.0,Lumbar Supports
96,2021-03-04,59609.0,Lumbar Supports
97,2021-03-05,41003.0,Lumbar Supports
98,2021-03-06,38701.0,Lumbar Supports
99,2021-03-07,36998.0,Lumbar Supports
100,2021-03-08,40706.0,Lumbar Supports
101,2021-03-09,45227.0,Lumbar Supports
102,2021-03-10,45227.0,Lumbar Supports
103,2021-03-11,41799.0,Lumbar Supports
104,2021-03-12,41799.0,Lumbar Supports
105,2021-03-13,41799.0,Lumbar Supports
106,2021-03-14,41799.0,Lumbar Supports
107,2021-03-15,46487.0,Lumbar Supports
108,2021-03-16,46487.0,Lumbar Supports
109,2021-03-17,36638.0,Lumbar Supports
110,2021-03-18,52867.0,Lumbar Supports
111,2021-03-19,52867.0,Lumbar Supports
112,2021-03-20,57040.0,Lumbar Supports
113,2021-03-21,57040.0,Lumbar Supports
114,2021-03-22,57040.0,Lumbar Supports
115,2021-03-23,41442.0,Lumbar Supports
116,2021-03-24,49526.0,Lumbar Supports
117,2021-03-25,49526.0,Lumbar Supports
118,2021-03-26,49526.0,Lumbar Supports
119,2021-03-27,58848.0,Lumbar Supports
120,2021-03-28,58848.0,Lumbar Supports
121,2021-03-29,58848.0,Lumbar Supports
122,2021-03-30,58848.0,Lumbar Supports
123,2021-03-31,78818.0,Lumbar Supports
124,2021-04-01,76486.0,Lumbar Supports
125,2021-04-02,76486.0,Lumbar Supports
126,2021-04-03,76486.0,Lumbar Supports
127,2021-04-04,76486.0,Lumbar Supports
128,2021-04-05,76486.0,Lumbar Supports
129,2021-04-06,76486.0,Lumbar Supports
130,2021-04-07,36196.0,Lumbar Supports
131,2021-04-08,36196.0,Lumbar Supports
132,2021-04-09,36196.0,Lumbar Supports
133,2021-04-10,36196.0,Lumbar Supports
134,2021-04-11,36196.0,Lumbar Supports
135,2021-04-12,36965.0,Lumbar Supports
136,2021-04-13,43134.0,Lumbar Supports
137,2021-04-14,40596.0,Lumbar Supports
138,2021-04-15,40596.0,Lumbar Supports
