,date,value,name_B08H8DXNZR
0,2020-09-05,17717.0,Fabric
1,2020-09-06,17717.0,Fabric
2,2020-09-07,13954.0,Fabric
3,2020-09-08,13216.0,Fabric
4,2020-09-09,10287.0,Fabric
5,2020-09-10,6214.0,Fabric
6,2020-09-11,6214.0,Fabric
7,2020-09-12,9110.0,Fabric
8,2020-09-13,8279.0,Fabric
9,2020-09-14,8481.0,Fabric
10,2020-09-15,16899.0,Fabric
11,2020-09-16,14036.0,Fabric
12,2020-09-17,9181.0,Fabric
13,2020-09-18,9820.0,Fabric
14,2020-09-19,13789.0,Fabric
15,2020-09-20,11080.0,Fabric
16,2020-09-21,10798.0,Fabric
17,2020-09-22,12294.0,Fabric
18,2020-09-23,12075.0,Fabric
19,2020-09-24,11424.0,Fabric
20,2020-09-25,7598.0,Fabric
21,2020-09-26,7391.0,Fabric
22,2020-09-27,7391.0,Fabric
23,2020-09-28,8865.0,Fabric
24,2020-09-29,8829.0,Fabric
25,2020-09-30,7231.0,Fabric
26,2020-10-01,7231.0,Fabric
27,2020-10-02,5409.0,Fabric
28,2020-10-03,6060.0,Fabric
29,2020-10-04,4292.0,Fabric
30,2020-10-05,9204.0,Fabric
31,2020-10-06,10628.0,Fabric
32,2020-10-07,7983.0,Fabric
33,2020-10-08,7428.0,Fabric
34,2020-10-09,7280.0,Fabric
35,2020-10-10,7280.0,Fabric
36,2020-10-11,7280.0,Fabric
37,2020-10-12,4831.0,Fabric
38,2020-10-13,4983.0,Fabric
39,2020-10-14,2789.0,Fabric
40,2020-10-15,2685.0,Fabric
41,2020-10-16,2290.0,Fabric
42,2020-10-17,2341.0,Fabric
43,2020-10-18,2792.0,Fabric
44,2020-10-19,3800.0,Fabric
45,2020-10-20,3690.0,Fabric
46,2020-10-21,3700.0,Fabric
47,2020-10-22,3855.0,Fabric
48,2020-10-23,4484.0,Fabric
49,2020-10-24,5213.0,Fabric
50,2020-10-25,5213.0,Fabric
51,2020-10-26,4596.0,Fabric
52,2020-10-27,6584.0,Fabric
53,2020-10-28,4409.0,Fabric
54,2020-10-29,4649.0,Fabric
55,2020-10-30,3795.0,Fabric
56,2020-10-31,4625.0,Fabric
57,2020-11-01,4625.0,Fabric
58,2020-11-02,4625.0,Fabric
59,2020-11-03,5326.0,Fabric
60,2020-11-04,4090.0,Fabric
61,2020-11-05,3189.0,Fabric
62,2020-11-06,4108.0,Fabric
63,2020-11-07,3885.0,Fabric
64,2020-11-08,3885.0,Fabric
65,2020-11-09,4154.0,Fabric
66,2020-11-10,4595.0,Fabric
67,2020-11-11,5813.0,Fabric
68,2020-11-12,3625.0,Fabric
69,2020-11-13,4263.0,Fabric
70,2020-11-14,3416.0,Fabric
71,2020-11-15,3416.0,Fabric
72,2020-11-16,2644.0,Fabric
73,2020-11-17,2587.0,Fabric
74,2020-11-18,3395.0,Fabric
75,2020-11-19,3196.0,Fabric
76,2020-11-20,2409.0,Fabric
77,2020-11-21,2409.0,Fabric
78,2020-11-22,2409.0,Fabric
79,2020-11-23,3568.0,Fabric
80,2020-11-24,4201.0,Fabric
81,2020-11-25,4429.0,Fabric
82,2020-11-26,5069.0,Fabric
83,2020-11-27,4161.0,Fabric
84,2020-11-28,5233.0,Fabric
85,2020-11-29,5892.0,Fabric
86,2020-11-30,7671.0,Fabric
87,2020-12-01,6096.0,Fabric
88,2020-12-02,6548.0,Fabric
89,2020-12-03,4860.0,Fabric
90,2020-12-04,5710.0,Fabric
91,2020-12-05,4048.0,Fabric
92,2020-12-06,5769.0,Fabric
93,2020-12-07,5769.0,Fabric
94,2020-12-08,5769.0,Fabric
95,2020-12-09,6559.0,Fabric
96,2020-12-10,6719.0,Fabric
97,2020-12-11,2908.0,Fabric
98,2020-12-12,2908.0,Fabric
99,2020-12-13,5240.0,Fabric
100,2020-12-14,4369.0,Fabric
101,2020-12-15,4425.0,Fabric
102,2020-12-16,5322.0,Fabric
103,2020-12-17,5418.0,Fabric
104,2020-12-18,4466.0,Fabric
105,2020-12-19,4099.0,Fabric
106,2020-12-20,4099.0,Fabric
107,2020-12-21,4464.0,Fabric
108,2020-12-22,4464.0,Fabric
109,2020-12-23,4339.0,Fabric
110,2020-12-24,3367.0,Fabric
111,2020-12-25,4053.0,Fabric
112,2020-12-26,4420.0,Fabric
113,2020-12-27,3046.0,Fabric
114,2020-12-28,3046.0,Fabric
115,2020-12-29,4911.0,Fabric
116,2020-12-30,2758.0,Fabric
117,2020-12-31,2643.0,Fabric
118,2021-01-01,2643.0,Fabric
119,2021-01-02,2790.0,Fabric
120,2021-01-03,1935.0,Fabric
121,2021-01-04,3265.0,Fabric
122,2021-01-05,3265.0,Fabric
123,2021-01-06,3128.0,Fabric
124,2021-01-07,2533.0,Fabric
125,2021-01-08,2491.0,Fabric
126,2021-01-09,2042.0,Fabric
127,2021-01-10,2042.0,Fabric
128,2021-01-11,2042.0,Fabric
129,2021-01-12,3400.0,Fabric
130,2021-01-13,3400.0,Fabric
131,2021-01-14,3400.0,Fabric
132,2021-01-15,3897.0,Fabric
133,2021-01-16,3897.0,Fabric
134,2021-01-17,3115.0,Fabric
135,2021-01-18,3885.0,Fabric
136,2021-01-19,3647.0,Fabric
137,2021-01-20,3647.0,Fabric
138,2021-01-21,3457.0,Fabric
139,2021-01-22,4307.0,Fabric
140,2021-01-23,4307.0,Fabric
141,2021-01-24,4307.0,Fabric
142,2021-01-25,3543.0,Fabric
143,2021-01-26,4493.0,Fabric
144,2021-01-27,3639.0,Fabric
145,2021-01-28,1758.0,Fabric
146,2021-01-29,1758.0,Fabric
147,2021-01-30,2908.0,Fabric
148,2021-01-31,2908.0,Fabric
149,2021-02-01,2908.0,Fabric
150,2021-02-02,3660.0,Fabric
151,2021-02-03,3558.0,Fabric
152,2021-02-04,3558.0,Fabric
153,2021-02-05,3558.0,Fabric
154,2021-02-06,3059.0,Fabric
155,2021-02-07,3718.0,Fabric
156,2021-02-08,4201.0,Fabric
157,2021-02-09,4201.0,Fabric
158,2021-02-10,4201.0,Fabric
159,2021-02-11,4201.0,Fabric
160,2021-02-12,4201.0,Fabric
161,2021-02-13,4201.0,Fabric
162,2021-02-14,4201.0,Fabric
163,2021-02-15,4201.0,Fabric
164,2021-02-16,5395.0,Fabric
165,2021-02-17,4354.0,Fabric
166,2021-02-18,4354.0,Fabric
167,2021-02-19,4354.0,Fabric
168,2021-02-20,3721.0,Fabric
169,2021-02-21,3721.0,Fabric
170,2021-02-22,3877.0,Fabric
171,2021-02-23,3857.0,Fabric
172,2021-02-24,1926.0,Fabric
173,2021-02-25,1926.0,Fabric
174,2021-02-26,1926.0,Fabric
175,2021-02-27,1926.0,Fabric
176,2021-02-28,1926.0,Fabric
177,2021-03-01,4073.0,Fabric
178,2021-03-02,3672.0,Fabric
179,2021-03-03,3672.0,Fabric
180,2021-03-04,2057.0,Fabric
181,2021-03-05,2936.0,Fabric
182,2021-03-06,3141.0,Fabric
183,2021-03-07,3141.0,Fabric
184,2021-03-08,4353.0,Fabric
185,2021-03-09,4353.0,Fabric
186,2021-03-10,4353.0,Fabric
187,2021-03-11,4014.0,Fabric
188,2021-03-12,3582.0,Fabric
189,2021-03-13,4252.0,Fabric
190,2021-03-14,5069.0,Fabric
191,2021-03-15,4609.0,Fabric
192,2021-03-16,5824.0,Fabric
193,2021-03-17,5824.0,Fabric
194,2021-03-18,3069.0,Fabric
195,2021-03-19,2946.0,Fabric
196,2021-03-20,2946.0,Fabric
197,2021-03-21,3250.0,Fabric
198,2021-03-22,4488.0,Fabric
199,2021-03-23,6325.0,Fabric
200,2021-03-24,5026.0,Fabric
201,2021-03-25,5026.0,Fabric
202,2021-03-26,2981.0,Fabric
203,2021-03-27,3847.0,Fabric
204,2021-03-28,3847.0,Fabric
205,2021-03-29,3755.0,Fabric
206,2021-03-30,3755.0,Fabric
207,2021-03-31,3610.0,Fabric
208,2021-04-01,2355.0,Fabric
209,2021-04-02,4683.0,Fabric
210,2021-04-03,4709.0,Fabric
211,2021-04-04,4709.0,Fabric
212,2021-04-05,3103.0,Fabric
213,2021-04-06,3103.0,Fabric
