,date,value,name_B08HS9BFX8
0,2020-09-12,21883.0,Drawer Organizers
1,2020-09-13,21883.0,Drawer Organizers
2,2020-09-14,9006.0,Drawer Organizers
3,2020-09-15,9454.0,Drawer Organizers
4,2020-09-16,8820.0,Drawer Organizers
5,2020-09-17,7535.0,Drawer Organizers
6,2020-09-18,7535.0,Drawer Organizers
7,2020-09-19,6413.0,Drawer Organizers
8,2020-09-20,7122.0,Drawer Organizers
9,2020-09-21,6527.0,Drawer Organizers
10,2020-09-22,4585.0,Drawer Organizers
11,2020-09-23,5240.0,Drawer Organizers
12,2020-09-24,6783.0,Drawer Organizers
13,2020-09-25,6783.0,Drawer Organizers
14,2020-09-26,6125.0,Drawer Organizers
15,2020-09-27,4354.0,Drawer Organizers
16,2020-09-28,5168.0,Drawer Organizers
17,2020-09-29,5631.0,Drawer Organizers
18,2020-09-30,5631.0,Drawer Organizers
19,2020-10-01,5631.0,Drawer Organizers
20,2020-10-02,5631.0,Drawer Organizers
21,2020-10-03,12084.0,Drawer Organizers
22,2020-10-04,12084.0,Drawer Organizers
23,2020-10-05,12084.0,Drawer Organizers
24,2020-10-06,19399.0,Drawer Organizers
25,2020-10-07,20537.0,Drawer Organizers
26,2020-10-08,20537.0,Drawer Organizers
27,2020-10-09,20537.0,Drawer Organizers
28,2020-10-10,23057.0,Drawer Organizers
29,2020-10-11,23057.0,Drawer Organizers
30,2020-10-12,23057.0,Drawer Organizers
31,2020-10-13,29089.0,Drawer Organizers
32,2020-10-14,29089.0,Drawer Organizers
33,2020-10-15,29089.0,Drawer Organizers
34,2020-10-16,16560.0,Drawer Organizers
35,2020-10-17,16560.0,Drawer Organizers
36,2020-10-18,16560.0,Drawer Organizers
37,2020-10-19,64871.0,Drawer Organizers
38,2020-10-20,46289.0,Drawer Organizers
39,2020-10-21,46289.0,Drawer Organizers
40,2020-10-22,46289.0,Drawer Organizers
41,2020-10-23,42328.0,Drawer Organizers
42,2020-10-24,42328.0,Drawer Organizers
43,2020-10-25,42328.0,Drawer Organizers
44,2020-10-26,22597.0,Drawer Organizers
45,2020-10-27,22597.0,Drawer Organizers
46,2020-10-28,22597.0,Drawer Organizers
47,2020-10-29,16886.0,Drawer Organizers
48,2020-10-30,19277.0,Drawer Organizers
49,2020-10-31,19277.0,Drawer Organizers
50,2020-11-01,13152.0,Drawer Organizers
51,2020-11-02,15123.0,Drawer Organizers
52,2020-11-03,14348.0,Drawer Organizers
53,2020-11-04,14348.0,Drawer Organizers
54,2020-11-05,14348.0,Drawer Organizers
55,2020-11-06,17338.0,Drawer Organizers
56,2020-11-07,20318.0,Drawer Organizers
57,2020-11-08,18149.0,Drawer Organizers
58,2020-11-09,18149.0,Drawer Organizers
59,2020-11-10,18611.0,Drawer Organizers
60,2020-11-11,15241.0,Drawer Organizers
61,2020-11-12,20085.0,Drawer Organizers
62,2020-11-13,15971.0,Drawer Organizers
63,2020-11-14,15971.0,Drawer Organizers
64,2020-11-15,15971.0,Drawer Organizers
65,2020-11-16,15971.0,Drawer Organizers
66,2020-11-17,15971.0,Drawer Organizers
67,2020-11-18,42793.0,Drawer Organizers
68,2020-11-19,42793.0,Drawer Organizers
69,2020-11-20,48471.0,Drawer Organizers
70,2020-11-21,48471.0,Drawer Organizers
71,2020-11-22,48471.0,Drawer Organizers
72,2020-11-23,48471.0,Drawer Organizers
73,2020-11-24,48471.0,Drawer Organizers
74,2020-11-25,48471.0,Drawer Organizers
75,2020-11-26,43848.0,Drawer Organizers
76,2020-11-27,47334.0,Drawer Organizers
77,2020-11-28,47334.0,Drawer Organizers
78,2020-11-29,47334.0,Drawer Organizers
79,2020-11-30,39327.0,Drawer Organizers
80,2020-12-01,40776.0,Drawer Organizers
81,2020-12-02,40776.0,Drawer Organizers
82,2020-12-03,39220.0,Drawer Organizers
83,2020-12-04,45952.0,Drawer Organizers
84,2020-12-05,45952.0,Drawer Organizers
85,2020-12-06,45952.0,Drawer Organizers
86,2020-12-07,39988.0,Drawer Organizers
87,2020-12-08,44951.0,Drawer Organizers
88,2020-12-09,36633.0,Drawer Organizers
89,2020-12-10,36633.0,Drawer Organizers
90,2020-12-11,41818.0,Drawer Organizers
91,2020-12-12,41818.0,Drawer Organizers
92,2020-12-13,41818.0,Drawer Organizers
93,2020-12-14,42204.0,Drawer Organizers
94,2020-12-15,42204.0,Drawer Organizers
95,2020-12-16,46894.0,Drawer Organizers
96,2020-12-17,46894.0,Drawer Organizers
97,2020-12-18,36233.0,Drawer Organizers
98,2020-12-19,36233.0,Drawer Organizers
99,2020-12-20,47458.0,Drawer Organizers
100,2020-12-21,47458.0,Drawer Organizers
101,2020-12-22,47458.0,Drawer Organizers
102,2020-12-23,42736.0,Drawer Organizers
103,2020-12-24,46288.0,Drawer Organizers
104,2020-12-25,46288.0,Drawer Organizers
105,2020-12-26,46288.0,Drawer Organizers
106,2020-12-27,46288.0,Drawer Organizers
107,2020-12-28,21289.0,Drawer Organizers
108,2020-12-29,16342.0,Drawer Organizers
109,2020-12-30,16342.0,Drawer Organizers
110,2020-12-31,13887.0,Drawer Organizers
111,2021-01-01,16280.0,Drawer Organizers
112,2021-01-02,16280.0,Drawer Organizers
113,2021-01-03,16377.0,Drawer Organizers
114,2021-01-04,14199.0,Drawer Organizers
115,2021-01-05,12435.0,Drawer Organizers
116,2021-01-06,12435.0,Drawer Organizers
117,2021-01-07,15912.0,Drawer Organizers
118,2021-01-08,15912.0,Drawer Organizers
119,2021-01-09,6583.0,Drawer Organizers
120,2021-01-10,6583.0,Drawer Organizers
121,2021-01-11,6583.0,Drawer Organizers
122,2021-01-12,6583.0,Drawer Organizers
123,2021-01-13,16910.0,Drawer Organizers
124,2021-01-14,16910.0,Drawer Organizers
125,2021-01-15,16910.0,Drawer Organizers
