,date,value,name_B08HV5G29N
0,2020-09-18,13548.0,Table Runners
1,2020-09-19,13548.0,Table Runners
2,2020-09-20,13548.0,Table Runners
3,2020-09-21,13614.0,Table Runners
4,2020-09-22,5415.0,Table Runners
5,2020-09-23,5415.0,Table Runners
6,2020-09-24,4859.0,Table Runners
7,2020-09-25,5099.0,Table Runners
8,2020-09-26,5099.0,Table Runners
9,2020-09-27,5099.0,Table Runners
10,2020-09-28,4480.0,Table Runners
11,2020-09-29,4480.0,Table Runners
12,2020-09-30,4480.0,Table Runners
13,2020-10-01,3939.0,Table Runners
14,2020-10-02,5217.0,Table Runners
15,2020-10-03,4704.0,Table Runners
16,2020-10-04,4704.0,Table Runners
17,2020-10-05,4666.0,Table Runners
18,2020-10-06,3906.0,Table Runners
19,2020-10-07,2702.0,Table Runners
20,2020-10-08,2862.0,Table Runners
21,2020-10-09,3146.0,Table Runners
22,2020-10-10,3597.0,Table Runners
23,2020-10-11,3917.0,Table Runners
24,2020-10-12,3042.0,Table Runners
25,2020-10-13,3042.0,Table Runners
26,2020-10-14,3042.0,Table Runners
27,2020-10-15,5558.0,Table Runners
28,2020-10-16,5558.0,Table Runners
29,2020-10-17,3971.0,Table Runners
30,2020-10-18,3971.0,Table Runners
31,2020-10-19,4559.0,Table Runners
32,2020-10-20,3474.0,Table Runners
33,2020-10-21,2058.0,Table Runners
34,2020-10-22,2964.0,Table Runners
35,2020-10-23,3636.0,Table Runners
36,2020-10-24,3636.0,Table Runners
37,2020-10-25,5177.0,Table Runners
38,2020-10-26,5055.0,Table Runners
39,2020-10-27,3986.0,Table Runners
40,2020-10-28,4324.0,Table Runners
41,2020-10-29,4033.0,Table Runners
42,2020-10-30,4033.0,Table Runners
43,2020-10-31,4033.0,Table Runners
44,2020-11-01,3921.0,Table Runners
45,2020-11-02,3921.0,Table Runners
46,2020-11-03,2742.0,Table Runners
47,2020-11-04,2103.0,Table Runners
48,2020-11-05,2121.0,Table Runners
49,2020-11-06,2121.0,Table Runners
50,2020-11-07,2121.0,Table Runners
51,2020-11-08,2121.0,Table Runners
52,2020-11-09,2611.0,Table Runners
53,2020-11-10,2361.0,Table Runners
54,2020-11-11,2123.0,Table Runners
55,2020-11-12,2686.0,Table Runners
56,2020-11-13,2604.0,Table Runners
57,2020-11-14,2463.0,Table Runners
58,2020-11-15,2463.0,Table Runners
59,2020-11-16,3480.0,Table Runners
60,2020-11-17,3622.0,Table Runners
61,2020-11-18,3633.0,Table Runners
62,2020-11-19,3633.0,Table Runners
63,2020-11-20,5094.0,Table Runners
64,2020-11-21,5094.0,Table Runners
65,2020-11-22,5094.0,Table Runners
66,2020-11-23,7201.0,Table Runners
67,2020-11-24,7201.0,Table Runners
68,2020-11-25,7155.0,Table Runners
69,2020-11-26,7107.0,Table Runners
70,2020-11-27,7107.0,Table Runners
71,2020-11-28,11171.0,Table Runners
72,2020-11-29,11171.0,Table Runners
73,2020-11-30,6522.0,Table Runners
74,2020-12-01,9221.0,Table Runners
75,2020-12-02,5408.0,Table Runners
76,2020-12-03,6534.0,Table Runners
77,2020-12-04,6226.0,Table Runners
78,2020-12-05,6705.0,Table Runners
79,2020-12-06,6705.0,Table Runners
80,2020-12-07,6705.0,Table Runners
81,2020-12-08,6855.0,Table Runners
82,2020-12-09,6811.0,Table Runners
83,2020-12-10,6939.0,Table Runners
84,2020-12-11,8332.0,Table Runners
85,2020-12-12,9288.0,Table Runners
86,2020-12-13,9288.0,Table Runners
87,2020-12-14,11715.0,Table Runners
88,2020-12-15,12512.0,Table Runners
89,2020-12-16,10203.0,Table Runners
90,2020-12-17,7614.0,Table Runners
91,2020-12-18,7258.0,Table Runners
92,2020-12-19,7258.0,Table Runners
93,2020-12-20,7258.0,Table Runners
94,2020-12-21,9650.0,Table Runners
95,2020-12-22,8195.0,Table Runners
96,2020-12-23,7634.0,Table Runners
97,2020-12-24,7634.0,Table Runners
98,2020-12-25,6601.0,Table Runners
99,2020-12-26,4290.0,Table Runners
100,2020-12-27,3151.0,Table Runners
101,2020-12-28,3183.0,Table Runners
102,2020-12-29,3055.0,Table Runners
103,2020-12-30,3777.0,Table Runners
104,2020-12-31,4488.0,Table Runners
105,2021-01-01,3881.0,Table Runners
106,2021-01-02,4208.0,Table Runners
107,2021-01-03,4208.0,Table Runners
108,2021-01-04,4448.0,Table Runners
109,2021-01-05,4347.0,Table Runners
110,2021-01-06,4028.0,Table Runners
111,2021-01-07,3137.0,Table Runners
112,2021-01-08,3040.0,Table Runners
113,2021-01-09,3040.0,Table Runners
114,2021-01-10,3314.0,Table Runners
115,2021-01-11,3640.0,Table Runners
116,2021-01-12,2857.0,Table Runners
