,date,value,name_B08HYHZLQN
0,2020-09-20,38216.0,LED Bulbs
1,2020-09-21,38216.0,LED Bulbs
2,2020-09-22,38216.0,LED Bulbs
3,2020-09-23,38216.0,LED Bulbs
4,2020-09-24,35616.0,LED Bulbs
5,2020-09-25,35616.0,LED Bulbs
6,2020-09-26,35616.0,LED Bulbs
7,2020-09-27,35616.0,LED Bulbs
8,2020-09-28,24333.0,LED Bulbs
9,2020-09-29,24333.0,LED Bulbs
10,2020-09-30,24333.0,LED Bulbs
11,2020-10-01,24333.0,LED Bulbs
12,2020-10-02,18396.0,LED Bulbs
13,2020-10-03,18396.0,LED Bulbs
14,2020-10-04,18396.0,LED Bulbs
15,2020-10-05,14453.0,LED Bulbs
16,2020-10-06,14453.0,LED Bulbs
17,2020-10-07,14453.0,LED Bulbs
18,2020-10-08,14453.0,LED Bulbs
19,2020-10-09,20074.0,LED Bulbs
20,2020-10-10,20074.0,LED Bulbs
21,2020-10-11,20074.0,LED Bulbs
22,2020-10-12,20074.0,LED Bulbs
23,2020-10-13,23355.0,LED Bulbs
24,2020-10-14,23355.0,LED Bulbs
25,2020-10-15,23355.0,LED Bulbs
26,2020-10-16,22859.0,LED Bulbs
27,2020-10-17,23353.0,LED Bulbs
28,2020-10-18,23353.0,LED Bulbs
29,2020-10-19,23353.0,LED Bulbs
30,2020-10-20,28162.0,LED Bulbs
31,2020-10-21,28162.0,LED Bulbs
32,2020-10-22,25815.0,LED Bulbs
33,2020-10-23,25815.0,LED Bulbs
34,2020-10-24,25815.0,LED Bulbs
35,2020-10-25,25815.0,LED Bulbs
36,2020-10-26,37641.0,LED Bulbs
37,2020-10-27,37641.0,LED Bulbs
38,2020-10-28,37641.0,LED Bulbs
39,2020-10-29,37641.0,LED Bulbs
40,2020-10-30,37641.0,LED Bulbs
41,2020-10-31,37641.0,LED Bulbs
42,2020-11-01,37641.0,LED Bulbs
43,2020-11-02,43341.0,LED Bulbs
44,2020-11-03,43341.0,LED Bulbs
