,date,value,name_B08HYMGP18
0,2020-11-20,633647.0,Free Standing Shoe Racks
1,2020-11-21,633647.0,Free Standing Shoe Racks
2,2020-11-22,89732.0,Free Standing Shoe Racks
3,2020-11-23,58478.0,Free Standing Shoe Racks
4,2020-11-24,53064.0,Free Standing Shoe Racks
5,2020-11-25,53064.0,Free Standing Shoe Racks
6,2020-11-26,85620.0,Free Standing Shoe Racks
7,2020-11-27,63273.0,Free Standing Shoe Racks
8,2020-11-28,63273.0,Free Standing Shoe Racks
9,2020-11-29,71897.0,Free Standing Shoe Racks
10,2020-11-30,71897.0,Free Standing Shoe Racks
11,2020-12-01,71897.0,Free Standing Shoe Racks
12,2020-12-02,44420.0,Free Standing Shoe Racks
13,2020-12-03,44420.0,Free Standing Shoe Racks
14,2020-12-04,47835.0,Free Standing Shoe Racks
15,2020-12-05,47835.0,Free Standing Shoe Racks
16,2020-12-06,63860.0,Free Standing Shoe Racks
17,2020-12-07,63860.0,Free Standing Shoe Racks
18,2020-12-08,58645.0,Free Standing Shoe Racks
19,2020-12-09,58645.0,Free Standing Shoe Racks
20,2020-12-10,73799.0,Free Standing Shoe Racks
21,2020-12-11,91191.0,Free Standing Shoe Racks
22,2020-12-12,111955.0,Free Standing Shoe Racks
23,2020-12-13,85332.0,Free Standing Shoe Racks
24,2020-12-14,117317.0,Free Standing Shoe Racks
25,2020-12-15,99284.0,Free Standing Shoe Racks
26,2020-12-16,99284.0,Free Standing Shoe Racks
27,2020-12-17,122023.0,Free Standing Shoe Racks
28,2020-12-18,122023.0,Free Standing Shoe Racks
29,2020-12-19,122023.0,Free Standing Shoe Racks
30,2020-12-20,222603.0,Free Standing Shoe Racks
31,2020-12-21,94622.0,Free Standing Shoe Racks
32,2020-12-22,84953.0,Free Standing Shoe Racks
33,2020-12-23,109655.0,Free Standing Shoe Racks
34,2020-12-24,73297.0,Free Standing Shoe Racks
35,2020-12-25,73297.0,Free Standing Shoe Racks
36,2020-12-26,73297.0,Free Standing Shoe Racks
37,2020-12-27,73297.0,Free Standing Shoe Racks
38,2020-12-28,73297.0,Free Standing Shoe Racks
39,2020-12-29,57124.0,Free Standing Shoe Racks
40,2020-12-30,55023.0,Free Standing Shoe Racks
41,2020-12-31,72381.0,Free Standing Shoe Racks
42,2021-01-01,121447.0,Free Standing Shoe Racks
43,2021-01-02,102933.0,Free Standing Shoe Racks
44,2021-01-03,109882.0,Free Standing Shoe Racks
45,2021-01-04,101967.0,Free Standing Shoe Racks
46,2021-01-05,95296.0,Free Standing Shoe Racks
47,2021-01-06,140887.0,Free Standing Shoe Racks
48,2021-01-07,211733.0,Free Standing Shoe Racks
49,2021-01-08,211733.0,Free Standing Shoe Racks
50,2021-01-09,224492.0,Free Standing Shoe Racks
51,2021-01-10,72129.0,Free Standing Shoe Racks
52,2021-01-11,115210.0,Free Standing Shoe Racks
53,2021-01-12,115210.0,Free Standing Shoe Racks
54,2021-01-13,176527.0,Free Standing Shoe Racks
55,2021-01-14,176527.0,Free Standing Shoe Racks
56,2021-01-15,176527.0,Free Standing Shoe Racks
57,2021-01-16,209677.0,Free Standing Shoe Racks
58,2021-01-17,209677.0,Free Standing Shoe Racks
59,2021-01-18,209677.0,Free Standing Shoe Racks
60,2021-01-19,468471.0,Free Standing Shoe Racks
61,2021-01-20,468471.0,Free Standing Shoe Racks
62,2021-01-21,468471.0,Free Standing Shoe Racks
63,2021-01-22,256660.0,Free Standing Shoe Racks
64,2021-01-23,256660.0,Free Standing Shoe Racks
65,2021-01-24,256660.0,Free Standing Shoe Racks
66,2021-01-25,256660.0,Free Standing Shoe Racks
67,2021-01-26,416227.0,Free Standing Shoe Racks
68,2021-01-27,416227.0,Free Standing Shoe Racks
69,2021-01-28,269802.0,Free Standing Shoe Racks
70,2021-01-29,443812.0,Free Standing Shoe Racks
71,2021-01-30,443812.0,Free Standing Shoe Racks
72,2021-01-31,443812.0,Free Standing Shoe Racks
73,2021-02-01,443812.0,Free Standing Shoe Racks
74,2021-02-02,443812.0,Free Standing Shoe Racks
75,2021-02-03,349197.0,Free Standing Shoe Racks
76,2021-02-04,472353.0,Free Standing Shoe Racks
77,2021-02-05,370648.0,Free Standing Shoe Racks
78,2021-02-06,370648.0,Free Standing Shoe Racks
79,2021-02-07,157171.0,Free Standing Shoe Racks
80,2021-02-08,76891.0,Free Standing Shoe Racks
81,2021-02-09,75322.0,Free Standing Shoe Racks
82,2021-02-10,91980.0,Free Standing Shoe Racks
83,2021-02-11,91980.0,Free Standing Shoe Racks
84,2021-02-12,91980.0,Free Standing Shoe Racks
85,2021-02-13,91980.0,Free Standing Shoe Racks
86,2021-02-14,98102.0,Free Standing Shoe Racks
87,2021-02-15,134093.0,Free Standing Shoe Racks
88,2021-02-16,141116.0,Free Standing Shoe Racks
89,2021-02-17,141116.0,Free Standing Shoe Racks
90,2021-02-18,141116.0,Free Standing Shoe Racks
91,2021-02-19,76327.0,Free Standing Shoe Racks
92,2021-02-20,81689.0,Free Standing Shoe Racks
93,2021-02-21,81689.0,Free Standing Shoe Racks
94,2021-02-22,132896.0,Free Standing Shoe Racks
95,2021-02-23,64552.0,Free Standing Shoe Racks
96,2021-02-24,86501.0,Free Standing Shoe Racks
97,2021-02-25,140873.0,Free Standing Shoe Racks
98,2021-02-26,88988.0,Free Standing Shoe Racks
99,2021-02-27,93195.0,Free Standing Shoe Racks
100,2021-02-28,69387.0,Free Standing Shoe Racks
101,2021-03-01,87285.0,Free Standing Shoe Racks
102,2021-03-02,87285.0,Free Standing Shoe Racks
103,2021-03-03,87281.0,Free Standing Shoe Racks
104,2021-03-04,109759.0,Free Standing Shoe Racks
105,2021-03-05,108712.0,Free Standing Shoe Racks
106,2021-03-06,75909.0,Free Standing Shoe Racks
107,2021-03-07,51628.0,Free Standing Shoe Racks
108,2021-03-08,51628.0,Free Standing Shoe Racks
109,2021-03-09,75972.0,Free Standing Shoe Racks
110,2021-03-10,75972.0,Free Standing Shoe Racks
111,2021-03-11,108677.0,Free Standing Shoe Racks
112,2021-03-12,107652.0,Free Standing Shoe Racks
113,2021-03-13,107652.0,Free Standing Shoe Racks
114,2021-03-14,100641.0,Free Standing Shoe Racks
115,2021-03-15,107383.0,Free Standing Shoe Racks
116,2021-03-16,107383.0,Free Standing Shoe Racks
117,2021-03-17,107383.0,Free Standing Shoe Racks
118,2021-03-18,107383.0,Free Standing Shoe Racks
119,2021-03-19,107383.0,Free Standing Shoe Racks
120,2021-03-20,82524.0,Free Standing Shoe Racks
121,2021-03-21,109678.0,Free Standing Shoe Racks
122,2021-03-22,120725.0,Free Standing Shoe Racks
123,2021-03-23,145549.0,Free Standing Shoe Racks
124,2021-03-24,129462.0,Free Standing Shoe Racks
125,2021-03-25,107301.0,Free Standing Shoe Racks
126,2021-03-26,117512.0,Free Standing Shoe Racks
127,2021-03-27,117512.0,Free Standing Shoe Racks
128,2021-03-28,142763.0,Free Standing Shoe Racks
129,2021-03-29,154346.0,Free Standing Shoe Racks
130,2021-03-30,140249.0,Free Standing Shoe Racks
131,2021-03-31,231386.0,Free Standing Shoe Racks
132,2021-04-01,247557.0,Free Standing Shoe Racks
133,2021-04-02,84171.0,Free Standing Shoe Racks
134,2021-04-03,126569.0,Free Standing Shoe Racks
135,2021-04-04,126569.0,Free Standing Shoe Racks
136,2021-04-05,133168.0,Free Standing Shoe Racks
137,2021-04-06,133168.0,Free Standing Shoe Racks
138,2021-04-07,168978.0,Free Standing Shoe Racks
139,2021-04-08,182251.0,Free Standing Shoe Racks
140,2021-04-09,89059.0,Free Standing Shoe Racks
141,2021-04-10,130070.0,Free Standing Shoe Racks
142,2021-04-11,173079.0,Free Standing Shoe Racks
143,2021-04-12,149584.0,Free Standing Shoe Racks
144,2021-04-13,137301.0,Free Standing Shoe Racks
145,2021-04-14,137301.0,Free Standing Shoe Racks
146,2021-04-15,137301.0,Free Standing Shoe Racks
