,date,value,name_B08J32W4TD
0,2020-09-21,8342.0,Sanitary Napkins
1,2020-09-22,9151.0,Sanitary Napkins
2,2020-09-23,9151.0,Sanitary Napkins
3,2020-09-24,9151.0,Sanitary Napkins
4,2020-09-25,9049.0,Sanitary Napkins
5,2020-09-26,9049.0,Sanitary Napkins
6,2020-09-27,8344.0,Sanitary Napkins
7,2020-09-28,8344.0,Sanitary Napkins
8,2020-09-29,8344.0,Sanitary Napkins
9,2020-09-30,10478.0,Sanitary Napkins
10,2020-10-01,10107.0,Sanitary Napkins
11,2020-10-02,10107.0,Sanitary Napkins
12,2020-10-03,9534.0,Sanitary Napkins
13,2020-10-04,9534.0,Sanitary Napkins
14,2020-10-05,9534.0,Sanitary Napkins
15,2020-10-06,9385.0,Sanitary Napkins
16,2020-10-07,9385.0,Sanitary Napkins
17,2020-10-08,9385.0,Sanitary Napkins
18,2020-10-09,8837.0,Sanitary Napkins
19,2020-10-10,8428.0,Sanitary Napkins
20,2020-10-11,9157.0,Sanitary Napkins
21,2020-10-12,9157.0,Sanitary Napkins
22,2020-10-13,9157.0,Sanitary Napkins
23,2020-10-14,10638.0,Sanitary Napkins
24,2020-10-15,11258.0,Sanitary Napkins
25,2020-10-16,11258.0,Sanitary Napkins
26,2020-10-17,11258.0,Sanitary Napkins
27,2020-10-18,11258.0,Sanitary Napkins
28,2020-10-19,10011.0,Sanitary Napkins
29,2020-10-20,10011.0,Sanitary Napkins
30,2020-10-21,10011.0,Sanitary Napkins
31,2020-10-22,9579.0,Sanitary Napkins
32,2020-10-23,9579.0,Sanitary Napkins
33,2020-10-24,9579.0,Sanitary Napkins
34,2020-10-25,10192.0,Sanitary Napkins
35,2020-10-26,10192.0,Sanitary Napkins
36,2020-10-27,8790.0,Sanitary Napkins
37,2020-10-28,8790.0,Sanitary Napkins
38,2020-10-29,9908.0,Sanitary Napkins
39,2020-10-30,9908.0,Sanitary Napkins
40,2020-10-31,7759.0,Sanitary Napkins
41,2020-11-01,7759.0,Sanitary Napkins
42,2020-11-02,8108.0,Sanitary Napkins
43,2020-11-03,8108.0,Sanitary Napkins
44,2020-11-04,8108.0,Sanitary Napkins
45,2020-11-05,7830.0,Sanitary Napkins
46,2020-11-06,7830.0,Sanitary Napkins
47,2020-11-07,8777.0,Sanitary Napkins
