,date,value,name_B08J3P48VT
0,2020-11-13,10026.0,Drip Irrigation Kits
1,2020-11-14,10026.0,Drip Irrigation Kits
2,2020-11-15,10026.0,Drip Irrigation Kits
3,2020-11-16,15381.0,Drip Irrigation Kits
4,2020-11-17,15381.0,Drip Irrigation Kits
5,2020-11-18,12564.0,Drip Irrigation Kits
6,2020-11-19,12564.0,Drip Irrigation Kits
7,2020-11-20,12564.0,Drip Irrigation Kits
8,2020-11-21,10975.0,Drip Irrigation Kits
9,2020-11-22,10975.0,Drip Irrigation Kits
10,2020-11-23,10975.0,Drip Irrigation Kits
11,2020-11-24,20806.0,Drip Irrigation Kits
12,2020-11-25,20806.0,Drip Irrigation Kits
13,2020-11-26,20806.0,Drip Irrigation Kits
14,2020-11-27,21094.0,Drip Irrigation Kits
15,2020-11-28,21094.0,Drip Irrigation Kits
16,2020-11-29,21094.0,Drip Irrigation Kits
17,2020-11-30,13169.0,Drip Irrigation Kits
18,2020-12-01,18591.0,Drip Irrigation Kits
19,2020-12-02,10341.0,Drip Irrigation Kits
20,2020-12-03,12405.0,Drip Irrigation Kits
21,2020-12-04,12405.0,Drip Irrigation Kits
22,2020-12-05,12405.0,Drip Irrigation Kits
23,2020-12-06,12338.0,Drip Irrigation Kits
24,2020-12-07,12338.0,Drip Irrigation Kits
25,2020-12-08,12338.0,Drip Irrigation Kits
26,2020-12-09,22486.0,Drip Irrigation Kits
27,2020-12-10,22486.0,Drip Irrigation Kits
28,2020-12-11,18998.0,Drip Irrigation Kits
29,2020-12-12,18998.0,Drip Irrigation Kits
30,2020-12-13,18998.0,Drip Irrigation Kits
31,2020-12-14,26692.0,Drip Irrigation Kits
32,2020-12-15,21344.0,Drip Irrigation Kits
33,2020-12-16,21344.0,Drip Irrigation Kits
34,2020-12-17,21344.0,Drip Irrigation Kits
35,2020-12-18,26700.0,Drip Irrigation Kits
36,2020-12-19,26700.0,Drip Irrigation Kits
37,2020-12-20,26700.0,Drip Irrigation Kits
38,2020-12-21,25355.0,Drip Irrigation Kits
39,2020-12-22,12025.0,Drip Irrigation Kits
40,2020-12-23,12025.0,Drip Irrigation Kits
41,2020-12-24,16031.0,Drip Irrigation Kits
42,2020-12-25,16031.0,Drip Irrigation Kits
43,2020-12-26,19080.0,Drip Irrigation Kits
44,2020-12-27,18799.0,Drip Irrigation Kits
45,2020-12-28,18799.0,Drip Irrigation Kits
46,2020-12-29,18799.0,Drip Irrigation Kits
47,2020-12-30,12739.0,Drip Irrigation Kits
48,2020-12-31,11155.0,Drip Irrigation Kits
49,2021-01-01,11155.0,Drip Irrigation Kits
50,2021-01-02,11155.0,Drip Irrigation Kits
51,2021-01-03,13687.0,Drip Irrigation Kits
52,2021-01-04,13687.0,Drip Irrigation Kits
53,2021-01-05,13687.0,Drip Irrigation Kits
54,2021-01-06,13198.0,Drip Irrigation Kits
55,2021-01-07,13198.0,Drip Irrigation Kits
56,2021-01-08,13198.0,Drip Irrigation Kits
57,2021-01-09,8372.0,Drip Irrigation Kits
58,2021-01-10,8372.0,Drip Irrigation Kits
59,2021-01-11,8372.0,Drip Irrigation Kits
60,2021-01-12,17036.0,Drip Irrigation Kits
61,2021-01-13,17036.0,Drip Irrigation Kits
62,2021-01-14,13936.0,Drip Irrigation Kits
63,2021-01-15,13936.0,Drip Irrigation Kits
64,2021-01-16,13936.0,Drip Irrigation Kits
65,2021-01-17,11303.0,Drip Irrigation Kits
66,2021-01-18,11303.0,Drip Irrigation Kits
67,2021-01-19,13414.0,Drip Irrigation Kits
68,2021-01-20,15864.0,Drip Irrigation Kits
69,2021-01-21,18206.0,Drip Irrigation Kits
70,2021-01-22,18206.0,Drip Irrigation Kits
71,2021-01-23,18206.0,Drip Irrigation Kits
72,2021-01-24,14060.0,Drip Irrigation Kits
73,2021-01-25,12555.0,Drip Irrigation Kits
74,2021-01-26,12555.0,Drip Irrigation Kits
75,2021-01-27,12555.0,Drip Irrigation Kits
76,2021-01-28,16920.0,Drip Irrigation Kits
77,2021-01-29,16920.0,Drip Irrigation Kits
78,2021-01-30,16920.0,Drip Irrigation Kits
79,2021-01-31,12292.0,Drip Irrigation Kits
80,2021-02-01,12292.0,Drip Irrigation Kits
