,date,value,name_B08J7SPJFP
0,2020-09-23,184828.0,Sculptural Frames & Holders
1,2020-09-24,184828.0,Sculptural Frames & Holders
2,2020-09-25,184828.0,Sculptural Frames & Holders
3,2020-09-26,112919.0,Sculptural Frames & Holders
4,2020-09-27,112919.0,Sculptural Frames & Holders
5,2020-09-28,112919.0,Sculptural Frames & Holders
6,2020-09-29,112919.0,Sculptural Frames & Holders
7,2020-09-30,71072.0,Sculptural Frames & Holders
8,2020-10-01,71072.0,Sculptural Frames & Holders
9,2020-10-02,71072.0,Sculptural Frames & Holders
10,2020-10-03,71072.0,Sculptural Frames & Holders
11,2020-10-04,71072.0,Sculptural Frames & Holders
12,2020-10-05,71072.0,Sculptural Frames & Holders
13,2020-10-06,49130.0,Sculptural Frames & Holders
14,2020-10-07,49130.0,Sculptural Frames & Holders
15,2020-10-08,49130.0,Sculptural Frames & Holders
16,2020-10-09,27104.0,Sculptural Frames & Holders
17,2020-10-10,27104.0,Sculptural Frames & Holders
18,2020-10-11,27104.0,Sculptural Frames & Holders
19,2020-10-12,27104.0,Sculptural Frames & Holders
20,2020-10-13,36743.0,Sculptural Frames & Holders
21,2020-10-14,39198.0,Sculptural Frames & Holders
22,2020-10-15,39198.0,Sculptural Frames & Holders
23,2020-10-16,35741.0,Sculptural Frames & Holders
24,2020-10-17,35741.0,Sculptural Frames & Holders
25,2020-10-18,33973.0,Sculptural Frames & Holders
26,2020-10-19,33973.0,Sculptural Frames & Holders
27,2020-10-20,33973.0,Sculptural Frames & Holders
28,2020-10-21,49876.0,Sculptural Frames & Holders
29,2020-10-22,38453.0,Sculptural Frames & Holders
30,2020-10-23,27865.0,Sculptural Frames & Holders
31,2020-10-24,27865.0,Sculptural Frames & Holders
32,2020-10-25,27865.0,Sculptural Frames & Holders
33,2020-10-26,27865.0,Sculptural Frames & Holders
34,2020-10-27,41885.0,Sculptural Frames & Holders
35,2020-10-28,41885.0,Sculptural Frames & Holders
36,2020-10-29,41885.0,Sculptural Frames & Holders
37,2020-10-30,41885.0,Sculptural Frames & Holders
38,2020-10-31,41885.0,Sculptural Frames & Holders
39,2020-11-01,41885.0,Sculptural Frames & Holders
40,2020-11-02,41885.0,Sculptural Frames & Holders
41,2020-11-03,34561.0,Sculptural Frames & Holders
42,2020-11-04,34561.0,Sculptural Frames & Holders
43,2020-11-05,45425.0,Sculptural Frames & Holders
44,2020-11-06,45425.0,Sculptural Frames & Holders
45,2020-11-07,45425.0,Sculptural Frames & Holders
46,2020-11-08,45425.0,Sculptural Frames & Holders
47,2020-11-09,48807.0,Sculptural Frames & Holders
48,2020-11-10,48807.0,Sculptural Frames & Holders
49,2020-11-11,48807.0,Sculptural Frames & Holders
50,2020-11-12,48807.0,Sculptural Frames & Holders
51,2020-11-13,48807.0,Sculptural Frames & Holders
52,2020-11-14,48807.0,Sculptural Frames & Holders
53,2020-11-15,48807.0,Sculptural Frames & Holders
54,2020-11-16,30507.0,Sculptural Frames & Holders
55,2020-11-17,30507.0,Sculptural Frames & Holders
56,2020-11-18,33202.0,Sculptural Frames & Holders
57,2020-11-19,33202.0,Sculptural Frames & Holders
58,2020-11-20,33202.0,Sculptural Frames & Holders
59,2020-11-21,33202.0,Sculptural Frames & Holders
60,2020-11-22,33202.0,Sculptural Frames & Holders
61,2020-11-23,33202.0,Sculptural Frames & Holders
62,2020-11-24,32052.0,Sculptural Frames & Holders
63,2020-11-25,32052.0,Sculptural Frames & Holders
64,2020-11-26,32280.0,Sculptural Frames & Holders
65,2020-11-27,37470.0,Sculptural Frames & Holders
66,2020-11-28,37470.0,Sculptural Frames & Holders
67,2020-11-29,37470.0,Sculptural Frames & Holders
68,2020-11-30,37470.0,Sculptural Frames & Holders
69,2020-12-01,34935.0,Sculptural Frames & Holders
70,2020-12-02,34935.0,Sculptural Frames & Holders
71,2020-12-03,34935.0,Sculptural Frames & Holders
72,2020-12-04,39932.0,Sculptural Frames & Holders
73,2020-12-05,46524.0,Sculptural Frames & Holders
74,2020-12-06,46524.0,Sculptural Frames & Holders
75,2020-12-07,37974.0,Sculptural Frames & Holders
76,2020-12-08,37974.0,Sculptural Frames & Holders
77,2020-12-09,32790.0,Sculptural Frames & Holders
78,2020-12-10,32790.0,Sculptural Frames & Holders
79,2020-12-11,32790.0,Sculptural Frames & Holders
80,2020-12-12,32790.0,Sculptural Frames & Holders
81,2020-12-13,27079.0,Sculptural Frames & Holders
82,2020-12-14,27079.0,Sculptural Frames & Holders
83,2020-12-15,27079.0,Sculptural Frames & Holders
84,2020-12-16,27079.0,Sculptural Frames & Holders
85,2020-12-17,27079.0,Sculptural Frames & Holders
86,2020-12-18,29176.0,Sculptural Frames & Holders
87,2020-12-19,34940.0,Sculptural Frames & Holders
88,2020-12-20,34940.0,Sculptural Frames & Holders
89,2020-12-21,34940.0,Sculptural Frames & Holders
90,2020-12-22,34940.0,Sculptural Frames & Holders
91,2020-12-23,34940.0,Sculptural Frames & Holders
92,2020-12-24,35851.0,Sculptural Frames & Holders
93,2020-12-25,26536.0,Sculptural Frames & Holders
94,2020-12-26,23360.0,Sculptural Frames & Holders
95,2020-12-27,17423.0,Sculptural Frames & Holders
96,2020-12-28,16266.0,Sculptural Frames & Holders
97,2020-12-29,16266.0,Sculptural Frames & Holders
98,2020-12-30,13809.0,Sculptural Frames & Holders
99,2020-12-31,13809.0,Sculptural Frames & Holders
100,2021-01-01,13809.0,Sculptural Frames & Holders
101,2021-01-02,15813.0,Sculptural Frames & Holders
102,2021-01-03,15813.0,Sculptural Frames & Holders
103,2021-01-04,14183.0,Sculptural Frames & Holders
104,2021-01-05,14183.0,Sculptural Frames & Holders
105,2021-01-06,14183.0,Sculptural Frames & Holders
106,2021-01-07,13271.0,Sculptural Frames & Holders
107,2021-01-08,11608.0,Sculptural Frames & Holders
108,2021-01-09,12506.0,Sculptural Frames & Holders
109,2021-01-10,12506.0,Sculptural Frames & Holders
110,2021-01-11,12506.0,Sculptural Frames & Holders
111,2021-01-12,15580.0,Sculptural Frames & Holders
112,2021-01-13,15580.0,Sculptural Frames & Holders
113,2021-01-14,13517.0,Sculptural Frames & Holders
114,2021-01-15,13517.0,Sculptural Frames & Holders
