,date,value,name_B08JD7VZHX
0,2020-09-25,39628.0,Wall Clocks
1,2020-09-26,39628.0,Wall Clocks
2,2020-09-27,39628.0,Wall Clocks
3,2020-09-28,44770.0,Wall Clocks
4,2020-09-29,44770.0,Wall Clocks
5,2020-09-30,44770.0,Wall Clocks
6,2020-10-01,44770.0,Wall Clocks
7,2020-10-02,44770.0,Wall Clocks
8,2020-10-03,44770.0,Wall Clocks
9,2020-10-04,44770.0,Wall Clocks
10,2020-10-05,44770.0,Wall Clocks
11,2020-10-06,44770.0,Wall Clocks
12,2020-10-07,48696.0,Wall Clocks
13,2020-10-08,48696.0,Wall Clocks
14,2020-10-09,48696.0,Wall Clocks
15,2020-10-10,48696.0,Wall Clocks
16,2020-10-11,48696.0,Wall Clocks
17,2020-10-12,55745.0,Wall Clocks
18,2020-10-13,55745.0,Wall Clocks
19,2020-10-14,53399.0,Wall Clocks
20,2020-10-15,53399.0,Wall Clocks
21,2020-10-16,53399.0,Wall Clocks
22,2020-10-17,53399.0,Wall Clocks
23,2020-10-18,53399.0,Wall Clocks
24,2020-10-19,39894.0,Wall Clocks
25,2020-10-20,39894.0,Wall Clocks
26,2020-10-21,39894.0,Wall Clocks
27,2020-10-22,54712.0,Wall Clocks
28,2020-10-23,54712.0,Wall Clocks
29,2020-10-24,54712.0,Wall Clocks
30,2020-10-25,54712.0,Wall Clocks
31,2020-10-26,54712.0,Wall Clocks
32,2020-10-27,54712.0,Wall Clocks
33,2020-10-28,54712.0,Wall Clocks
34,2020-10-29,75098.0,Wall Clocks
35,2020-10-30,75098.0,Wall Clocks
36,2020-10-31,75098.0,Wall Clocks
37,2020-11-01,75098.0,Wall Clocks
38,2020-11-02,75098.0,Wall Clocks
39,2020-11-03,75098.0,Wall Clocks
40,2020-11-04,59486.0,Wall Clocks
41,2020-11-05,59486.0,Wall Clocks
42,2020-11-06,59486.0,Wall Clocks
43,2020-11-07,59486.0,Wall Clocks
44,2020-11-08,59486.0,Wall Clocks
45,2020-11-09,72744.0,Wall Clocks
46,2020-11-10,72744.0,Wall Clocks
47,2020-11-11,72744.0,Wall Clocks
48,2020-11-12,72744.0,Wall Clocks
49,2020-11-13,72744.0,Wall Clocks
50,2020-11-14,69798.0,Wall Clocks
51,2020-11-15,69798.0,Wall Clocks
52,2020-11-16,69798.0,Wall Clocks
53,2020-11-17,69798.0,Wall Clocks
54,2020-11-18,69798.0,Wall Clocks
55,2020-11-19,69798.0,Wall Clocks
56,2020-11-20,60014.0,Wall Clocks
57,2020-11-21,60014.0,Wall Clocks
58,2020-11-22,68454.0,Wall Clocks
59,2020-11-23,68454.0,Wall Clocks
60,2020-11-24,68454.0,Wall Clocks
61,2020-11-25,68454.0,Wall Clocks
62,2020-11-26,68454.0,Wall Clocks
63,2020-11-27,68454.0,Wall Clocks
64,2020-11-28,68454.0,Wall Clocks
65,2020-11-29,68454.0,Wall Clocks
66,2020-11-30,68454.0,Wall Clocks
67,2020-12-01,68454.0,Wall Clocks
68,2020-12-02,68454.0,Wall Clocks
69,2020-12-03,113608.0,Wall Clocks
70,2020-12-04,113608.0,Wall Clocks
71,2020-12-05,113608.0,Wall Clocks
72,2020-12-06,113608.0,Wall Clocks
73,2020-12-07,113608.0,Wall Clocks
74,2020-12-08,113608.0,Wall Clocks
75,2020-12-09,113608.0,Wall Clocks
76,2020-12-10,113608.0,Wall Clocks
77,2020-12-11,113608.0,Wall Clocks
78,2020-12-12,113608.0,Wall Clocks
79,2020-12-13,113608.0,Wall Clocks
80,2020-12-14,113608.0,Wall Clocks
81,2020-12-15,113608.0,Wall Clocks
82,2020-12-16,113608.0,Wall Clocks
83,2020-12-17,113608.0,Wall Clocks
84,2020-12-18,113608.0,Wall Clocks
85,2020-12-19,113608.0,Wall Clocks
86,2020-12-20,113608.0,Wall Clocks
87,2020-12-21,113608.0,Wall Clocks
88,2020-12-22,107385.0,Wall Clocks
89,2020-12-23,107385.0,Wall Clocks
90,2020-12-24,127263.0,Wall Clocks
91,2020-12-25,127263.0,Wall Clocks
92,2020-12-26,127263.0,Wall Clocks
93,2020-12-27,127263.0,Wall Clocks
94,2020-12-28,127263.0,Wall Clocks
95,2020-12-29,127263.0,Wall Clocks
96,2020-12-30,127263.0,Wall Clocks
97,2020-12-31,127263.0,Wall Clocks
98,2021-01-01,127263.0,Wall Clocks
99,2021-01-02,130924.0,Wall Clocks
100,2021-01-03,130924.0,Wall Clocks
101,2021-01-04,130924.0,Wall Clocks
102,2021-01-05,130924.0,Wall Clocks
103,2021-01-06,130924.0,Wall Clocks
104,2021-01-07,130924.0,Wall Clocks
105,2021-01-08,130924.0,Wall Clocks
106,2021-01-09,133013.0,Wall Clocks
107,2021-01-10,133013.0,Wall Clocks
108,2021-01-11,87701.0,Wall Clocks
109,2021-01-12,87701.0,Wall Clocks
110,2021-01-13,87701.0,Wall Clocks
111,2021-01-14,87701.0,Wall Clocks
112,2021-01-15,87701.0,Wall Clocks
113,2021-01-16,87701.0,Wall Clocks
114,2021-01-17,87701.0,Wall Clocks
115,2021-01-18,87701.0,Wall Clocks
116,2021-01-19,87701.0,Wall Clocks
117,2021-01-20,87701.0,Wall Clocks
118,2021-01-21,87701.0,Wall Clocks
119,2021-01-22,87701.0,Wall Clocks
120,2021-01-23,76187.0,Wall Clocks
121,2021-01-24,76187.0,Wall Clocks
122,2021-01-25,76187.0,Wall Clocks
123,2021-01-26,76187.0,Wall Clocks
124,2021-01-27,76187.0,Wall Clocks
125,2021-01-28,76187.0,Wall Clocks
126,2021-01-29,76187.0,Wall Clocks
127,2021-01-30,76187.0,Wall Clocks
128,2021-01-31,77263.0,Wall Clocks
129,2021-02-01,77263.0,Wall Clocks
130,2021-02-02,107898.0,Wall Clocks
131,2021-02-03,107898.0,Wall Clocks
132,2021-02-04,107898.0,Wall Clocks
133,2021-02-05,107898.0,Wall Clocks
134,2021-02-06,100987.0,Wall Clocks
135,2021-02-07,100987.0,Wall Clocks
136,2021-02-08,100987.0,Wall Clocks
137,2021-02-09,100987.0,Wall Clocks
138,2021-02-10,100987.0,Wall Clocks
139,2021-02-11,100987.0,Wall Clocks
140,2021-02-12,100987.0,Wall Clocks
141,2021-02-13,100987.0,Wall Clocks
142,2021-02-14,100987.0,Wall Clocks
143,2021-02-15,100987.0,Wall Clocks
144,2021-02-16,100987.0,Wall Clocks
145,2021-02-17,100987.0,Wall Clocks
146,2021-02-18,100987.0,Wall Clocks
147,2021-02-19,100987.0,Wall Clocks
148,2021-02-20,87317.0,Wall Clocks
149,2021-02-21,87317.0,Wall Clocks
150,2021-02-22,87317.0,Wall Clocks
