,date,value,name_B08JMBKGB1
0,2020-09-23,11485.0,Quilt Sets
1,2020-09-24,11485.0,Quilt Sets
2,2020-09-25,11485.0,Quilt Sets
3,2020-09-26,13470.0,Quilt Sets
4,2020-09-27,12629.0,Quilt Sets
5,2020-09-28,12629.0,Quilt Sets
6,2020-09-29,14888.0,Quilt Sets
7,2020-09-30,12362.0,Quilt Sets
8,2020-10-01,12362.0,Quilt Sets
9,2020-10-02,12362.0,Quilt Sets
10,2020-10-03,12362.0,Quilt Sets
11,2020-10-04,12362.0,Quilt Sets
12,2020-10-05,12609.0,Quilt Sets
13,2020-10-06,12609.0,Quilt Sets
14,2020-10-07,13925.0,Quilt Sets
15,2020-10-08,13925.0,Quilt Sets
16,2020-10-09,13925.0,Quilt Sets
17,2020-10-10,9618.0,Quilt Sets
18,2020-10-11,9618.0,Quilt Sets
19,2020-10-12,9618.0,Quilt Sets
20,2020-10-13,12043.0,Quilt Sets
21,2020-10-14,8867.0,Quilt Sets
22,2020-10-15,5224.0,Quilt Sets
23,2020-10-16,5345.0,Quilt Sets
24,2020-10-17,5345.0,Quilt Sets
25,2020-10-18,5345.0,Quilt Sets
26,2020-10-19,7486.0,Quilt Sets
27,2020-10-20,11445.0,Quilt Sets
28,2020-10-21,10622.0,Quilt Sets
29,2020-10-22,11991.0,Quilt Sets
30,2020-10-23,11991.0,Quilt Sets
31,2020-10-24,11991.0,Quilt Sets
32,2020-10-25,12315.0,Quilt Sets
33,2020-10-26,11115.0,Quilt Sets
34,2020-10-27,11726.0,Quilt Sets
35,2020-10-28,11726.0,Quilt Sets
36,2020-10-29,11726.0,Quilt Sets
37,2020-10-30,11726.0,Quilt Sets
38,2020-10-31,11726.0,Quilt Sets
39,2020-11-01,11253.0,Quilt Sets
40,2020-11-02,11253.0,Quilt Sets
41,2020-11-03,11253.0,Quilt Sets
42,2020-11-04,12769.0,Quilt Sets
43,2020-11-05,12769.0,Quilt Sets
44,2020-11-06,12143.0,Quilt Sets
45,2020-11-07,14577.0,Quilt Sets
46,2020-11-08,14577.0,Quilt Sets
47,2020-11-09,14131.0,Quilt Sets
48,2020-11-10,14131.0,Quilt Sets
49,2020-11-11,13310.0,Quilt Sets
50,2020-11-12,13310.0,Quilt Sets
51,2020-11-13,13310.0,Quilt Sets
52,2020-11-14,11070.0,Quilt Sets
53,2020-11-15,11070.0,Quilt Sets
54,2020-11-16,11070.0,Quilt Sets
55,2020-11-17,12642.0,Quilt Sets
56,2020-11-18,12642.0,Quilt Sets
57,2020-11-19,15158.0,Quilt Sets
58,2020-11-20,15158.0,Quilt Sets
59,2020-11-21,15158.0,Quilt Sets
60,2020-11-22,19236.0,Quilt Sets
61,2020-11-23,19236.0,Quilt Sets
62,2020-11-24,19236.0,Quilt Sets
63,2020-11-25,18006.0,Quilt Sets
64,2020-11-26,19966.0,Quilt Sets
65,2020-11-27,19966.0,Quilt Sets
66,2020-11-28,19966.0,Quilt Sets
67,2020-11-29,19966.0,Quilt Sets
68,2020-11-30,19966.0,Quilt Sets
69,2020-12-01,24518.0,Quilt Sets
70,2020-12-02,24518.0,Quilt Sets
71,2020-12-03,21556.0,Quilt Sets
72,2020-12-04,21556.0,Quilt Sets
73,2020-12-05,21556.0,Quilt Sets
74,2020-12-06,21556.0,Quilt Sets
75,2020-12-07,21556.0,Quilt Sets
76,2020-12-08,20507.0,Quilt Sets
77,2020-12-09,20507.0,Quilt Sets
78,2020-12-10,20507.0,Quilt Sets
79,2020-12-11,18848.0,Quilt Sets
80,2020-12-12,19072.0,Quilt Sets
81,2020-12-13,19072.0,Quilt Sets
82,2020-12-14,19072.0,Quilt Sets
83,2020-12-15,18894.0,Quilt Sets
84,2020-12-16,18894.0,Quilt Sets
85,2020-12-17,18894.0,Quilt Sets
86,2020-12-18,19993.0,Quilt Sets
87,2020-12-19,23647.0,Quilt Sets
88,2020-12-20,23647.0,Quilt Sets
89,2020-12-21,23647.0,Quilt Sets
90,2020-12-22,31280.0,Quilt Sets
91,2020-12-23,31280.0,Quilt Sets
92,2020-12-24,31280.0,Quilt Sets
93,2020-12-25,31280.0,Quilt Sets
94,2020-12-26,31280.0,Quilt Sets
95,2020-12-27,31280.0,Quilt Sets
96,2020-12-28,25695.0,Quilt Sets
97,2020-12-29,25695.0,Quilt Sets
98,2020-12-30,22348.0,Quilt Sets
99,2020-12-31,22348.0,Quilt Sets
100,2021-01-01,22348.0,Quilt Sets
101,2021-01-02,18397.0,Quilt Sets
102,2021-01-03,18397.0,Quilt Sets
103,2021-01-04,15708.0,Quilt Sets
104,2021-01-05,14637.0,Quilt Sets
105,2021-01-06,14861.0,Quilt Sets
106,2021-01-07,14861.0,Quilt Sets
107,2021-01-08,14861.0,Quilt Sets
108,2021-01-09,14861.0,Quilt Sets
109,2021-01-10,13693.0,Quilt Sets
110,2021-01-11,13693.0,Quilt Sets
111,2021-01-12,13693.0,Quilt Sets
112,2021-01-13,14971.0,Quilt Sets
113,2021-01-14,14971.0,Quilt Sets
114,2021-01-15,15769.0,Quilt Sets
115,2021-01-16,13343.0,Quilt Sets
116,2021-01-17,13343.0,Quilt Sets
117,2021-01-18,13343.0,Quilt Sets
118,2021-01-19,11945.0,Quilt Sets
119,2021-01-20,11945.0,Quilt Sets
120,2021-01-21,11945.0,Quilt Sets
121,2021-01-22,13619.0,Quilt Sets
122,2021-01-23,13619.0,Quilt Sets
123,2021-01-24,13619.0,Quilt Sets
124,2021-01-25,12312.0,Quilt Sets
125,2021-01-26,12312.0,Quilt Sets
126,2021-01-27,12312.0,Quilt Sets
127,2021-01-28,12594.0,Quilt Sets
128,2021-01-29,14809.0,Quilt Sets
129,2021-01-30,19063.0,Quilt Sets
130,2021-01-31,19063.0,Quilt Sets
131,2021-02-01,14152.0,Quilt Sets
132,2021-02-02,14152.0,Quilt Sets
133,2021-02-03,14152.0,Quilt Sets
134,2021-02-04,14152.0,Quilt Sets
135,2021-02-05,14152.0,Quilt Sets
136,2021-02-06,14152.0,Quilt Sets
137,2021-02-07,19077.0,Quilt Sets
138,2021-02-08,19077.0,Quilt Sets
139,2021-02-09,19077.0,Quilt Sets
140,2021-02-10,19077.0,Quilt Sets
141,2021-02-11,19077.0,Quilt Sets
142,2021-02-12,19077.0,Quilt Sets
143,2021-02-13,16109.0,Quilt Sets
144,2021-02-14,16109.0,Quilt Sets
145,2021-02-15,16109.0,Quilt Sets
146,2021-02-16,13355.0,Quilt Sets
147,2021-02-17,13355.0,Quilt Sets
148,2021-02-18,13355.0,Quilt Sets
149,2021-02-19,13355.0,Quilt Sets
150,2021-02-20,11222.0,Quilt Sets
151,2021-02-21,11222.0,Quilt Sets
152,2021-02-22,13714.0,Quilt Sets
153,2021-02-23,15421.0,Quilt Sets
154,2021-02-24,15421.0,Quilt Sets
155,2021-02-25,16516.0,Quilt Sets
