,date,value,name_B08K9DFVCR
0,2020-10-05,5170.0,Chimes
1,2020-10-06,5170.0,Chimes
2,2020-10-07,5170.0,Chimes
3,2020-10-08,4224.0,Chimes
4,2020-10-09,4224.0,Chimes
5,2020-10-10,4224.0,Chimes
6,2020-10-11,4224.0,Chimes
7,2020-10-12,3451.0,Chimes
8,2020-10-13,4159.0,Chimes
9,2020-10-14,4159.0,Chimes
10,2020-10-15,4159.0,Chimes
11,2020-10-16,4159.0,Chimes
12,2020-10-17,3498.0,Chimes
13,2020-10-18,3498.0,Chimes
14,2020-10-19,4440.0,Chimes
15,2020-10-20,4440.0,Chimes
16,2020-10-21,4440.0,Chimes
17,2020-10-22,2823.0,Chimes
18,2020-10-23,2823.0,Chimes
19,2020-10-24,2823.0,Chimes
20,2020-10-25,3946.0,Chimes
21,2020-10-26,3946.0,Chimes
22,2020-10-27,3250.0,Chimes
23,2020-10-28,3250.0,Chimes
24,2020-10-29,2412.0,Chimes
25,2020-10-30,2412.0,Chimes
26,2020-10-31,3295.0,Chimes
27,2020-11-01,3295.0,Chimes
28,2020-11-02,4507.0,Chimes
29,2020-11-03,4507.0,Chimes
30,2020-11-04,2876.0,Chimes
31,2020-11-05,2876.0,Chimes
32,2020-11-06,2151.0,Chimes
33,2020-11-07,2151.0,Chimes
34,2020-11-08,2151.0,Chimes
35,2020-11-09,4235.0,Chimes
36,2020-11-10,2332.0,Chimes
37,2020-11-11,3421.0,Chimes
38,2020-11-12,3421.0,Chimes
39,2020-11-13,3421.0,Chimes
40,2020-11-14,3119.0,Chimes
41,2020-11-15,3119.0,Chimes
42,2020-11-16,3901.0,Chimes
43,2020-11-17,3901.0,Chimes
44,2020-11-18,3262.0,Chimes
45,2020-11-19,3687.0,Chimes
46,2020-11-20,2462.0,Chimes
47,2020-11-21,2612.0,Chimes
48,2020-11-22,2612.0,Chimes
49,2020-11-23,4579.0,Chimes
50,2020-11-24,2927.0,Chimes
51,2020-11-25,2927.0,Chimes
52,2020-11-26,2963.0,Chimes
53,2020-11-27,2740.0,Chimes
54,2020-11-28,2740.0,Chimes
55,2020-11-29,2740.0,Chimes
56,2020-11-30,1523.0,Chimes
57,2020-12-01,1900.0,Chimes
58,2020-12-02,1900.0,Chimes
59,2020-12-03,2177.0,Chimes
60,2020-12-04,2124.0,Chimes
61,2020-12-05,1906.0,Chimes
62,2020-12-06,2495.0,Chimes
63,2020-12-07,2402.0,Chimes
64,2020-12-08,2774.0,Chimes
65,2020-12-09,1957.0,Chimes
66,2020-12-10,1957.0,Chimes
67,2020-12-11,1964.0,Chimes
68,2020-12-12,2162.0,Chimes
69,2020-12-13,2287.0,Chimes
70,2020-12-14,2633.0,Chimes
71,2020-12-15,1686.0,Chimes
72,2020-12-16,1747.0,Chimes
73,2020-12-17,1972.0,Chimes
74,2020-12-18,2659.0,Chimes
75,2020-12-19,2659.0,Chimes
76,2020-12-20,4004.0,Chimes
77,2020-12-21,4572.0,Chimes
78,2020-12-22,3799.0,Chimes
79,2020-12-23,3615.0,Chimes
80,2020-12-24,3432.0,Chimes
81,2020-12-25,4559.0,Chimes
82,2020-12-26,5445.0,Chimes
83,2020-12-27,6984.0,Chimes
84,2020-12-28,5847.0,Chimes
85,2020-12-29,3090.0,Chimes
86,2020-12-30,2789.0,Chimes
87,2020-12-31,2789.0,Chimes
88,2021-01-01,2789.0,Chimes
89,2021-01-02,6184.0,Chimes
90,2021-01-03,3838.0,Chimes
91,2021-01-04,2677.0,Chimes
92,2021-01-05,3592.0,Chimes
93,2021-01-06,3592.0,Chimes
94,2021-01-07,3509.0,Chimes
95,2021-01-08,3095.0,Chimes
96,2021-01-09,3095.0,Chimes
97,2021-01-10,3095.0,Chimes
98,2021-01-11,4732.0,Chimes
99,2021-01-12,3050.0,Chimes
100,2021-01-13,3050.0,Chimes
101,2021-01-14,1987.0,Chimes
