,date,value,name_B08KLJ6YPV
0,2021-04-19,410831.0,Sheet & Pillowcase Sets
1,2021-04-20,199659.0,Sheet & Pillowcase Sets
2,2021-04-21,176369.0,Sheet & Pillowcase Sets
3,2021-04-22,176369.0,Sheet & Pillowcase Sets
4,2021-04-23,111084.0,Sheet & Pillowcase Sets
5,2021-04-24,111084.0,Sheet & Pillowcase Sets
6,2021-04-25,111084.0,Sheet & Pillowcase Sets
7,2021-04-26,111084.0,Sheet & Pillowcase Sets
8,2021-04-27,111084.0,Sheet & Pillowcase Sets
9,2021-04-28,56835.0,Sheet & Pillowcase Sets
10,2021-04-29,56835.0,Sheet & Pillowcase Sets
11,2021-04-30,56835.0,Sheet & Pillowcase Sets
12,2021-05-01,56835.0,Sheet & Pillowcase Sets
13,2021-05-02,56835.0,Sheet & Pillowcase Sets
14,2021-05-03,54892.0,Sheet & Pillowcase Sets
15,2021-05-04,54892.0,Sheet & Pillowcase Sets
16,2021-05-05,54892.0,Sheet & Pillowcase Sets
17,2021-05-06,54892.0,Sheet & Pillowcase Sets
18,2021-05-07,54892.0,Sheet & Pillowcase Sets
19,2021-05-08,54892.0,Sheet & Pillowcase Sets
20,2021-05-09,54892.0,Sheet & Pillowcase Sets
21,2021-05-10,54892.0,Sheet & Pillowcase Sets
22,2021-05-11,71274.0,Sheet & Pillowcase Sets
23,2021-05-12,71274.0,Sheet & Pillowcase Sets
24,2021-05-13,71274.0,Sheet & Pillowcase Sets
25,2021-05-14,71317.0,Sheet & Pillowcase Sets
26,2021-05-15,73547.0,Sheet & Pillowcase Sets
27,2021-05-16,63106.0,Sheet & Pillowcase Sets
28,2021-05-17,63106.0,Sheet & Pillowcase Sets
29,2021-05-18,89159.0,Sheet & Pillowcase Sets
30,2021-05-19,57896.0,Sheet & Pillowcase Sets
31,2021-05-20,67293.0,Sheet & Pillowcase Sets
32,2021-05-21,67293.0,Sheet & Pillowcase Sets
33,2021-05-22,67293.0,Sheet & Pillowcase Sets
34,2021-05-23,10611.0,Sheet & Pillowcase Sets
35,2021-05-24,10611.0,Sheet & Pillowcase Sets
36,2021-05-25,8317.0,Sheet & Pillowcase Sets
37,2021-05-26,7864.0,Sheet & Pillowcase Sets
38,2021-05-27,7864.0,Sheet & Pillowcase Sets
39,2021-05-28,10056.0,Sheet & Pillowcase Sets
40,2021-05-29,10056.0,Sheet & Pillowcase Sets
41,2021-05-30,12096.0,Sheet & Pillowcase Sets
42,2021-05-31,12096.0,Sheet & Pillowcase Sets
43,2021-06-01,20301.0,Sheet & Pillowcase Sets
44,2021-06-02,21457.0,Sheet & Pillowcase Sets
45,2021-06-03,21457.0,Sheet & Pillowcase Sets
46,2021-06-04,19840.0,Sheet & Pillowcase Sets
47,2021-06-05,27266.0,Sheet & Pillowcase Sets
48,2021-06-06,27266.0,Sheet & Pillowcase Sets
49,2021-06-07,27266.0,Sheet & Pillowcase Sets
50,2021-06-08,26133.0,Sheet & Pillowcase Sets
51,2021-06-09,26133.0,Sheet & Pillowcase Sets
52,2021-06-10,26133.0,Sheet & Pillowcase Sets
53,2021-06-11,34389.0,Sheet & Pillowcase Sets
54,2021-06-12,34389.0,Sheet & Pillowcase Sets
55,2021-06-13,27274.0,Sheet & Pillowcase Sets
56,2021-06-14,27274.0,Sheet & Pillowcase Sets
57,2021-06-15,27274.0,Sheet & Pillowcase Sets
58,2021-06-16,30498.0,Sheet & Pillowcase Sets
59,2021-06-17,38493.0,Sheet & Pillowcase Sets
60,2021-06-18,38493.0,Sheet & Pillowcase Sets
61,2021-06-19,31629.0,Sheet & Pillowcase Sets
62,2021-06-20,31629.0,Sheet & Pillowcase Sets
63,2021-06-21,17461.0,Sheet & Pillowcase Sets
64,2021-06-22,17461.0,Sheet & Pillowcase Sets
65,2021-06-23,28954.0,Sheet & Pillowcase Sets
66,2021-06-24,27682.0,Sheet & Pillowcase Sets
67,2021-06-25,27682.0,Sheet & Pillowcase Sets
68,2021-06-26,27682.0,Sheet & Pillowcase Sets
69,2021-06-27,27682.0,Sheet & Pillowcase Sets
70,2021-06-28,36815.0,Sheet & Pillowcase Sets
71,2021-06-29,29015.0,Sheet & Pillowcase Sets
72,2021-06-30,27639.0,Sheet & Pillowcase Sets
73,2021-07-01,34781.0,Sheet & Pillowcase Sets
74,2021-07-02,25141.0,Sheet & Pillowcase Sets
75,2021-07-03,27318.0,Sheet & Pillowcase Sets
76,2021-07-04,29358.0,Sheet & Pillowcase Sets
77,2021-07-05,29048.0,Sheet & Pillowcase Sets
78,2021-07-06,21732.0,Sheet & Pillowcase Sets
79,2021-07-07,22569.0,Sheet & Pillowcase Sets
80,2021-07-08,22569.0,Sheet & Pillowcase Sets
81,2021-07-09,22560.0,Sheet & Pillowcase Sets
