,date,value,name_B08KP6JWVF
0,2020-10-07,5866.0,Stands
1,2020-10-08,5621.0,Stands
2,2020-10-09,5621.0,Stands
3,2020-10-10,4671.0,Stands
4,2020-10-11,4671.0,Stands
5,2020-10-12,4671.0,Stands
6,2020-10-13,5964.0,Stands
7,2020-10-14,5964.0,Stands
8,2020-10-15,5964.0,Stands
9,2020-10-16,8817.0,Stands
10,2020-10-17,8817.0,Stands
11,2020-10-18,8817.0,Stands
12,2020-10-19,9649.0,Stands
13,2020-10-20,9980.0,Stands
14,2020-10-21,9980.0,Stands
15,2020-10-22,5186.0,Stands
16,2020-10-23,5568.0,Stands
17,2020-10-24,5974.0,Stands
18,2020-10-25,6583.0,Stands
19,2020-10-26,6786.0,Stands
20,2020-10-27,3326.0,Stands
21,2020-10-28,5314.0,Stands
22,2020-10-29,5314.0,Stands
23,2020-10-30,5314.0,Stands
24,2020-10-31,5314.0,Stands
25,2020-11-01,5314.0,Stands
26,2020-11-02,5314.0,Stands
27,2020-11-03,8058.0,Stands
28,2020-11-04,8058.0,Stands
29,2020-11-05,8058.0,Stands
30,2020-11-06,8058.0,Stands
31,2020-11-07,15629.0,Stands
32,2020-11-08,15629.0,Stands
33,2020-11-09,15629.0,Stands
34,2020-11-10,27887.0,Stands
35,2020-11-11,27887.0,Stands
36,2020-11-12,27887.0,Stands
37,2020-11-13,27887.0,Stands
38,2020-11-14,7794.0,Stands
39,2020-11-15,7794.0,Stands
40,2020-11-16,7794.0,Stands
41,2020-11-17,9873.0,Stands
42,2020-11-18,9873.0,Stands
43,2020-11-19,10698.0,Stands
44,2020-11-20,10698.0,Stands
45,2020-11-21,13392.0,Stands
46,2020-11-22,13392.0,Stands
47,2020-11-23,13392.0,Stands
48,2020-11-24,13392.0,Stands
49,2020-11-25,11012.0,Stands
50,2020-11-26,11012.0,Stands
51,2020-11-27,11012.0,Stands
52,2020-11-28,13073.0,Stands
53,2020-11-29,13073.0,Stands
54,2020-11-30,9639.0,Stands
55,2020-12-01,9639.0,Stands
56,2020-12-02,9639.0,Stands
57,2020-12-03,9639.0,Stands
58,2020-12-04,11001.0,Stands
59,2020-12-05,13359.0,Stands
60,2020-12-06,13359.0,Stands
61,2020-12-07,13551.0,Stands
62,2020-12-08,13551.0,Stands
63,2020-12-09,13551.0,Stands
64,2020-12-10,10999.0,Stands
65,2020-12-11,10999.0,Stands
66,2020-12-12,11727.0,Stands
67,2020-12-13,11727.0,Stands
68,2020-12-14,12278.0,Stands
69,2020-12-15,12278.0,Stands
70,2020-12-16,12278.0,Stands
71,2020-12-17,12278.0,Stands
72,2020-12-18,11599.0,Stands
73,2020-12-19,11599.0,Stands
74,2020-12-20,11599.0,Stands
75,2020-12-21,17940.0,Stands
76,2020-12-22,17940.0,Stands
77,2020-12-23,17940.0,Stands
78,2020-12-24,17940.0,Stands
79,2020-12-25,17940.0,Stands
80,2020-12-26,15017.0,Stands
81,2020-12-27,15017.0,Stands
82,2020-12-28,15017.0,Stands
83,2020-12-29,15017.0,Stands
84,2020-12-30,15206.0,Stands
85,2020-12-31,15206.0,Stands
86,2021-01-01,15206.0,Stands
87,2021-01-02,20305.0,Stands
88,2021-01-03,20305.0,Stands
89,2021-01-04,8894.0,Stands
90,2021-01-05,8460.0,Stands
91,2021-01-06,7365.0,Stands
92,2021-01-07,7365.0,Stands
93,2021-01-08,7437.0,Stands
94,2021-01-09,7437.0,Stands
95,2021-01-10,7437.0,Stands
96,2021-01-11,5143.0,Stands
97,2021-01-12,5143.0,Stands
98,2021-01-13,5143.0,Stands
99,2021-01-14,4776.0,Stands
