,date,value,name_B08KS8RY1H
0,2020-10-09,11592.0,Duvet Covers
1,2020-10-10,12592.0,Duvet Covers
2,2020-10-11,12592.0,Duvet Covers
3,2020-10-12,12492.0,Duvet Covers
4,2020-10-13,12492.0,Duvet Covers
5,2020-10-14,10378.0,Duvet Covers
6,2020-10-15,10378.0,Duvet Covers
7,2020-10-16,13618.0,Duvet Covers
8,2020-10-17,10304.0,Duvet Covers
9,2020-10-18,10304.0,Duvet Covers
10,2020-10-19,10304.0,Duvet Covers
11,2020-10-20,6821.0,Duvet Covers
12,2020-10-21,6060.0,Duvet Covers
13,2020-10-22,5306.0,Duvet Covers
14,2020-10-23,5674.0,Duvet Covers
15,2020-10-24,4617.0,Duvet Covers
16,2020-10-25,4954.0,Duvet Covers
17,2020-10-26,5176.0,Duvet Covers
18,2020-10-27,8272.0,Duvet Covers
19,2020-10-28,9031.0,Duvet Covers
20,2020-10-29,10647.0,Duvet Covers
21,2020-10-30,10647.0,Duvet Covers
22,2020-10-31,12423.0,Duvet Covers
23,2020-11-01,12423.0,Duvet Covers
24,2020-11-02,12655.0,Duvet Covers
25,2020-11-03,12655.0,Duvet Covers
26,2020-11-04,11769.0,Duvet Covers
27,2020-11-05,11769.0,Duvet Covers
28,2020-11-06,13371.0,Duvet Covers
29,2020-11-07,13371.0,Duvet Covers
30,2020-11-08,14704.0,Duvet Covers
31,2020-11-09,13260.0,Duvet Covers
32,2020-11-10,13260.0,Duvet Covers
33,2020-11-11,8540.0,Duvet Covers
34,2020-11-12,8785.0,Duvet Covers
35,2020-11-13,8785.0,Duvet Covers
36,2020-11-14,8785.0,Duvet Covers
37,2020-11-15,12216.0,Duvet Covers
38,2020-11-16,13008.0,Duvet Covers
39,2020-11-17,13008.0,Duvet Covers
40,2020-11-18,13008.0,Duvet Covers
41,2020-11-19,30950.0,Duvet Covers
42,2020-11-20,30950.0,Duvet Covers
43,2020-11-21,30950.0,Duvet Covers
44,2020-11-22,30950.0,Duvet Covers
45,2020-11-23,37041.0,Duvet Covers
46,2020-11-24,50150.0,Duvet Covers
47,2020-11-25,50648.0,Duvet Covers
48,2020-11-26,44981.0,Duvet Covers
49,2020-11-27,34588.0,Duvet Covers
50,2020-11-28,30474.0,Duvet Covers
51,2020-11-29,34242.0,Duvet Covers
52,2020-11-30,34596.0,Duvet Covers
53,2020-12-01,35887.0,Duvet Covers
54,2020-12-02,43215.0,Duvet Covers
55,2020-12-03,43215.0,Duvet Covers
56,2020-12-04,49680.0,Duvet Covers
57,2020-12-05,34986.0,Duvet Covers
58,2020-12-06,34986.0,Duvet Covers
59,2020-12-07,24666.0,Duvet Covers
60,2020-12-08,23787.0,Duvet Covers
61,2020-12-09,23787.0,Duvet Covers
62,2020-12-10,21209.0,Duvet Covers
63,2020-12-11,25895.0,Duvet Covers
64,2020-12-12,23304.0,Duvet Covers
65,2020-12-13,22229.0,Duvet Covers
66,2020-12-14,20592.0,Duvet Covers
67,2020-12-15,22897.0,Duvet Covers
68,2020-12-16,25287.0,Duvet Covers
69,2020-12-17,20320.0,Duvet Covers
70,2020-12-18,20320.0,Duvet Covers
71,2020-12-19,20320.0,Duvet Covers
72,2020-12-20,15023.0,Duvet Covers
73,2020-12-21,12861.0,Duvet Covers
74,2020-12-22,14532.0,Duvet Covers
75,2020-12-23,13831.0,Duvet Covers
76,2020-12-24,13831.0,Duvet Covers
77,2020-12-25,11760.0,Duvet Covers
78,2020-12-26,11760.0,Duvet Covers
79,2020-12-27,10341.0,Duvet Covers
80,2020-12-28,9970.0,Duvet Covers
81,2020-12-29,9970.0,Duvet Covers
82,2020-12-30,9970.0,Duvet Covers
83,2020-12-31,12073.0,Duvet Covers
84,2021-01-01,9254.0,Duvet Covers
85,2021-01-02,9254.0,Duvet Covers
86,2021-01-03,12930.0,Duvet Covers
87,2021-01-04,12930.0,Duvet Covers
88,2021-01-05,12930.0,Duvet Covers
89,2021-01-06,17559.0,Duvet Covers
90,2021-01-07,20694.0,Duvet Covers
91,2021-01-08,17324.0,Duvet Covers
92,2021-01-09,17324.0,Duvet Covers
93,2021-01-10,17840.0,Duvet Covers
94,2021-01-11,12478.0,Duvet Covers
95,2021-01-12,17630.0,Duvet Covers
96,2021-01-13,21036.0,Duvet Covers
97,2021-01-14,22068.0,Duvet Covers
98,2021-01-15,22068.0,Duvet Covers
99,2021-01-16,23065.0,Duvet Covers
100,2021-01-17,23065.0,Duvet Covers
101,2021-01-18,23065.0,Duvet Covers
102,2021-01-19,12683.0,Duvet Covers
103,2021-01-20,12683.0,Duvet Covers
104,2021-01-21,12683.0,Duvet Covers
105,2021-01-22,9060.0,Duvet Covers
106,2021-01-23,9219.0,Duvet Covers
107,2021-01-24,9803.0,Duvet Covers
108,2021-01-25,10544.0,Duvet Covers
109,2021-01-26,10316.0,Duvet Covers
110,2021-01-27,6925.0,Duvet Covers
111,2021-01-28,9248.0,Duvet Covers
112,2021-01-29,7986.0,Duvet Covers
113,2021-01-30,7463.0,Duvet Covers
114,2021-01-31,8469.0,Duvet Covers
115,2021-02-01,9477.0,Duvet Covers
116,2021-02-02,9477.0,Duvet Covers
117,2021-02-03,10591.0,Duvet Covers
118,2021-02-04,10591.0,Duvet Covers
119,2021-02-05,8328.0,Duvet Covers
120,2021-02-06,8546.0,Duvet Covers
121,2021-02-07,8546.0,Duvet Covers
122,2021-02-08,9780.0,Duvet Covers
123,2021-02-09,9780.0,Duvet Covers
124,2021-02-10,9780.0,Duvet Covers
125,2021-02-11,10440.0,Duvet Covers
126,2021-02-12,10440.0,Duvet Covers
127,2021-02-13,11838.0,Duvet Covers
