,date,value,name_B08KSWSCVH
0,2020-10-14,10477.0,Pool Rafts & Inflatable Ride-ons
1,2020-10-15,10477.0,Pool Rafts & Inflatable Ride-ons
2,2020-10-16,13307.0,Pool Rafts & Inflatable Ride-ons
3,2020-10-17,13307.0,Pool Rafts & Inflatable Ride-ons
4,2020-10-18,12105.0,Pool Rafts & Inflatable Ride-ons
5,2020-10-19,12105.0,Pool Rafts & Inflatable Ride-ons
6,2020-10-20,12105.0,Pool Rafts & Inflatable Ride-ons
7,2020-10-21,13322.0,Pool Rafts & Inflatable Ride-ons
8,2020-10-22,13322.0,Pool Rafts & Inflatable Ride-ons
9,2020-10-23,13322.0,Pool Rafts & Inflatable Ride-ons
10,2020-10-24,13322.0,Pool Rafts & Inflatable Ride-ons
11,2020-10-25,15248.0,Pool Rafts & Inflatable Ride-ons
12,2020-10-26,15248.0,Pool Rafts & Inflatable Ride-ons
13,2020-10-27,15248.0,Pool Rafts & Inflatable Ride-ons
14,2020-10-28,15330.0,Pool Rafts & Inflatable Ride-ons
15,2020-10-29,12769.0,Pool Rafts & Inflatable Ride-ons
16,2020-10-30,12769.0,Pool Rafts & Inflatable Ride-ons
17,2020-10-31,12769.0,Pool Rafts & Inflatable Ride-ons
18,2020-11-01,11558.0,Pool Rafts & Inflatable Ride-ons
19,2020-11-02,11558.0,Pool Rafts & Inflatable Ride-ons
20,2020-11-03,11558.0,Pool Rafts & Inflatable Ride-ons
21,2020-11-04,11558.0,Pool Rafts & Inflatable Ride-ons
22,2020-11-05,15239.0,Pool Rafts & Inflatable Ride-ons
23,2020-11-06,19735.0,Pool Rafts & Inflatable Ride-ons
24,2020-11-07,19735.0,Pool Rafts & Inflatable Ride-ons
25,2020-11-08,19735.0,Pool Rafts & Inflatable Ride-ons
26,2020-11-09,29254.0,Pool Rafts & Inflatable Ride-ons
27,2020-11-10,29254.0,Pool Rafts & Inflatable Ride-ons
28,2020-11-11,29254.0,Pool Rafts & Inflatable Ride-ons
29,2020-11-12,29254.0,Pool Rafts & Inflatable Ride-ons
30,2020-11-13,10712.0,Pool Rafts & Inflatable Ride-ons
31,2020-11-14,10712.0,Pool Rafts & Inflatable Ride-ons
32,2020-11-15,10712.0,Pool Rafts & Inflatable Ride-ons
33,2020-11-16,10712.0,Pool Rafts & Inflatable Ride-ons
34,2020-11-17,12398.0,Pool Rafts & Inflatable Ride-ons
35,2020-11-18,12398.0,Pool Rafts & Inflatable Ride-ons
36,2020-11-19,12398.0,Pool Rafts & Inflatable Ride-ons
37,2020-11-20,15412.0,Pool Rafts & Inflatable Ride-ons
38,2020-11-21,15412.0,Pool Rafts & Inflatable Ride-ons
39,2020-11-22,15412.0,Pool Rafts & Inflatable Ride-ons
40,2020-11-23,16115.0,Pool Rafts & Inflatable Ride-ons
41,2020-11-24,16115.0,Pool Rafts & Inflatable Ride-ons
42,2020-11-25,16115.0,Pool Rafts & Inflatable Ride-ons
43,2020-11-26,24001.0,Pool Rafts & Inflatable Ride-ons
44,2020-11-27,24001.0,Pool Rafts & Inflatable Ride-ons
45,2020-11-28,24001.0,Pool Rafts & Inflatable Ride-ons
46,2020-11-29,24001.0,Pool Rafts & Inflatable Ride-ons
47,2020-11-30,19131.0,Pool Rafts & Inflatable Ride-ons
48,2020-12-01,19131.0,Pool Rafts & Inflatable Ride-ons
49,2020-12-02,19131.0,Pool Rafts & Inflatable Ride-ons
50,2020-12-03,19737.0,Pool Rafts & Inflatable Ride-ons
51,2020-12-04,19737.0,Pool Rafts & Inflatable Ride-ons
52,2020-12-05,19737.0,Pool Rafts & Inflatable Ride-ons
53,2020-12-06,21790.0,Pool Rafts & Inflatable Ride-ons
54,2020-12-07,21790.0,Pool Rafts & Inflatable Ride-ons
55,2020-12-08,14222.0,Pool Rafts & Inflatable Ride-ons
56,2020-12-09,14222.0,Pool Rafts & Inflatable Ride-ons
57,2020-12-10,14222.0,Pool Rafts & Inflatable Ride-ons
58,2020-12-11,14222.0,Pool Rafts & Inflatable Ride-ons
59,2020-12-12,15232.0,Pool Rafts & Inflatable Ride-ons
60,2020-12-13,15232.0,Pool Rafts & Inflatable Ride-ons
61,2020-12-14,12482.0,Pool Rafts & Inflatable Ride-ons
62,2020-12-15,12482.0,Pool Rafts & Inflatable Ride-ons
63,2020-12-16,12482.0,Pool Rafts & Inflatable Ride-ons
64,2020-12-17,13233.0,Pool Rafts & Inflatable Ride-ons
65,2020-12-18,13967.0,Pool Rafts & Inflatable Ride-ons
66,2020-12-19,13967.0,Pool Rafts & Inflatable Ride-ons
67,2020-12-20,13967.0,Pool Rafts & Inflatable Ride-ons
68,2020-12-21,12618.0,Pool Rafts & Inflatable Ride-ons
69,2020-12-22,12618.0,Pool Rafts & Inflatable Ride-ons
70,2020-12-23,11905.0,Pool Rafts & Inflatable Ride-ons
71,2020-12-24,11905.0,Pool Rafts & Inflatable Ride-ons
72,2020-12-25,11905.0,Pool Rafts & Inflatable Ride-ons
73,2020-12-26,18686.0,Pool Rafts & Inflatable Ride-ons
74,2020-12-27,18686.0,Pool Rafts & Inflatable Ride-ons
75,2020-12-28,15348.0,Pool Rafts & Inflatable Ride-ons
76,2020-12-29,18461.0,Pool Rafts & Inflatable Ride-ons
77,2020-12-30,18461.0,Pool Rafts & Inflatable Ride-ons
78,2020-12-31,18461.0,Pool Rafts & Inflatable Ride-ons
79,2021-01-01,18461.0,Pool Rafts & Inflatable Ride-ons
80,2021-01-02,18461.0,Pool Rafts & Inflatable Ride-ons
81,2021-01-03,18461.0,Pool Rafts & Inflatable Ride-ons
82,2021-01-04,7941.0,Pool Rafts & Inflatable Ride-ons
83,2021-01-05,7941.0,Pool Rafts & Inflatable Ride-ons
84,2021-01-06,7941.0,Pool Rafts & Inflatable Ride-ons
85,2021-01-07,9545.0,Pool Rafts & Inflatable Ride-ons
86,2021-01-08,9545.0,Pool Rafts & Inflatable Ride-ons
87,2021-01-09,13317.0,Pool Rafts & Inflatable Ride-ons
88,2021-01-10,13317.0,Pool Rafts & Inflatable Ride-ons
89,2021-01-11,13317.0,Pool Rafts & Inflatable Ride-ons
90,2021-01-12,5753.0,Pool Rafts & Inflatable Ride-ons
91,2021-01-13,6256.0,Pool Rafts & Inflatable Ride-ons
92,2021-01-14,5847.0,Pool Rafts & Inflatable Ride-ons
93,2021-01-15,5847.0,Pool Rafts & Inflatable Ride-ons
94,2021-01-16,4291.0,Pool Rafts & Inflatable Ride-ons
95,2021-01-17,5010.0,Pool Rafts & Inflatable Ride-ons
96,2021-01-18,3987.0,Pool Rafts & Inflatable Ride-ons
97,2021-01-19,5388.0,Pool Rafts & Inflatable Ride-ons
98,2021-01-20,5388.0,Pool Rafts & Inflatable Ride-ons
99,2021-01-21,4308.0,Pool Rafts & Inflatable Ride-ons
100,2021-01-22,5913.0,Pool Rafts & Inflatable Ride-ons
101,2021-01-23,5913.0,Pool Rafts & Inflatable Ride-ons
102,2021-01-24,5913.0,Pool Rafts & Inflatable Ride-ons
103,2021-01-25,5913.0,Pool Rafts & Inflatable Ride-ons
104,2021-01-26,6166.0,Pool Rafts & Inflatable Ride-ons
105,2021-01-27,6166.0,Pool Rafts & Inflatable Ride-ons
106,2021-01-28,6166.0,Pool Rafts & Inflatable Ride-ons
