,date,value,name_B08L3D228Z
0,2021-01-06,90246.0,Pool Rafts & Inflatable Ride-ons
1,2021-01-07,90246.0,Pool Rafts & Inflatable Ride-ons
2,2021-01-08,90246.0,Pool Rafts & Inflatable Ride-ons
3,2021-01-09,90246.0,Pool Rafts & Inflatable Ride-ons
4,2021-01-10,69154.0,Pool Rafts & Inflatable Ride-ons
5,2021-01-11,69154.0,Pool Rafts & Inflatable Ride-ons
6,2021-01-12,69154.0,Pool Rafts & Inflatable Ride-ons
7,2021-01-13,142710.0,Pool Rafts & Inflatable Ride-ons
8,2021-01-14,142710.0,Pool Rafts & Inflatable Ride-ons
9,2021-01-15,142710.0,Pool Rafts & Inflatable Ride-ons
10,2021-01-16,206567.0,Pool Rafts & Inflatable Ride-ons
11,2021-01-17,206567.0,Pool Rafts & Inflatable Ride-ons
12,2021-01-18,75453.0,Pool Rafts & Inflatable Ride-ons
13,2021-01-19,78740.0,Pool Rafts & Inflatable Ride-ons
14,2021-01-20,62768.0,Pool Rafts & Inflatable Ride-ons
15,2021-01-21,62768.0,Pool Rafts & Inflatable Ride-ons
16,2021-01-22,62768.0,Pool Rafts & Inflatable Ride-ons
17,2021-01-23,82906.0,Pool Rafts & Inflatable Ride-ons
18,2021-01-24,82906.0,Pool Rafts & Inflatable Ride-ons
19,2021-01-25,97715.0,Pool Rafts & Inflatable Ride-ons
20,2021-01-26,97715.0,Pool Rafts & Inflatable Ride-ons
21,2021-01-27,97715.0,Pool Rafts & Inflatable Ride-ons
22,2021-01-28,97715.0,Pool Rafts & Inflatable Ride-ons
23,2021-01-29,97715.0,Pool Rafts & Inflatable Ride-ons
24,2021-01-30,135369.0,Pool Rafts & Inflatable Ride-ons
25,2021-01-31,135369.0,Pool Rafts & Inflatable Ride-ons
26,2021-02-01,135369.0,Pool Rafts & Inflatable Ride-ons
27,2021-02-02,135369.0,Pool Rafts & Inflatable Ride-ons
28,2021-02-03,135369.0,Pool Rafts & Inflatable Ride-ons
29,2021-02-04,165526.0,Pool Rafts & Inflatable Ride-ons
30,2021-02-05,165526.0,Pool Rafts & Inflatable Ride-ons
31,2021-02-06,165526.0,Pool Rafts & Inflatable Ride-ons
32,2021-02-07,223599.0,Pool Rafts & Inflatable Ride-ons
33,2021-02-08,137716.0,Pool Rafts & Inflatable Ride-ons
34,2021-02-09,137716.0,Pool Rafts & Inflatable Ride-ons
35,2021-02-10,137716.0,Pool Rafts & Inflatable Ride-ons
36,2021-02-11,137716.0,Pool Rafts & Inflatable Ride-ons
37,2021-02-12,137716.0,Pool Rafts & Inflatable Ride-ons
38,2021-02-13,137716.0,Pool Rafts & Inflatable Ride-ons
39,2021-02-14,114550.0,Pool Rafts & Inflatable Ride-ons
40,2021-02-15,114550.0,Pool Rafts & Inflatable Ride-ons
41,2021-02-16,114550.0,Pool Rafts & Inflatable Ride-ons
42,2021-02-17,114550.0,Pool Rafts & Inflatable Ride-ons
43,2021-02-18,114550.0,Pool Rafts & Inflatable Ride-ons
44,2021-02-19,114550.0,Pool Rafts & Inflatable Ride-ons
45,2021-02-20,114550.0,Pool Rafts & Inflatable Ride-ons
46,2021-02-21,107196.0,Pool Rafts & Inflatable Ride-ons
47,2021-02-22,107196.0,Pool Rafts & Inflatable Ride-ons
48,2021-02-23,107196.0,Pool Rafts & Inflatable Ride-ons
49,2021-02-24,107196.0,Pool Rafts & Inflatable Ride-ons
50,2021-02-25,107196.0,Pool Rafts & Inflatable Ride-ons
51,2021-02-26,159996.0,Pool Rafts & Inflatable Ride-ons
52,2021-02-27,106684.0,Pool Rafts & Inflatable Ride-ons
53,2021-02-28,106684.0,Pool Rafts & Inflatable Ride-ons
54,2021-03-01,122787.0,Pool Rafts & Inflatable Ride-ons
55,2021-03-02,70040.0,Pool Rafts & Inflatable Ride-ons
56,2021-03-03,70040.0,Pool Rafts & Inflatable Ride-ons
57,2021-03-04,70040.0,Pool Rafts & Inflatable Ride-ons
58,2021-03-05,49072.0,Pool Rafts & Inflatable Ride-ons
59,2021-03-06,49072.0,Pool Rafts & Inflatable Ride-ons
60,2021-03-07,49072.0,Pool Rafts & Inflatable Ride-ons
61,2021-03-08,49072.0,Pool Rafts & Inflatable Ride-ons
62,2021-03-09,97666.0,Pool Rafts & Inflatable Ride-ons
63,2021-03-10,53146.0,Pool Rafts & Inflatable Ride-ons
64,2021-03-11,53146.0,Pool Rafts & Inflatable Ride-ons
65,2021-03-12,53146.0,Pool Rafts & Inflatable Ride-ons
66,2021-03-13,53146.0,Pool Rafts & Inflatable Ride-ons
67,2021-03-14,53146.0,Pool Rafts & Inflatable Ride-ons
68,2021-03-15,53146.0,Pool Rafts & Inflatable Ride-ons
69,2021-03-16,53146.0,Pool Rafts & Inflatable Ride-ons
70,2021-03-17,53146.0,Pool Rafts & Inflatable Ride-ons
71,2021-03-18,31273.0,Pool Rafts & Inflatable Ride-ons
72,2021-03-19,31273.0,Pool Rafts & Inflatable Ride-ons
73,2021-03-20,31273.0,Pool Rafts & Inflatable Ride-ons
74,2021-03-21,31273.0,Pool Rafts & Inflatable Ride-ons
75,2021-03-22,35700.0,Pool Rafts & Inflatable Ride-ons
76,2021-03-23,35700.0,Pool Rafts & Inflatable Ride-ons
77,2021-03-24,35700.0,Pool Rafts & Inflatable Ride-ons
78,2021-03-25,35700.0,Pool Rafts & Inflatable Ride-ons
79,2021-03-26,35700.0,Pool Rafts & Inflatable Ride-ons
80,2021-03-27,35700.0,Pool Rafts & Inflatable Ride-ons
81,2021-03-28,35700.0,Pool Rafts & Inflatable Ride-ons
82,2021-03-29,35700.0,Pool Rafts & Inflatable Ride-ons
83,2021-03-30,55460.0,Pool Rafts & Inflatable Ride-ons
84,2021-03-31,55460.0,Pool Rafts & Inflatable Ride-ons
85,2021-04-01,55460.0,Pool Rafts & Inflatable Ride-ons
86,2021-04-02,57053.0,Pool Rafts & Inflatable Ride-ons
87,2021-04-03,57053.0,Pool Rafts & Inflatable Ride-ons
88,2021-04-04,57053.0,Pool Rafts & Inflatable Ride-ons
89,2021-04-05,47411.0,Pool Rafts & Inflatable Ride-ons
90,2021-04-06,47411.0,Pool Rafts & Inflatable Ride-ons
91,2021-04-07,47411.0,Pool Rafts & Inflatable Ride-ons
